Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2017","102,6  13,26 (14,85%)",10.26,76.0,89.3,10.2,10.26,10.2,10.26,102.56,66.03,16.9,1.733.310
"February, 2017","95,1  -2,22 (-2,27%)",11.22,83.0,97.6,95.0,95.6,95.0,95.1,95.38,61.21,13.267,1.265.352
"March, 2017","123  -14,09 (-10,1%)",16.05,11.87,13.96,13.919999999999998,13.919999999999998,12.01,12.3,125.51,79.16,154.254,19.360.386
"April, 2017","93  -6,43 (-6,46%)",11.45,84.7,99.6,95.0,95.0,93.0,93.0,93.17,59.85,9.7,903.740
"May, 2017","90,6  -0,26 (-0,29%)",10.32,76.4,89.8,90.0,90.6,89.0,90.6,89.53999999999999,58.31,9.5,850.600
"June, 2017","86,4  0,48 (0,55%)",99.2,73.4,86.3,87.0,87.0,85.0,86.4,86.78,55.61,7.3,633.47
"July, 2017","81  -1,21 (-1,45%)",95.3,70.5,82.9,84.0,84.0,81.0,81.0,81.69,52.13,15.5,1.266.280
"August, 2017","55,4  0,15 (0,28%)",63.5,47.1,55.3,55.5,55.5,55.4,55.4,55.45,35.660000000000004,1.7,94.270
"September, 2017","52,6  0 (0%)",60.4,44.8,52.6,52.6,52.6,52.6,52.6,52.6,33.85,100.0,5.26
"October, 2017","57  -1,85 (-3,13%)",68.1,50.5,59.3,58.7,58.7,56.5,57.0,57.44,36.69,16.97,974.775
"November, 2017","58,3  0,43 (0,73%)",66.9,49.5,58.2,60.0,61.0,58.1,58.3,58.63,37.52,29.154,1.709.175
"December, 2017","82,8  0,47 (0,58%)",94.1,69.7,81.9,81.9,84.0,81.5,82.8,82.37,53.29,20.9,1.721.550
"January, 2018","93,6  -1,93 (-2,02%)",10.99,81.3,95.6,95.6,95.6,92.2,93.6,93.67,60.24,67.525,6.325.249
"February, 2018","51,9  -0,97 (-1,82%)",61.0,45.2,53.1,52.5,52.9,51.0,51.9,52.13,33.4,99.03,5.162.684
"March, 2018","55,4  0,97 (1,79%)",62.1,45.9,54.0,54.1,55.5,54.1,55.4,54.96,35.660000000000004,46.466,2.553.995
"April, 2018","51,7  -0,56 (-1,07%)",60.4,44.8,52.6,52.5,53.0,51.5,51.7,52.04,33.27,46.038000000000004,2.395.765
"May, 2018","52,5  1,7 (3,35%)",54.3,47.25,50.8,51.5,52.5,50.0,52.5,50.95,33.81,150.49,7.668.000
"June, 2018","50,6  -0,2 (-0,39%)",54.3,47.25,50.8,49.3,50.8,49.3,50.6,50.12,32.69,36.11,1.810.000
"July, 2018","40,9  1,6 (4,07%)",42.05,36.55,39.3,39.3,41.5,39.2,40.9,39.86,26.47,173.0,6.895.000
"August, 2018","52  0,6 (1,17%)",54.9,47.85,51.4,51.4,53.0,50.3,52.0,51.28,33.68,213.17,10.931.000
"September, 2018","53  -0,2 (-0,38%)",56.9,49.5,53.2,52.0,53.0,51.7,53.0,52.07000000000001,34.43,19.3,1.005.000
"October, 2018","45,1  2,3 (5,37%)",45.75,39.85,42.8,45.0,45.1,44.0,45.1,44.62,29.42,32.05,1.430.000
"November, 2018","47  0,1 (0,21%)",50.1,43.65,46.9,47.0,47.1,46.2,47.0,46.91,30.75,44.49,2.087.000
"December, 2018","50,9  0 (0%)",54.4,47.35,50.9,51.2,51.3,50.0,50.9,50.47,34.03,9.53,481.000
"January, 2019","45  1 (2,27%)",47.05,40.95,44.0,44.0,45.4,43.9,45.0,44.67,30.22,64.78,2.894.000
"February, 2019","46  -1,1 (-2,34%)",50.3,43.85,47.1,46.5,47.4,46.0,46.0,46.56,30.93,156.24,7.274.000
"March, 2019","59  -2,2 (-3,59%)",65.4,57.0,61.2,61.2,61.5,59.0,59.0,59.88,39.75,177.62,10.636.000
"April, 2019","60,8  0,2 (0,33%)",64.8,56.4,60.6,59.6,60.8,59.6,60.8,60.57000000000001,40.97,25.59,1.550.000
"May, 2019","39,5  -0,1 (-0,25%)",42.35,36.85,39.6,39.6,39.8,38.95,39.5,39.47,40.260000000000005,44.97,1.775.000
"June, 2019","36,6  -0,6 (-1,61%)",39.8,34.6,37.2,37.15,37.15,36.1,36.6,36.66,37.3,240.84,8.879.000
"July, 2019","43,85  0,85 (1,98%)",46.0,40.0,43.0,43.0,44.4,43.0,43.85,43.87,44.69,415.5,18.228.000
"August, 2019","44,75  -3,35 (-6,96%)",51.4,44.75,48.1,48.1,48.6,44.75,44.75,46.11,45.85,1.033.200,47.644.000
"September, 2019","44,2  -0,2 (-0,45%)",47.5,41.3,44.4,44.2,44.5,44.0,44.2,44.260000000000005,45.28,76.11,3.369.000
"October, 2019","46,15  -0,1 (-0,22%)",49.45,43.05,46.25,45.8,46.8,45.8,46.15,46.29,47.28,146.27,6.771.000
"November, 2019","45,65  0,05 (0,11%)",48.75,42.45,45.6,45.6,46.2,45.55,45.65,45.81,46.92,112.64,5.160.000
"December, 2019","41  -0,3 (-0,73%)",44.15,38.45,41.3,41.3,41.9,39.0,41.0,40.41,42.14,95.34,3.853.000
