Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","30,7  1,5 (5,14%)",31.2,27.2,29.2,29.5,30.9,29.4,30.7,30.48,19.79,2.596.170,77.501.000
"February, 2014","45,2  -0,4 (-0,88%)",48.7,42.5,45.6,45.9,45.9,45.2,45.2,45.46,26.22,843.530,38.345.324
"March, 2014","43,1  -0,4 (-0,92%)",46.5,40.5,43.5,43.5,43.6,43.0,43.1,43.27,25.0,312.980,13.565.532
"April, 2014","34,6  -0,1 (-0,29%)",37.1,32.3,34.7,34.6,34.8,34.4,34.6,34.56,20.07,823.910,28.357.764
"May, 2014","32,5  0,2 (0,62%)",34.5,30.1,32.3,32.3,32.7,32.1,32.5,32.47,20.380000000000003,909.780,29.541.000
"June, 2014","32,3  -0,1 (-0,31%)",34.6,30.2,32.4,32.6,32.6,32.3,32.3,32.410000000000004,19.880000000000003,258.530,8.378.000
"July, 2014","30,4  0,1 (0,33%)",32.4,28.2,30.3,30.3,30.5,30.2,30.4,30.32,18.72,817.730,24.792.000
"August, 2014","33,4  0,4 (1,21%)",35.3,30.7,33.0,33.2,33.7,33.1,33.4,33.32,20.56,2.063.270,68.758.000
"September, 2014","30,4  -0,2 (-0,65%)",32.7,28.5,30.6,30.6,30.7,30.4,30.4,30.48,19.6,580.160,17.685.000
"October, 2014","30,1  -0,2 (-0,66%)",32.4,28.2,30.3,30.3,30.3,30.0,30.1,30.130000000000003,19.4,704.46,21.225.000
"November, 2014","29,2  0,4 (1,39%)",30.8,26.8,28.8,28.9,29.5,28.8,29.2,29.35,18.82,591.300,17.353.000
"December, 2014","30,8  0,7 (2,33%)",32.2,28.0,30.1,30.1,30.9,30.0,30.8,30.59,19.85,1.169.120,36.756.000
"January, 2015","30,9  -0,1 (-0,32%)",33.1,28.9,31.0,31.0,31.1,30.7,30.9,30.860000000000003,19.92,420.78,12.931.000
"February, 2015","31,7  -0,1 (-0,31%)",34.0,29.6,31.8,31.7,31.9,31.6,31.7,31.73,20.43,277.49,8.804.000
"March, 2015","29,2  0,2 (0,69%)",31.0,27.0,29.0,29.2,29.3,28.9,29.2,29.19,18.82,242.780,7.086.000
"April, 2015","30,2  -0,3 (-0,98%)",32.6,28.4,30.5,30.5,30.7,30.2,30.2,30.44,19.47,152.93,4.655.000
"May, 2015","29,2  0 (0%)",31.2,27.2,29.2,29.3,29.7,29.2,29.2,29.32,19.78,551.07,16.155.000
"June, 2015","29,7  0,3 (1,02%)",31.4,27.4,29.4,29.3,30.0,29.3,29.7,29.78,20.12,930.090,27.699.000
"July, 2015","31,5  -0,2 (-0,63%)",33.9,29.5,31.7,31.7,32.0,31.5,31.5,31.67,21.34,648.390,20.536.000
"August, 2015","30,7  -0,7 (-2,23%)",33.5,29.3,31.4,31.1,31.4,30.7,30.7,30.910000000000004,21.83,752.86,23.274.000
"September, 2015","31,2  0,2 (0,65%)",33.1,28.9,31.0,31.1,31.4,31.1,31.2,31.2,22.25,769.05,23.966.000
"October, 2015","33,1  0,4 (1,22%)",34.9,30.5,32.7,32.9,33.7,32.9,33.1,33.3,23.54,1.324.910,44.126.000
"November, 2015","31,6  -0,1 (-0,32%)",33.9,29.5,31.7,31.5,31.7,31.3,31.6,31.56,22.47,314.08,9.913.000
