Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","56  -0,5 (-0,88%)",60.0,53.0,56.5,57.0,57.5,56.0,56.0,56.720000000000006,23.11,274.67,15.580.000
"February, 2014","45,5  0,7 (1,56%)",47.9,41.7,44.8,44.9,45.5,44.3,45.5,44.82,17.41,301.09,13.493.778
"March, 2014","45,2  0 (0%)",48.3,42.1,45.2,45.2,45.5,45.0,45.2,45.19,17.29,259.37,11.720.695
"April, 2014","44,1  0,2 (0,46%)",46.9,40.9,43.9,43.9,44.2,43.5,44.1,43.87,16.869999999999997,78.05,3.424.060
"May, 2014","45,7  0,2 (0,44%)",48.6,42.4,45.5,45.6,45.9,45.2,45.7,45.61,17.490000000000002,201.51,9.190.000
"June, 2014","50,5  1,9 (3,91%)",52.0,45.2,48.6,48.6,51.0,48.5,50.5,49.98,20.23,390.1,19.496.000
"July, 2014","51  0,5 (0,99%)",54.0,47.0,50.5,50.0,52.0,50.0,51.0,51.13,20.72,72.06,3.684.000
"August, 2014","57,5  -0,5 (-0,86%)",62.0,54.0,58.0,58.0,58.5,57.5,57.5,57.73,23.73,110.14,6.358.000
"September, 2014","61  -0,5 (-0,81%)",65.5,57.5,61.5,60.5,62.0,60.0,61.0,61.11,25.17,112.850,6.897.000
"October, 2014","63  2,5 (4,13%)",64.5,56.5,60.5,60.5,63.0,60.5,63.0,61.84,26.0,132.32,8.183.000
"November, 2014","56,5  -1,5 (-2,59%)",62.0,54.0,58.0,58.5,58.5,56.5,56.5,56.78,23.31,177.24,10.064.000
"December, 2014","56  0,5 (0,9%)",59.0,52.0,55.5,56.0,57.0,55.0,56.0,56.3,23.4,19.96,1.124.000
"January, 2015","60,5  2 (3,42%)",62.5,54.5,58.5,61.0,61.0,58.5,60.5,60.02,25.28,106.4,6.386.000
"February, 2015","61  -0,5 (-0,81%)",65.5,57.5,61.5,61.0,61.0,60.5,61.0,60.81,25.49,12.97,789.000
"March, 2015","60,5  -1,5 (-2,42%)",66.0,58.0,62.0,60.5,61.0,60.0,60.5,60.42999999999999,25.28,46.37,2.802.000
"April, 2015","60,5  0 (0%)",64.5,56.5,60.5,60.5,60.5,60.0,60.5,60.370000000000005,25.28,23.38,1.411.000
"May, 2015","61,5  -1 (-1,6%)",66.5,58.5,62.5,62.5,62.5,61.5,61.5,62.05,25.7,55.96,3.472.000
"June, 2015","53  2,5 (4,95%)",54.0,47.0,50.5,50.5,53.0,49.8,53.0,51.67999999999999,25.96,196.4,10.182.000
"July, 2015","49,9  0,8 (1,63%)",52.5,45.7,49.1,49.1,49.9,48.9,49.9,49.06,25.07,56.81,2.787.000
"August, 2015","46  -0,7 (-1,5%)",49.9,43.5,46.7,46.7,46.7,45.2,46.0,45.72,24.7,206.01,9.418.000
"September, 2015","46,3  1,1 (2,43%)",48.3,42.1,45.2,45.0,46.3,45.0,46.3,45.62,25.33,65.03,2.967.000
"October, 2015","46,2  0,2 (0,43%)",49.2,42.8,46.0,46.0,46.2,45.5,46.2,45.96,25.8,12.2,561.000
"November, 2015","44,9  0 (0%)",48.0,41.8,44.9,44.0,44.9,44.0,44.9,44.43,25.07,22.43,996.000
"December, 2015","43,6  -0,5 (-1,13%)",46.3,40.3,44.1,43.8,43.8,43.5,43.6,43.62,25.26,4.92,215.000
"January, 2016","40  0,4 (1,01%)",42.3,36.9,39.6,39.1,40.9,39.1,40.0,40.04,23.37,158.900,6.361.000
"February, 2016","43,4  1 (2,36%)",45.3,39.5,42.4,43.4,43.4,42.6,43.4,43.07,25.35,1.412.830,60.848.000
"March, 2016","44,5  -0,7 (-1,55%)",48.3,42.1,45.2,45.7,45.8,44.5,44.5,45.43,27.160000000000004,599.7,27.243.000
"April, 2016","46,5  0,6 (1,31%)",49.1,42.7,45.9,45.6,46.6,45.6,46.5,46.28,28.35,379.24,17.553.000
"May, 2016","52,5  2 (3,96%)",54.0,47.0,50.5,51.5,53.0,51.5,52.5,52.15,32.85,502.97,26.230.000
"June, 2016","39,4  0 (0%)",42.1,36.7,39.4,39.4,39.9,39.0,39.4,39.53,32.760000000000005,210.83,8.333.000
"July, 2016","39,5  0 (0%)",42.2,36.8,39.5,39.9,39.9,39.3,39.5,39.44,32.84,187.73,7.404.000
"August, 2016","38,6  0 (0%)",41.3,35.9,38.6,38.6,38.8,38.5,38.6,38.64,32.09,194.06,7.498.000
"September, 2016","42  0,7 (1,69%)",44.15,38.45,41.3,41.3,42.4,40.5,42.0,41.7,34.92,556.45,23.205.000
"October, 2016","35,3  -1,35 (-3,68%)",39.2,34.1,36.65,36.9,36.9,35.3,35.3,36.07,29.35,437.39,15.775.000
"November, 2016","31,3  0,2 (0,64%)",33.25,28.95,31.1,31.0,31.5,30.8,31.3,31.1,27.25,147.79,4.597.000
"December, 2016","32  1 (3,23%)",33.15,28.85,31.0,31.0,32.0,31.0,32.0,31.79,27.860000000000003,67.98,2.161.000
"January, 2017","30,45  0,05 (0,16%)",32.5,28.3,30.4,30.75,30.75,30.3,30.45,30.43,26.51,101.63,3.093.000
"February, 2017","31,25  -0,55 (-1,73%)",34.0,29.6,31.8,31.7,32.0,31.25,31.25,31.48,27.2,443.640,13.978.000
"March, 2017","31,25  -0,2 (-0,64%)",33.65,29.25,31.45,31.45,31.7,31.0,31.25,31.27,27.2,380.76,11.907.000
"April, 2017","28,2  -0,15 (-0,53%)",30.3,26.4,28.35,28.35,28.7,27.95,28.2,28.22,24.55,698.850,19.725.000
"May, 2017","29,2  -0,7 (-2,34%)",31.95,27.85,29.9,29.85,29.9,29.2,29.2,29.52,25.42,242.670,7.163.000
"June, 2017","32,05  -0,1 (-0,31%)",34.4,29.9,32.15,32.15,32.15,31.65,32.05,32.03,29.02,349.95,11.210.000
"July, 2017","26,85  -0,25 (-0,92%)",28.95,25.25,27.1,27.0,27.15,26.85,26.85,26.97,24.31,305.81,8.249.000
"August, 2017","24,65  -0,25 (-1%)",26.6,23.2,24.9,24.7,24.9,24.55,24.65,24.69,22.32,116.38,2.873.000
