Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","7,1  0,4 (5,97%)",71.0,63.0,67.0,67.0,71.0,67.0,71.0,69.6,39.7,1.009.680,7.025.000
"February, 2014","3,9  -0,1 (-2,5%)",42.0,38.0,4.0,39.0,4.0,38.0,39.0,38.9,22.0,116.03,451.519
"March, 2014","4,9  -0,2 (-3,92%)",54.0,48.0,51.0,51.0,54.0,48.0,49.0,49.5,29.0,220.64,1.091.176
"April, 2014","3,8  0,1 (2,7%)",39.0,35.0,37.0,38.0,38.0,37.0,38.0,37.1,22.5,27.64,102.611
"May, 2014","3,2  -0,2 (-5,88%)",36.0,32.0,34.0,33.0,33.0,32.0,32.0,32.1,17.9,190.54,612.0
"June, 2014","3,4  0,1 (3,03%)",35.0,31.0,33.0,34.0,34.0,32.0,34.0,33.0,19.0,79.32,262.0
"July, 2014","4,1  0,1 (2,5%)",42.0,38.0,4.0,41.0,41.0,4.0,41.0,40.3,22.9,82.57,333.0
"August, 2014","4,4  0,1 (2,33%)",46.0,4.0,43.0,43.0,45.0,42.0,44.0,43.8,24.6,163.25,715.000
"September, 2014","4,1  -0,1 (-2,38%)",44.0,4.0,42.0,42.0,42.0,4.0,41.0,40.9,22.9,167.22,684.000
"October, 2014","5,1  0,3 (6,25%)",51.0,45.0,48.0,48.0,51.0,48.0,51.0,49.8,28.5,211.51,1.053.000
"November, 2014","6,7  0,2 (3,08%)",69.0,61.0,65.0,64.0,69.0,62.0,67.0,64.6,37.5,1.307.420,8.449.000
"December, 2014","5,8  0,3 (5,45%)",58.0,52.0,55.0,55.0,58.0,53.0,58.0,57.0,32.4,337.65,1.923.000
"January, 2015","6  -0,1 (-1,64%)",65.0,57.0,61.0,62.0,62.0,59.0,6.0,60.1,33.6,134.9,811.000
"February, 2015","5,9  -0,2 (-3,28%)",65.0,57.0,61.0,61.0,61.0,59.0,59.0,59.5,33.0,84.36,502.0
"March, 2015","5,9  0,1 (1,72%)",62.0,54.0,58.0,58.0,59.0,56.0,59.0,57.7,33.0,406.3,2.446.000
"April, 2015","5,6  -0,1 (-1,75%)",6.0,54.0,57.0,57.0,57.0,55.0,56.0,55.1,31.3,50.35,278.000
"May, 2015","5,8  -0,2 (-3,33%)",64.0,56.0,6.0,58.0,6.0,57.0,58.0,57.9,32.4,44.64,258.000
"June, 2015","6,4  -0,2 (-3,03%)",7.0,62.0,66.0,66.0,66.0,64.0,64.0,64.7,35.8,155.38,1.016.000
"July, 2015","6,3  0,2 (3,28%)",65.0,57.0,61.0,61.0,63.0,6.0,63.0,62.4,35.2,23.97,150.000
"August, 2015","5,7  -0,1 (-1,72%)",62.0,54.0,58.0,57.0,58.0,57.0,57.0,57.1,33.5,8.24,47.000
"September, 2015",7  0 (0%),74.0,66.0,7.0,71.0,72.0,7.0,7.0,70.6,40.4,60.33,426.000
"October, 2015","8,1  0,1 (1,25%)",85.0,75.0,8.0,81.0,81.0,79.0,81.0,8.0,47.3,124.850,999.000
"November, 2015","10,9  -0,3 (-2,68%)",11.9,10.5,11.2,11.0,11.0,10.5,10.9,10.72,63.6,288.23,3.089.000
"December, 2015","20,2  1,2 (6,32%)",19.2,16.8,19.0,20.0,20.3,19.0,20.2,19.97,14.16,263.760,5.244.000
"January, 2016","26  1,5 (6,12%)",26.2,22.8,24.5,24.3,26.0,24.0,26.0,24.89,20.23,493.65,12.167.000
"February, 2016","32,5  0,5 (1,56%)",34.2,29.8,32.0,32.5,32.5,31.8,32.5,32.21,25.28,158.22,5.097.000
"March, 2016","31,5  -0,4 (-1,25%)",34.1,29.7,31.9,31.7,31.8,30.9,31.5,31.37,24.18,223.93,7.024.000
"April, 2016","45,3  0,9 (2,03%)",47.5,41.3,44.4,44.1,45.7,44.1,45.3,44.56,37.09,982.52,45.551.200
"May, 2016","44,8  -0,2 (-0,44%)",48.1,41.9,45.0,45.0,45.0,42.0,44.8,44.59,36.89,336.5,15.053.830
"June, 2016","60  -0,5 (-0,83%)",64.5,56.5,60.5,60.0,61.0,60.0,60.0,60.510000000000005,50.91,111.67,6.757.000
"July, 2016","53  -1 (-1,85%)",57.5,50.5,54.0,55.0,55.5,53.0,53.0,54.77,44.73,145.000,7.919.000
"August, 2016","18,5  1,2 (6,94%)",18.5,16.1,17.3,18.0,18.5,17.8,18.5,18.41,15.68,349.630,6.436.000
"September, 2016","22,7  -0,1 (-0,44%)",24.35,21.25,22.8,22.8,22.85,22.1,22.7,22.39,19.23,80.26,1.797.000
"October, 2016","19,1  -0,8 (-4,02%)",21.25,18.55,19.9,19.6,20.0,19.1,19.1,19.45,16.18,56.54,1.100.000
"November, 2016","25,5  0,2 (0,79%)",27.05,23.55,25.3,25.3,25.5,24.0,25.5,25.09,21.61,886.030,22.201.000
"December, 2016","26  0,95 (3,79%)",26.8,23.3,25.05,25.0,26.0,24.45,26.0,25.130000000000003,22.03,167.94,4.220.000
"January, 2017","25,4  -0,55 (-2,12%)",27.75,24.15,25.95,26.0,26.0,25.4,25.4,25.69,20.36,107.58,2.763.000
"February, 2017","24,5  0,2 (0,82%)",26.0,22.6,24.3,24.2,25.0,24.0,24.5,24.380000000000003,19.64,307.34,7.493.000
"March, 2017",25  0 (0%),26.75,23.25,25.0,24.6,25.0,24.55,25.0,24.75,20.04,275.870,6.828.000
"April, 2017","29,45  -0,25 (-0,84%)",31.75,27.65,29.7,29.65,29.9,29.0,29.45,29.5,23.61,824.540,24.323.000
"May, 2017","30,5  -0,35 (-1,13%)",33.0,28.7,30.85,30.75,31.5,30.0,30.5,30.73,24.45,1.253.290,38.531.200
"June, 2017","29,5  0,1 (0,34%)",31.45,27.35,29.4,29.5,29.8,29.5,29.5,29.65,23.65,561.460,16.909.000
