Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","8,6  0,4 (4,88%)",87.0,77.0,82.0,82.0,86.0,82.0,86.0,82.6,75.0,2.91,24.0
"February, 2014","10,8  0 (0%)",11.5,10.1,10.8,10.8,10.8,10.5,10.8,10.65,94.1,10.57,112.538
"March, 2014","10,2  0 (0%)",10.9,95.0,10.2,10.0,10.2,10.0,10.2,10.19,88.9,1.06,10.8
"April, 2014","9,9  0 (0%)",10.5,93.0,99.0,99.0,99.0,99.0,99.0,99.0,86.3,2.0,19.8
"May, 2014","9,7  -0,3 (-3%)",10.7,93.0,10.0,10.0,10.0,97.0,97.0,97.2,84.5,16.03,156.0
"June, 2014","9,6  -0,1 (-1,03%)",10.3,91.0,97.0,93.0,96.0,93.0,96.0,95.9,83.7,300.0,3.0
"July, 2014","9,7  0,1 (1,04%)",10.2,9.0,96.0,97.0,97.0,97.0,97.0,97.0,84.5,10.0,2.0
"August, 2014","9,4  0 (0%)",10.0,88.0,94.0,92.0,94.0,92.0,94.0,93.4,81.9,400.0,4.0
"September, 2014","9,2  0 (0%)",98.0,86.0,92.0,91.0,92.0,91.0,92.0,91.5,80.2,10.0,92.0
"October, 2014","9  0,5 (5,88%)",9.0,8.0,85.0,85.0,9.0,83.0,9.0,83.7,78.4,30.21,253.0
"November, 2014","8,2  0 (0%)",87.0,77.0,82.0,82.0,82.0,82.0,82.0,82.0,71.5,100.0,1.0
"December, 2014","9,3  0 (0%)",99.0,87.0,93.0,93.0,93.0,93.0,93.0,93.0,81.1,1.0,9.0
"January, 2015",9  0 (0%),96.0,84.0,9.0,9.0,9.0,9.0,9.0,9.0,78.4,120.0,1.0
"February, 2015","9,3  0 (0%)",99.0,87.0,93.0,0.0,0.0,0.0,93.0,0.0,81.1,200.0,2.0
"March, 2015","9,2  0 (0%)",98.0,86.0,92.0,0.0,0.0,0.0,92.0,0.0,80.2,200.0,2.0
"April, 2015","9,5  0,5 (5,56%)",96.0,84.0,9.0,94.0,95.0,94.0,95.0,94.7,82.8,19.0,180.0
"May, 2015","9,6  0 (0%)",10.2,9.0,96.0,0.0,0.0,0.0,96.0,0.0,83.7,6.0,58.0
"June, 2015",9  0 (0%),96.0,84.0,9.0,9.0,9.0,9.0,9.0,9.0,78.4,790.0,7.0
"July, 2015","8,8  -0,2 (-2,22%)",96.0,84.0,9.0,9.0,9.0,88.0,88.0,89.5,76.7,1.32,12.0
"August, 2015","9,1  0 (0%)",97.0,85.0,91.0,91.0,91.0,91.0,91.0,91.0,81.1,2.0,18.0
"September, 2015","8,5  -0,5 (-5,56%)",96.0,84.0,9.0,89.0,89.0,85.0,85.0,85.8,75.8,27.5,236.0
"October, 2015",8  0 (0%),85.0,75.0,8.0,85.0,85.0,8.0,8.0,81.8,71.3,140.0,1.0
"November, 2015","6,4  0 (0%)",68.0,6.0,64.0,0.0,0.0,0.0,64.0,0.0,57.1,500.0,3.0
"December, 2015","8,2  0 (0%)",87.0,77.0,82.0,82.0,82.0,82.0,82.0,82.0,75.2,105.0,861.0
"January, 2016",9  0 (0%),96.0,84.0,9.0,91.0,91.0,9.0,9.0,90.5,86.5,5.5,50.0
"February, 2016","9,1  0 (0%)",97.0,85.0,91.0,0.0,0.0,0.0,91.0,0.0,87.4,6.0,56.0
"March, 2016","9,9  0,2 (2,06%)",10.3,91.0,97.0,99.0,99.0,99.0,99.0,99.0,95.1,2.0,20.0
"April, 2016","10,2  0,4 (4,08%)",10.4,92.0,98.0,10.2,10.2,10.2,10.2,10.2,95.3,28.0,286.0
"May, 2016","11,2  0 (0%)",11.9,10.5,11.2,0.0,0.0,0.0,11.2,0.0,10.19,30.0,63.0
"June, 2016","14,2  0 (0%)",15.1,13.3,14.2,14.2,14.2,14.2,14.2,14.2,13.76,50.0,1.0
"July, 2016",20  0 (0%),21.4,18.6,20.0,19.8,20.0,19.8,20.0,20.0,19.380000000000003,16.0,320.0
"August, 2016","16,2  0 (0%)",17.3,15.1,16.2,16.2,16.2,16.2,16.2,16.2,15.69,860.0,14.0
"September, 2016","26,5  1 (3,92%)",27.25,23.75,25.5,26.5,26.5,26.5,26.5,26.5,25.67,20.0,1.0
"October, 2016","25,2  0,2 (0,8%)",26.75,23.25,25.0,25.2,25.2,25.2,25.2,25.2,24.41,5.0,126.0
"November, 2016","29,6  -0,6 (-1,99%)",32.3,28.1,30.2,29.6,29.6,29.6,29.6,29.6,28.68,3.0,89.0
"December, 2016","30,6  2 (6,99%)",30.6,26.6,28.6,28.7,30.6,28.7,30.6,29.410000000000004,29.64,6.11,180.0
"January, 2017",26  0 (0%),27.8,24.2,26.0,26.0,26.0,26.0,26.0,26.0,25.19,1.0,26.000
"February, 2017","28  0,2 (0,72%)",29.7,25.9,27.8,28.0,28.0,28.0,28.0,28.0,27.130000000000003,1.0,28.0
"March, 2017","28,2  0 (0%)",30.15,26.25,28.2,28.2,28.2,28.2,28.2,28.2,27.32,1.1,31.0
"April, 2017",29  0 (0%),31.0,27.0,29.0,29.0,29.0,29.0,29.0,29.0,28.09,5.0,145.0
"May, 2017","26,5  0,5 (1,92%)",27.8,24.2,26.0,26.5,26.5,26.5,26.5,26.5,25.67,10.0,265.0
"June, 2017","24  -1,65 (-6,43%)",27.4,23.9,25.65,26.45,26.45,23.95,24.0,23.94,23.25,3.55,85.0
"July, 2017","18  -0,6 (-3,23%)",19.9,17.3,18.6,17.55,18.4,17.55,18.0,18.21,17.44,7.25,132.0
"August, 2017","26  1,4 (5,69%)",26.3,22.9,24.6,22.9,26.0,22.9,26.0,25.47,25.19,3.22,82.000
"September, 2017","31,9  0,9 (2,9%)",33.15,28.85,31.0,31.2,31.9,31.0,31.9,31.28,30.9,28.55,893.0
"October, 2017","36,4  0,2 (0,55%)",38.7,33.7,36.2,36.4,36.4,36.4,36.4,36.4,35.260000000000005,5.0,182.0
"November, 2017","38,2  0,2 (0,53%)",40.65,35.35,38.0,38.2,38.2,38.2,38.2,38.61,37.010000000000005,1.01,39.0
"December, 2017","45  2,7 (6,38%)",45.25,39.35,42.3,45.0,45.0,45.0,45.0,45.33,43.59,1.5,68.0
"January, 2018","48  0,3 (0,63%)",51.0,44.4,47.7,47.7,48.0,47.7,48.0,47.86,46.62,5.6,268.0
"February, 2018","51,5  0 (0%)",55.1,47.9,51.5,0.0,0.0,0.0,51.5,0.0,50.25,500.0,26.0
"March, 2018","55,1  0 (0%)",58.9,51.3,55.1,0.0,0.0,0.0,55.1,0.0,53.82000000000001,400.0,22.0
"April, 2018",49  0 (0%),52.4,45.6,49.0,0.0,0.0,0.0,49.0,0.0,47.93,800.0,39.0
"May, 2018","48  -0,5 (-1,03%)",51.8,45.15,48.5,48.0,48.0,48.0,48.0,48.0,47.14,1.0,48.0
"June, 2018","48,3  0 (0%)",51.6,44.95,48.3,0.0,0.0,0.0,48.3,0.0,47.61,20.0,1.0
"July, 2018",42  0 (0%),44.9,39.1,42.0,0.0,0.0,0.0,42.0,0.0,41.53,1.0,42.0
"August, 2018","42,9  0 (0%)",45.9,39.9,42.9,42.9,42.9,42.9,42.9,43.0,42.42,1.0,43.0
"September, 2018","47  0,5 (1,08%)",49.75,43.25,46.5,46.5,47.0,46.45,47.0,46.59,46.47,1.76,82.0
"October, 2018","46,8  0 (0%)",50.0,43.55,46.8,0.0,0.0,0.0,46.8,0.0,46.49,290.0,14.0
"November, 2018","40,3  0 (0%)",43.1,37.5,40.3,0.0,0.0,0.0,40.3,0.0,40.08,860.0,35.0
"December, 2018","40,2  0 (0%)",43.0,37.4,40.2,0.0,0.0,0.0,40.2,0.0,39.98,950.0,38.0
"January, 2019","36,6  0,5 (1,39%)",38.6,33.6,36.1,36.6,36.6,36.6,36.6,36.0,36.4,250.0,9.0
"February, 2019","39,35  0 (0%)",42.1,36.6,39.35,39.35,39.35,39.35,39.35,40.0,39.13,450.0,18.0
"March, 2019",41  0 (0%),43.85,38.15,41.0,0.0,0.0,0.0,41.0,0.0,40.78,630.0,25.0
"April, 2019",41  0 (0%),43.85,38.15,41.0,0.0,0.0,0.0,41.0,0.0,40.78,10.0,255.0
"May, 2019","28,5  -2,1 (-6,86%)",32.7,28.5,30.6,30.65,32.7,28.5,28.5,29.27,28.34,410.0,12.0
"June, 2019","29,35  0 (0%)",31.4,27.3,29.35,0.0,0.0,0.0,29.35,0.0,29.19,10.0,294.0
"July, 2019","25,65  0 (0%)",27.4,23.9,25.65,0.0,0.0,0.0,25.65,0.0,25.51,20.0,496.0
"August, 2019","27,05  0,1 (0,37%)",28.8,25.1,26.95,27.2,27.2,25.1,27.05,28.57,26.9,70.0,2.0
"September, 2019","25,65  -0,35 (-1,35%)",27.8,24.2,26.0,25.65,25.65,25.65,25.65,25.65,25.51,10.0,257.0
