Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","9,5  0 (0%)",10.1,89.0,95.0,95.0,95.0,95.0,95.0,95.0,28.3,1.0,10.0
"February, 2014","5,5  0 (0%)",58.0,52.0,55.0,55.0,55.0,55.0,55.0,55.0,16.4,1.5,8.25
"March, 2014","6,9  0 (0%)",73.0,65.0,69.0,0.0,0.0,0.0,69.0,0.0,20.5,1.0,6.9
"April, 2014","6,5  0 (0%)",69.0,61.0,65.0,0.0,0.0,0.0,65.0,0.0,19.4,30.0,195.0
"May, 2014","6,3  0 (0%)",67.0,59.0,63.0,0.0,0.0,0.0,63.0,0.0,18.8,190.0,1.197
"June, 2014",6  0 (0%),64.0,56.0,6.0,0.0,0.0,0.0,6.0,0.0,17.9,20.0,3.0
"July, 2014","5,9  0 (0%)",63.0,55.0,59.0,0.0,0.0,0.0,59.0,0.0,17.6,3.45,20.0
"August, 2014","5,5  -0,3 (-5,17%)",62.0,54.0,58.0,55.0,55.0,55.0,55.0,55.0,16.4,5.0,28.0
"September, 2014","7,4  0 (0%)",79.0,69.0,74.0,0.0,0.0,0.0,74.0,0.0,22.0,10.0,13.0
"October, 2014","10,5  0 (0%)",11.2,98.0,10.5,0.0,0.0,0.0,10.5,0.0,31.3,1.2,13.0
"November, 2014","9,5  0 (0%)",10.1,89.0,95.0,0.0,0.0,0.0,95.0,0.0,28.3,820.0,8.0
"December, 2014","10,5  0,5 (5%)",10.7,93.0,10.0,10.5,10.5,10.5,10.5,10.5,31.3,1.88,20.0
"January, 2015","11,5  0 (0%)",12.3,10.7,11.5,0.0,0.0,0.0,11.5,0.0,34.2,10.0,81.0
"February, 2015","10,4  0 (0%)",11.1,97.0,10.4,0.0,0.0,0.0,10.4,0.0,31.0,20.0,2.0
"March, 2015","9,1  0,5 (5,81%)",92.0,8.0,86.0,91.0,91.0,91.0,91.0,91.0,27.1,10.0,3.0
"April, 2015","8  -0,5 (-5,88%)",9.0,8.0,85.0,8.0,8.0,8.0,8.0,8.0,23.8,170.0,1.0
"May, 2015","7,4  0 (0%)",79.0,69.0,74.0,74.0,74.0,74.0,74.0,74.0,22.0,1.11,8.0
"June, 2015",7  0 (0%),74.0,66.0,7.0,0.0,0.0,0.0,7.0,0.0,20.8,500.0,4.0
"July, 2015","9,5  0 (0%)",10.1,89.0,95.0,0.0,0.0,0.0,95.0,0.0,28.3,10.0,4.0
"August, 2015","7,8  -0,4 (-4,88%)",87.0,77.0,82.0,78.0,78.0,78.0,78.0,78.0,21.6,2.98,23.0
"September, 2015","6,8  -0,5 (-6,85%)",78.0,68.0,73.0,68.0,68.0,68.0,68.0,68.0,31.4,370.0,3.0
"October, 2015","6,5  0 (0%)",69.0,61.0,65.0,0.0,0.0,0.0,65.0,0.0,3.0,1.1,7.0
"November, 2015","7,2  0 (0%)",77.0,67.0,72.0,0.0,0.0,0.0,72.0,0.0,33.3,10.0,2.0
"December, 2015","12,6  0,7 (5,88%)",12.7,11.1,11.9,12.6,12.6,12.6,12.6,12.6,68.5,10.0,12.0
"January, 2016","9,3  -0,7 (-7%)",10.7,93.0,10.0,93.0,93.0,93.0,93.0,93.0,50.6,10.0,5.0
"February, 2016","7,7  0,5 (6,94%)",77.0,67.0,72.0,0.0,77.0,67.0,77.0,76.2,41.9,210.0,2.0
"March, 2016","7,7  0 (0%)",82.0,72.0,77.0,77.0,77.0,77.0,77.0,77.0,44.8,20,62.0
"April, 2016","11,7  0,3 (2,63%)",12.1,10.7,11.4,11.7,11.7,11.7,11.7,11.7,71.9,30.0,45.0
"May, 2016","11,9  0,7 (6,25%)",11.9,10.5,11.2,11.1,11.9,11.1,11.9,11.37,76.2,30.0,10.0
"June, 2016","8,4  -0,4 (-4,55%)",94.0,82.0,88.0,84.0,92.0,84.0,84.0,84.8,50.2,100.0,1.0
"July, 2016","9,3  0 (0%)",99.0,87.0,93.0,93.0,93.0,93.0,93.0,93.0,53.0,6.28,58.0
"August, 2016","8,9  0,1 (1,14%)",94.0,82.0,88.0,89.0,89.0,89.0,89.0,89.0,50.7,70.0,1.0
"September, 2016",10  0 (0%),10.7,93.0,10.0,0.0,0.0,0.0,10.0,0.0,58.0,1.38,14.0
"October, 2016","10,1  0,1 (1%)",10.7,93.0,10.0,10.0,10.1,10.0,10.1,10.01,59.0,1.11,11.0
"November, 2016","9,4  0 (0%)",10.05,87.5,94.0,0.0,0.0,0.0,94.0,0.0,54.9,50.0,1.0
"December, 2016","9,63  0 (0%)",10.3,89.6,96.3,89.6,96.3,89.6,96.3,93.0,56.8,20.0,18.0
"January, 2017","7,35  -0,52 (-6,61%)",84.2,73.2,78.7,73.5,73.5,73.5,73.5,73.5,43.4,10.0,6.0
"February, 2017","8,6  0 (0%)",92.0,8.0,86.0,86.0,86.0,86.0,86.0,86.0,50.7,15.03,129.0
"March, 2017",10  0 (0%),10.7,93.0,10.0,10.0,10.0,10.0,10.0,10.0,59.5,210.0,2.0
"April, 2017","10,9  0 (0%)",11.65,10.15,10.9,0.0,0.0,0.0,10.9,0.0,64.9,10.0,109.0
"May, 2017","9,63  0,63 (7%)",96.3,83.7,9.0,96.3,96.3,96.3,96.3,8.0,57.7,250.0,2.0
"June, 2017","10,5  0 (0%)",11.2,97.7,10.5,10.5,10.5,10.5,10.5,10.78,80.1,1.02,11.0
"July, 2017",11  0 (0%),11.75,10.25,11.0,0.0,0.0,0.0,11.0,0.0,84.9,980.0,11.0
"August, 2017","9,3  -0,7 (-7%)",10.7,93.0,10.0,93.0,93.0,93.0,93.0,93.0,73.5,10.0,93.0
"September, 2017","11,95  0,45 (3,91%)",12.3,10.7,11.5,10.7,11.95,10.7,11.95,90.9,95.5,110.0,1.0
"October, 2017",12  0 (0%),12.8,11.2,12.0,0.0,0.0,0.0,12.0,0.0,95.9,500.0,6.0
"November, 2017",12  0 (0%),12.8,11.2,12.0,0.0,0.0,0.0,12.0,0.0,95.9,300.0,4.0
"December, 2017",12  0 (0%),12.8,11.2,12.0,11.2,12.0,11.2,12.0,11.99,95.9,18.01,216.0
"January, 2018","10,5  0,05 (0,48%)",11.15,97.2,10.45,10.45,10.5,97.4,10.5,10.23,84.7,30.0,307.0
"February, 2018",11  0 (0%),11.75,10.25,11.0,0.0,0.0,0.0,11.0,0.0,89.8,120.0,1.0
"March, 2018","11,5  0 (0%)",12.3,10.7,11.5,0.0,0.0,0.0,11.5,0.0,94.1,10.0,115.0
"April, 2018","10,95  0 (0%)",11.7,10.2,10.95,0.0,0.0,0.0,10.95,0.0,89.7,10.0,110.0
"May, 2018","11,7  0 (0%)",12.5,10.9,11.7,0.0,0.0,0.0,11.7,0.0,96.0,40.0,468.0
"June, 2018","17,7  1,1 (6,63%)",17.75,15.45,16.6,15.45,17.7,15.45,17.7,25.0,15.169999999999998,40.0,1.0
"July, 2018","13,25  0 (0%)",14.15,12.35,13.25,0.0,0.0,0.0,13.25,0.0,11.36,10.0,133.0
"August, 2018","10,25  -0,75 (-6,82%)",11.75,10.25,11.0,10.25,10.25,10.25,10.25,10.32,88.4,5.33,55.0
"September, 2018","11,65  -0,85 (-6,8%)",13.35,11.65,12.5,12.5,12.5,11.65,11.65,11.76,10.06,510.0,6.0
"October, 2018","10,5  0 (0%)",11.2,97.7,10.5,0.0,0.0,0.0,10.5,0.0,92.6,50.0,1.0
"November, 2018","9,58  0 (0%)",10.25,89.1,95.8,95.8,95.8,95.8,95.8,10.53,85.8,190.0,2.0
"December, 2018","8,89  0,58 (6,98%)",88.9,77.3,83.1,83.1,88.9,83.1,88.9,10.53,79.9,190.0,2.0
"January, 2019","11,75  0,7 (6,33%)",11.8,10.3,11.05,10.3,11.75,10.3,11.75,87.0,10.57,230.0,2.0
"February, 2019","10,85  0 (0%)",11.6,10.1,10.85,0.0,0.0,0.0,10.85,0.0,97.9,10.0,109.0
"March, 2019","10,05  0 (0%)",10.75,93.5,10.05,0.0,0.0,0.0,10.05,0.0,91.1,310.0,3.0
