Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","4,7  0 (0%)",5.0,44.0,47.0,48.0,48.0,47.0,47.0,47.0,42.3,360.0,2.0
"February, 2014","4,7  -0,3 (-6%)",53.0,47.0,5.0,48.0,52.0,47.0,47.0,47.4,48.5,49.89,236.695
"March, 2014","5,8  0 (0%)",62.0,54.0,58.0,57.0,59.0,56.0,58.0,57.1,59.9,45.43,259.487
"April, 2014","4,9  -0,2 (-3,92%)",54.0,48.0,51.0,51.0,51.0,48.0,49.0,48.2,50.6,10.05,48.451
"May, 2014","4,6  0 (0%)",49.0,43.0,46.0,46.0,46.0,44.0,46.0,44.5,44.3,6.77,30.0
"June, 2014","4,5  0,1 (2,27%)",47.0,41.0,44.0,44.0,45.0,44.0,45.0,44.3,40.5,37.68,167.0
"July, 2014","4,5  0,1 (2,27%)",47.0,41.0,44.0,44.0,45.0,44.0,45.0,44.9,40.5,44.35,199.0
"August, 2014","4,5  0 (0%)",48.0,42.0,45.0,45.0,47.0,45.0,45.0,45.6,40.5,28.53,130.0
"September, 2014","4,7  0,1 (2,17%)",49.0,43.0,46.0,46.0,47.0,46.0,47.0,46.0,42.3,1.53,7.0
"October, 2014","4,9  0,3 (6,52%)",49.0,43.0,46.0,47.0,49.0,47.0,49.0,47.4,44.1,1.25,6.0
"November, 2014","4,7  0,1 (2,17%)",49.0,43.0,46.0,45.0,47.0,45.0,47.0,45.7,42.3,7.27,33.0
"December, 2014","4,9  0,3 (6,52%)",49.0,43.0,46.0,47.0,49.0,46.0,49.0,46.4,44.1,7.08,33.0
"January, 2015","4,8  -0,1 (-2,04%)",52.0,46.0,49.0,48.0,48.0,46.0,48.0,46.2,43.2,4.39,20.0
"February, 2015","4,6  0 (0%)",49.0,43.0,46.0,46.0,47.0,46.0,46.0,46.3,41.4,29.52,137.0
"March, 2015","4,5  -0,1 (-2,17%)",49.0,43.0,46.0,45.0,45.0,45.0,45.0,45.0,40.5,3.0,14.0
"April, 2015","4,6  0,1 (2,22%)",48.0,42.0,45.0,46.0,46.0,46.0,46.0,46.0,41.4,20.0,17.0
"May, 2015","4,4  -0,1 (-2,22%)",48.0,42.0,45.0,43.0,45.0,43.0,44.0,43.1,39.6,1.06,5.0
"June, 2015","4,2  0 (0%)",44.0,4.0,42.0,42.0,42.0,42.0,42.0,42.0,37.8,530.0,2.0
"July, 2015","4,4  0,2 (4,76%)",44.0,4.0,42.0,44.0,44.0,44.0,44.0,44.0,39.6,10.0,4.0
"August, 2015","4,4  0,1 (2,33%)",46.0,4.0,43.0,44.0,44.0,44.0,44.0,44.0,40.5,10.0,5.0
"September, 2015","4,2  -0,2 (-4,55%)",47.0,41.0,44.0,42.0,42.0,42.0,42.0,42.0,38.7,770.0,3.0
"October, 2015","4,1  0 (0%)",43.0,39.0,41.0,41.0,41.0,41.0,41.0,41.0,39.6,550.0,2.0
"November, 2015","4  -0,1 (-2,44%)",43.0,39.0,41.0,39.0,4.0,39.0,4.0,39.3,38.6,30.0,18.0
"December, 2015","3,9  -0,2 (-4,88%)",43.0,39.0,41.0,39.0,39.0,39.0,39.0,39.0,37.6,10.0,4.0
"January, 2016","4,3  0 (0%)",46.0,4.0,43.0,43.0,43.0,43.0,43.0,43.0,39.5,2.0,9.0
"February, 2016","4,1  0,1 (2,5%)",42.0,38.0,4.0,41.0,41.0,41.0,41.0,41.0,37.7,20.0,1.0
"March, 2016",4  0 (0%),42.0,38.0,4.0,0.0,0.0,0.0,4.0,0.0,37.7,14.97,57.0
"April, 2016","4,2  0,1 (2,44%)",43.0,39.0,41.0,4.0,42.0,4.0,42.0,40.8,42.8,830.0,3.0
"May, 2016","4  -0,2 (-4,76%)",44.0,4.0,42.0,4.0,41.0,4.0,4.0,4.0,40.7,7.43,30.0
"June, 2016","4,5  0,1 (2,27%)",47.0,41.0,44.0,47.0,47.0,45.0,45.0,45.0,44.7,30.01,135.0
"July, 2016","4,6  0 (0%)",49.0,43.0,46.0,45.0,46.0,45.0,46.0,45.0,46.7,27.52,124.0
"August, 2016","4,9  -0,1 (-2%)",53.0,47.0,5.0,5.0,5.0,49.0,49.0,49.1,49.7,10.51,52.0
"September, 2016","4,85  0,06 (1,25%)",51.2,44.6,47.9,47.5,48.5,47.0,48.5,47.6,49.2,18.03,86.0
"October, 2016","5,28  0 (0%)",56.4,49.2,52.8,0.0,0.0,0.0,52.8,0.0,53.6,5.3,27.0
"November, 2016","5  0,05 (1,01%)",52.9,46.1,49.5,49.3,51.0,49.3,5.0,50.8,50.8,350.0,2.0
"December, 2016","5  0,02 (0,4%)",53.2,46.4,49.8,5.0,5.0,5.0,5.0,5.0,50.8,60.0,32.0
"January, 2017","4,75  0 (0%)",50.8,44.2,47.5,0.0,0.0,0.0,47.5,0.0,47.0,10.75,48.0
"February, 2017","4,78  0,28 (6,22%)",48.1,41.9,45.0,47.5,48.1,44.5,47.8,47.8,47.3,5.15,25.0
"March, 2017","4,9  -0,3 (-5,77%)",55.6,48.4,52.0,48.4,5.0,48.4,49.0,48.4,48.4,11.14,54.0
"April, 2017","4,39  0,18 (4,28%)",45.0,39.2,42.1,43.9,43.9,43.9,43.9,43.9,43.4,10.0,44.0
"May, 2017","4,5  0,19 (4,41%)",46.1,40.1,43.1,45.0,45.0,45.0,45.0,66.7,44.5,150.0,1.0
"June, 2017","4,22  0 (0%)",45.1,39.3,42.2,42.2,42.2,42.2,42.2,42.2,41.7,60.0,253.0
"July, 2017","4,55  0 (0%)",48.6,42.4,45.5,43.9,45.5,43.9,45.5,44.1,45.0,19.04,84.0
"August, 2017","4,64  0,14 (3,11%)",48.1,41.9,45.0,43.3,46.4,43.3,46.4,44.9,45.9,20.0,90.0
"September, 2017",5  0 (0%),53.5,46.5,5.0,0.0,0.0,0.0,5.0,0.0,49.4,430.0,2.0
"October, 2017","4,65  -0,35 (-7%)",53.5,46.5,5.0,46.5,46.5,46.5,46.5,49.2,46.0,610.0,3.0
"November, 2017","4,4  -0,18 (-3,93%)",49.0,42.6,45.8,44.0,44.0,44.0,44.0,44.0,43.5,50.0,220.0
"December, 2017","4,4  0,28 (6,8%)",44.0,38.4,41.2,40.1,44.0,40.1,44.0,42.4,43.5,3.77,16.0
"January, 2018","4,89  0 (0%)",52.3,45.5,48.9,45.5,48.9,45.5,48.9,41.7,48.3,1.2,5.0
"February, 2018","4,59  0,16 (3,61%)",47.4,41.2,44.3,46.0,46.0,41.2,45.9,44.4,45.4,30.0,133.0
"March, 2018","3,89  0,25 (6,87%)",38.9,33.9,36.4,38.9,38.9,37.1,38.9,31.7,38.5,630.0,2.0
"April, 2018","3,99  -0,01 (-0,25%)",42.8,37.2,4.0,42.0,42.0,37.7,39.9,27.8,39.4,360.0,1.0
"May, 2018","3,89  0 (0%)",41.6,36.2,38.9,0.0,0.0,0.0,38.9,0.0,38.5,10.0,39.0
"June, 2018","3,6  -0,22 (-5,76%)",40.8,35.6,38.2,36.0,36.0,36.0,36.0,36.0,35.6,5.0,18.0
"July, 2018","3,65  -0,1 (-2,67%)",40.1,34.9,37.5,36.5,37.0,36.5,36.5,36.7,36.1,130.0,478.0
"August, 2018","3,99  0 (0%)",42.6,37.2,39.9,0.0,0.0,0.0,39.9,0.0,39.4,50.0,194.0
"September, 2018","3,65  -0,2 (-5,19%)",41.1,35.9,38.5,36.5,36.5,36.5,36.5,36.6,36.1,3.83,14.0
"October, 2018","3,85  0 (0%)",41.1,35.9,38.5,0.0,0.0,0.0,38.5,0.0,38.1,30.0,116.0
"November, 2018","3,74  0,24 (6,86%)",37.4,32.6,35.0,37.4,37.4,37.4,37.4,37.4,37.0,10.0,37.0
"December, 2018","3,6  0 (0%)",38.5,33.5,36.0,36.0,36.0,36.0,36.0,30.8,35.6,650.0,2.0
"January, 2019","3,68  0 (0%)",39.3,34.3,36.8,0.0,0.0,0.0,36.8,0.0,36.4,110.0,405.0
"February, 2019","3,65  0,05 (1,39%)",38.5,33.5,36.0,36.5,36.5,36.5,36.5,36.5,36.1,10.0,37.0
"March, 2019","3,5  -0,05 (-1,41%)",37.9,33.1,35.5,35.0,35.0,35.0,35.0,4.0,34.6,1.0,4.0
"April, 2019","3,5  0 (0%)",37.4,32.6,35.0,0.0,0.0,0.0,35.0,0.0,34.6,1.91,6.0
"May, 2019","3,17  0 (0%)",33.9,29.5,31.7,0.0,0.0,0.0,31.7,0.0,31.3,460.0,1.0
"June, 2019","2,69  -0,15 (-5,28%)",30.3,26.5,28.4,28.4,28.4,26.9,26.9,27.6,26.6,20.0,55.0
"July, 2019","2,7  -0,2 (-6,9%)",31.0,27.0,29.0,28.5,28.5,27.0,27.0,27.3,26.7,2.2,6.0
"August, 2019","2,99  -0,05 (-1,64%)",32.5,28.3,30.4,28.3,29.9,28.3,29.9,29.9,29.6,3.01,9.0
"September, 2019","3,4  0,15 (4,62%)",34.7,30.3,32.5,34.0,34.7,30.5,34.0,39.2,33.6,510.0,2.0
"October, 2019","3,53  0,23 (6,97%)",35.3,30.7,33.0,35.0,35.3,35.0,35.3,35.4,34.9,4.8,17.0
"November, 2019","4,1  0,2 (5,13%)",41.7,36.3,39.0,4.0,41.0,39.1,41.0,40.6,40.5,5.67,23.0
"December, 2019","3,26  -0,24 (-6,86%)",37.4,32.6,35.0,37.4,37.4,32.6,32.6,33.5,32.2,32.84,110.0
"January, 2020","3,07  -0,23 (-6,97%)",35.3,30.7,33.0,31.0,31.0,30.7,30.7,32.0,30.7,2.5,8.0
"February, 2020","3,04  0,19 (6,67%)",30.4,26.6,28.5,27.0,30.4,27.0,30.4,28.7,30.4,20.0,57.0
"March, 2020","2,88  0,18 (6,67%)",28.8,25.2,27.0,25.3,28.8,25.3,28.8,31.0,28.8,2.26,7.0
"April, 2020","2,56  0,16 (6,67%)",25.6,22.4,24.0,25.6,25.6,22.6,25.6,27.6,25.6,2.17,6.0
"May, 2020","2,29  -0,09 (-3,78%)",25.4,22.2,23.8,23.8,23.8,22.2,22.9,22.1,22.9,9.96,22.0
"June, 2020","2,45  0,11 (4,7%)",25.0,21.8,23.4,23.0,25.0,22.6,24.5,22.8,0.0,15.34,35.0
"July, 2020","2,3  -0,01 (-0,43%)",24.7,21.5,23.1,23.0,24.0,23.0,23.0,23.1,0.0,4.33,10.0
"August, 2020","3,68  0,24 (6,98%)",36.8,32.0,34.4,36.8,36.8,35.0,36.8,36.5,0.0,48.71,178.0
"September, 2020","3,8  0 (0%)",40.6,35.4,38.0,36.0,38.0,35.4,38.0,34.5,0.0,4.06,14.0
"October, 2020","3,65  0,15 (4,29%)",37.4,32.6,35.0,36.4,36.5,36.4,36.5,29.9,0.0,670.0,2.0
"November, 2020","3,5  0 (0%)",37.4,32.6,35.0,35.0,35.0,35.0,35.0,35.0,0.0,30.0,105.0
"December, 2020","3,7  0,1 (2,78%)",38.5,33.5,36.0,37.0,37.0,35.0,37.0,35.5,0.0,8.16,29.0
"January, 2021","4  0,08 (2,04%)",41.9,36.5,39.2,41.8,41.9,4.0,4.0,42.0,0.0,11.2,47.0
"February, 2021","4,3  0 (0%)",46.0,4.0,43.0,40.2,43.0,40.2,43.0,43.2,0.0,4.4,19.0
"March, 2021","4,69  0 (0%)",50.1,43.7,46.9,46.9,46.9,46.9,46.9,5.0,0.0,1.0,5.0
"April, 2021","4,5  -0,12 (-2,6%)",49.4,43.0,46.2,46.2,47.0,43.0,45.0,46.1,0.0,16.7,77.0
"May, 2021","4,75  -0,1 (-2,06%)",51.8,45.2,48.5,49.9,49.9,46.0,47.5,46.8,0.0,4.7,22.0
"June, 2021","4,5  -0,2 (-4,26%)",50.2,43.8,47.0,48.0,48.0,45.0,45.0,47.4,0.0,11.6,55.0
"July, 2021","3,85  -0,15 (-3,75%)",42.8,37.2,4.0,4.0,4.0,38.5,38.5,37.9,0.0,2.9,11.0
"August, 2021","4,16  0,06 (1,46%)",43.8,38.2,41.0,41.0,41.9,38.2,41.6,38.3,0.0,74.6,286.0
"September, 2021","4,97  0,27 (5,74%)",50.2,43.8,47.0,48.0,49.8,47.1,49.7,48.5,0.0,23.7,115.0
"October, 2021","7,9  0,51 (6,9%)",79.0,68.8,73.9,79.0,79.0,7.0,79.0,78.2,0.0,185.5,1.450.000
"November, 2021","7,7  0,1 (1,32%)",81.3,70.7,76.0,76.3,79.0,76.0,77.0,77.3,0.0,33.0,255.000
"December, 2021","8,4  0,36 (4,48%)",86.0,74.8,80.4,86.0,86.0,82.0,84.0,85.1,0.0,326.5,2.780.000
