Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","9,7  0,2 (2,11%)",10.1,89.0,95.0,95.0,97.0,95.0,97.0,96.6,97.0,50.0,
"February, 2014","9,5  -0,2 (-2,06%)",10.3,91.0,97.0,96.0,96.0,95.0,95.0,95.5,95.0,1.25,12.0
"March, 2014","9,6  0,1 (1,05%)",10.1,89.0,95.0,96.0,96.0,95.0,96.0,95.5,96.0,10.36,99.0
"April, 2014","9,7  0,1 (1,04%)",10.2,9.0,96.0,96.0,97.0,96.0,97.0,96.2,97.0,1.91,18.0
"May, 2014","9,7  0 (0%)",10.3,91.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,44.64,433.0
"June, 2014","9,8  -0,2 (-2%)",10.7,93.0,10.0,99.0,10.0,98.0,98.0,99.2,98.0,528.8,5.245.000
"July, 2014","9,8  0 (0%)",10.4,92.0,98.0,98.0,10.0,98.0,98.0,98.2,98.0,20.83,204.000
"August, 2014","9,6  -0,1 (-1,03%)",10.3,91.0,97.0,95.0,97.0,95.0,96.0,95.6,96.0,2.96,28.0
"September, 2014","9,4  -0,2 (-2,08%)",10.2,9.0,96.0,96.0,96.0,94.0,94.0,94.6,94.0,10.55,100.0
"October, 2014","9,9  0,2 (2,06%)",10.3,91.0,97.0,97.0,99.0,96.0,99.0,99.0,99.0,523.96,5.186.000
"November, 2014","9,5  0 (0%)",10.1,89.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,1.31,12.0
"December, 2014","9,4  0,1 (1,08%)",99.0,87.0,93.0,93.0,94.0,91.0,94.0,93.2,94.0,4.09,38.000
"January, 2015","9,5  0 (0%)",10.1,89.0,95.0,94.0,95.0,94.0,95.0,94.0,95.0,50.8,478.0
"February, 2015","9,5  0 (0%)",10.1,89.0,95.0,96.0,96.0,95.0,95.0,95.0,95.0,63.17,600.000
"March, 2015","9,2  0,2 (2,22%)",96.0,84.0,9.0,9.0,92.0,9.0,92.0,90.1,92.0,3.15,28.0
"April, 2015","9,1  0 (0%)",97.0,85.0,91.0,91.0,93.0,91.0,91.0,92.0,91.0,1.04,10.0
"May, 2015","9,1  0 (0%)",97.0,85.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,5.52,50.000
"June, 2015","9,7  0,1 (1,04%)",10.2,9.0,96.0,96.0,97.0,95.0,97.0,96.1,97.0,8.61,83.000
"July, 2015","10,3  0 (0%)",11.0,96.0,10.3,10.2,10.3,10.2,10.3,10.2,10.3,614.99,6.231.000
"August, 2015","9,4  -0,5 (-5,05%)",10.5,93.0,99.0,99.0,99.0,94.0,94.0,94.0,94.0,355.400,3.357.000
"September, 2015","9,5  0,3 (3,26%)",98.0,86.0,92.0,93.0,95.0,92.0,95.0,93.5,95.0,549.58,5.095.677
"October, 2015","9,8  0 (0%)",10.4,92.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,74.890,734.000
"November, 2015","9,4  0 (0%)",10.0,88.0,94.0,95.0,95.0,94.0,94.0,94.0,94.0,720.43,6.898.334
"December, 2015","9,6  0 (0%)",10.1,89.0,96.0,10.2,10.2,96.0,96.0,96.1,96.0,20.41,190.400
"January, 2016","8,9  -0,1 (-1,11%)",96.0,84.0,9.0,89.0,9.0,89.0,89.0,89.0,89.0,27.740,247.000
"February, 2016","9,2  0 (0%)",98.0,86.0,92.0,0.0,92.0,92.0,92.0,92.0,92.0,7.0,64.0
"March, 2016","9,1  -0,1 (-1,09%)",98.0,86.0,92.0,92.0,92.0,91.0,91.0,91.0,91.0,3.01,27.000
"April, 2016","9,5  0,1 (1,06%)",10.0,88.0,94.0,95.0,95.0,95.0,95.0,95.0,95.0,73.82,701.000
"May, 2016","9,8  0 (0%)",10.4,92.0,98.0,98.0,98.0,97.0,98.0,97.0,98.0,715.0,6.937.000
"June, 2016","9,9  0,1 (1,02%)",10.4,92.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,80.200,794.000
"July, 2016","10,3  0 (0%)",11.0,96.0,10.3,0.0,0.0,0.0,10.3,0.0,10.3,500.000,5.160.000
"August, 2016","10,6  0 (0%)",11.3,99.0,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.1,107.0
"September, 2016","10,86  0,02 (0,18%)",11.59,10.09,10.84,10.84,10.86,10.84,10.86,10.84,10.86,700.150,7.573.000
"October, 2016","10,52  0,13 (1,25%)",11.11,96.7,10.39,10.52,10.52,10.52,10.52,10.52,10.52,24.05,253.000
"November, 2016","10,13  -0,05 (-0,49%)",10.89,94.7,10.18,10.15,10.15,10.12,10.13,10.13,10.13,1.200.300,12.184.000
"December, 2016","10,17  0,05 (0,49%)",10.82,94.2,10.12,10.17,10.17,10.17,10.17,10.17,10.17,3.600,37.000
"January, 2017","10,45  0,04 (0,38%)",11.13,96.9,10.41,10.45,10.45,10.45,10.45,10.45,10.45,3.6,38.000
"February, 2017","10,82  0 (0%)",11.57,10.07,10.82,0.0,0.0,0.0,10.82,0.0,10.82,120.0,1.000
"March, 2017","11,3  -0,02 (-0,18%)",12.11,10.53,11.32,11.33,11.33,11.28,11.3,11.3,11.3,830.0,9.000
"April, 2017","11,14  0 (0%)",11.91,10.37,11.14,11.1,11.15,11.1,11.14,11.15,11.14,71.33,795.000
"May, 2017","11,61  -0,22 (-1,86%)",12.65,11.01,11.83,11.7,11.7,11.61,11.61,11.53,11.61,3.730,43.000
"June, 2017","12,56  0,07 (0,56%)",13.36,11.62,12.49,12.54,12.56,12.54,12.56,12.55,12.56,80.000,1.004.000
"July, 2017","12,35  0,08 (0,65%)",13.12,11.42,12.27,12.26,12.35,12.26,12.35,12.32,12.35,1.602.400,19.689.000
"August, 2017","12,63  0,17 (1,36%)",13.330000000000002,11.59,12.46,13.330000000000002,13.330000000000002,12.52,12.63,12.64,12.63,160.140,2.024.000
"September, 2017","13  -0,06 (-0,46%)",13.97,12.15,13.06,12.98,13.18,12.98,13.0,12.99,13.0,1.605.080,20.854.000
"October, 2017","13,78  -0,06 (-0,43%)",14.8,12.88,13.84,13.830000000000002,13.830000000000002,13.72,13.78,13.78,13.78,2.700.360,37.261.000
"November, 2017","15,64  0,15 (0,97%)",16.57,14.41,15.49,15.669999999999998,15.72,15.64,15.64,15.66,15.64,4.501.630,70.238.000
"December, 2017","16,18  0,14 (0,87%)",17.16,14.919999999999998,16.04,16.05,16.22,15.99,16.18,16.15,16.18,717.690,11.494.800
"January, 2018",18  0 (0%),19.26,16.740000000000002,18.0,18.0,18.25,17.95,18.0,18.04,18.0,7.033.870,126.750.000
"February, 2018",18  0 (0%),19.26,16.740000000000002,18.0,17.8,18.15,17.8,18.0,18.07,18.0,1.962.080,35.535.000
"March, 2018","18,88  0,13 (0,69%)",20.06,17.44,18.75,18.8,18.9,18.7,18.880000000000003,18.83,18.880000000000003,918.590,17.229.600
"April, 2018","16,6  -0,1 (-0,6%)",17.86,15.54,16.7,16.68,17.0,16.5,16.6,16.73,16.6,3.125.140,53.379.500
"May, 2018","15,8  0,8 (5,33%)",16.05,13.95,15.0,15.45,15.8,15.01,15.8,15.71,15.8,2.282.950,34.592.200
"June, 2018","15,89  0,4 (2,58%)",16.57,14.41,15.49,15.49,15.89,15.48,15.89,15.56,15.89,243.520,3.790.000
"July, 2018","15,55  0,14 (0,91%)",16.48,14.34,15.41,15.41,15.57,15.36,15.55,15.47,15.55,16.16,250.000
"August, 2018","15,95  -0,03 (-0,19%)",17.09,14.87,15.98,16.0,16.1,15.94,15.95,16.04,15.95,1.334.750,21.412.000
"September, 2018","16,37  0,08 (0,49%)",17.43,15.15,16.29,16.28,16.41,16.28,16.369999999999997,16.36,16.369999999999997,565.99,9.257.400
"October, 2018","15,02  0,6 (4,16%)",15.419999999999998,13.419999999999998,14.419999999999998,15.1,15.1,14.53,15.02,14.56,15.02,356.880,5.196.000
"November, 2018","14,72  -0,06 (-0,41%)",15.81,13.75,14.78,14.8,14.830000000000002,14.7,14.72,14.77,14.72,329.170,4.863.000
"December, 2018","14,31  -0,01 (-0,07%)",15.32,13.32,14.32,14.3,14.31,14.0,14.31,14.31,14.31,144.520,2.064.000
"January, 2019","14,26  -0,16 (-1,11%)",15.419999999999998,13.419999999999998,14.419999999999998,14.41,14.69,14.26,14.26,14.37,14.26,675.770,9.688.000
"February, 2019","15  -0,44 (-2,85%)",16.52,14.36,15.44,15.99,15.99,15.0,15.0,15.24,15.0,668.050,9.976.600
"March, 2019","14,7  -0,19 (-1,28%)",15.93,13.85,14.89,14.96,14.97,14.7,14.7,14.93,14.7,1.725.980,25.747.000
"April, 2019","14,72  0,09 (0,62%)",15.65,13.61,14.63,14.63,14.72,14.63,14.72,14.66,14.72,413.520,6.064.000
"May, 2019","14,55  -0,23 (-1,56%)",15.81,13.75,14.78,14.75,14.75,14.55,14.55,14.59,14.55,97.070,1.416.000
"June, 2019","14,21  -0,01 (-0,07%)",15.21,13.23,14.22,14.2,14.25,14.0,14.21,14.16,14.21,3.047.750,43.204.000
"July, 2019","14,71  0,07 (0,48%)",15.66,13.62,14.64,14.55,14.71,14.52,14.71,14.54,14.71,383.160,5.571.000
"August, 2019","14,88  0,15 (1,02%)",15.76,13.7,14.73,14.8,14.88,14.8,14.88,14.82,14.88,82.050,1.216.000
"September, 2019","15,46  0,06 (0,39%)",16.47,14.330000000000002,15.4,15.4,15.47,15.36,15.46,15.45,15.46,1.159.390,17.890.000
"October, 2019","15,38  -0,12 (-0,77%)",16.580000000000002,14.419999999999998,15.5,15.5,15.5,15.330000000000002,15.38,15.41,15.38,345.970,5.330.000
"November, 2019","14,75  0,01 (0,07%)",15.77,13.71,14.74,14.74,14.79,14.7,14.75,14.72,14.75,412.390,6.075.240
"December, 2019","14,76  0,1 (0,68%)",15.68,13.64,14.66,14.7,14.79,14.580000000000002,14.76,14.63,14.76,447.060,6.546.000
"January, 2020","14,15  -0,45 (-3,08%)",15.62,13.580000000000002,14.6,14.45,14.77,14.15,14.15,14.37,14.15,1.825.870,26.181.000
"February, 2020","13,86  -0,26 (-1,84%)",15.1,13.14,14.12,14.0,14.0,13.7,13.86,13.8,13.86,3.374.530,46.501.000
"March, 2020","10,75  0,65 (6,44%)",10.8,94.0,10.1,10.1,10.75,99.5,10.75,10.28,10.75,3.761.260,38.399.000
"April, 2020","12  0,06 (0,5%)",12.77,11.11,11.94,12.0,12.0,11.9,12.0,11.97,12.0,142.970,1.711.000
"May, 2020","13,47  0,04 (0,3%)",14.37,12.49,13.43,13.2,13.47,13.2,13.47,13.39,13.47,2.930.360,39.204.000
"June, 2020","13,3  0,48 (3,74%)",13.71,11.93,12.82,12.85,13.3,12.8,13.3,12.96,0.0,1.757.680,22.688.000
"July, 2020","12,4  -0,06 (-0,48%)",13.330000000000002,11.59,12.46,12.46,12.5,12.2,12.4,12.4,0.0,313.370,3.886.000
"August, 2020","13,79  -0,06 (-0,43%)",14.81,12.89,13.85,13.85,13.99,13.74,13.79,13.81,0.0,329.090,4.544.000
"September, 2020","14,52  -0,01 (-0,07%)",15.54,13.52,14.53,14.49,14.52,14.3,14.52,14.34,0.0,547.940,7.859.000
"October, 2020","14,9  0,11 (0,74%)",15.82,13.76,14.79,14.9,14.9,14.66,14.9,14.830000000000002,0.0,537.040,7.961.000
"November, 2020","16,27  0,03 (0,18%)",17.369999999999997,15.11,16.240000000000002,16.240000000000002,16.34,16.1,16.27,16.3,0.0,661.930,10.786.000
"December, 2020","18  0,27 (1,52%)",18.97,16.490000000000002,17.73,17.73,18.0,17.72,18.0,17.919999999999998,0.0,266.160,4.770.000
"January, 2021","17,5  0,43 (2,52%)",18.26,15.88,17.07,16.0,17.79,16.0,17.5,17.369999999999997,0.0,26.835.100,457.869.000
"February, 2021","19,7  -0,02 (-0,1%)",21.1,18.34,19.72,19.69,19.72,19.4,19.7,19.48,0.0,1.775.100,34.512.000
"March, 2021","20,1  0,1 (0,5%)",21.4,18.6,20.0,20.0,20.15,20.0,20.1,20.04,0.0,1.394.800,27.931.000
"April, 2021","22  0,37 (1,71%)",23.14,20.12,21.630000000000003,21.7,22.0,21.7,22.0,21.75,0.0,1.361.800,29.641.000
"May, 2021","24,69  0,21 (0,86%)",26.19,22.77,24.48,24.48,24.72,24.39,24.69,24.6,0.0,725.000,17.766.000
"June, 2021","25,84  0,04 (0,16%)",27.6,24.0,25.8,25.96,25.98,25.6,25.84,25.8,0.0,5.236.900,135.125.100
"July, 2021","24,6  0,55 (2,29%)",25.73,22.37,24.05,24.08,24.6,24.02,24.6,24.17,0.0,2.324.200,56.166.000
"August, 2021","24,1  0,1 (0,42%)",25.68,22.32,24.0,24.02,24.15,24.0,24.1,24.1,0.0,4.139.900,99.269.000
"September, 2021","24,55  0,15 (0,61%)",26.1,22.7,24.4,24.630000000000003,24.64,24.4,24.55,24.48,0.0,2.323.300,56.874.000
"October, 2021","25,71  -0,22 (-0,85%)",27.74,24.12,25.93,25.89,25.89,25.41,25.71,25.69,0.0,365.400,9.386.000
"November, 2021","25,8  -0,4 (-1,53%)",28.03,24.37,26.2,26.0,26.25,25.7,25.8,25.97,0.0,1.414.800,36.732.000
"December, 2021","25,83  0,23 (0,9%)",27.39,23.81,25.6,25.43,25.83,25.43,25.83,25.76,0.0,131.000,3.374.000
