Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","11,7  0,5 (4,46%)",11.9,10.5,11.2,11.2,11.8,11.2,11.7,11.56,93.8,1.098.520,12.674.000
"February, 2014","13,9  -0,1 (-0,71%)",14.9,13.1,14.0,14.0,14.1,13.7,13.9,13.95,10.82,1.023.060,14.272.291
"March, 2014","14,5  -0,4 (-2,68%)",15.9,13.9,14.9,15.0,15.0,14.5,14.5,14.669999999999998,11.29,436.120,6.398.283
"April, 2014","13,2  0 (0%)",14.1,12.3,13.2,13.3,13.4,13.1,13.2,13.26,10.28,424.940,5.634.139
"May, 2014","13,2  -0,1 (-0,75%)",14.2,12.4,13.3,13.2,13.4,13.2,13.2,13.25,10.28,699.900,9.257.000
"June, 2014","13,2  0 (0%)",14.1,12.3,13.2,13.2,13.3,13.1,13.2,13.2,10.59,255.58,3.374.000
"July, 2014","12,7  0 (0%)",13.5,11.9,12.7,12.6,12.8,12.6,12.7,12.69,10.19,278.090,3.529.000
"August, 2014","12,8  0,3 (2,4%)",13.3,11.7,12.5,12.6,12.8,12.5,12.8,12.68,10.27,478.32,6.063.000
"September, 2014","12,1  0 (0%)",12.9,11.3,12.1,12.1,12.2,12.0,12.1,12.08,97.0,145.96,1.763.000
"October, 2014","12  0,2 (1,69%)",12.6,11.0,11.8,11.9,12.0,11.8,12.0,11.86,96.2,377.74,4.430.000
"November, 2014","11,2  0 (0%)",11.9,10.5,11.2,11.1,11.2,11.1,11.2,11.19,89.8,376.010,4.208.000
"December, 2014","12,8  0 (0%)",13.6,12.0,12.8,12.7,12.9,12.6,12.8,12.76,10.27,542.330,6.918.000
"January, 2015","13,9  -0,4 (-2,8%)",15.3,13.3,14.3,14.2,14.4,13.6,13.9,13.97,11.15,1.082.400,15.119.000
"February, 2015","13,2  -0,2 (-1,49%)",14.3,12.5,13.4,13.4,13.4,13.2,13.2,13.28,10.59,1.043.560,13.860.000
"March, 2015","13,1  0,6 (4,8%)",13.3,11.7,12.5,12.3,13.1,12.3,13.1,12.81,10.51,245.41,3.145.000
"April, 2015","12,9  0,1 (0,78%)",13.6,12.0,12.8,12.9,13.0,12.7,12.9,12.78,10.35,68.090,870.000
"May, 2015","13,5  0,3 (2,27%)",14.1,12.3,13.2,13.5,14.0,13.4,13.5,13.71,10.83,2.808.550,38.510.000
"June, 2015",13  0 (0%),13.9,12.1,13.0,13.0,13.0,12.9,13.0,12.94,10.43,4.571.368,58.811.000
"July, 2015","13,6  -0,2 (-1,45%)",14.7,12.9,13.8,13.8,13.8,13.6,13.6,13.669999999999998,10.91,648.220,8.860.000
"August, 2015","11,6  -0,5 (-4,13%)",12.9,11.3,12.1,12.0,12.0,11.6,11.6,11.75,88.7,345.370,4.141.000
"September, 2015",12  0 (0%),12.8,11.2,12.0,11.9,12.0,11.9,12.0,12.0,91.0,260.730,3.128.000
"October, 2015","11,8  0 (0%)",12.6,11.0,11.8,11.8,11.9,11.7,11.8,11.73,90.2,26.850,315.000
"November, 2015","10,5  -0,4 (-3,67%)",11.6,10.2,10.9,11.0,11.0,10.5,10.5,10.69,80.3,106.52,1.138.000
"December, 2015","11,2  -0,4 (-3,45%)",11.6,10.2,11.6,11.6,11.6,11.1,11.2,11.25,96.2,347.92,3.914.000
"January, 2016","10,5  0,4 (3,96%)",10.8,94.0,10.1,10.2,10.5,10.1,10.5,10.24,98.4,859.36,8.791.000
"February, 2016","10,4  -0,1 (-0,95%)",11.2,98.0,10.5,10.4,10.5,10.4,10.4,10.41,97.5,886.030,9.290.000
"March, 2016","10,5  0,2 (1,94%)",11.0,96.0,10.3,10.3,10.5,10.3,10.5,10.43,98.4,592.290,6.180.000
"April, 2016","10,6  0 (0%)",11.3,99.0,10.6,10.6,10.6,10.4,10.6,10.51,98.4,61.980,652.000
