Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","13,8  0,5 (3,76%)",14.2,12.4,13.3,13.4,13.8,13.4,13.8,13.6,77.0,1.01,14.0
"February, 2014","18,8  -0,6 (-3,09%)",20.7,18.1,19.4,19.0,19.3,18.8,18.8,19.27,10.04,5.57,107.32
"March, 2014","18,4  0,9 (5,14%)",18.7,16.3,17.5,18.4,18.4,18.4,18.4,18.4,10.27,20.0,368.0
"April, 2014","17,5  0,5 (2,94%)",18.1,15.9,17.0,17.5,17.5,17.5,17.5,17.5,97.7,10.0,175.0
"May, 2014","17,5  0 (0%)",18.7,16.3,17.5,0.0,0.0,0.0,17.5,0.0,97.7,10.0,9.0
"June, 2014","14,6  -0,2 (-1,35%)",15.8,13.8,14.8,14.6,14.6,14.6,14.6,14.6,81.5,1.0,15.0
"July, 2014","15  -0,3 (-1,96%)",16.3,14.3,15.3,14.7,15.0,14.7,15.0,14.73,83.7,110.0,2.0
"August, 2014","14,7  0,4 (2,8%)",15.3,13.3,14.3,14.3,14.7,14.3,14.7,14.45,82.1,1.3,19.0
"September, 2014","14,1  -0,3 (-2,08%)",15.4,13.4,14.4,14.2,14.4,14.1,14.1,14.24,78.7,19.58,279.0
"October, 2014","13,8  0,3 (2,22%)",14.4,12.6,13.5,13.5,13.8,13.5,13.8,13.56,77.0,6.96,94.0
"November, 2014","13,3  -0,6 (-4,32%)",14.8,13.0,13.9,13.4,13.4,13.3,13.3,13.3,74.2,1.0,13.0
"December, 2014","13,8  0,3 (2,22%)",14.4,12.6,13.5,13.3,13.8,13.3,13.8,13.55,77.0,20.0,15.0
"January, 2015","13,9  0,3 (2,21%)",14.5,12.7,13.6,13.6,13.9,13.6,13.9,13.6,77.6,5.84,79.0
"February, 2015","15,3  -0,2 (-1,29%)",16.5,14.5,15.5,15.5,15.5,15.2,15.3,15.4,85.4,18.49,285.0
"March, 2015","16  1 (6,67%)",16.0,14.0,15.0,15.0,16.0,15.0,16.0,15.4,96.2,25.46,392.0
"April, 2015","18  1,1 (6,51%)",18.0,15.8,16.9,16.8,18.0,16.7,18.0,16.86,10.82,28.85,487.0
"May, 2015","17  -0,1 (-0,58%)",18.2,16.0,17.1,16.7,17.0,16.7,17.0,16.869999999999997,10.22,27.08,457.0
"June, 2015","15,5  -0,2 (-1,27%)",16.7,14.7,15.7,15.6,15.7,15.3,15.5,15.48,10.07,69.66,1.078.000
"July, 2015","17  -0,1 (-0,58%)",18.2,16.0,17.1,17.1,17.3,16.8,17.0,17.09,11.05,104.26,1.782.000
"August, 2015","16,1  -0,4 (-2,42%)",17.6,15.4,16.5,16.2,16.4,16.0,16.1,16.07,10.74,111.04,1.784.000
"September, 2015","20,8  0 (0%)",22.2,19.4,20.8,20.8,20.8,19.5,20.8,20.17,14.9,186.16,3.755.000
"October, 2015","24,9  0,4 (1,63%)",26.2,22.8,24.5,24.0,24.9,23.8,24.9,24.42,17.93,175.33,4.282.000
"November, 2015","21,9  0,6 (2,82%)",22.7,19.9,21.3,21.2,22.3,21.1,21.9,21.58,15.77,193.11,4.167.000
"December, 2015","22,2  -0,2 (-0,89%)",23.5,20.5,22.4,22.8,22.8,22.2,22.2,22.44,15.89,84.31,1.892.000
"January, 2016","22,9  -0,6 (-2,55%)",25.1,21.9,23.5,23.7,23.7,22.9,22.9,23.1,16.919999999999998,87.58,2.031.000
"February, 2016","23,2  0 (0%)",24.8,21.6,23.2,23.2,23.5,22.6,23.2,23.05,17.14,157.55,3.631.000
"March, 2016","23,6  -0,8 (-3,28%)",26.1,22.7,24.4,24.3,24.6,23.4,23.6,24.03,17.89,910.98,21.983.000
"April, 2016","22,3  0 (0%)",23.8,20.8,22.3,22.6,22.6,22.1,22.3,22.33,16.68,114.72,2.561.000
"May, 2016","23,3  0 (0%)",24.9,21.7,23.3,23.0,23.5,23.0,23.3,23.22,17.82,154.21,3.580.000
"June, 2016","24,2  0,4 (1,68%)",25.4,22.2,23.8,24.2,25.2,23.8,24.2,24.06,18.57,348.150,8.359.000
"July, 2016","26  -0,8 (-2,99%)",28.6,25.0,26.8,26.8,26.9,26.0,26.0,26.31,22.33,118.66,3.122.000
"August, 2016","23,6  -0,3 (-1,26%)",25.5,22.3,23.9,23.7,23.9,23.6,23.6,23.79,20.27,169.28,4.028.000
"September, 2016","22,6  -0,3 (-1,31%)",24.5,21.3,22.9,22.8,23.1,22.5,22.6,22.75,19.41,139.49,3.173.000
"October, 2016","27,4  -0,3 (-1,08%)",29.6,25.8,27.7,27.8,28.0,27.4,27.4,27.68,23.53,252.28,6.983.000
