Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","6,1  -0,3 (-4,69%)",68.0,6.0,64.0,65.0,68.0,61.0,61.0,65.4,43.1,160.0,1.0
"February, 2014","5,2  -0,1 (-1,89%)",56.0,5.0,53.0,52.0,52.0,52.0,52.0,52.0,36.7,2.29,11.908
"March, 2014","6  0,1 (1,69%)",63.0,55.0,59.0,62.0,62.0,6.0,6.0,61.0,42.4,20.0,122.0
"April, 2014","5,2  -0,2 (-3,7%)",57.0,51.0,54.0,57.0,57.0,52.0,52.0,53.1,36.7,320.0,1.699
"May, 2014","4,4  0,2 (4,76%)",44.0,4.0,42.0,44.0,44.0,44.0,44.0,44.0,31.1,1.03,5.0
"June, 2014","4,9  0,3 (6,52%)",49.0,43.0,46.0,46.0,49.0,46.0,49.0,46.6,34.6,170.0,1.0
"July, 2014","5,9  0,2 (3,51%)",6.0,54.0,57.0,55.0,59.0,54.0,59.0,56.8,41.6,14.95,85.0
"August, 2014","6,2  0 (0%)",66.0,58.0,62.0,62.0,62.0,6.0,62.0,60.1,43.8,1.15,7.0
"September, 2014","5,9  -0,1 (-1,67%)",64.0,56.0,6.0,59.0,59.0,59.0,59.0,59.0,41.6,580.0,3.0
"October, 2014","6,4  -0,2 (-3,03%)",7.0,62.0,66.0,69.0,69.0,64.0,64.0,66.5,45.2,20.0,9.0
"November, 2014","6,4  0,4 (6,67%)",64.0,56.0,6.0,63.0,64.0,63.0,64.0,63.9,45.2,330.0,2.0
"December, 2014","6,1  0,1 (1,67%)",64.0,56.0,6.0,57.0,63.0,57.0,61.0,60.3,43.1,30.0,1.0
"January, 2015","5,9  0,3 (5,36%)",59.0,53.0,56.0,59.0,59.0,58.0,59.0,58.5,41.6,40.0,3.0
"February, 2015","6,4  0 (0%)",68.0,6.0,64.0,64.0,64.0,63.0,64.0,63.2,45.2,2.62,17.0
"March, 2015","6,4  0 (0%)",68.0,6.0,64.0,0.0,0.0,0.0,64.0,0.0,45.2,8.92,57.0
"April, 2015","6,7  -0,1 (-1,47%)",72.0,64.0,68.0,66.0,72.0,64.0,67.0,66.0,50.9,4.92,32.0
"May, 2015","6,9  0,2 (2,99%)",71.0,63.0,67.0,68.0,7.0,68.0,69.0,68.4,52.5,660.0,5.0
"June, 2015","8,6  0,1 (1,18%)",9.0,8.0,85.0,81.0,87.0,8.0,86.0,80.2,65.4,1.16,9.0
"July, 2015","9,4  -0,1 (-1,05%)",10.1,89.0,95.0,93.0,10.1,93.0,94.0,99.5,71.5,24.89,248.0
"August, 2015","9,9  0,1 (1,02%)",10.4,92.0,98.0,99.0,99.0,99.0,99.0,99.0,84.6,10.0,213.0
"September, 2015","10,8  0 (0%)",11.5,10.1,10.8,10.8,11.3,10.8,10.8,10.95,87.5,1.3,14.0
"October, 2015","13,1  -0,9 (-6,43%)",14.9,13.1,14.0,13.1,13.8,13.1,13.1,13.22,11.55,210.0,3.000
"November, 2015","10,7  0,2 (1,9%)",11.2,98.0,10.5,10.9,11.0,10.7,10.7,10.81,94.4,56.31,614.000
"December, 2015","10,7  -0,2 (-1,83%)",11.0,96.0,10.9,10.8,10.8,10.5,10.7,10.52,96.4,320.0,3.0
"January, 2016",12  0 (0%),12.8,11.2,12.0,0.0,0.0,0.0,12.0,0.0,11.09,20.0,248.0
"February, 2016","12,6  0 (0%)",13.4,11.8,12.6,0.0,0.0,0.0,12.6,0.0,12.41,5.44,68.0
"March, 2016","10,7  -0,1 (-0,93%)",11.5,10.1,10.8,11.5,11.5,10.1,10.7,11.41,10.53,1.21,14.0
"April, 2016","11,5  -0,5 (-4,17%)",12.8,11.2,12.0,11.5,11.5,11.5,11.5,11.5,11.37,1.28,15.000
"May, 2016","11  0,5 (4,76%)",11.2,98.0,10.5,11.2,11.2,11.0,11.0,11.0,10.2,1.02,11.0
"June, 2016","12,5  0,1 (0,81%)",13.2,11.6,12.4,12.5,12.5,12.5,12.5,12.5,10.71,10.0,3.0
"July, 2016","13,1  0,6 (4,8%)",13.3,11.7,12.5,13.1,13.1,13.1,13.1,13.1,11.31,150.0,2.0
"August, 2016","13,7  0,2 (1,48%)",14.4,12.6,13.5,12.6,13.7,12.6,13.7,12.61,12.31,2.74,35.0
"September, 2016","11,05  0,7 (6,76%)",11.05,96.3,10.35,11.05,11.05,10.0,11.05,11.05,99.5,2.56,28.0
