Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","25,3  0 (0%)",27.0,23.6,25.3,25.3,25.5,25.3,25.3,25.3,12.15,5.88,149.0
"February, 2014","26,5  -0,7 (-2,57%)",29.1,25.3,27.2,27.8,27.8,26.5,26.5,26.8,12.22,110.0,2.948
"March, 2014","28,4  -0,1 (-0,35%)",30.4,26.6,28.5,27.1,29.0,27.1,28.4,27.98,13.1,3.19,89.27
"April, 2014","26  0,4 (1,56%)",27.3,23.9,25.6,25.6,26.0,25.6,26.0,25.6,11.99,1.81,46.34
"May, 2014","24,9  0 (0%)",26.6,23.2,24.9,0.0,0.0,0.0,24.9,0.0,11.48,10.0,5.0
"June, 2014","25,9  0 (0%)",27.7,24.1,25.9,0.0,0.0,0.0,25.9,0.0,11.94,27.22,700.0
"July, 2014","28,8  0 (0%)",30.8,26.8,28.8,0.0,0.0,0.0,28.8,0.0,13.28,210.0,6.0
"August, 2014","26,5  0,3 (1,15%)",28.0,24.4,26.2,24.6,26.5,24.6,26.5,25.82,12.72,220.0,6.0
"September, 2014","25,3  0,1 (0,4%)",26.9,23.5,25.2,25.3,25.3,25.3,25.3,25.3,12.15,80.0,2.0
"October, 2014","24,9  0 (0%)",26.6,23.2,24.9,24.6,24.9,24.6,24.9,24.66,11.96,1.19,29.0
"November, 2014","25,3  0,3 (1,2%)",26.7,23.3,25.0,26.6,26.6,25.3,25.3,25.32,12.15,650.0,16.0
"December, 2014","26,3  1,3 (5,2%)",26.7,23.3,25.0,25.0,26.3,25.0,26.3,25.16,12.63,2.04,51.0
"January, 2015","28,4  0,7 (2,53%)",29.6,25.8,27.7,28.4,28.4,28.4,28.4,28.4,13.64,200.0,6.0
"February, 2015","26,6  0 (0%)",28.4,24.8,26.6,26.6,26.6,26.6,26.6,26.6,12.77,200.0,5.0
"March, 2015","27,8  -0,2 (-0,71%)",29.9,26.1,28.0,27.0,27.8,27.0,27.8,27.27,13.35,1.5,41.0
"April, 2015","26,7  1,6 (6,37%)",26.8,23.4,25.1,26.7,26.7,26.7,26.7,26.7,12.82,110.0,3.000
"May, 2015","26,9  -0,6 (-2,18%)",29.4,25.6,27.5,25.8,26.9,25.6,26.9,25.69,12.919999999999998,800.0,21.0
"June, 2015","29  0,8 (2,84%)",30.1,26.3,28.2,29.0,29.0,29.0,29.0,29.0,14.49,8.0,232.0
