Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2017","6,4  0,11 (1,75%)",67.3,58.5,62.9,6.0,64.4,6.0,64.0,62.4,57.1,326.64,2.038.000
"February, 2017","6,78  0,01 (0,15%)",72.4,63.0,67.7,67.1,69.0,64.0,67.8,67.6,60.5,150.05,1.015.000
"March, 2017","6,64  -0,14 (-2,06%)",72.5,63.1,67.8,67.8,67.8,64.0,66.4,65.7,59.2,192.22,1.263.000
"April, 2017","6,27  -0,13 (-2,03%)",68.4,59.6,64.0,60.1,64.5,60.1,62.7,62.4,55.9,338.26,2.112.000
"May, 2017","6,11  -0,16 (-2,55%)",67.0,58.4,62.7,63.8,63.8,60.5,61.1,61.2,54.5,226.88,1.389.000
"June, 2017","17,65  -1,3 (-6,86%)",20.25,17.65,18.95,18.85,19.1,17.65,17.65,17.98,15.71,2.186.090,39.301.000
"July, 2017","11,8  -0,7 (-5,6%)",13.35,11.65,12.5,11.7,12.15,11.65,11.8,11.66,10.5,1.594.360,18.595.000
"August, 2017","8,61  -0,39 (-4,33%)",96.3,83.7,9.0,89.8,89.8,83.7,86.1,84.9,76.8,1.181.930,10.037.000
"September, 2017","8,05  -0,06 (-0,74%)",86.7,75.5,81.1,82.0,82.0,80.5,80.5,80.8,71.8,51.38,415.000
"October, 2017","6,62  -0,34 (-4,89%)",74.4,64.8,69.6,7.0,72.5,66.2,66.2,68.8,59.1,406.61,2.798.000
"November, 2017","6,29  0,17 (2,78%)",65.4,57.0,61.2,61.5,65.3,60.1,62.9,62.3,56.1,339.96,2.117.000
"December, 2017","5,8  -0,16 (-2,68%)",63.7,55.5,59.6,6.0,6.0,58.0,58.0,58.4,51.7,159.0,929.0
"January, 2018","5,4  -0,15 (-2,7%)",59.3,51.7,55.5,53.4,55.3,53.4,54.0,54.5,48.2,84.51,461.000
"February, 2018","5,08  -0,01 (-0,2%)",54.4,47.4,50.9,50.9,50.9,5.0,50.8,50.6,45.3,92.81,470.0
"March, 2018","5,25  -0,05 (-0,94%)",56.7,49.3,53.0,52.5,52.5,51.0,52.5,51.6,46.8,519.510,2.680.000
"April, 2018","5,43  0,03 (0,56%)",57.7,50.3,54.0,53.0,54.4,52.2,54.3,53.2,48.4,456.930,2.431.000
"May, 2018","5,01  -0,08 (-1,57%)",54.4,47.4,50.9,50.9,51.6,49.3,50.1,50.7,44.7,323.390,1.641.000
"June, 2018","5,09  0 (0%)",54.4,47.4,50.9,51.0,51.3,50.8,50.9,51.1,45.4,192.75,984.000
"July, 2018","4,58  0 (0%)",49.0,42.6,45.8,45.3,45.8,44.9,45.8,45.2,45.1,469.380,2.120.000
"August, 2018","4,2  0,04 (0,96%)",44.5,38.7,41.6,41.5,42.4,41.5,42.0,41.8,41.3,160.9,672.000
"September, 2018","4,04  -0,03 (-0,74%)",43.5,37.9,40.7,40.8,40.9,40.4,40.4,40.5,39.8,259.96,1.054.000
"October, 2018","3,32  -0,07 (-2,06%)",36.2,31.6,33.9,34.0,34.5,33.2,33.2,33.5,32.7,116.07,389.000
"November, 2018","3,2  0,09 (2,89%)",33.2,29.0,31.1,32.5,32.9,31.2,32.0,32.1,31.5,294.74,946.000
"December, 2018","2,85  -0,01 (-0,35%)",30.6,26.6,28.6,28.9,28.9,27.8,28.5,28.3,28.1,75.87,215.0
"January, 2019","2,61  -0,03 (-1,14%)",28.2,24.6,26.4,26.4,26.5,25.8,26.1,26.1,25.7,91.22,238.000
"February, 2019","2,63  0,08 (3,14%)",27.2,23.8,25.5,25.5,26.7,25.4,26.3,26.2,25.9,950.89,2.493.000
"March, 2019","2,84  -0,07 (-2,41%)",31.1,27.1,29.1,29.0,29.1,28.4,28.4,28.9,28.0,144.53,417.000
"April, 2019","2,98  0,1 (3,47%)",30.8,26.8,28.8,28.9,30.8,28.9,29.8,30.3,29.3,1.200.560,3.633.000
"May, 2019","2,8  0,04 (1,45%)",29.5,25.7,27.6,27.2,29.0,27.2,28.0,28.1,27.6,325.01,914.000
"June, 2019","2,74  -0,01 (-0,36%)",29.4,25.6,27.5,27.5,27.5,27.0,27.4,27.3,27.0,225.31,615.000
