Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","12,4  -0,1 (-0,8%)",13.3,11.7,12.5,12.4,12.6,12.4,12.4,12.44,75.7,825.95,10.295.000
"February, 2014","17,9  0,5 (2,87%)",18.6,16.2,17.4,17.2,17.9,16.6,17.9,17.18,97.7,666.440,11.447.611
"March, 2014","16,5  -0,7 (-4,07%)",18.4,16.0,17.2,17.2,17.2,16.5,16.5,16.72,9.0,330.040,5.517.672
"April, 2014","13,2  0 (0%)",14.1,12.3,13.2,13.0,13.4,13.0,13.2,13.22,74.9,205.49,2.716.737
"May, 2014","12,5  -0,2 (-1,57%)",13.5,11.9,12.7,12.6,12.8,12.4,12.5,12.59,70.9,579.390,7.292.000
"June, 2014","13,7  0,1 (0,74%)",14.5,12.7,13.6,13.6,13.9,13.5,13.7,13.7,83.7,442.330,6.060.000
"July, 2014","12,8  0,6 (4,92%)",13.0,11.4,12.2,12.4,12.8,12.3,12.8,12.61,78.2,397.300,5.009.000
"August, 2014","13,1  0,6 (4,8%)",13.3,11.7,12.5,12.7,13.3,12.7,13.1,13.07,8.0,1.789.450,23.393.000
"September, 2014","12,6  0,1 (0,8%)",13.3,11.7,12.5,12.3,12.9,12.3,12.6,12.57,77.0,1.414.870,17.785.000
"October, 2014","11,9  0,1 (0,85%)",12.6,11.0,11.8,11.8,12.2,11.6,11.9,11.86,72.7,623.690,7.395.000
"November, 2014","12,5  -0,1 (-0,79%)",13.4,11.8,12.6,12.7,12.7,12.5,12.5,12.58,76.4,769.49,9.639.000
"December, 2014","10,1  0,6 (6,32%)",10.1,89.0,95.0,97.0,10.1,96.0,10.1,99.9,61.7,733.01,7.326.000
"January, 2015","10,3  -0,2 (-1,9%)",11.2,98.0,10.5,10.4,10.5,10.0,10.3,10.23,62.9,668.41,6.841.000
"February, 2015","9,8  0 (0%)",10.4,92.0,98.0,98.0,10.0,97.0,98.0,98.0,59.9,129.750,1.272.000
"March, 2015","8,5  -0,1 (-1,16%)",92.0,8.0,86.0,86.0,87.0,83.0,85.0,85.2,51.9,458.46,3.923.000
"April, 2015","8  -0,2 (-2,44%)",87.0,77.0,82.0,82.0,83.0,8.0,8.0,81.2,48.9,253.86,2.061.000
"May, 2015","8,3  -0,1 (-1,19%)",89.0,79.0,84.0,85.0,85.0,81.0,83.0,83.1,50.7,748.410,6.231.000
