Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","22,7  -0,1 (-0,44%)",24.3,21.3,22.8,22.7,23.1,22.7,22.7,22.86,14.36,96.62,2.209.000
"February, 2014","28,7  1 (3,61%)",29.6,25.8,27.7,28.1,29.2,27.8,28.7,28.18,15.88,2.055.510,57.924.065
"March, 2014","27,9  -0,5 (-1,76%)",30.3,26.5,28.4,28.5,28.5,27.8,27.9,28.15,15.44,439.870,12.383.761
"April, 2014","24,2  0,2 (0,83%)",25.6,22.4,24.0,24.0,24.3,23.7,24.2,24.02,15.31,328.690,7.895.392
"May, 2014","23  -0,5 (-2,13%)",25.1,21.9,23.5,23.4,23.5,23.0,23.0,23.09,14.55,275.15,6.352.000
"June, 2014","24  -0,2 (-0,83%)",25.8,22.6,24.2,24.3,24.3,23.9,24.0,24.07,15.18,360.890,8.688.000
"July, 2014","22,9  0 (0%)",24.5,21.3,22.9,22.9,23.2,22.7,22.9,22.89,14.48,527.01,12.065.000
"August, 2014","24,8  1 (4,2%)",25.4,22.2,23.8,23.8,25.0,23.7,24.8,24.47,15.69,986.300,24.137.000
"September, 2014","24,4  0,1 (0,41%)",26.0,22.6,24.3,24.2,24.6,24.2,24.4,24.42,15.43,241.31,5.894.000
"October, 2014","23,6  0,3 (1,29%)",24.9,21.7,23.3,23.3,24.1,23.3,23.6,23.57,14.93,379.41,8.944.000
"November, 2014","22,8  -0,3 (-1,3%)",24.7,21.5,23.1,22.9,23.2,22.7,22.8,22.94,14.419999999999998,201.53,4.622.000
"December, 2014","20,7  0,6 (2,99%)",21.5,18.7,20.1,20.0,21.0,20.0,20.7,20.53,13.09,261.98,5.380.000
"January, 2015","21,3  -0,6 (-2,74%)",23.4,20.4,21.9,21.9,22.1,21.3,21.3,21.6,13.47,233.57,5.044.000
"February, 2015","21,6  -0,1 (-0,46%)",23.2,20.2,21.7,21.9,21.9,21.4,21.6,21.59,13.66,76.32,1.648.000
"March, 2015","22,1  0,1 (0,45%)",23.5,20.5,22.0,21.9,22.4,21.9,22.1,22.21,13.98,123.32,2.739.000
"April, 2015","22,5  -0,3 (-1,32%)",24.3,21.3,22.8,22.9,23.0,22.4,22.5,22.67,14.23,286.36,6.491.000
"May, 2015","22  0,3 (1,38%)",23.2,20.2,21.7,21.8,22.4,21.7,22.0,22.02,13.91,532.41,11.724.000
"June, 2015","21,6  -0,3 (-1,37%)",23.4,20.4,21.9,21.9,21.9,21.6,21.6,21.66,13.66,245.540,5.317.000
"July, 2015","21,7  0 (0%)",23.2,20.2,21.7,22.1,22.3,21.7,21.7,21.92,14.37,315.37,6.951.000
"August, 2015","19,7  0 (0%)",21.0,18.4,19.7,19.7,19.8,19.3,19.7,19.57,13.47,117.78,2.305.000
"September, 2015","20,1  -0,3 (-1,47%)",21.8,19.0,20.4,20.4,20.4,20.0,20.1,20.15,13.68,158.75,3.199.000
"October, 2015","21,8  -0,1 (-0,46%)",23.4,20.4,21.9,22.0,22.0,21.7,21.8,21.81,14.55,158.25,3.452.000
"November, 2015","20,2  -0,2 (-0,98%)",21.8,19.0,20.4,20.3,20.3,20.1,20.2,20.21,13.48,107.31,2.168.000
"December, 2015","20,4  0,1 (0,49%)",21.7,18.9,20.3,20.3,20.4,20.1,20.4,20.3,13.75,123.73,2.512.000
"January, 2016","18,4  -0,1 (-0,54%)",19.7,17.3,18.5,18.3,18.5,18.3,18.4,18.39,12.4,167.35,3.077.000
"February, 2016","20,9  0,4 (1,95%)",21.9,19.1,20.5,20.9,21.0,20.1,20.9,20.59,14.09,558.59,11.500.000
"March, 2016","21,4  -0,6 (-2,73%)",23.5,20.5,22.0,21.8,22.0,21.4,21.4,21.64,14.919999999999998,491.38,10.644.000
"April, 2016","21,5  0,2 (0,94%)",22.7,19.9,21.3,21.3,21.7,21.3,21.5,21.4,14.61,122.78,2.627.000
"May, 2016","20,8  -0,1 (-0,48%)",22.3,19.5,20.9,21.0,21.1,20.7,20.8,20.82,14.07,177.92,3.705.000
"June, 2016","20,3  -0,4 (-1,93%)",22.1,19.3,20.7,20.3,21.0,20.0,20.3,20.53,13.47,630.180,12.937.000
"July, 2016","21,9  -0,4 (-1,79%)",23.8,20.8,22.3,22.5,22.5,21.8,21.9,22.06,14.25,249.28,5.500.000
"August, 2016","21,4  1,2 (5,94%)",21.6,18.8,20.2,20.5,21.5,20.2,21.4,21.09,14.63,1.702.010,35.902.000
"September, 2016","20,8  -0,2 (-0,95%)",22.45,19.55,21.0,21.0,21.0,20.8,20.8,20.9,14.22,224.66,4.694.000
"October, 2016","19,8  0,3 (1,54%)",20.85,18.15,19.5,19.8,20.0,19.55,19.8,19.84,13.54,142.77,2.833.000
"November, 2016","19,25  -0,05 (-0,26%)",20.65,17.95,19.3,19.4,19.45,19.1,19.25,19.28,12.96,123.63,2.383.000
"December, 2016","19,1  0,3 (1,6%)",20.1,17.5,18.8,18.95,19.1,18.6,19.1,19.05,12.86,227.38,4.333.000
"January, 2017","18,6  0,05 (0,27%)",19.8,17.3,18.55,18.75,18.8,18.4,18.6,18.6,12.39,64.41,1.198.000
"February, 2017","20,6  -0,3 (-1,44%)",22.35,19.45,20.9,20.65,21.5,20.5,20.6,21.11,13.72,1.025.200,21.638.000
"March, 2017","19,65  -0,15 (-0,76%)",21.15,18.45,19.8,19.8,19.85,19.65,19.65,19.74,13.09,301.11,5.943.000
"April, 2017","19,75  -0,05 (-0,25%)",21.15,18.45,19.8,19.6,19.9,19.5,19.75,19.66,13.16,245.9,4.834.000
"May, 2017","22  0,2 (0,92%)",23.3,20.3,21.8,22.1,22.65,22.0,22.0,22.27,14.66,1.004.450,22.374.000
