Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","21,8  0 (0%)",23.3,20.3,21.8,22.3,22.3,21.5,21.8,21.78,15.8,18.66,406.000
"February, 2014","29,5  -2,2 (-6,94%)",33.9,29.5,31.7,31.7,31.7,29.5,29.5,29.74,17.240000000000002,283.7,8.438.623
"March, 2014","27  -2,1 (-7,22%)",28.8,25.2,29.1,28.0,28.0,27.0,27.0,27.33,17.009999999999998,52.34,1.430.587
"April, 2014","20,6  -0,2 (-0,96%)",22.2,19.4,20.8,21.0,21.0,20.2,20.6,20.54,12.98,20.050,411.774
"May, 2014","19  -0,2 (-1,04%)",20.5,17.9,19.2,19.2,19.7,19.0,19.0,19.12,11.97,12.47,238.000
"June, 2014","18,6  -0,4 (-2,11%)",20.3,17.7,19.0,19.0,19.1,18.6,18.6,18.92,11.72,26.36,499.000
"July, 2014","18,5  0,2 (1,09%)",19.5,17.1,18.3,18.2,18.5,18.2,18.5,18.36,11.65,1.12,21.0
"August, 2014","25,1  1,6 (6,81%)",25.1,21.9,23.5,23.1,25.1,23.1,25.1,24.83,15.81,308.62,7.663.000
"September, 2014","25,6  -0,4 (-1,54%)",27.8,24.2,26.0,25.9,26.0,25.4,25.6,25.69,16.130000000000003,87.94,2.259.000
"October, 2014","20,3  0,2 (1%)",21.5,18.7,20.1,20.3,20.5,19.9,20.3,20.07,14.71,71.48,1.435.000
"November, 2014","21,8  0 (0%)",23.3,20.3,21.8,21.8,22.0,21.8,21.8,21.85,15.8,29.48,644.000
"December, 2014","20,5  -0,1 (-0,49%)",22.0,19.2,20.6,20.5,21.1,20.5,20.5,20.68,14.86,14.35,297.000
"January, 2015","20,9  0,1 (0,48%)",22.2,19.4,20.8,21.0,21.0,20.0,20.9,20.68,15.15,6.56,136.0
"February, 2015","18  -0,1 (-0,55%)",19.3,16.9,18.1,18.3,18.3,17.9,18.0,17.990000000000002,13.05,6.83,123.000
"March, 2015","18,1  0,7 (4,02%)",18.6,16.2,17.4,17.4,18.1,16.2,18.1,17.82,13.12,11.59,207.0
"April, 2015","20  0,1 (0,5%)",21.2,18.6,19.9,20.0,20.0,19.7,20.0,19.72,14.5,6.61,130.0
"May, 2015","17,4  -0,1 (-0,57%)",18.7,16.3,17.5,16.6,18.0,16.6,17.4,16.95,12.61,4.97,84.0
"June, 2015","21,3  1,3 (6,5%)",21.4,18.6,20.0,19.8,21.3,19.0,21.3,20.72,15.44,295.410,5.731.000
"July, 2015","21,2  0,3 (1,44%)",21.5,18.8,20.9,20.0,21.2,20.0,21.2,20.37,15.94,25.16,513.0
"August, 2015","22  0,7 (3,29%)",22.7,19.9,21.3,22.5,22.5,22.0,22.0,22.06,17.93,440.0,10.0
"September, 2015","18,7  0,2 (1,08%)",19.7,17.3,18.5,18.5,18.7,18.0,18.7,18.65,17.56,4.55,85.000
"October, 2015","17,7  -0,3 (-1,67%)",19.2,16.8,18.0,18.0,18.0,17.7,17.7,17.71,16.71,310.0,5.000
"November, 2015","20,1  1,3 (6,91%)",20.1,17.5,18.8,20.1,20.1,20.1,20.1,20.1,18.98,579.3,11.586.000
"December, 2015","18,8  0 (0%)",20.5,17.9,18.8,0.0,0.0,0.0,18.8,0.0,15.99,3.450,65.000
"January, 2016","27,8  0 (0%)",29.7,25.9,27.8,0.0,0.0,0.0,27.8,0.0,27.25,3.220,88.000
"February, 2016","27,2  -1,7 (-5,88%)",30.9,26.9,28.9,27.2,27.2,27.2,27.2,27.2,26.660000000000004,50.0,1.000
