Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2018","28,1  1,8 (6,84%)",28.1,24.5,26.3,28.1,28.1,28.1,28.1,28.07,17.19,53.61,1.422.000
"February, 2018","30,05  1,95 (6,94%)",30.05,26.15,28.1,30.05,30.05,30.05,30.05,30.06,18.380000000000003,16.6,499.000
"March, 2018","38,5  1,55 (4,19%)",39.5,34.4,36.95,36.5,38.95,36.5,38.5,37.59,23.55,107.73,4.050.000
"April, 2018","37,9  -0,6 (-1,56%)",41.15,35.85,38.5,38.5,38.8,37.5,37.9,37.99,23.19,89.79,3.411.000
"May, 2018","37,55  -0,35 (-0,92%)",40.55,35.25,37.9,37.5,38.0,37.2,37.55,37.54,22.97,93.08,3.494.000
"June, 2018","37,2  -0,35 (-0,93%)",40.15,34.95,37.55,37.5,37.6,36.8,37.2,37.16,22.76,85.2,3.166.000
"July, 2018","37,25  0,05 (0,13%)",39.8,34.6,37.2,36.7,37.3,36.4,37.25,36.92,22.79,90.24,3.332.000
"August, 2018","36,3  -0,45 (-1,22%)",39.3,34.2,36.75,36.0,36.3,35.7,36.3,36.06,22.21,77.25,2.786.000
"September, 2018","35,5  -0,8 (-2,2%)",38.8,33.8,36.3,35.5,36.25,34.8,35.5,35.28,21.72,94.04,3.318.000
"October, 2018","26,3  1,7 (6,91%)",26.3,22.9,24.6,26.3,26.3,26.3,26.3,26.29,16.09,30.5,756.000
"November, 2018","36,95  -0,15 (-0,4%)",39.65,34.55,37.1,36.9,37.0,36.25,36.95,36.58,22.6,100.06,3.660.000
"December, 2018","36,8  0,4 (1,1%)",38.9,33.9,36.4,36.5,36.85,36.3,36.8,36.65,22.51,80.51,2.951.000
"January, 2019","40,5  -0,05 (-0,12%)",43.35,37.75,40.55,40.45,40.55,40.4,40.5,40.46,24.78,18.76,759.000
"February, 2019","40,55  -0,45 (-1,1%)",43.85,38.15,41.0,40.3,40.75,40.25,40.55,40.510000000000005,24.81,42.14,1.707.000
"March, 2019","43,95  1,65 (3,9%)",45.25,39.35,42.3,43.0,43.95,43.0,43.95,43.47,26.89,93.56,4.067.000
"April, 2019","42,9  0,25 (0,59%)",45.6,39.7,42.65,42.65,42.9,42.6,42.9,42.760000000000005,26.24,45.07,1.927.000
"May, 2019","42,05  -0,05 (-0,12%)",45.0,39.2,42.1,42.1,42.1,41.95,42.05,42.04,25.72,29.4,1.236.000
"June, 2019","39  0,1 (0,26%)",41.6,36.2,38.9,38.8,39.0,38.3,39.0,38.77,23.86,27.6,1.070.000
"July, 2019","42,3  0,4 (0,95%)",44.8,39.0,41.9,41.7,42.4,41.7,42.3,42.03,25.880000000000003,57.32,2.409.000
"August, 2019","41,8  0,15 (0,36%)",44.55,38.75,41.65,41.7,41.9,41.6,41.8,41.760000000000005,25.57,42.05,1.756.000
"September, 2019","42,45  -0,05 (-0,12%)",45.45,39.55,42.5,42.4,42.55,42.35,42.45,42.45,25.97,34.65,1.471.000
"October, 2019","42,4  0,05 (0,12%)",45.3,39.4,42.35,42.3,42.5,42.3,42.4,42.35,25.94,41.35,1.751.000
"November, 2019","44,6  0,05 (0,11%)",47.65,41.45,44.55,44.4,44.75,44.4,44.6,44.57,27.28,54.27,2.419.000
"December, 2019","46,1  0,5 (1,1%)",48.75,42.45,45.6,45.6,46.2,45.6,46.1,45.86,28.2,52.16,2.392.000
"January, 2020","30,5  -0,5 (-1,61%)",33.15,28.85,31.0,30.8,31.0,30.5,30.5,30.67,30.5,52.62,1.614.000
"February, 2020","32,4  -0,6 (-1,82%)",35.3,30.7,33.0,32.85,32.9,31.4,32.4,32.37,32.4,104.31,3.377.000
"March, 2020","28,7  -0,4 (-1,37%)",31.1,27.1,29.1,29.2,29.35,28.65,28.7,29.130000000000003,28.7,44.97,1.310.000
"April, 2020","29,75  0,05 (0,17%)",31.75,27.65,29.7,29.55,29.8,29.5,29.75,29.72,29.75,63.45,1.886.000
"May, 2020","30,1  -0,2 (-0,66%)",32.4,28.2,30.3,30.35,30.4,30.0,30.1,30.130000000000003,30.1,97.68,2.943.000
"June, 2020","29,4  -0,05 (-0,17%)",31.5,27.4,29.45,29.7,29.8,29.3,29.4,29.59,0.0,108.87,3.222.000
"July, 2020","28,6  0 (0%)",30.6,26.6,28.6,28.5,28.7,28.35,28.6,28.51,0.0,64.79,1.847.000
"August, 2020","30,3  -0,3 (-0,98%)",32.7,28.5,30.6,30.5,30.7,30.3,30.3,30.48,0.0,65.97,2.011.000
"September, 2020","30,3  -0,1 (-0,33%)",32.5,28.3,30.4,30.25,30.5,30.25,30.3,30.35,0.0,65.47,1.987.000
"October, 2020","30,9  0,2 (0,65%)",32.8,28.6,30.7,30.75,30.9,30.7,30.9,30.78,0.0,89.83,2.765.000
"November, 2020","25,2  0,2 (0,8%)",26.75,23.25,25.0,25.1,25.2,25.0,25.2,25.06,0.0,82.55,2.069.000
