Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","25  -2 (-7,41%)",29.7,24.3,27.0,27.0,27.0,25.0,25.0,26.22,11.61,2.565.650,66.660.560
"February, 2014","17  0,1 (0,59%)",18.5,15.3,16.9,16.9,18.5,16.7,17.0,16.86,15.16,752.300,12.800.650
"March, 2014","16  -0,2 (-1,23%)",17.8,14.6,16.2,16.2,16.4,15.8,16.0,15.97,16.75,1.223.800,19.547.440
"April, 2014","15,3  0,1 (0,66%)",16.7,13.7,15.2,15.2,15.3,15.0,15.3,15.12,14.330000000000002,516.900,7.820.850
"May, 2014","13,4  -0,1 (-0,74%)",14.8,12.2,13.5,13.2,13.6,13.1,13.4,13.39,92.9,3.359.196,44.967.433
"June, 2014","14,5  0,2 (1,4%)",15.7,12.9,14.3,14.2,14.6,14.1,14.5,14.39,10.46,1.426.300,20.538.790
"July, 2014","13,8  0,1 (0,73%)",15.0,12.4,13.7,13.7,13.9,13.5,13.8,13.74,97.9,1.211.210,16.644.197
"August, 2014","14,5  0 (0%)",15.9,13.1,14.5,14.6,14.7,14.3,14.5,14.49,10.0,2.042.580,29.602.461
"September, 2014","23,6  1,9 (8,76%)",23.8,19.6,21.7,22.5,23.6,21.7,23.6,22.53,12.79,3.645.477,82.815.001
"October, 2014",25  0 (0%),27.5,22.5,25.0,25.0,25.3,24.8,25.0,24.96,12.1,2.348.292,58.631.845
"November, 2014","27  -1 (-3,57%)",30.8,25.2,28.0,28.0,28.0,26.8,27.0,27.22,12.44,1.719.403,46.753.877
"December, 2014","23,1  0,4 (1,76%)",24.9,20.5,22.7,23.0,24.4,22.7,23.1,23.66,12.12,2.993.187,70.471.029
"January, 2015","17,7  -0,6 (-3,28%)",20.1,16.5,18.3,17.6,18.3,17.2,17.7,17.64,13.63,1.311.500,23.149.821
"February, 2015","18,2  -0,6 (-3,19%)",20.6,17.0,18.8,18.8,18.8,18.2,18.2,18.51,13.11,2.207.817,40.752.359
"March, 2015","17,6  0,1 (0,57%)",19.2,15.8,17.5,17.5,17.9,17.2,17.6,17.52,12.39,3.435.135,60.247.078
"April, 2015","14,4  -0,2 (-1,37%)",16.0,13.2,14.6,14.5,14.6,14.2,14.4,14.34,12.23,2.404.800,34.526.840
"May, 2015","14  -0,4 (-2,78%)",15.8,13.0,14.4,14.4,14.4,13.9,14.0,14.06,10.54,1.789.770,25.139.341
"June, 2015","12,8  -0,2 (-1,54%)",14.3,11.7,13.0,13.0,13.2,12.8,12.8,12.94,87.5,4.365.215,56.432.033
"July, 2015","12,1  -0,2 (-1,63%)",13.5,11.1,12.3,12.4,12.5,12.1,12.1,12.28,93.4,3.158.670,38.751.267
"August, 2015","9,9  -0,2 (-1,98%)",10.8,94.0,10.1,10.1,10.1,96.0,99.0,98.7,77.2,4.008.390,39.580.000
"September, 2015","9,3  -0,1 (-1,06%)",10.0,88.0,94.0,95.0,96.0,93.0,93.0,93.9,72.5,992.780,9.320.000
"October, 2015","10,4  0,4 (4%)",10.7,93.0,10.0,10.1,10.6,10.1,10.4,10.36,82.8,6.520.360,67.582.000
"November, 2015","9,6  -0,5 (-4,95%)",10.8,94.0,10.1,10.1,10.1,96.0,96.0,98.3,76.4,4.333.840,42.621.000
"December, 2015","9,1  -0,1 (-1,09%)",99.0,87.0,92.0,92.0,93.0,91.0,91.0,91.9,71.6,1.696.990,15.597.000
"January, 2016","7,7  0 (0%)",82.0,72.0,77.0,78.0,79.0,76.0,77.0,77.3,62.9,1.616.890,12.507.000
"February, 2016","8,1  0 (0%)",86.0,76.0,81.0,81.0,82.0,81.0,81.0,81.4,66.2,1.001.970,8.156.000
"March, 2016","7,2  -0,2 (-2,7%)",79.0,69.0,74.0,74.0,75.0,72.0,72.0,73.4,58.8,1.193.860,8.757.000
"April, 2016","7,1  0 (0%)",75.0,67.0,71.0,71.0,72.0,7.0,71.0,71.0,58.7,759.780,5.393.000
"May, 2016","6,6  -0,1 (-1,49%)",71.0,63.0,67.0,67.0,67.0,66.0,66.0,66.1,53.8,1.592.270,10.643.000
"June, 2016","6  -0,1 (-1,64%)",65.0,57.0,61.0,6.0,61.0,59.0,6.0,60.4,55.0,1.256.360,7.591.000
"July, 2016","6,8  -0,2 (-2,86%)",74.0,66.0,7.0,67.0,69.0,66.0,68.0,67.5,61.3,3.556.400,24.001.000
"August, 2016","6  -0,1 (-1,64%)",65.0,57.0,61.0,61.0,62.0,6.0,6.0,60.2,54.1,890.000,5.360.000
"September, 2016","5,01  0,07 (1,42%)",52.8,46.0,49.4,5.0,50.8,48.6,50.1,49.5,45.2,1.541.690,7.632.300
"October, 2016","5,17  -0,09 (-1,71%)",56.2,49.0,52.6,52.6,52.8,51.7,51.7,52.1,46.6,1.010.670,5.268.000
"November, 2016","5,31  0 (0%)",56.8,49.4,53.1,51.3,53.2,51.0,53.1,52.1,48.9,4.277.900,22.301.000
"December, 2016","4,48  -0,08 (-1,75%)",48.7,42.5,45.6,45.3,45.3,44.0,44.8,44.5,41.2,885.450,3.938.000
"January, 2017","3,99  0,04 (1,01%)",42.2,36.8,39.5,39.5,4.0,39.3,39.9,39.6,36.5,580.020,2.296.000
"February, 2017","5,44  0,35 (6,88%)",54.4,47.4,50.9,50.9,54.4,50.6,54.4,53.2,49.7,14.546.350,77.413.000
"March, 2017","4,9  -0,02 (-0,41%)",52.6,45.8,49.2,49.5,49.7,48.4,49.0,49.3,44.8,3.433.560,16.916.000
