Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","24,3  1 (4,29%)",24.9,21.7,23.3,23.5,24.3,23.5,24.3,23.98,11.35,163.37,3.918.000
"February, 2014","19,4  -0,4 (-2,02%)",21.1,18.5,19.8,19.0,19.5,18.6,19.4,19.04,69.2,10.14,193.061
"March, 2014","17,2  0 (0%)",18.4,16.0,17.2,17.2,17.2,17.0,17.2,17.05,66.5,14.85,253.160
"April, 2014",16  0 (0%),17.1,14.9,16.0,16.0,16.0,16.0,16.0,16.0,61.9,200.0,3.2
"May, 2014","15,7  0,2 (1,29%)",16.5,14.5,15.5,15.5,15.8,14.8,15.7,15.57,60.7,7.77,121.0
"June, 2014","16,3  0,4 (2,52%)",17.0,14.8,15.9,15.0,16.4,15.0,16.3,16.169999999999998,63.0,1.27,21.000
"July, 2014","18,2  0,5 (2,82%)",18.9,16.5,17.7,17.4,18.9,17.4,18.2,18.25,70.4,191.08,3.487.000
"August, 2014","26  1,7 (7%)",26.0,22.6,24.3,24.3,26.0,24.3,26.0,25.33,10.05,273.35,6.924.000
"September, 2014","32,4  0,8 (2,53%)",33.8,29.4,31.6,31.5,32.5,31.3,32.4,31.910000000000004,12.53,87.73,2.800.000
"October, 2014","23,9  0,7 (3,02%)",24.8,21.6,23.2,23.1,23.9,23.1,23.9,23.7,11.16,69.38,1.645.000
"November, 2014","23,3  0 (0%)",24.9,21.7,23.3,23.3,23.5,22.8,23.3,23.1,10.88,61.08,1.411.000
"December, 2014","22,8  0,7 (3,17%)",23.6,20.6,22.1,22.1,23.0,22.1,22.8,22.67,10.65,17.24,391.0
"January, 2015","24,7  -1 (-3,89%)",27.4,24.0,25.7,25.5,25.6,24.7,24.7,25.29,11.53,104.06,2.632.000
"February, 2015","23,3  -0,4 (-1,69%)",25.3,22.1,23.7,23.7,23.7,23.2,23.3,23.33,11.6,49.82,1.162.000
"March, 2015","25,9  0 (0%)",27.7,24.1,25.9,26.0,26.2,25.8,25.9,25.96,12.9,131.81,3.421.000
"April, 2015","25  -0,1 (-0,4%)",26.8,23.4,25.1,25.1,25.3,24.9,25.0,25.0,12.45,43.18,1.080.000
"May, 2015","24,9  0,4 (1,63%)",26.2,22.8,24.5,25.0,25.4,24.7,24.9,24.94,12.4,73.36,1.829.000
"June, 2015","23,1  -0,2 (-0,86%)",24.9,21.7,23.3,23.3,23.3,22.7,23.1,22.93,11.5,60.76,1.393.000
"July, 2015","24,5  -0,4 (-1,61%)",26.6,23.2,24.9,25.3,25.4,24.5,24.5,24.91,12.2,119.92,2.987.000
"August, 2015","23,5  -0,3 (-1,26%)",25.4,22.2,23.8,23.4,23.9,23.0,23.5,23.31,13.13,33.55,782.000
"September, 2015","25,3  0,1 (0,4%)",26.9,23.5,25.2,25.6,25.6,25.2,25.3,25.37,13.9,123.03,3.122.000
"October, 2015","26,9  -0,6 (-2,18%)",29.4,25.6,27.5,27.9,27.9,26.7,26.9,27.08,17.61,103.57,2.804.000
