Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","47,8  -0,3 (-0,62%)",51.0,44.8,48.1,48.0,48.4,47.8,47.8,48.14,14.72,761.233,37.211.000
"February, 2014","64  1 (1,59%)",67.0,59.0,63.0,63.0,64.0,62.0,64.0,62.67999999999999,13.49,1.832.990,118.012.525
"March, 2014","70  -0,5 (-0,71%)",75.0,66.0,70.5,72.0,72.0,69.5,70.0,70.21000000000001,14.75,980.380,69.410.475
"April, 2014","68,5  0 (0%)",73.0,64.0,68.5,68.0,68.5,67.5,68.5,68.1,14.43,607.380,41.511.235
"May, 2014","46,2  0,1 (0,22%)",49.3,42.9,46.1,46.1,46.8,45.9,46.2,46.24,12.53,659.030,30.473.000
"June, 2014","46,6  -0,2 (-0,43%)",50.0,43.6,46.8,46.6,47.0,46.6,46.6,46.78,12.72,467.120,22.066.000
"July, 2014","50,5  0,6 (1,2%)",53.0,46.5,49.9,49.9,50.5,49.7,50.5,50.010000000000005,14.22,705.490,35.278.000
"August, 2014","57,5  0,5 (0,88%)",60.5,53.5,57.0,57.0,57.5,56.0,57.5,56.720000000000006,16.7,2.538.360,147.403.000
"September, 2014",52  0 (0%),55.5,48.4,52.0,52.0,53.0,51.5,52.0,52.07000000000001,15.22,908.550,47.311.000
"October, 2014",51  1 (2%),53.5,46.5,50.0,50.0,51.0,49.9,51.0,50.55,15.35,381.64,19.468.000
"November, 2014","48,1  -0,6 (-1,23%)",52.0,45.3,48.7,48.9,48.9,48.1,48.1,48.37,14.75,526.360,25.463.000
"December, 2014","48  1,7 (3,67%)",49.5,43.1,46.3,46.7,48.0,46.5,48.0,47.35,14.97,471.32,22.316.000
"January, 2015","47,5  -0,4 (-0,84%)",51.0,44.6,47.9,48.0,48.1,47.5,47.5,47.78,15.39,607.47,29.090.000
"February, 2015","48,8  -0,2 (-0,41%)",52.0,45.6,49.0,49.1,49.3,48.7,48.8,48.96,16.25,314.94,15.419.000
"March, 2015","48,4  0 (0%)",51.5,45.1,48.4,48.4,48.7,48.4,48.4,48.510000000000005,16.68,365.797,18.141.000
"April, 2015","51,5  1 (1,98%)",54.0,47.0,50.5,51.5,52.5,51.0,51.5,51.58,18.27,636.760,32.841.000
"May, 2015","45  -0,4 (-0,88%)",48.5,42.3,45.4,45.5,45.5,44.9,45.0,45.08,19.12,357.830,16.131.000
"June, 2015","46,4  -0,4 (-0,85%)",50.0,43.6,46.8,46.3,46.7,46.3,46.4,46.45,19.72,1.138.220,52.890.000
"July, 2015","47,3  0 (0%)",50.5,44.0,47.3,47.7,47.8,47.3,47.3,47.52,20.61,541.330,25.726.000
"August, 2015","44,2  -0,5 (-1,12%)",47.8,41.6,44.7,44.5,44.8,44.1,44.2,44.46,20.73,383.64,17.058.000
"September, 2015","44,5  0 (0%)",47.6,41.4,44.5,44.8,44.8,44.3,44.5,44.47,20.74,2.159.670,97.180.000
"October, 2015","49,3  0 (0%)",52.5,45.9,49.3,49.4,49.5,48.9,49.3,49.14,23.630000000000003,1.003.840,49.405.100
"November, 2015","48,3  -0,6 (-1,23%)",52.0,45.5,48.9,49.0,49.0,48.3,48.3,48.510000000000005,23.81,1.137.600,55.258.000
"December, 2015","48,3  0 (0%)",51.5,45.0,48.3,48.3,48.8,48.2,48.3,48.43,24.25,717.340,34.926.900
"January, 2016","46,4  0,4 (0,87%)",49.2,42.8,46.0,46.3,46.5,45.9,46.4,46.17,23.48,496.97,22.943.000
"February, 2016","47,8  0,1 (0,21%)",51.0,44.4,47.7,47.8,47.9,47.6,47.8,47.75,24.58,516.250,24.651.000
"March, 2016","47,1  -0,4 (-0,84%)",50.5,44.2,47.5,47.5,48.0,47.1,47.1,47.47,25.42,787.13,37.738.500
"April, 2016","48,6  0,2 (0,41%)",51.5,45.1,48.4,48.4,48.7,48.3,48.6,48.49,27.19,867.954,42.850.151
"May, 2016","40,8  -0,3 (-0,73%)",43.9,38.3,41.1,41.2,41.2,40.8,40.8,40.96,23.51,589.35,24.139.000
"June, 2016","41,8  -0,2 (-0,48%)",44.9,39.1,42.0,41.8,42.6,41.8,41.8,42.23,23.96,669.690,28.284.000
"July, 2016","41  -0,3 (-0,73%)",44.1,38.5,41.3,41.3,41.4,41.0,41.0,41.15,23.39,241.53,9.940.000
"August, 2016","43,9  1,3 (3,05%)",45.5,39.7,42.6,42.9,44.4,42.7,43.9,43.73,25.65,3.190.540,139.533.000
"September, 2016","46,65  -0,7 (-1,48%)",50.6,44.05,47.35,47.4,47.4,46.65,46.65,47.0,27.29,1.725.770,81.105.000
"October, 2016","43,5  -0,1 (-0,23%)",46.65,40.55,43.6,43.7,43.9,43.5,43.5,43.67,25.47,466.100,20.654.000
"November, 2016","43,35  0,2 (0,46%)",46.15,40.15,43.15,43.0,43.35,42.9,43.35,43.06,25.62,333.35,14.211.365
"December, 2016","44  0,55 (1,27%)",46.45,40.45,43.45,43.6,44.25,43.35,44.0,43.93,26.0,2.093.340,91.747.500
"January, 2017","45,1  0,4 (0,89%)",47.8,41.6,44.7,44.9,45.3,44.65,45.1,45.03,26.12,4.475.824,212.777.781
"February, 2017","45,85  -0,7 (-1,5%)",49.8,43.3,46.55,46.6,46.8,45.8,45.85,46.33,26.55,787.960,36.506.000
"March, 2017","47,3  0,2 (0,42%)",50.3,43.85,47.1,47.1,47.7,47.0,47.3,47.39,27.42,1.303.360,61.995.000
"April, 2017","46,45  -0,05 (-0,11%)",49.75,43.25,46.5,46.4,46.55,46.0,46.45,46.34,27.0,444.560,20.599.000
"May, 2017",43  0 (0%),46.0,40.0,43.0,43.0,43.55,43.0,43.0,43.3,29.53,2.413.000,104.076.000
"June, 2017","46,85  0,35 (0,75%)",49.75,43.25,46.5,46.5,46.85,45.8,46.85,46.49,32.19,1.217.400,56.918.000
"July, 2017","48,35  -0,2 (-0,41%)",51.9,45.2,48.55,48.5,48.6,48.1,48.35,48.39,33.34,663.380,32.100.000
"August, 2017","48,5  0,7 (1,46%)",51.1,44.5,47.8,47.8,48.8,47.8,48.5,48.39,34.25,1.115.030,53.961.000
"September, 2017","48,75  -0,2 (-0,41%)",52.3,45.55,48.95,48.9,49.0,48.6,48.75,48.79,34.660000000000004,395.560,19.298.000
"October, 2017","50,4  0,4 (0,8%)",53.5,46.5,50.0,50.0,51.4,49.6,50.4,50.64,36.09,3.598.360,175.410.975
"November, 2017","58,4  -0,9 (-1,52%)",63.4,55.2,59.3,59.9,60.0,58.4,58.4,59.25,41.94,4.100.130,247.097.794
"December, 2017","57,1  -0,1 (-0,17%)",61.2,53.2,57.2,57.2,57.6,57.0,57.1,57.29,41.02,1.559.860,89.366.000
"January, 2018","62,9  -1,1 (-1,72%)",68.4,59.6,64.0,64.8,65.5,62.9,62.9,64.57000000000001,45.19,4.038.780,260.968.000
"February, 2018","59,8  0 (0%)",63.9,55.7,59.8,59.2,60.4,59.1,59.8,59.63,42.96,2.835.710,173.361.000
"March, 2018","60,7  1,2 (2,02%)",63.6,55.4,59.5,59.6,61.3,59.4,60.7,60.58,43.61,7.515.450,470.513.432
"April, 2018","57  2 (3,64%)",58.8,51.2,55.0,55.0,57.4,54.9,57.0,56.19,40.95,1.622.340,91.220.244
"May, 2018","46  0,55 (1,21%)",48.6,42.3,45.45,45.05,46.7,45.0,46.0,46.05,39.0,1.245.040,57.670.000
"June, 2018","41,5  -1 (-2,35%)",45.45,39.55,42.5,42.5,43.0,41.5,41.5,42.09,35.239999999999995,759.780,31.978.000
"July, 2018","42,8  -0,5 (-1,15%)",46.3,40.3,43.3,43.3,43.5,42.8,42.8,43.04,36.34,1.691.210,73.116.000
"August, 2018","44,2  0,05 (0,11%)",47.2,41.1,44.15,44.15,44.9,44.1,44.2,44.46,38.41,1.027.280,45.672.000
"September, 2018","46,3  0,1 (0,22%)",49.4,43.0,46.2,46.5,46.5,46.25,46.3,46.39,40.23,559.790,25.970.000
"October, 2018","41,95  0,95 (2,32%)",43.85,38.15,41.0,41.75,42.0,41.3,41.95,41.71,36.45,325.140,13.560.000
"November, 2018","42,9  0 (0%)",45.9,39.9,42.9,42.9,42.95,42.65,42.9,42.77,37.28,388.780,16.830.500
"December, 2018","42,2  0,4 (0,96%)",44.7,38.9,41.8,42.05,42.2,41.8,42.2,42.07,36.67,541.67,22.732.050
"January, 2019","43,2  0 (0%)",46.2,40.2,43.2,43.3,43.4,42.9,43.2,43.09,37.54,517.260,22.290.000
"February, 2019","44,2  -0,9 (-2%)",48.25,41.95,45.1,45.1,45.1,44.2,44.2,44.54,38.41,1.411.260,63.005.128
"March, 2019","45,5  0,35 (0,78%)",48.3,42.0,45.15,45.6,45.6,45.3,45.5,45.48,39.53,573.750,26.450.100
"April, 2019","49,55  0,75 (1,54%)",52.2,45.4,48.8,48.9,49.75,48.8,49.55,49.4,43.23,919.860,45.592.302
"May, 2019","44,1  -0,45 (-1,01%)",47.65,41.45,44.55,44.6,44.8,44.1,44.1,44.47,43.24,611.860,27.210.000
"June, 2019","45,5  0,1 (0,22%)",48.55,42.25,45.4,45.4,46.0,44.9,45.5,45.260000000000005,44.62,2.479.220,112.206.000
"July, 2019","48,4  0,6 (1,26%)",51.1,44.5,47.8,47.8,48.4,47.5,48.4,47.85,47.66,1.184.780,56.778.050
"August, 2019","53,1  0,4 (0,76%)",56.3,49.05,52.7,53.0,53.4,52.9,53.1,53.16,53.57000000000001,1.018.101,53.210.296
"September, 2019","57,7  -0,8 (-1,37%)",62.5,54.5,58.5,59.3,59.5,57.7,57.7,58.58,58.27,2.369.170,139.443.000
"October, 2019","57,9  0,1 (0,17%)",61.8,53.8,57.8,58.0,58.7,57.8,57.9,58.19,58.470000000000006,1.333.590,77.858.360
"November, 2019","56,4  0,4 (0,71%)",59.9,52.1,56.0,56.0,56.8,55.8,56.4,56.38,56.96,739.370,41.687.000
"December, 2019","58,3  -0,3 (-0,51%)",62.7,54.5,58.6,58.6,58.7,58.0,58.3,58.31,58.88,689.030,40.175.000
"January, 2020","52  -2,7 (-4,94%)",58.5,50.9,54.7,54.0,54.9,52.0,52.0,53.010000000000005,51.620000000000005,4.371.050,233.086.650
