Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2018","73,6  0,9 (1,24%)",77.7,67.7,72.7,70.6,73.6,70.6,73.6,72.2,59.11,2.95,213.000
"February, 2018","71  -2,6 (-3,53%)",78.7,68.5,73.6,73.2,73.2,70.1,71.0,70.56,57.02,1.97,139.000
"March, 2018","75,5  2,5 (3,42%)",78.1,67.9,73.0,76.0,76.0,73.0,75.5,75.28999999999999,60.63,36.38,2.739.000
"April, 2018","160,5  10,5 (7%)",16.05,13.95,15.0,16.05,16.05,15.35,16.05,159.20999999999998,75.82000000000001,3.320.730,529.715.000
"May, 2018","90,4  3,4 (3,91%)",93.0,81.0,87.0,87.0,90.5,87.0,90.4,88.17999999999999,72.6,30.53,2.692.000
"June, 2018","81  0,5 (0,62%)",86.1,74.9,80.5,80.5,83.0,79.5,81.0,80.52000000000001,65.05,54.37,4.378.000
"July, 2018","74,8  -0,2 (-0,27%)",80.2,69.8,75.0,70.1,75.0,70.1,74.8,71.85,60.07000000000001,15.95,1.146.000
"August, 2018","76,4  0,4 (0,53%)",81.3,70.7,76.0,76.0,76.4,74.5,76.4,76.03999999999999,61.35,8.68,660.000
"September, 2018","76,1  1,6 (2,15%)",79.7,69.3,74.5,75.0,76.3,75.0,76.1,75.91,61.11,39.56,3.003.000
"October, 2018","72,7  4,7 (6,91%)",72.7,63.3,68.0,65.8,72.7,65.8,72.7,69.85,58.38,33.17,2.317.000
"November, 2018","73  0,5 (0,69%)",77.5,67.5,72.5,73.0,73.0,71.0,73.0,72.63,58.620000000000005,86.22,6.262.000
"December, 2018","71,9  -3,6 (-4,77%)",80.7,70.3,75.5,75.5,75.5,71.9,71.9,74.9,57.74,59.04,4.404.020
"January, 2019","68,4  -0,1 (-0,15%)",73.2,63.8,68.5,69.9,69.9,68.4,68.4,67.57000000000001,54.92999999999999,370.0,25.000
"February, 2019","61,5  -1,3 (-2,07%)",67.1,58.5,62.8,63.8,63.8,61.0,61.5,62.59,49.39,74.62,4.641.000
"March, 2019","49,7  1,7 (3,54%)",51.3,44.65,48.0,48.0,49.8,48.0,49.7,48.61,40.010000000000005,66.94,3.254.000
"April, 2019","51,2  -1,5 (-2,85%)",56.3,49.05,52.7,53.8,53.8,51.2,51.2,52.79,41.34,7.54,398.000
"May, 2019","50,7  0,2 (0,4%)",54.0,47.0,50.5,50.1,51.0,50.1,50.7,50.57,41.08,22.09,1.117.000
"June, 2019","64  4 (6,67%)",64.2,55.8,60.0,60.0,64.0,58.8,64.0,63.66,52.91,141.91,9.034.000
"July, 2019","48  -7 (-12,73%)",51.1,44.5,55.0,47.0,48.0,47.0,48.0,47.79,45.7,55.1,2.633.000
