Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2017","9,9  0,5 (5,32%)",10.05,87.5,94.0,94.5,10.0,94.5,99.0,93.8,99.0,1.6,15.0
"February, 2017","12,8  0,8 (6,67%)",12.8,11.2,12.0,12.8,12.8,12.8,12.8,12.8,12.8,460.0,6.0
"March, 2017","24,45  -1,8 (-6,86%)",28.05,24.45,26.25,24.45,24.45,24.45,24.45,24.45,24.45,2.85,70.0
"April, 2017","13,9  0,4 (2,96%)",14.4,12.6,13.5,13.5,13.9,12.6,13.9,12.5,13.9,480.0,6.0
"May, 2017","16,1  -1,2 (-6,94%)",18.5,16.1,17.3,16.2,18.5,16.1,16.1,16.19,16.1,27.48,445.0
"June, 2017","14,7  -0,1 (-0,68%)",15.8,13.8,14.8,14.8,15.0,14.0,14.7,14.2,14.7,4.79,68.0
"July, 2017","12,75  -0,3 (-2,3%)",13.95,12.15,13.05,12.3,12.75,12.2,12.75,12.26,12.75,2.12,26.0
"August, 2017","12,65  0,15 (1,2%)",13.35,11.65,12.5,12.95,12.95,12.65,12.65,20.0,12.65,50.0,1.0
"September, 2017","11  0,3 (2,8%)",11.4,99.6,10.7,11.0,11.0,11.0,11.0,11.0,11.0,10.0,110.0
"October, 2017","10  -0,2 (-1,96%)",10.9,94.9,10.2,95.0,10.0,94.9,10.0,99.0,10.0,1.01,10.0
"November, 2017","9,4  -0,7 (-6,93%)",10.8,94.0,10.1,10.05,10.05,94.0,94.0,99.4,94.0,3.42,34.0
"December, 2017","9,48  0,48 (5,33%)",96.3,83.7,9.0,9.0,94.8,89.9,94.8,11.76,94.8,170.0,2.0
"January, 2018","10,3  0,67 (6,96%)",10.3,89.6,96.3,96.3,10.3,96.3,10.3,10.11,10.3,10.78,109.0
"February, 2018","12,15  0,75 (6,58%)",12.15,10.65,11.4,12.15,12.15,12.15,12.15,12.12,12.15,9.82,119.0
"March, 2018","11  -0,5 (-4,35%)",12.3,10.7,11.5,11.0,11.0,10.7,11.0,10.64,11.0,470.0,5.0
"April, 2018","12,2  0,65 (5,63%)",12.35,10.75,11.55,12.2,12.2,10.9,12.2,11.59,12.2,2.76,32.0
"May, 2018","11  0,55 (5,26%)",11.15,97.2,10.45,10.0,11.05,97.2,11.0,95.8,11.0,2.4,23.0
"June, 2018","8,5  -0,53 (-5,87%)",96.6,84.0,90.3,85.0,85.0,85.0,85.0,85.0,85.0,20.0,170.0
