Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"August, 2020","11,7  0 (0%)",0.0,0.0,0.0,12.1,12.1,11.65,11.7,11.72,0.0,525.970,6.164.000
"September, 2020","11,79  0,09 (0,77%)",12.51,10.89,11.7,11.7,11.8,11.7,11.79,11.77,0.0,1.198.190,14.078.000
"October, 2020","11,85  0,06 (0,51%)",12.61,10.97,11.79,11.85,12.0,11.75,11.85,11.83,0.0,894.190,10.579.000
"November, 2020","11,82  -0,03 (-0,25%)",12.67,11.03,11.85,11.85,12.0,11.73,11.82,11.79,0.0,862.710,10.174.500
"December, 2020","12,53  0,07 (0,56%)",13.330000000000002,11.59,12.46,12.53,12.53,12.53,12.53,10.0,0.0,100.0,1.000
"January, 2021","12,37  0,46 (3,86%)",12.74,11.08,11.91,11.64,12.37,11.64,12.37,12.01,0.0,80.0,961.000
"February, 2021","13,8  0,3 (2,22%)",14.44,12.56,13.5,13.56,13.8,13.56,13.8,13.55,0.0,9.300,126.000
"March, 2021","13,94  -0,01 (-0,07%)",14.919999999999998,12.98,13.95,13.98,14.01,13.919999999999998,13.94,13.97,0.0,574.0,8.084.000
"April, 2021","15,69  0,83 (5,59%)",15.9,13.82,14.86,15.31,15.69,15.06,15.69,15.09,0.0,27.1,409.000
"May, 2021","17,3  0,28 (1,65%)",18.21,15.830000000000002,17.02,17.02,17.3,17.02,17.3,17.14,0.0,11.200,192.000
"June, 2021","18  -0,2 (-1,1%)",19.47,16.93,18.2,18.3,18.3,17.990000000000002,18.0,18.09,0.0,21.5,389.000
"July, 2021","17  0,2 (1,19%)",17.97,15.63,16.8,16.8,17.0,16.78,17.0,16.89,0.0,30.5,515.000
"August, 2021","16,83  -0,02 (-0,12%)",18.02,15.68,16.85,16.85,16.85,16.71,16.830000000000002,16.82,0.0,53.7,903.000
"September, 2021","17,14  0,04 (0,23%)",18.29,15.91,17.1,17.1,17.14,17.009999999999998,17.14,17.06,0.0,118.0,2.013.000
"October, 2021","18,06  0,03 (0,17%)",19.29,16.77,18.03,18.009999999999998,18.06,17.94,18.06,17.98,0.0,18.3,329.000
"November, 2021","18,11  -0,16 (-0,88%)",19.54,17.0,18.27,18.39,18.39,18.05,18.11,18.130000000000003,0.0,123.5,2.376.000
"December, 2021","18,09  0,2 (1,12%)",19.14,16.64,17.89,17.86,18.09,17.86,18.09,17.990000000000002,0.0,134.2,2.414.000
