Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2017","11,7  0 (0%)",12.51,10.89,11.7,11.7,11.9,11.7,11.7,11.81,11.7,3.81,45.000
"February, 2017","10,75  -0,05 (-0,46%)",11.55,10.05,10.8,10.75,10.75,10.75,10.75,10.81,10.75,7.68,83.000
"March, 2017","10,75  0 (0%)",11.5,10.0,10.75,0.0,0.0,0.0,10.75,0.0,10.75,,
"April, 2017","12  0,3 (2,56%)",12.51,10.89,11.7,11.81,12.2,11.8,12.0,11.91,12.0,298.76,3.559.000
"May, 2017","12,1  0,1 (0,83%)",12.84,11.16,12.0,12.7,12.7,12.0,12.1,12.05,12.1,421.83,5.084.000
"June, 2017","12,1  0 (0%)",12.94,11.26,12.1,11.9,12.5,11.9,12.1,12.28,12.1,32.57,400.000
"July, 2017","12,3  0,2 (1,65%)",12.94,11.26,12.1,12.2,12.3,12.2,12.3,12.29,12.3,35.0,430.000
"August, 2017","12  -0,3 (-2,44%)",13.16,11.44,12.3,12.3,12.3,12.0,12.0,12.08,12.0,24.58,297.000
"September, 2017","11,22  0,12 (1,08%)",11.87,10.33,11.1,11.13,11.25,11.13,11.22,11.19,11.22,92.2,1.032.000
"October, 2017","10,8  0 (0%)",11.55,10.05,10.8,10.8,10.85,10.8,10.8,10.81,10.8,18.88,204.0
"November, 2017","11,7  -0,1 (-0,85%)",12.62,10.98,11.8,12.42,12.42,11.7,11.7,11.74,11.7,49.42,580.000
"December, 2017","12,86  0,13 (1,02%)",13.62,11.84,12.73,12.65,12.87,12.65,12.86,12.84,12.86,62.07,797.000
"January, 2018","14,8  0,1 (0,68%)",15.72,13.68,14.7,14.7,14.8,14.61,14.8,14.69,14.8,42.6,626.000
"February, 2018","14,6  0 (0%)",15.62,13.580000000000002,14.6,14.6,14.7,14.55,14.6,14.59,14.6,164.03,2.393.000
"March, 2018","15,42  0,03 (0,19%)",16.46,14.32,15.39,15.41,15.419999999999998,15.35,15.419999999999998,15.39,15.419999999999998,102.33,1.575.000
"April, 2018","13,95  -0,54 (-3,73%)",15.5,13.48,14.49,14.1,14.51,13.95,13.95,13.98,13.95,28.040,392.000
"May, 2018","13  0,2 (1,56%)",13.69,11.91,12.8,12.8,13.0,12.8,13.0,12.86,13.0,15.47,199.0
"June, 2018","13  -0,1 (-0,76%)",14.01,12.19,13.1,13.0,13.0,13.0,13.0,13.0,13.0,40.31,524.0
"July, 2018","13  0,1 (0,78%)",13.8,12.0,12.9,12.9,13.0,12.9,13.0,12.95,13.0,42.0,544.000
"August, 2018","13,7  0,1 (0,74%)",14.55,12.65,13.6,13.6,13.7,13.6,13.7,13.65,13.7,80.0,1.092.000
"September, 2018","13,9  0,05 (0,36%)",14.81,12.89,13.85,13.85,13.9,13.85,13.9,13.88,13.9,56.0,777.000
"October, 2018","12,3  0,2 (1,65%)",12.94,11.26,12.1,12.1,12.3,12.1,12.3,12.16,12.3,30.19,367.000
"November, 2018","12,6  0 (0%)",13.48,11.72,12.6,12.6,12.6,12.5,12.6,12.55,12.6,35.15,441.000
"December, 2018","12,25  0,05 (0,41%)",13.05,11.35,12.2,12.2,12.25,12.2,12.25,12.23,12.25,30.01,367.000
"January, 2019","12,28  0,03 (0,24%)",13.1,11.4,12.25,12.28,12.3,12.22,12.28,12.29,12.28,61.86,760.000
"February, 2019","13,1  -0,25 (-1,87%)",14.28,12.42,13.35,13.35,13.4,13.1,13.1,13.28,13.1,83.84,1.113.000
"March, 2019","13,2  0,1 (0,76%)",14.01,12.19,13.1,13.1,13.2,13.0,13.2,13.080000000000002,13.2,17.13,224.0
"April, 2019","13,1  0,1 (0,77%)",13.91,12.09,13.0,13.0,13.1,13.0,13.1,13.03,13.1,56.19,732.000
"May, 2019","12,83  0,03 (0,23%)",13.69,11.91,12.8,12.8,12.830000000000002,12.8,12.830000000000002,12.78,12.830000000000002,30.350,388.000
"June, 2019","12,6  0,2 (1,61%)",13.26,11.54,12.4,12.5,12.6,12.3,12.6,12.41,12.6,127.67,1.584.000
"July, 2019","12,78  -0,07 (-0,54%)",13.74,11.96,12.85,12.78,12.78,12.74,12.78,12.77,12.78,102.45,1.308.000
"August, 2019","12,95  0,09 (0,7%)",13.76,11.96,12.86,12.86,12.95,12.86,12.95,12.9,12.95,115.0,1.484.000
"September, 2019","13,36  0,01 (0,07%)",14.28,12.42,13.35,13.35,13.36,13.35,13.36,13.36,13.36,66.16,884.000
"October, 2019","13,3  -0,02 (-0,15%)",14.25,12.39,13.32,13.34,13.37,13.3,13.3,13.34,13.3,164.69,2.198.099
"November, 2019","12,87  0,02 (0,16%)",13.74,11.96,12.85,12.85,12.87,12.85,12.87,12.86,12.87,82.6,1.062.000
