Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2020","11,4  0 (0%)",12.19,10.61,11.4,11.4,11.47,11.38,11.4,11.39,0.0,2.114.620,25.125.000
"February, 2020","12,01  0,61 (5,35%)",12.19,10.61,11.4,11.96,12.01,11.43,12.01,11.71,0.0,547.160,6.408.000
"March, 2020","8,98  -0,67 (-6,94%)",10.32,89.8,96.5,89.8,89.8,89.8,89.8,91.7,89.8,1.090,10.000
"April, 2020","8  0,03 (0,38%)",85.2,74.2,79.7,8.0,8.0,8.0,8.0,8.0,8.0,50.0,400.0
"May, 2020","9,28  -0,02 (-0,22%)",99.5,86.5,93.0,93.0,93.0,92.8,92.8,14.29,92.8,11.550.070,103.720.000
"June, 2020","8,95  -0,06 (-0,67%)",96.4,83.8,90.1,90.4,90.4,88.1,89.5,89.3,0.0,70.1,626.000
"July, 2020","8,57  0,01 (0,12%)",91.5,79.7,85.6,83.7,85.7,83.7,85.7,85.1,0.0,182.470,1.553.000
"August, 2020","9,75  0 (0%)",10.43,90.7,97.5,97.5,97.5,97.3,97.5,10.0,0.0,1.7,17.0
"September, 2020","10,38  0,03 (0,29%)",11.07,96.3,10.35,10.3,10.38,10.23,10.38,10.2,0.0,5.000,51.000
"October, 2020","10,35  -0,06 (-0,58%)",11.13,96.9,10.41,10.44,10.44,10.35,10.35,98.0,0.0,510.0,5.000
"November, 2020","11,4  -0,25 (-2,15%)",12.46,10.84,11.65,11.5,11.83,11.4,11.4,11.66,0.0,8.92,104.000
"December, 2020","13,65  0,24 (1,79%)",14.34,12.48,13.41,13.41,13.65,13.4,13.65,13.63,0.0,11.520,157.000
"January, 2021","13,9  0,1 (0,72%)",14.76,12.84,13.8,13.8,14.14,13.8,13.9,14.03,0.0,18.600,261.000
"February, 2021","15,37  0,06 (0,39%)",16.380000000000003,14.24,15.31,14.8,15.39,14.75,15.37,15.16,0.0,9.100,138.000
"March, 2021","16,28  0,08 (0,49%)",17.330000000000002,15.07,16.2,16.2,16.3,16.16,16.28,16.23,0.0,31.6,513.000
"April, 2021","17,55  0,34 (1,98%)",18.41,16.009999999999998,17.21,17.6,17.6,17.3,17.55,17.48,0.0,182.7,3.193.000
"May, 2021","22,15  0,49 (2,26%)",23.17,20.15,21.66,21.7,22.15,21.630000000000003,22.15,21.76,0.0,43.700,951.000
"June, 2021","23,03  0,03 (0,13%)",24.61,21.39,23.0,23.0,23.12,22.8,23.03,22.93,0.0,1.126.400,25.828.000
"July, 2021","21,1  0,6 (2,93%)",21.93,19.07,20.5,20.5,21.1,20.16,21.1,20.95,0.0,70.400,1.475.000
"August, 2021","20,12  0,05 (0,25%)",21.47,18.67,20.07,20.07,20.12,20.0,20.12,20.1,0.0,38.5,774.000
"September, 2021","20,3  0,04 (0,2%)",21.67,18.85,20.26,20.26,20.3,19.880000000000003,20.3,20.05,0.0,102.600,2.057.000
"October, 2021","20,4  0,03 (0,15%)",21.79,18.95,20.37,20.35,20.45,20.3,20.4,20.380000000000003,0.0,7.358.600,150.479.000
"November, 2021","22,8  -0,09 (-0,39%)",24.49,21.29,22.89,22.89,22.89,22.45,22.8,22.59,0.0,444.700,10.046.000
"December, 2021","22,48  0,98 (4,56%)",23.0,20.0,21.5,21.61,22.48,21.61,22.48,21.95,0.0,226.0,4.961.000
