Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2020","12,6  0 (0%)",13.48,11.72,12.6,12.56,12.6,12.45,12.6,12.2,0.0,410.0,5.000
"February, 2020","12,63  0,03 (0,24%)",13.48,11.72,12.6,12.6,12.63,12.54,12.63,12.54,0.0,102.91,1.291.000
"March, 2020","12,8  0,17 (1,35%)",13.51,11.75,12.63,12.63,12.8,12.63,12.8,15.38,0.0,130.0,2.000
"April, 2020","12,7  -0,1 (-0,78%)",13.69,11.91,12.8,12.74,12.74,12.7,12.7,12.5,0.0,160.0,2.000
"May, 2020","11,73  0 (0%)",12.55,10.91,11.73,11.7,11.73,11.7,11.73,11.74,0.0,2.13,25.0
"June, 2020","11,65  -0,08 (-0,68%)",12.55,10.91,11.73,11.65,11.65,11.65,11.65,12.16,0.0,740.0,9.0
"July, 2020","9,6  -0,42 (-4,19%)",10.72,93.2,10.02,93.2,96.0,93.2,96.0,94.3,0.0,31.38,296.000
"August, 2020","10,85  0,25 (2,36%)",11.34,98.6,10.6,10.7,10.85,10.6,10.85,10.81,0.0,1.11,12.0
"September, 2020","12  0,4 (3,45%)",12.41,10.79,11.6,11.14,12.0,11.1,12.0,11.21,0.0,2.32,26.0
"October, 2020","11,87  0 (0%)",12.7,11.04,11.87,11.45,11.87,11.39,11.87,11.45,0.0,8.65,99.000
"November, 2020","12,6  0 (0%)",13.48,11.72,12.6,12.6,12.6,12.5,12.6,13.21,0.0,530.0,7.000
"December, 2020","13,95  0,17 (1,23%)",14.74,12.82,13.78,13.86,13.95,13.73,13.95,13.89,0.0,4.75,66.000
"January, 2021","13,59  0,13 (0,97%)",14.4,12.52,13.46,13.59,13.72,13.46,13.59,13.63,0.0,48.8,665.0
"February, 2021","15,18  0,08 (0,53%)",16.15,14.05,15.1,15.1,15.18,15.0,15.18,15.1,0.0,30.8,465.0
"March, 2021","15,57  0,04 (0,26%)",16.61,14.45,15.53,15.09,15.75,15.09,15.57,15.62,0.0,52.0,812.0
"April, 2021","16,51  0 (0%)",17.66,15.36,16.509999999999998,16.509999999999998,16.6,16.509999999999998,16.509999999999998,16.59,0.0,42.5,705.0
"May, 2021","18,29  0 (0%)",19.57,17.009999999999998,18.29,18.29,18.31,18.07,18.29,18.25,0.0,46.9,856.000
"June, 2021","19,4  0,25 (1,31%)",20.49,17.81,19.15,19.19,19.4,19.18,19.4,19.26,0.0,40.8,786.000
"July, 2021","18,11  0,36 (2,03%)",18.99,16.509999999999998,17.75,17.9,18.12,17.9,18.11,18.0,0.0,49.0,882.000
"August, 2021","18,15  0,06 (0,33%)",19.35,16.830000000000002,18.09,18.0,18.18,18.0,18.15,18.14,0.0,169.8,3.035.250
"September, 2021","18,35  0,16 (0,88%)",19.46,16.919999999999998,18.19,18.26,18.35,18.26,18.35,18.32,0.0,39.8,729.000
"October, 2021","19,33  0,02 (0,1%)",20.66,17.96,19.31,19.35,19.35,19.22,19.33,19.31,0.0,134.7,2.605.000
"November, 2021","20,12  -0,15 (-0,74%)",21.68,18.86,20.27,20.27,20.27,19.95,20.12,20.130000000000003,0.0,52.1,1.049.000
"December, 2021","21,48  1,4 (6,97%)",21.48,18.68,20.08,20.09,21.48,20.09,21.48,20.45,0.0,44.7,914.000
