Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2012","39,5  0 (0%)",41.4,37.6,39.5,39.7,39.7,39.4,39.5,39.5,24.23,223.99,8.848.088
"February, 2012","38,6  -0,9 (-2,28%)",41.4,37.6,39.5,38.0,39.0,38.0,38.6,38.52,23.68,95.26,3.669.868
"March, 2012","38,9  0,1 (0,26%)",40.7,36.9,38.8,38.9,39.0,38.8,38.9,38.85,23.87,373.41,14.766.694
"April, 2012","38,9  0 (0%)",39.7,36.1,38.9,38.4,38.9,38.1,38.9,38.510000000000005,24.49,135.03,5.199.808
"May, 2012","37,2  -0,6 (-1,59%)",39.6,36.0,37.8,37.2,37.8,36.7,37.2,37.12,22.27,269.030,9.986.408
"June, 2012","38,4  -0,1 (-0,26%)",40.4,36.6,38.5,38.7,38.7,38.4,38.4,38.43,22.98,591.13,22.715.189
"July, 2012","38,9  -0,3 (-0,77%)",41.1,37.3,39.2,39.4,39.4,38.8,38.9,38.98,23.28,37.45,1.459.785
"August, 2012","40,8  -0,2 (-0,49%)",42.0,38.0,41.0,40.5,40.9,40.3,40.8,40.73,25.03,1.200.100,48.879.568
"September, 2012","40,1  0,9 (2,3%)",41.1,37.3,39.2,39.0,40.2,39.0,40.1,39.66,24.6,255.0,10.161.193
"October, 2012","39,5  -0,1 (-0,25%)",41.5,37.7,39.6,39.5,39.9,39.5,39.5,39.65,24.23,676.83,26.916.670
"November, 2012","38,8  0 (0%)",40.7,36.9,38.8,38.9,39.0,38.8,38.8,38.88,23.8,40.5,1.574.634
"December, 2012","38,6  -0,3 (-0,77%)",40.8,37.0,38.9,38.6,39.0,38.6,38.6,38.88,24.31,77.55,3.015.282
"January, 2013","44,7  -1,3 (-2,83%)",49.2,42.8,46.0,46.0,46.0,44.7,44.7,45.33,28.15,409.05,18.542.980
"February, 2013","46  -0,1 (-0,22%)",49.3,42.9,46.1,46.2,46.4,45.7,46.0,46.09,28.97,183.82,8.472.264
"March, 2013","53,5  0,5 (0,94%)",56.5,49.3,53.0,53.0,54.0,52.0,53.5,53.28,34.13,272.890,14.539.500
"April, 2013","53  -1 (-1,85%)",57.5,50.5,54.0,54.0,54.0,53.0,53.0,53.31,34.04,490.500,26.149.735
"May, 2013","60,5  -1 (-1,63%)",65.5,57.5,61.5,62.5,62.5,60.5,60.5,61.510000000000005,39.8,880.170,54.140.700
"June, 2013","58  -1 (-1,69%)",63.0,55.0,59.0,59.5,59.5,58.0,58.0,58.67999999999999,38.15,475.95,28.047.610
"July, 2013","65,5  2 (3,15%)",67.5,59.5,63.5,63.5,66.0,63.5,65.5,64.97999999999999,43.08,549.51,35.705.485
"August, 2013","64  -1 (-1,54%)",69.5,60.5,65.0,65.0,65.5,63.5,64.0,64.09,42.72,1.149.960,73.704.230
"September, 2013",67  0 (0%),71.5,62.5,67.0,67.5,67.5,66.5,67.0,67.01,44.72,398.410,26.698.315
"October, 2013","64  -0,5 (-0,78%)",69.0,60.0,64.5,65.0,65.0,64.0,64.0,64.24,43.38,164.33,10.556.625
"November, 2013",64  0 (0%),68.0,60.0,64.0,64.5,64.5,64.0,64.0,64.1,43.38,319.540,20.503.860
"December, 2013","66,5  0 (0%)",71.0,62.0,66.5,66.0,67.0,66.0,66.5,66.42999999999999,45.07,340.960,22.649.115
"January, 2014","77  -2 (-2,53%)",84.5,73.5,79.0,80.0,80.0,77.0,77.0,78.26,52.19,364.220,28.505.375
"February, 2014",83  0 (0%),88.5,77.5,83.0,83.5,84.5,82.5,83.0,83.53999999999999,56.260000000000005,531.39,44.423.095
"March, 2014","83,5  1 (1,21%)",88.0,77.0,82.5,83.5,84.5,83.0,83.5,83.49,56.6,366.01,30.559.955
"April, 2014","99,5  2,5 (2,58%)",10.3,90.5,97.0,96.0,99.5,96.0,99.5,98.34,67.97,415.580,40.866.140
"May, 2014","97,5  1,5 (1,56%)",10.2,89.5,96.0,96.5,99.5,96.0,97.5,97.99,68.72,1.094.070,106.847.000
"June, 2014",112  0 (0%),11.9,10.5,11.2,11.1,11.4,11.1,11.2,112.31,79.14,154.12,17.308.000
"July, 2014","113  2 (1,8%)",11.8,10.4,11.1,11.0,11.3,11.0,11.3,111.75,79.85,324.37,36.249.000
"August, 2014","124  -2 (-1,59%)",13.4,11.8,12.6,12.7,12.8,12.4,12.4,12.48,87.62,459.860,57.389.000
"September, 2014","106  -1 (-0,93%)",11.4,100.0,10.7,10.6,10.7,10.4,10.6,105.92,75.89,473.98,50.204.000
"October, 2014","106  2 (1,92%)",11.1,97.0,10.4,10.5,10.6,10.3,10.6,104.51,75.89,437.85,45.761.000
"November, 2014","86  -5 (-5,49%)",97.0,85.0,91.0,89.0,89.5,85.0,86.0,87.03,61.9,1.153.940,100.425.000
"December, 2014","70,5  0,5 (0,71%)",74.5,65.5,70.0,70.0,71.0,69.5,70.5,70.36,52.02,216.92,15.263.000
"January, 2015","77  -0,5 (-0,65%)",82.5,72.5,77.5,78.5,78.5,77.0,77.0,77.76,56.82000000000001,268.3,20.863.000
"February, 2015","79  0,5 (0,64%)",83.5,73.5,78.5,78.5,79.0,77.5,79.0,78.57000000000001,58.29,289.71,22.763.000
"March, 2015","66  2 (3,12%)",68.0,60.0,64.0,64.0,66.5,63.5,66.0,65.34,48.7,1.041.160,68.034.000
"April, 2015",66  0 (0%),70.5,61.5,66.0,66.5,66.5,65.5,66.0,66.01,48.7,236.030,15.580.000
"May, 2015","62,5  -1 (-1,57%)",67.5,59.5,63.5,63.5,63.5,62.5,62.5,62.55,46.67,190.19,11.896.000
"June, 2015","62  -1 (-1,59%)",67.0,59.0,63.0,62.5,64.0,62.0,62.0,63.0,46.3,632.01,39.817.000
"July, 2015","59  -0,5 (-0,84%)",63.5,55.5,59.5,59.5,60.5,59.0,59.0,59.39,44.06,267.33,15.876.000
"August, 2015","49  1,5 (3,16%)",50.5,44.2,47.5,50.0,50.5,49.0,49.0,49.62,36.12,1.940.210,96.270.000
"September, 2015","45,8  0,1 (0,22%)",48.8,42.6,45.7,46.1,46.3,45.7,45.8,45.99,35.36,334.210,15.371.000
"October, 2015","46,8  0,1 (0,21%)",49.9,43.5,46.7,46.8,47.1,46.6,46.8,46.82,37.89,379.85,17.784.000
"November, 2015","41,2  -1,7 (-3,96%)",45.9,39.9,42.9,42.5,42.5,41.1,41.2,41.6,33.739999999999995,495.02,20.593.000
"December, 2015","36,2  -0,3 (-0,82%)",39.0,34.0,36.5,36.6,36.6,36.2,36.2,36.39,28.17,187.06,6.809.500
"January, 2016","39,2  2,5 (6,81%)",39.2,34.2,36.7,37.5,39.2,37.1,39.2,38.36,28.99,1.288.510,49.432.000
"February, 2016","42,7  0,2 (0,47%)",45.4,39.6,42.5,42.7,43.3,42.6,42.7,42.92,31.58,612.850,26.306.000
"March, 2016","41  -2 (-4,65%)",46.0,40.0,43.0,42.8,42.8,41.0,41.0,41.79,32.989999999999995,1.016.500,42.117.400
"April, 2016",51  0 (0%),54.5,47.5,51.0,51.5,52.0,50.5,51.0,51.23,45.18,583.190,29.875.000
"May, 2016","60  3 (5,26%)",60.5,53.5,57.0,57.0,60.5,57.0,60.0,59.39,51.42,972.21,57.737.000
"June, 2016","62,5  0,5 (0,81%)",66.0,58.0,62.0,62.5,64.5,62.5,62.5,63.39,52.25,336.61,21.339.000
"July, 2016","58,5  0,5 (0,86%)",62.0,54.0,58.0,56.5,59.0,56.0,58.5,57.86,49.3,342.35,19.808.000
"August, 2016","64  -0,5 (-0,78%)",69.0,60.0,64.5,64.0,64.5,63.5,64.0,64.28,54.79,361.25,23.221.000
"September, 2016","70,5  -2,7 (-3,69%)",77.7,67.7,73.2,73.2,73.3,70.5,70.5,72.02000000000001,60.77,343.21,24.717.000
"October, 2016","66  -2 (-2,94%)",72.7,63.3,68.0,68.0,68.0,66.0,66.0,66.76,56.9,332.55,22.180.250
"November, 2016","63,9  -0,6 (-0,93%)",69.0,60.0,64.5,64.5,64.5,63.0,63.9,63.79,54.760000000000005,197.67,12.610.000
"December, 2016","60,6  0,9 (1,51%)",63.8,55.6,59.7,59.7,60.8,59.7,60.6,60.56,53.84,63.22,3.829.000
"January, 2017","60,1  0,1 (0,17%)",64.2,55.8,60.0,60.0,60.1,59.5,60.1,59.870000000000005,51.96,190.06,11.378.000
"February, 2017","60,3  -1,6 (-2,58%)",66.2,57.6,61.9,62.0,62.3,60.3,60.3,61.32000000000001,52.14,665.120,40.782.000
"March, 2017","55  0,6 (1,1%)",58.2,50.6,54.4,55.0,55.3,54.6,55.0,54.92999999999999,47.58,532.050,29.225.000
"April, 2017","55,5  -0,3 (-0,54%)",59.7,51.9,55.8,55.6,56.0,54.5,55.5,55.53,48.65,498.57,27.687.000
"May, 2017","55,6  -1 (-1,77%)",60.5,52.7,56.6,57.0,57.0,55.5,55.6,55.99,48.74,391.64,21.928.000
"June, 2017","58,3  1 (1,75%)",61.3,53.3,57.3,57.6,58.9,57.5,58.3,58.19,52.010000000000005,1.282.490,74.625.000
"July, 2017","62,6  1,1 (1,79%)",65.8,57.2,61.5,61.9,63.0,61.5,62.6,62.35,55.84,513.86,32.037.000
"August, 2017","62,6  0 (0%)",66.9,58.3,62.6,62.6,62.9,62.0,62.6,62.5,55.84,222.08,13.879.000
"September, 2017","69,1  -1,6 (-2,26%)",75.6,65.8,70.7,70.1,70.7,69.1,69.1,69.91,62.55,348.21,24.345.000
"October, 2017","71,5  -1,4 (-1,92%)",78.0,67.8,72.9,72.9,73.9,71.5,71.5,72.66,64.72,1.077.460,78.792.000
"November, 2017","79,7  -0,1 (-0,13%)",85.3,74.3,79.8,79.6,82.3,79.2,79.7,80.28999999999999,73.07000000000001,659.280,52.933.000
