Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2015","20,9  -0,09 (-0,43%)",24.1,17.9,21.0,21.3,21.5,20.8,20.9,20.91,14.8,29.1,608.450
"February, 2015","20,4  -0,44 (-2,12%)",24.0,17.8,20.9,20.8,20.9,20.0,20.4,20.46,14.44,176.2,3.571.150
"March, 2015","20,5  0,01 (0,05%)",23.5,17.5,20.5,20.5,20.6,20.4,20.5,20.51,14.51,45.6,935.250
"April, 2015","20,3  -0,17 (-0,82%)",23.5,17.5,20.5,20.4,20.5,20.1,20.3,20.33,14.37,58.3,1.185.350
"May, 2015","22,6  2,61 (13,24%)",22.6,16.8,19.7,21.5,22.6,19.7,22.6,22.31,16.0,70.812,1.449.281
"June, 2015","23,8  1,89 (8,47%)",25.6,19.0,22.3,24.5,25.6,23.0,23.8,24.19,16.85,75.488,1.826.010
"July, 2015","19,8  -0,39 (-1,91%)",23.3,17.3,20.3,20.2,20.2,19.8,19.8,19.91,14.02,57.4,1.143.000
"August, 2015","20  -0,15 (-0,75%)",22.8,17.0,19.9,19.9,20.1,19.5,20.0,19.75,14.16,114.6,2.263.350
"September, 2015","20,4  0,46 (2,34%)",22.7,16.9,19.8,19.8,20.6,19.6,20.4,20.26,14.44,133.103,2.697.122
"October, 2015","18,5  1,07 (6,14%)",20.1,14.9,17.5,17.6,19.0,17.6,18.5,18.58,13.1,19.500,362.210
"November, 2015","20,9  -0,42 (-1,95%)",24.6,18.2,21.4,21.2,21.3,20.8,20.9,20.98,14.8,96.2,2.018.550
"December, 2015","23  1,91 (9,22%)",23.8,17.6,20.7,22.0,23.8,21.5,23.0,22.61,16.28,4.501.310,100.334.953
"January, 2016","24,4  -0,63 (-2,54%)",28.7,21.3,25.0,24.7,24.7,24.0,24.4,24.37,17.27,1.586.380,38.434.558
"February, 2016","23,9  0,14 (0,58%)",27.3,20.3,23.8,23.9,24.0,23.8,23.9,23.94,16.919999999999998,1.842.300,44.200.400
"March, 2016","25,5  -0,69 (-2,61%)",30.4,22.6,26.5,26.4,30.0,22.6,25.5,25.81,18.05,1.691.400,42.773.830
"April, 2016","24,2  0,33 (1,38%)",27.4,20.4,23.9,24.4,24.5,24.0,24.2,24.23,17.130000000000003,476.710,11.550.740
"May, 2016","23,4  0,14 (0,63%)",26.2,19.4,22.8,22.8,23.4,22.7,23.4,22.94,16.57,937.000,21.497.920
"June, 2016","24,5  0,4 (1,67%)",27.8,20.6,24.2,24.4,26.8,23.8,24.5,24.6,17.35,1.329.876,32.565.028
"July, 2016","24,5  0,06 (0,24%)",28.1,20.9,24.5,24.6,28.0,24.4,24.5,24.56,17.35,2.760.800,74.684.930
"August, 2016","23  1,39 (6,43%)",24.9,18.5,21.7,21.7,23.5,21.7,23.0,23.1,16.28,1.262.900,29.166.820
