Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","29,8  -0,2 (-0,67%)",32.1,27.9,30.0,29.9,30.0,29.5,29.8,29.85,95.0,16.54,494.000
"February, 2014",31  0 (0%),33.1,28.9,31.0,30.5,31.0,28.9,31.0,30.17,97.3,9.39,283.289
"March, 2014","28  -1 (-3,45%)",31.0,27.0,29.0,28.3,28.3,28.0,28.0,28.01,85.6,9.6,268.869
"April, 2014","25  -0,9 (-3,47%)",27.7,24.1,25.9,25.0,25.0,25.0,25.0,25.0,76.4,2.05,51.25
"May, 2014","23,4  0,1 (0,43%)",24.9,21.7,23.3,23.3,23.4,22.7,23.4,23.31,71.5,90.0,2.000
"June, 2014",24  0 (0%),25.6,22.4,24.0,24.4,24.4,24.0,24.0,24.02,73.3,250.0,6.000
"July, 2014","22  -0,5 (-2,22%)",24.0,21.0,22.5,22.5,22.5,22.0,22.0,22.43,70.2,140.0,3.0
"August, 2014","23,1  -0,2 (-0,86%)",24.9,21.7,23.3,23.1,23.1,22.9,23.1,23.02,73.7,2.49,57.0
"September, 2014","25,1  0,3 (1,21%)",26.5,23.1,24.8,24.7,25.2,24.5,25.1,24.76,8.0,5.88,146.000
"October, 2014","25,4  0,3 (1,2%)",26.8,23.4,25.1,25.2,25.9,25.2,25.4,25.5,81.0,13.77,351.0
"November, 2014","30  0,4 (1,35%)",31.6,27.6,29.6,29.9,30.0,29.2,30.0,29.68,95.7,5.79,172.000
"December, 2014","36  1,6 (4,65%)",36.8,32.0,34.4,35.2,36.0,35.0,36.0,35.480000000000004,11.48,1.324.392,45.585.000
"January, 2015","37,3  1,1 (3,04%)",38.7,33.7,36.2,36.6,37.5,36.0,37.3,36.78,11.9,274.43,10.095.000
"February, 2015","36,7  0,4 (1,1%)",38.8,33.8,36.3,36.3,36.8,36.2,36.7,36.59,11.7,37.34,1.366.000
"March, 2015","27,2  0,1 (0,37%)",28.9,25.3,27.1,27.1,27.4,27.0,27.2,27.1,10.05,28.21,764.0
"April, 2015","28,5  0 (0%)",30.4,26.6,28.5,28.4,28.6,28.4,28.5,28.49,10.53,12.17,347.000
"May, 2015","28,6  0,3 (1,06%)",30.2,26.4,28.3,28.3,28.6,28.3,28.6,28.53,10.57,2.117.890,57.210.000
"June, 2015","25,7  0,1 (0,39%)",27.3,23.9,25.6,25.6,25.7,25.5,25.7,25.62,11.31,12.79,328.000
"July, 2015","26,8  0 (0%)",28.6,25.0,26.8,27.0,27.4,26.7,26.8,26.92,11.79,20.53,553.000
"August, 2015","26,8  -0,1 (-0,37%)",28.7,25.1,26.9,26.9,27.2,26.5,26.8,26.78,12.3,4.61,123.000
"September, 2015","30,1  0,5 (1,69%)",31.6,27.6,29.6,29.6,30.3,29.6,30.1,30.0,13.82,70.35,2.085.000
"October, 2015","30,2  0,2 (0,67%)",32.1,27.9,30.0,29.6,30.2,29.0,30.2,29.64,13.86,35.31,1.047.000
"November, 2015","32,5  -0,7 (-2,11%)",35.5,30.9,33.2,33.0,33.1,32.0,32.5,32.29,14.919999999999998,3.23,104.000
"December, 2015","35  0,3 (0,86%)",36.7,31.9,34.7,34.5,35.0,34.3,35.0,34.7,16.5,2.54,88.000
"January, 2016","34,5  0 (0%)",36.9,32.1,34.5,34.0,34.5,34.0,34.5,34.28,16.369999999999997,2.31,79.0
"February, 2016","35,2  0,2 (0,57%)",37.4,32.6,35.0,35.2,35.6,35.0,35.2,35.13,16.7,22.46,789.0
"March, 2016","36,3  -0,7 (-1,89%)",39.5,34.5,37.0,37.0,37.0,36.0,36.3,36.72,17.47,596.25,21.764.000
"April, 2016","42,5  2,7 (6,78%)",42.5,37.1,39.8,39.8,42.5,39.7,42.5,41.93,20.27,42.36,1.776.000
"May, 2016",52  0 (0%),55.5,48.4,52.0,51.5,53.0,50.5,52.0,51.39,27.59,32.62,1.676.000
"June, 2016","52  -3 (-5,45%)",58.5,51.5,55.0,52.0,56.0,52.0,52.0,53.98,28.77,106.62,5.755.000
"July, 2016","56  0,5 (0,9%)",59.0,52.0,55.5,55.0,57.0,55.0,56.0,56.17999999999999,29.6,25.26,1.419.000
"August, 2016","58,5  -0,5 (-0,85%)",63.0,55.0,59.0,59.0,59.5,58.5,58.5,58.970000000000006,30.92,66.26,3.908.000
"September, 2016","67  -1,2 (-1,76%)",72.9,63.5,68.2,67.9,68.2,66.5,67.0,67.55,35.410000000000004,197.83,13.364.000
"October, 2016","58  -3 (-4,92%)",65.2,56.8,61.0,59.1,61.0,57.5,58.0,58.38,30.660000000000004,543.96,31.758.000
"November, 2016","51,7  0,1 (0,19%)",55.2,48.0,51.6,51.5,52.0,51.5,51.7,51.73,27.55,44.16,2.284.000
"December, 2016","45  0,65 (1,47%)",47.45,41.25,44.35,44.8,45.5,44.8,45.0,45.09,24.02,64.87,2.925.000
"January, 2017","43,9  1,1 (2,57%)",45.75,39.85,42.8,42.8,43.9,42.7,43.9,43.46,22.76,30.4,1.321.000
"February, 2017","45,5  -0,5 (-1,09%)",49.2,42.8,46.0,46.0,46.1,45.5,45.5,45.85,23.59,96.2,4.411.000
"March, 2017","51,3  0,3 (0,59%)",54.5,47.45,51.0,51.0,51.4,50.7,51.3,51.06,26.69,40.2,2.053.000
"April, 2017","50,4  -0,5 (-0,98%)",54.4,47.35,50.9,50.9,50.9,50.0,50.4,50.41,26.33,22.14,1.116.000
"May, 2017","49,1  0,4 (0,82%)",52.1,45.3,48.7,49.0,49.5,48.5,49.1,49.12,25.74,64.44,3.165.000
"June, 2017","44  1 (2,33%)",46.0,40.0,43.0,43.5,45.0,43.0,44.0,44.010000000000005,24.380000000000003,90.11,3.966.000
"July, 2017","38,9  -2,8 (-6,71%)",44.6,38.8,41.7,40.7,41.0,38.8,38.9,39.18,21.55,111.56,4.371.000
"August, 2017","32,5  0,5 (1,56%)",34.2,29.8,32.0,32.0,32.7,32.0,32.5,32.2,18.009999999999998,17.05,549.000
"September, 2017","33,9  0 (0%)",36.25,31.55,33.9,33.8,33.9,33.2,33.9,33.739999999999995,18.78,48.4,1.633.000
"October, 2017","29,4  0,2 (0,68%)",31.2,27.2,29.2,29.2,29.7,28.9,29.4,29.02,16.29,119.0,3.453.000
"November, 2017","34  0,3 (0,89%)",36.05,31.35,33.7,33.7,34.0,33.5,34.0,33.67,18.84,16.84,567.000
"December, 2017","35  0,05 (0,14%)",37.35,32.55,34.95,34.95,35.0,34.05,35.0,34.660000000000004,19.39,12.03,417.000
"January, 2018","41  -1 (-2,38%)",44.9,39.1,42.0,42.0,42.2,40.2,41.0,41.35,22.72,84.82,3.507.000
"February, 2018","41,4  -0,2 (-0,48%)",44.5,38.7,41.6,42.0,42.7,41.3,41.4,41.7,22.94,153.73,6.411.000
"March, 2018","46,6  -1,2 (-2,51%)",51.1,44.5,47.8,47.8,48.2,46.6,46.6,47.46,25.85,68.03,3.229.000
"April, 2018","42,8  2,8 (7%)",42.8,37.2,40.0,40.0,42.8,39.0,42.8,42.010000000000005,23.78,34.71,1.458.000
"May, 2018",41  0 (0%),43.85,38.15,41.0,42.0,42.0,41.0,41.0,41.09,22.78,5.33,219.000
"June, 2018","41,8  1,5 (3,72%)",43.1,37.5,40.3,40.3,41.8,40.3,41.8,40.24,23.79,2.51,101.0
"July, 2018","43,55  0,05 (0,11%)",46.5,40.5,43.5,43.9,44.0,43.2,43.55,43.71,24.78,37.86,1.655.000
"August, 2018","51  1,75 (3,55%)",52.6,45.85,49.25,50.0,51.2,49.9,51.0,51.0,29.1,74.68,3.809.000
"September, 2018","38,65  -0,35 (-0,9%)",41.7,36.3,39.0,39.2,39.2,38.2,38.65,38.64,30.29,33.77,1.305.000
"October, 2018","37,3  1,7 (4,78%)",38.05,33.15,35.6,37.0,37.3,36.8,37.3,37.08,29.23,21.82,809.000
"November, 2018","35,3  -0,7 (-1,94%)",38.5,33.5,36.0,36.0,36.0,35.15,35.3,35.42,27.67,9.09,322.000
"December, 2018","33  -1,1 (-3,23%)",36.45,31.75,34.1,34.2,34.2,33.0,33.0,33.69,25.860000000000003,12.02,405.000
"January, 2019","39,6  2,2 (5,88%)",40.0,34.8,37.4,37.8,39.7,37.8,39.6,38.71,31.04,82.43,3.191.000
"February, 2019","38  -1,1 (-2,81%)",41.8,36.4,39.1,39.1,39.45,37.8,38.0,38.53,29.78,121.18,4.669.000
"March, 2019","37,6  -0,2 (-0,53%)",40.4,35.2,37.8,37.9,38.6,37.6,37.6,37.97,29.47,48.27,1.833.000
"April, 2019","35,45  -0,05 (-0,14%)",37.95,33.05,35.5,35.5,35.8,35.45,35.45,35.480000000000004,27.78,11.5,408.000
"May, 2019","32,3  -0,3 (-0,92%)",34.85,30.35,32.6,32.3,32.7,32.3,32.3,32.480000000000004,25.31,15.98,519.000
"June, 2019","26,4  0 (0%)",28.2,24.6,26.4,26.9,26.9,26.1,26.4,26.26,25.06,18.09,475.000
"July, 2019","24,8  0,9 (3,77%)",25.55,22.25,23.9,23.9,25.15,23.9,24.8,24.92,23.54,38.88,969.000
"August, 2019","21,4  -0,4 (-1,83%)",23.3,20.3,21.8,21.65,21.9,21.3,21.4,21.49,20.31,102.58,2.204.000
"September, 2019","20,5  -0,3 (-1,44%)",22.25,19.35,20.8,20.8,21.0,20.45,20.5,20.64,19.46,20.4,421.000
"October, 2019","21  -0,55 (-2,55%)",23.05,20.05,21.55,22.0,22.0,21.0,21.0,21.39,19.93,70.75,1.513.000
"November, 2019","18,5  0 (0%)",19.75,17.25,18.5,18.5,18.7,18.3,18.5,18.27,17.56,1.97,36.0
"December, 2019","16,8  -0,2 (-1,18%)",18.15,15.85,17.0,16.8,17.0,16.7,16.8,16.8,15.94,5.18,87.0
"January, 2020","18,9  0,2 (1,07%)",20.0,17.4,18.7,19.9,19.9,18.8,18.9,19.3,18.52,96.48,1.862.000
"February, 2020","18,35  -1,05 (-5,41%)",20.75,18.05,19.4,19.4,19.4,18.35,18.35,18.61,17.98,18.7,348.000
"March, 2020","14,75  -0,65 (-4,22%)",16.45,14.35,15.4,15.4,15.45,14.75,14.75,15.32,14.45,48.31,740.000
"April, 2020","17,7  -0,6 (-3,28%)",19.55,17.05,18.3,18.2,18.4,17.65,17.7,17.91,17.7,84.13,1.507.000
"May, 2020","19,15  0,05 (0,26%)",20.4,17.8,19.1,19.1,19.4,19.0,19.15,19.17,19.15,213.73,4.098.000
