Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","38  -1 (-2,56%)",41.7,36.3,39.0,39.0,39.0,37.7,38.0,38.05,16.97,4.31,164.000
"February, 2014","33,6  -0,1 (-0,3%)",36.0,31.4,33.7,34.0,34.0,33.1,33.6,33.3,12.2,3.94,131.206
"March, 2014","33,2  -1 (-2,92%)",36.5,31.9,34.2,33.9,33.9,33.2,33.2,33.78,11.71,6.23,210.44
"April, 2014",33  0 (0%),35.3,30.7,33.0,0.0,0.0,0.0,33.0,0.0,11.64,2.51,82.791
"May, 2014","31,2  0 (0%)",30.3,26.4,31.2,0.0,0.0,0.0,31.2,0.0,12.11,6.89,214.0
"June, 2014","29,9  -0,4 (-1,32%)",32.4,28.2,30.3,30.2,30.2,29.9,29.9,29.98,12.77,1.95,58.0
"July, 2014","30  0,5 (1,69%)",31.5,27.5,29.5,29.3,30.0,29.3,30.0,29.31,12.81,900.0,26.0
"August, 2014","30,3  0 (0%)",32.4,28.2,30.3,29.7,30.3,29.7,30.3,29.82,12.94,50.0,1.0
"September, 2014","33,4  -0,2 (-0,6%)",35.9,31.3,33.6,32.5,33.5,31.6,33.4,32.47,14.91,2.14,69.0
"October, 2014","33  0,2 (0,61%)",35.0,30.6,32.8,32.8,33.0,32.5,33.0,32.62,14.74,25.24,823.000
"November, 2014",39  0 (0%),41.7,36.3,39.0,40.8,40.8,38.1,39.0,38.81,17.41,24.01,932.000
"December, 2014","36  1 (2,86%)",37.4,32.6,35.0,35.0,36.5,35.0,36.0,35.04,16.07,8.85,310.000
"January, 2015",38  0 (0%),40.6,35.4,38.0,38.5,39.5,38.0,38.0,38.03,16.97,9.6,365.000
"February, 2015","38,6  -0,1 (-0,26%)",41.4,36.0,38.7,38.6,38.7,38.1,38.6,38.59,17.240000000000002,2.94,113.0
"March, 2015",38  0 (0%),40.6,35.4,38.0,0.0,0.0,0.0,38.0,0.0,17.65,20.0,1.0
"April, 2015","36  -0,1 (-0,28%)",38.6,33.6,36.1,36.0,36.0,36.0,36.0,36.0,16.72,680.0,24.0
"May, 2015","39,7  0 (0%)",42.4,37.0,39.7,40.0,40.5,39.7,39.7,40.010000000000005,18.44,160.0,6.0
"June, 2015","43,3  1,4 (3,34%)",44.8,39.0,41.9,41.0,43.5,41.0,43.3,41.67,20.11,14.68,612.0
"July, 2015","47  2,9 (6,58%)",47.1,41.1,44.1,44.5,47.1,44.5,47.0,46.83,21.83,19.28,903.0
"August, 2015","49,5  0 (0%)",52.5,46.1,49.5,49.5,49.5,49.5,49.5,49.5,23.28,50.0,2.0
"September, 2015","45,5  0,5 (1,11%)",48.1,41.9,45.0,43.5,46.0,43.5,45.5,44.06,22.91,5.17,228.0
"October, 2015","44,2  -0,9 (-2%)",48.2,42.0,45.1,45.0,45.0,44.0,44.2,44.21,23.26,23.45,1.037.000
"November, 2015","39,7  -0,7 (-1,73%)",43.2,37.6,40.4,39.6,41.2,39.6,39.7,39.84,20.89,6.45,257.0
"December, 2015","36,8  0 (0%)",39.6,34.6,36.8,36.8,36.8,36.3,36.8,36.74,20.26,3.97,146.0
"January, 2016","36,8  0,1 (0,27%)",39.2,34.2,36.7,36.5,36.8,36.0,36.8,36.15,20.34,5.53,200.0
"February, 2016","39,7  0,2 (0,51%)",42.2,36.8,39.5,39.7,39.9,39.0,39.7,39.33,21.94,3.47,136.0
"March, 2016","39,2  0,3 (0,77%)",41.6,36.2,38.9,39.6,39.6,39.2,39.2,39.23,21.72,370.0,15.0
"April, 2016","39,9  0,9 (2,31%)",41.7,36.3,39.0,39.5,40.0,38.0,39.9,38.59,20.56,10.67,412.0
"May, 2016",38  0 (0%),40.6,35.4,38.0,39.0,39.0,37.5,38.0,37.87,18.54,1.27,48.0
"June, 2016","37  1,2 (3,35%)",38.3,33.3,35.8,37.0,37.0,35.8,37.0,36.17,18.34,16.54,598.000
"July, 2016","37  1 (2,78%)",38.5,33.5,36.0,37.0,37.0,35.5,37.0,36.4,18.95,50.0,2.000
