Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","12,9  0,2 (1,57%)",13.5,11.9,12.7,12.8,13.1,12.8,12.9,12.94,60.8,38.14,493.000
"February, 2014","14,2  0 (0%)",15.1,13.3,14.2,14.3,14.3,13.9,14.2,14.2,60.3,124.56,1.768.177
"March, 2014","14  -0,3 (-2,1%)",15.3,13.3,14.3,14.3,14.4,14.0,14.0,14.14,59.5,46.25,654.174
"April, 2014","12,9  -0,1 (-0,77%)",13.9,12.1,13.0,13.0,13.0,12.7,12.9,12.88,54.8,12.61,162.365
"May, 2014","10,9  -0,1 (-0,91%)",11.7,10.3,11.0,11.0,11.0,10.8,10.9,10.94,51.3,22.66,248.000
"June, 2014","11,2  0 (0%)",11.9,10.5,11.2,11.2,11.3,10.9,11.2,11.11,52.8,56.6,629.000
"July, 2014","11,7  0,2 (1,74%)",12.3,10.7,11.5,11.4,11.8,11.4,11.7,11.63,55.1,64.31,748.000
"August, 2014","12,4  0 (0%)",13.2,11.6,12.4,12.4,12.4,12.1,12.4,12.24,58.4,97.25,1.190.000
"September, 2014","13,2  0 (0%)",14.1,12.3,13.2,13.1,13.2,12.9,13.2,13.02,62.2,152.38,1.984.000
"October, 2014","13,6  0,3 (2,26%)",14.2,12.4,13.3,13.4,13.7,13.2,13.6,13.43,64.1,56.18,755.000
"November, 2014","12,7  -0,2 (-1,55%)",13.8,12.0,12.9,12.7,12.8,12.5,12.7,12.61,59.8,252.87,3.189.000
"December, 2014","12,4  0,3 (2,48%)",12.9,11.3,12.1,12.3,12.4,12.0,12.4,12.23,58.4,14.82,181.0
"January, 2015","12,6  0,1 (0,8%)",13.3,11.7,12.5,12.5,12.6,12.4,12.6,12.44,59.3,34.34,427.0
"February, 2015","12,3  0,1 (0,82%)",13.0,11.4,12.2,12.3,12.3,12.1,12.3,12.24,57.9,19.8,242.000
"March, 2015","11,8  -0,3 (-2,48%)",12.9,11.3,12.1,12.2,12.2,11.8,11.8,11.91,55.6,60.46,720.000
"April, 2015","13,2  0,2 (1,54%)",13.9,12.1,13.0,12.9,13.3,12.9,13.2,13.12,62.2,76.99,1.010.000
"May, 2015","12,5  0,1 (0,81%)",13.2,11.6,12.4,12.4,12.6,12.3,12.5,12.4,64.7,20.7,257.0
"June, 2015","12,7  0,1 (0,79%)",13.4,11.8,12.6,12.5,12.7,12.5,12.7,12.61,65.8,35.29,445.0
"July, 2015","13,1  0,1 (0,77%)",13.9,12.1,13.0,13.0,13.2,12.8,13.1,12.99,67.8,29.82,387.000
"August, 2015","13,2  -0,2 (-1,49%)",14.3,12.5,13.4,13.4,13.5,13.1,13.2,13.21,71.6,6.31,83.0
"September, 2015","13,3  0,2 (1,53%)",14.0,12.2,13.1,13.1,13.3,12.9,13.3,13.03,72.1,4.07,53.000
"October, 2015","15,7  0,5 (3,29%)",16.2,14.2,15.2,15.3,16.0,15.3,15.7,15.77,92.9,219.67,3.464.000
"November, 2015","15,4  0 (0%)",16.4,14.4,15.4,15.4,16.0,15.2,15.4,15.37,91.1,46.47,714.000
"December, 2015","15,2  0,1 (0,66%)",16.0,14.0,15.1,15.2,15.2,15.0,15.2,15.07,89.9,57.48,866.000
"January, 2016","13,9  -0,6 (-4,14%)",15.5,13.5,14.5,14.5,14.7,13.6,13.9,13.87,81.2,226.02,3.135.000
"February, 2016","14  -0,1 (-0,71%)",15.0,13.2,14.1,14.0,14.0,13.7,14.0,13.8,81.8,45.74,631.000
"March, 2016","14,1  0,2 (1,44%)",14.8,13.0,13.9,14.1,14.1,13.8,14.1,13.96,81.8,42.69,596.0
"April, 2016","14,7  0,3 (2,08%)",15.4,13.4,14.4,14.6,14.7,14.3,14.7,14.5,84.1,56.41,818.000
"May, 2016","14,3  0 (0%)",15.3,13.3,14.3,14.2,14.4,14.1,14.3,14.28,81.2,33.79,482.000
"June, 2016","14,2  0,3 (2,16%)",14.8,13.0,13.9,14.2,14.2,13.9,14.2,14.02,87.2,116.5,1.634.000
"July, 2016","13,8  -0,1 (-0,72%)",14.8,13.0,13.9,13.9,14.1,13.7,13.8,13.77,86.5,57.54,792.000
"August, 2016","13,6  0 (0%)",14.5,12.7,13.6,13.5,13.6,13.5,13.6,13.55,85.9,55.55,752.000
"September, 2016","13,25  -0,35 (-2,57%)",14.55,12.65,13.6,13.3,13.5,13.25,13.25,13.28,83.7,11.7,155.000
"October, 2016","13,2  0,15 (1,15%)",13.95,12.15,13.05,13.05,13.4,13.0,13.2,13.15,83.4,8.55,112.0
"November, 2016","13  0,5 (4%)",13.35,11.65,12.5,12.6,13.0,12.45,13.0,12.74,84.1,16.95,216.000
"December, 2016","10,85  0,25 (2,36%)",11.3,98.6,10.6,10.7,11.2,10.4,10.85,10.75,70.3,60.78,653.000
"January, 2017","11,5  0,2 (1,77%)",12.05,10.55,11.3,11.5,11.9,11.4,11.5,11.63,74.8,13.82,161.0
"February, 2017","12,3  0 (0%)",13.15,11.45,12.3,12.3,12.4,12.2,12.3,12.26,80.1,7.39,91.0
"March, 2017","12,15  0 (0%)",13.0,11.3,12.15,12.05,12.15,11.95,12.15,11.97,79.1,21.9,262.0
"April, 2017","12,8  0 (0%)",13.65,11.95,12.8,12.8,12.85,12.6,12.8,12.69,83.3,19.47,247.000
"May, 2017","12,5  0,05 (0,4%)",13.3,11.6,12.45,12.4,12.5,12.3,12.5,12.36,90.3,35.84,424.0
"June, 2017","13,1  0,25 (1,95%)",13.7,12.0,12.85,12.85,13.1,12.8,13.1,12.88,94.7,59.87,771.000
"July, 2017","13,6  0,5 (3,82%)",14.0,12.2,13.1,13.55,13.6,13.55,13.6,13.51,98.3,2.22,30.0
