Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","13,7  0,6 (4,58%)",14.0,12.2,13.1,13.0,13.7,13.0,13.7,13.0,10.53,3.15,41.0
"February, 2014","11,2  0,5 (4,67%)",11.4,10.0,10.7,10.7,11.2,10.3,11.2,10.54,8.0,11.28,118.94
"March, 2014","11,7  -0,1 (-0,85%)",12.6,11.0,11.8,11.8,12.0,11.7,11.7,11.74,82.9,17.96,210.861
"April, 2014","11,9  0,5 (4,39%)",12.1,10.7,11.4,11.9,11.9,11.5,11.9,11.64,84.3,6.41,74.621
"May, 2014","11,2  -0,3 (-2,61%)",11.3,99.0,11.5,11.1,11.2,11.1,11.2,11.11,86.1,440.0,5.0
"June, 2014","10,6  -0,7 (-6,19%)",12.0,10.6,11.3,11.5,12.0,10.6,10.6,10.93,81.4,15.43,169.0
"July, 2014","11,2  0 (0%)",11.9,10.5,11.2,0.0,0.0,0.0,11.2,0.0,86.1,1.51,17.0
"August, 2014","12,2  0,5 (4,27%)",12.5,10.9,11.7,12.0,12.2,11.0,12.2,11.83,93.7,11.27,133.0
"September, 2014","12  -0,9 (-6,98%)",13.8,12.0,12.9,12.0,12.9,12.0,12.0,12.04,92.2,19.720,237.000
"October, 2014","13,6  -0,9 (-6,21%)",15.5,13.5,14.5,14.5,15.5,13.6,13.6,14.45,10.45,2.18,32.0
"November, 2014","13,1  -0,3 (-2,24%)",14.3,12.5,13.4,13.2,13.7,13.1,13.1,13.3,10.07,3.61,48.0
"December, 2014","16,2  0 (0%)",17.3,15.1,16.2,16.0,16.2,16.0,16.2,16.07,12.45,30.0,1.0
"January, 2015","16,5  -0,2 (-1,2%)",17.8,15.6,16.7,15.6,16.5,15.6,16.5,16.07,12.68,420.0,7.0
"February, 2015","17,6  0,2 (1,15%)",18.6,16.2,17.4,17.6,17.6,17.6,17.6,17.6,13.52,10.0,3.0
