Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","18,8  -0,9 (-4,57%)",21.0,18.4,19.7,19.5,19.9,18.7,18.8,19.36,15.11,942.040,18.235.000
"February, 2014","18,1  -0,7 (-3,72%)",20.1,17.5,18.8,17.9,18.2,17.5,18.1,17.82,14.55,905.120,16.128.000
"March, 2014","18,3  0,2 (1,1%)",19.3,16.9,18.1,17.8,18.4,17.8,18.3,18.09,14.71,535.310,9.683.000
"April, 2014","18  -0,3 (-1,64%)",19.5,17.1,18.3,18.3,18.6,17.9,18.0,18.06,14.47,297.740,5.376.000
"May, 2014","17,7  -0,3 (-1,67%)",19.2,16.8,18.0,17.8,18.2,17.6,17.7,18.009999999999998,14.23,653.630,11.771.000
"June, 2014","20  -0,4 (-1,96%)",21.8,19.0,20.4,20.4,20.4,20.0,20.0,20.18,16.080000000000002,806.310,16.273.000
"July, 2014","19,9  -0,1 (-0,5%)",21.4,18.6,20.0,20.0,20.4,19.8,19.9,20.07,16.0,1.729.230,34.700.000
"August, 2014","16,5  -1,2 (-6,78%)",18.9,16.5,17.7,17.6,17.9,16.5,16.5,16.86,13.26,925.840,15.610.000
"September, 2014","15,4  -1,1 (-6,67%)",17.6,15.4,16.5,15.7,16.3,15.4,15.4,15.46,12.38,2.207.700,37.250.000
"October, 2014","20,8  0,8 (4%)",21.4,18.6,20.0,20.2,21.4,20.1,20.8,21.11,16.72,8.143.710,171.948.000
"November, 2014","19,7  1,2 (6,49%)",19.7,17.3,18.5,17.7,19.7,17.7,19.7,19.17,15.830000000000002,1.481.810,28.412.000
"December, 2014","12,8  0,1 (0,79%)",13.5,11.9,12.7,12.5,13.2,12.5,12.8,12.9,10.29,1.247.720,16.291.000
"January, 2015","15,9  -0,2 (-1,24%)",17.2,15.0,16.1,15.8,16.0,15.6,15.9,15.82,12.78,2.742.760,43.397.000
"February, 2015","15,4  -0,2 (-1,28%)",16.6,14.6,15.6,15.4,15.5,15.2,15.4,15.35,12.38,999.780,15.351.000
"March, 2015","15,5  0 (0%)",16.5,14.5,15.5,15.4,16.0,15.3,15.5,15.59,12.46,1.875.740,29.238.000
"April, 2015","15,9  -0,5 (-3,05%)",17.5,15.3,16.4,16.3,16.4,15.9,15.9,16.16,12.78,1.682.510,27.192.000
"May, 2015","11,7  -0,1 (-0,85%)",12.6,11.0,11.8,11.6,11.8,11.4,11.7,11.6,94.0,2.655.980,30.808.000
"June, 2015","10,4  0,2 (1,96%)",10.9,95.0,10.2,10.2,10.7,10.2,10.4,10.35,92.3,4.800.580,49.701.000
"July, 2015","10,6  -0,1 (-0,93%)",11.4,10.0,10.7,10.7,10.9,10.6,10.6,10.75,94.0,1.995.930,21.387.000
"August, 2015","10,7  -0,2 (-1,83%)",11.6,10.2,10.9,10.9,10.9,10.6,10.7,10.71,91.7,1.252.940,13.420.000
"September, 2015","12,9  0,1 (0,78%)",13.6,12.0,12.8,12.8,13.1,12.7,12.9,12.95,11.57,1.868.560,24.203.000
"October, 2015","14,7  -0,1 (-0,68%)",15.8,13.8,14.8,14.6,14.9,14.6,14.7,14.68,12.75,348.160,5.110.000
"November, 2015","15,6  -0,1 (-0,64%)",16.7,14.7,15.7,15.7,15.8,15.4,15.6,15.55,13.53,1.005.620,15.635.000
"December, 2015","16,7  -0,1 (-0,6%)",17.5,15.3,16.8,16.8,16.8,16.6,16.7,16.66,14.66,481.610,8.022.000
"January, 2016","16,2  0 (0%)",17.3,15.1,16.2,15.8,16.3,15.8,16.2,16.130000000000003,14.44,441.53,7.122.000
"February, 2016","17,3  -0,4 (-2,26%)",18.9,16.5,17.7,17.3,17.6,17.3,17.3,17.419999999999998,15.419999999999998,1.013.710,17.658.000
"March, 2016","16  -0,1 (-0,62%)",17.2,15.0,16.1,16.0,16.3,16.0,16.0,16.18,13.86,619.750,10.028.000
"April, 2016","16,2  -0,1 (-0,61%)",17.4,15.2,16.3,16.1,16.3,16.0,16.2,16.2,13.78,312.630,5.065.000
"May, 2016","16,9  -0,5 (-2,87%)",18.6,16.2,17.4,17.4,17.4,16.9,16.9,17.119999999999997,15.18,2.265.860,38.831.951
"June, 2016","21,8  0,2 (0,93%)",23.1,20.1,21.6,21.8,22.1,21.3,21.8,21.72,20.69,804.210,17.468.000
"July, 2016",22  0 (0%),23.5,20.5,22.0,21.8,22.0,21.5,22.0,21.79,21.07,164.150,3.577.000
"August, 2016","18,5  0,1 (0,54%)",19.6,17.2,18.4,18.4,18.6,18.3,18.5,18.42,17.55,1.056.140,19.450.000
"September, 2016","18,85  -0,15 (-0,79%)",20.3,17.7,19.0,18.85,19.0,18.8,18.85,18.9,17.880000000000003,1.101.840,20.840.000
"October, 2016","18,05  -0,1 (-0,55%)",19.4,16.9,18.15,18.0,18.2,18.0,18.05,18.11,17.119999999999997,733.740,13.285.000
"November, 2016","17,8  0,2 (1,14%)",18.8,16.4,17.6,17.5,17.8,17.5,17.8,17.66,16.75,945.553,16.687.461
"December, 2016","16,6  0 (0%)",17.75,15.45,16.6,16.55,16.75,16.5,16.6,16.68,15.62,2.877.440,48.576.750
"January, 2017","17,55  0,05 (0,29%)",18.7,16.3,17.5,17.45,17.6,17.4,17.55,17.52,16.330000000000002,1.431.900,25.085.000
"February, 2017","21,2  -0,8 (-3,64%)",23.5,20.5,22.0,22.0,22.15,21.2,21.2,21.59,19.72,1.765.530,38.130.690
"March, 2017","15,9  0 (0%)",17.0,14.8,15.9,15.7,16.0,15.45,15.9,15.61,14.79,817.550,12.761.000
"April, 2017","15,4  0,05 (0,33%)",16.4,14.3,15.35,15.35,15.45,15.3,15.4,15.37,14.330000000000002,157.350,2.418.000
"May, 2017","16,3  0,1 (0,62%)",17.3,15.1,16.2,16.2,16.45,16.0,16.3,16.2,15.16,674.82,10.933.000
"June, 2017","17,7  0 (0%)",18.9,16.5,17.7,17.6,17.75,17.55,17.7,17.630000000000003,16.47,1.392.480,24.594.000
"July, 2017","16,6  0,15 (0,91%)",17.6,15.3,16.45,16.45,16.65,16.1,16.6,16.4,15.44,829.410,13.602.000
"August, 2017","16,1  0 (0%)",17.2,15.0,16.1,16.1,16.4,15.95,16.1,16.21,14.98,838.470,13.588.000
"September, 2017","16,35  -0,05 (-0,3%)",17.5,15.3,16.4,16.45,16.5,16.0,16.35,16.130000000000003,15.21,1.235.430,19.929.000
"October, 2017","16,35  -0,05 (-0,3%)",17.5,15.3,16.4,16.4,16.4,16.2,16.35,16.31,15.21,316.780,5.166.000
"November, 2017","15,55  0,05 (0,32%)",16.55,14.45,15.5,15.55,15.6,15.3,15.55,15.47,14.47,837.630,12.961.000
"December, 2017","16,2  0,95 (6,23%)",16.3,14.2,15.25,15.3,16.2,15.15,16.2,15.74,15.07,1.495.210,23.507.000
"January, 2018","15  0,45 (3,09%)",15.55,13.55,14.55,14.5,15.0,13.9,15.0,14.330000000000002,13.95,1.195.530,17.132.000
"February, 2018","10,6  0,25 (2,42%)",11.05,96.3,10.35,10.5,11.05,10.35,10.6,10.82,98.8,1.410.730,15.146.000
"March, 2018","10,45  -0,1 (-0,95%)",11.25,98.2,10.55,10.5,10.55,10.4,10.45,10.48,98.4,474.430,4.977.250
"April, 2018","12,1  0,1 (0,83%)",12.8,11.2,12.0,11.7,12.15,11.5,12.1,12.0,11.45,907.660,10.889.000
"May, 2018","9,28  0,25 (2,77%)",96.6,84.0,90.3,89.0,93.0,89.0,92.8,90.6,88.1,312.120,2.828.000
"June, 2018","9,1  0,17 (1,9%)",95.5,83.1,89.3,9.0,91.9,89.5,91.0,90.6,87.3,132.97,1.205.000
"July, 2018","11,4  0,05 (0,44%)",12.1,10.6,11.35,11.3,11.75,11.2,11.4,11.53,10.98,2.457.180,28.320.000
"August, 2018","10,8  -0,4 (-3,57%)",11.95,10.45,11.2,11.3,11.3,10.8,10.8,10.96,10.44,2.007.610,21.999.000
"September, 2018","12,2  0,7 (6,09%)",12.3,10.7,11.5,11.8,12.25,11.7,12.2,11.96,11.97,4.927.360,58.924.000
"October, 2018","9,67  0,45 (4,88%)",98.6,85.8,92.2,93.0,97.0,92.2,96.7,94.6,95.6,640.680,6.058.000
"November, 2018","10,85  0,1 (0,93%)",11.5,10.0,10.75,10.7,10.9,10.7,10.85,10.79,10.92,495.120,5.340.000
"December, 2018","10,3  -0,05 (-0,48%)",11.05,96.3,10.35,10.3,10.4,10.2,10.3,10.33,10.44,2.471.700,26.684.000
"January, 2019","10,85  -0,1 (-0,91%)",11.7,10.2,10.95,10.75,10.9,10.7,10.85,10.82,11.17,642.560,6.953.000
"February, 2019","14,05  0,9 (6,84%)",14.05,12.25,13.15,14.05,14.05,14.05,14.05,14.05,14.46,7.746.430,105.278.195
"March, 2019","16,6  -0,7 (-4,05%)",18.5,16.1,17.3,16.8,17.3,16.4,16.6,16.68,17.080000000000002,636.030,10.567.200
"April, 2019","16,85  0 (0%)",18.0,15.7,16.85,16.7,16.95,16.7,16.85,16.84,17.34,272.66,4.592.000
"May, 2019","19,05  -0,15 (-0,78%)",20.5,17.9,19.2,19.1,19.6,19.05,19.05,19.22,19.61,227.660,4.376.000
"June, 2019","18,3  0,5 (2,81%)",19.0,16.6,17.8,18.0,18.4,17.7,18.3,17.990000000000002,18.83,258.380,4.674.120
"July, 2019","18,05  0,05 (0,28%)",19.25,16.75,18.0,17.7,18.1,17.7,18.05,17.990000000000002,18.58,156.9,2.823.000
"August, 2019","19  -0,2 (-1,04%)",20.5,17.9,19.2,19.25,19.25,19.0,19.0,19.17,19.55,740.8,14.877.000
"September, 2019","19  -0,05 (-0,26%)",20.35,17.75,19.05,19.05,19.15,19.0,19.0,19.06,19.55,1.026.490,18.425.000
"October, 2019","20,3  0 (0%)",21.7,18.9,20.3,20.4,20.9,20.3,20.3,20.47,20.89,502.050,10.276.000
"November, 2019","21  0,05 (0,24%)",22.4,19.5,20.95,21.0,21.0,20.8,21.0,20.92,21.61,185.790,3.887.000
"December, 2019","19  1 (5,56%)",19.25,16.75,18.0,17.6,19.1,17.6,19.0,18.53,19.55,150.87,2.795.000
"January, 2020","17,2  -1 (-5,49%)",19.45,16.95,18.2,17.35,17.9,17.2,17.2,17.43,17.2,92.610,1.614.000
"February, 2020","16,1  -0,4 (-2,42%)",17.65,15.35,16.5,16.2,16.25,15.95,16.1,16.06,16.1,412.980,6.634.000
"March, 2020","13,95  -0,05 (-0,36%)",14.95,13.05,14.0,13.8,14.4,13.5,13.95,13.94,13.95,450.13,6.273.000
"April, 2020","14,85  0,1 (0,68%)",15.75,13.75,14.75,14.5,15.15,14.5,14.85,14.8,14.85,1.451.950,21.496.000
"May, 2020","17,1  0 (0%)",18.25,15.95,17.1,17.0,17.1,16.8,17.1,16.97,17.1,1.230.130,20.878.000
"June, 2020","17,7  -0,05 (-0,28%)",18.95,16.55,17.75,18.0,18.1,17.4,17.7,17.8,0.0,1.066.710,18.992.000
"July, 2020","21,4  -0,6 (-2,73%)",23.5,20.5,22.0,21.15,21.85,21.1,21.4,21.46,0.0,1.839.660,39.487.000
"August, 2020","24,6  -0,95 (-3,72%)",27.3,23.8,25.55,25.5,25.5,24.5,24.6,24.91,0.0,4.771.220,118.851.000
"September, 2020","26,7  0,1 (0,38%)",28.45,24.75,26.6,26.6,26.7,26.3,26.7,26.52,0.0,1.388.090,36.817.000
"October, 2020","23,35  0,05 (0,21%)",24.9,21.7,23.3,23.5,23.75,23.0,23.35,23.36,0.0,817.370,19.091.000
"November, 2020","23,9  -0,45 (-1,85%)",26.05,22.65,24.35,24.35,24.35,23.9,23.9,24.12,0.0,2.004.630,48.353.000
"December, 2020","27,3  0,4 (1,49%)",28.75,25.05,26.9,26.8,27.35,26.75,27.3,27.07,0.0,1.841.500,49.850.000
"January, 2021","22,8  1 (4,59%)",23.3,20.3,21.8,20.45,23.15,20.45,22.8,22.06,0.0,2.215.300,48.909.000
"February, 2021","25,2  0 (0%)",26.95,23.45,25.2,24.6,25.2,24.6,25.2,25.02,0.0,1.247.300,31.202.000
"March, 2021","22,2  -0,5 (-2,2%)",24.25,21.15,22.7,22.7,22.7,22.0,22.2,22.22,0.0,871.900,19.376.000
"April, 2021","18,3  -0,45 (-2,4%)",20.05,17.45,18.75,18.75,18.75,18.15,18.3,18.42,0.0,769.300,14.174.000
"May, 2021","16,85  -0,1 (-0,59%)",18.1,15.8,16.95,16.95,17.0,16.7,16.85,16.79,0.0,464.900,7.805.000
"June, 2021","18,55  -0,1 (-0,54%)",19.95,17.35,18.65,18.65,18.75,18.5,18.55,18.61,0.0,173.9,3.237.000
"July, 2021","16,5  0 (0%)",17.65,15.35,16.5,16.5,16.6,16.35,16.5,16.490000000000002,0.0,253.000,4.173.000
"August, 2021","18,2  0,05 (0,28%)",19.4,16.9,18.15,18.55,18.7,18.15,18.2,18.39,0.0,821.700,15.115.000
"September, 2021","18,45  0 (0%)",19.7,17.2,18.45,18.3,18.75,18.3,18.45,18.55,0.0,325.900,6.046.000
"October, 2021","20,9  0,9 (4,5%)",21.4,18.6,20.0,20.2,20.95,20.15,20.9,20.68,0.0,2.979.800,61.615.000
"November, 2021","20,8  0,9 (4,52%)",21.25,18.55,19.9,20.5,21.0,20.5,20.8,20.81,0.0,1.427.100,29.705.000
"December, 2021","20  -0,1 (-0,5%)",21.5,18.7,20.1,20.1,20.25,19.95,20.0,20.06,0.0,576.900,11.575.000
