Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2018","9,3  -0,46 (-4,75%)",11.0,82.0,96.0,93.0,11.0,9.0,93.0,91.4,92.5,194.7,2.021.620
"February, 2018","9  -0,4 (-4,35%)",10.4,78.0,91.0,93.0,93.0,86.0,9.0,87.0,89.5,171.1,1.489.330
"March, 2018","12,3  0,4 (3,38%)",13.5,10.1,11.8,12.4,13.0,11.3,12.3,12.2,12.23,540.800,6.597.240
"April, 2018","10,1  -0,15 (-1,52%)",11.7,87.0,10.2,10.2,10.3,10.0,10.1,10.04,10.04,82.2,825.670
"May, 2018","8,9  0,24 (2,73%)",98.0,74.0,86.0,87.0,89.0,87.0,89.0,88.4,88.5,70.8,625.520
"June, 2018","8,9  -0,08 (-0,89%)",10.2,76.0,89.0,91.0,91.0,88.0,89.0,88.2,88.5,64.4,568.060
"July, 2018","8  0,02 (0,2%)",93.0,69.0,81.0,81.0,82.0,8.0,8.0,81.2,79.5,74.9,607.860
"August, 2018","8  -0,02 (-0,2%)",93.0,69.0,81.0,83.0,83.0,8.0,8.0,80.8,79.5,225.500,1.822.980
"September, 2018","8,3  0,15 (1,79%)",94.0,7.0,82.0,83.0,84.0,83.0,83.0,83.5,82.5,31.400,262.100
"October, 2018","9,5  0,16 (1,72%)",10.8,8.0,94.0,95.0,10.5,92.0,95.0,95.6,94.4,123.4,1.180.010
"November, 2018","9,3  0,08 (0,82%)",10.6,8.0,93.0,94.0,94.0,93.0,93.0,93.8,92.5,48.73,456.882
"December, 2018","10,3  -0,2 (-1,88%)",12.0,9.0,10.5,10.2,10.4,96.0,10.3,10.3,10.24,69.500,716.080
"January, 2019","10  0,4 (4,05%)",11.5,85.0,10.0,10.3,10.5,99.0,10.0,10.4,99.4,34.7,361.060
"February, 2019","9,8  -0,14 (-1,41%)",11.5,85.0,10.0,99.0,11.0,98.0,98.0,98.6,97.4,6.358.300,69.874.790
"March, 2019","11,8  -0,29 (-2,32%)",14.1,10.5,12.3,12.0,12.4,11.8,11.8,12.02,11.73,449.2,5.397.370
"April, 2019","11,1  -0,21 (-1,84%)",12.8,96.0,11.2,11.1,11.1,96.0,11.1,10.99,11.04,218.44,2.396.060
"May, 2019","11,7  -0,43 (-3,45%)",14.2,10.6,12.4,12.3,12.3,10.6,11.7,11.97,11.63,638.703,7.642.548
"June, 2019","12,6  -0,2 (-1,6%)",14.6,10.8,12.7,12.6,12.7,12.3,12.6,12.5,12.53,333.5,4.167.666
"July, 2019","14,9  -0,27 (-1,79%)",17.1,12.7,14.9,14.7,15.0,12.7,14.9,14.63,14.81,2.187.131,31.984.197
"August, 2019","15  -0,38 (-2,41%)",17.9,13.3,15.6,15.5,15.6,13.3,15.0,15.22,14.91,1.975.410,30.016.820
"September, 2019","13,7  0,04 (0,3%)",15.6,11.6,13.6,13.6,13.8,11.7,13.7,13.64,13.62,614.342,8.371.855
"October, 2019","14  -0,19 (-1,33%)",16.4,12.2,14.3,14.3,14.4,12.3,14.0,14.11,13.919999999999998,571.085,8.040.147
"November, 2019","13,6  -0,07 (-0,55%)",15.7,11.7,13.7,13.7,13.7,13.6,13.6,13.62,13.52,143.210,1.951.240
"December, 2019","10,6  0,3 (2,87%)",11.8,88.0,10.3,10.3,10.8,88.0,10.6,10.6,10.54,683.290,7.239.689
"January, 2020","10,8  -0,51 (-4,39%)",13.3,99.0,11.6,11.4,11.4,99.0,10.8,11.09,10.74,656.1569999999999,7.276.860
"February, 2020","12,2  -0,25 (-2,03%)",14.2,10.6,12.4,12.3,12.4,10.6,12.2,12.15,12.13,1.266.018,15.377.422
"March, 2020","8,38  0,08 (0,96%)",88.8,77.2,83.0,8.0,87.0,8.0,83.8,83.9,83.6,572.600,4.802.000
"April, 2020","11,15  0,35 (3,24%)",11.55,10.05,10.8,10.8,11.35,10.8,11.15,11.14,11.15,1.497.360,16.674.000
"May, 2020","12,75  0 (0%)",13.6,11.9,12.75,12.7,12.9,12.65,12.75,12.78,12.75,1.480.440,18.835.000
"June, 2020","11  -0,4 (-3,51%)",12.15,10.65,11.4,11.4,11.75,11.0,11.0,11.21,0.0,1.132.600,12.693.000
"July, 2020","10  -0,1 (-0,99%)",10.8,94.0,10.1,98.0,10.25,98.0,10.0,10.02,0.0,998.760,10.011.000
"August, 2020","11,85  -0,2 (-1,66%)",12.85,11.25,12.05,12.1,12.15,11.75,11.85,11.98,0.0,1.824.490,21.858.000
"September, 2020","12,35  0,2 (1,65%)",13.0,11.3,12.15,12.15,12.4,12.05,12.35,12.23,0.0,1.047.030,12.806.000
"October, 2020","14,15  0,45 (3,28%)",14.65,12.75,13.7,13.9,14.2,13.7,14.15,13.87,0.0,3.448.190,47.816.000
"November, 2020","18,6  -0,45 (-2,36%)",20.35,17.75,19.05,19.2,19.2,18.6,18.6,18.87,0.0,3.181.380,60.039.000
"December, 2020","29,95  1,45 (5,09%)",30.45,26.55,28.5,28.8,30.0,28.0,29.95,28.58,0.0,4.707.730,134.548.000
"January, 2021","24,4  -1,75 (-6,69%)",27.95,24.35,26.15,24.35,26.15,24.35,24.4,24.71,0.0,12.775.800,315.706.000
"February, 2021","28,85  -0,05 (-0,17%)",30.9,26.9,28.9,27.8,29.0,27.8,28.85,28.410000000000004,0.0,4.192.500,119.115.000
"March, 2021","27,8  -0,4 (-1,42%)",30.15,26.25,28.2,28.2,28.3,27.75,27.8,27.96,0.0,2.116.900,59.316.000
"April, 2021","25,75  0,75 (3%)",26.75,23.25,25.0,26.0,26.3,25.2,25.75,25.76,0.0,3.166.900,81.586.000
"May, 2021","28,6  -0,15 (-0,52%)",30.75,26.75,28.75,28.8,29.0,28.1,28.6,28.58,0.0,4.910.100,140.336.000
"June, 2021","35  -0,7 (-1,96%)",38.15,33.25,35.7,35.5,35.85,35.0,35.0,35.39,0.0,3.729.600,131.983.000
"July, 2021","33,7  0,55 (1,66%)",35.45,30.85,33.15,33.3,33.8,33.05,33.7,33.489999999999995,0.0,5.202.800,174.266.000
"August, 2021","38,75  1,15 (3,06%)",40.2,35.0,37.6,37.6,39.9,37.35,38.75,38.74,0.0,9.613.400,372.469.000
"September, 2021","35,9  -0,1 (-0,28%)",38.5,33.5,36.0,36.45,36.5,35.9,35.9,36.23,0.0,1.718.800,62.270.000
"October, 2021","39,8  -0,25 (-0,62%)",42.85,37.25,40.05,40.5,40.9,39.55,39.8,40.22,0.0,4.829.000,193.880.000
"November, 2021","38,8  2 (5,43%)",39.35,34.25,36.8,37.3,39.35,37.3,38.8,38.78,0.0,7.476.800,289.867.000
"December, 2021","36,95  -0,05 (-0,14%)",39.55,34.45,37.0,37.2,37.4,36.85,36.95,37.010000000000005,0.0,2.201.800,81.557.805
