Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2015","46,9  0,1 (0,21%)",50.0,43.6,46.8,47.9,47.9,46.9,46.9,47.16,24.5,10.43,492.000
"February, 2015","47,9  1 (2,13%)",50.0,43.7,46.9,47.9,49.4,46.8,47.9,47.760000000000005,25.05,59.090,2.822.000
"March, 2015","35,8  0,8 (2,29%)",37.4,32.6,35.0,35.0,35.8,35.0,35.8,35.0,15.02,6.19,217.000
"April, 2015","36  -0,4 (-1,1%)",38.9,33.9,36.4,36.0,36.0,36.0,36.0,36.0,15.1,1.51,54.000
"May, 2015","34,5  -0,7 (-1,99%)",37.6,32.8,35.2,35.0,35.0,34.5,34.5,34.88,14.88,8.2,286.000
"June, 2015","38,5  0 (0%)",41.1,35.9,38.5,38.1,38.5,37.5,38.5,38.06,16.61,7.23,275.000
"July, 2015","37,3  -0,2 (-0,53%)",40.1,34.9,37.5,37.7,37.7,37.3,37.3,37.52,16.09,19.77,742.000
"August, 2015","38,3  -0,3 (-0,78%)",41.3,35.9,38.6,39.4,39.4,38.0,38.3,38.16,17.1,29.8,1.137.000
"September, 2015","38,1  0,7 (1,87%)",40.0,34.8,37.4,37.9,38.4,37.9,38.1,38.17,18.02,35.97,1.373.000
"October, 2015","48,3  1,3 (2,77%)",50.0,43.8,47.0,47.6,48.8,47.2,48.3,48.21,24.78,96.17,4.636.000
"November, 2015","46,8  -1,7 (-3,51%)",51.5,45.2,48.5,47.5,48.0,46.8,46.8,47.13,24.45,34.75,1.638.000
"December, 2015","43,2  0 (0%)",46.3,40.3,43.2,43.3,43.3,42.9,43.2,43.04,19.14,134.45,5.786.000
"January, 2016","48,2  -0,2 (-0,41%)",51.5,45.1,48.4,48.3,48.4,47.5,48.2,47.98,22.7,59.27,2.844.000
"February, 2016","46,1  0 (0%)",49.3,42.9,46.1,46.1,46.2,45.1,46.1,45.66,22.03,133.57,6.099.000
"March, 2016","43,4  1,1 (2,6%)",45.2,39.4,42.3,42.4,43.6,42.4,43.4,43.07,20.65,386.62,16.652.000
"April, 2016","40  -0,6 (-1,48%)",43.4,37.8,40.6,40.6,40.6,39.3,40.0,39.77,18.95,258.14,10.265.000
"May, 2016","40,6  0,7 (1,75%)",42.6,37.2,39.9,40.1,40.8,40.1,40.6,40.5,19.43,222.52,8.922.000
