Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","19,2  -1,1 (-5,42%)",21.7,18.9,20.3,20.2,20.2,19.2,19.2,19.49,18.1,323.49,6.304.000
"February, 2014","21,5  0,3 (1,42%)",22.6,19.8,21.2,21.5,21.5,21.5,21.5,21.5,95.4,490.0,10.535
"March, 2014",22  0 (0%),23.5,20.5,22.0,22.0,22.0,21.9,22.0,21.93,10.22,660.0,14.471
"April, 2014","22,1  0 (0%)",23.6,20.6,22.1,0.0,0.0,0.0,22.1,0.0,10.27,720.0,15.912
"May, 2014","23  0,6 (2,68%)",23.9,20.9,22.4,22.5,23.2,22.5,23.0,23.03,10.69,4.14,95.000
"June, 2014","24  -0,2 (-0,83%)",25.8,22.6,24.2,24.0,24.0,24.0,24.0,24.0,11.15,10.0,45.0
"July, 2014","20,2  0,2 (1%)",21.4,18.6,20.0,21.0,21.1,20.2,20.2,20.95,93.8,1.38,29.0
"August, 2014","21,6  0,1 (0,47%)",23.0,20.0,21.5,21.6,21.6,21.6,21.6,21.6,10.03,50.0,1.0
"September, 2014","42,9  -0,6 (-1,38%)",46.5,40.5,43.5,42.6,44.0,41.5,42.9,42.97,19.93,155.370,6.677.000
"October, 2014","44,6  -0,9 (-1,98%)",48.6,42.4,45.5,45.4,45.4,43.5,44.6,43.95,21.0,217.53,9.560.000
"November, 2014","20,3  0 (0%)",21.7,18.9,20.3,20.3,20.9,19.8,20.3,20.380000000000003,19.14,153.34,3.126.000
"December, 2014","14,9  0,9 (6,43%)",14.9,13.1,14.0,14.4,14.9,14.4,14.9,14.87,14.05,235.7,3.505.000
"January, 2015","15,2  0,2 (1,33%)",16.0,14.0,15.0,15.0,15.4,14.7,15.2,15.18,15.830000000000002,2.437.190,36.993.000
"February, 2015","18,4  0,3 (1,66%)",19.3,16.9,18.1,18.1,18.5,18.1,18.4,18.27,19.16,1.815.290,33.174.000
"March, 2015","12,1  -0,4 (-3,2%)",13.3,11.7,12.5,12.4,12.6,12.1,12.1,12.37,12.6,5.548.870,68.666.000
"April, 2015","10,4  0 (0%)",11.1,97.0,10.4,10.5,10.6,10.1,10.4,10.34,10.83,1.948.470,20.141.000
"May, 2015","9  -0,2 (-2,17%)",98.0,86.0,92.0,92.0,93.0,9.0,9.0,91.0,93.7,2.923.570,26.629.000
"June, 2015","9,4  0,6 (6,82%)",94.0,82.0,88.0,88.0,94.0,87.0,94.0,92.2,97.9,5.551.630,51.210.000
"July, 2015","8,4  -0,2 (-2,33%)",92.0,8.0,86.0,86.0,87.0,84.0,84.0,84.7,10.09,788.960,6.685.000
"August, 2015","6  -0,4 (-6,25%)",68.0,6.0,64.0,65.0,65.0,6.0,6.0,60.9,7.0,8.474.360,51.623.000
"September, 2015","5,8  0 (0%)",62.0,54.0,58.0,58.0,6.0,58.0,58.0,58.8,67.7,1.014.950,5.971.000
"October, 2015","6  -0,1 (-1,64%)",65.0,57.0,61.0,61.0,63.0,6.0,6.0,61.3,72.4,3.499.620,21.465.000
"November, 2015","6,1  -0,2 (-3,17%)",67.0,59.0,63.0,62.0,63.0,6.0,61.0,61.4,73.6,2.215.350,13.607.000
"December, 2015","5,2  0 (0%)",55.0,49.0,52.0,53.0,53.0,51.0,52.0,51.6,59.5,1.447.180,7.468.000
"January, 2016",5  0 (0%),53.0,47.0,5.0,5.0,52.0,5.0,5.0,50.5,58.9,768.360,3.880.000
"February, 2016","5,1  0 (0%)",54.0,48.0,51.0,51.0,52.0,5.0,51.0,51.0,60.1,934.060,4.762.000
"March, 2016","6  0,3 (5,26%)",6.0,54.0,57.0,58.0,6.0,57.0,6.0,59.8,69.3,9.916.110,59.253.000
"April, 2016","5,1  0,1 (2%)",53.0,47.0,5.0,5.0,51.0,5.0,51.0,50.5,53.0,570.020,2.881.000
"May, 2016",5  0 (0%),53.0,47.0,5.0,5.0,51.0,49.0,5.0,5.0,50.9,636.89,3.185.000
"June, 2016","4,6  -0,1 (-2,13%)",5.0,44.0,47.0,46.0,48.0,46.0,46.0,46.2,46.8,255.650,1.180.000
"July, 2016","4,4  -0,1 (-2,22%)",48.0,42.0,45.0,45.0,45.0,44.0,44.0,44.2,42.9,105.27,465.000
"August, 2016","4,2  0 (0%)",44.0,4.0,42.0,42.0,43.0,42.0,42.0,42.0,40.9,499.89,2.102.000
"September, 2016","3,76  -0,04 (-1,05%)",40.6,35.4,38.0,38.5,38.5,37.6,37.6,37.8,36.6,522.1,1.972.000
"October, 2016","3,98  -0,16 (-3,86%)",44.2,38.6,41.4,41.4,41.4,39.8,39.8,40.4,38.8,366.27,1.480.000
"November, 2016","3,95  0,08 (2,07%)",41.4,36.0,38.7,38.7,40.1,38.7,39.5,39.6,38.2,572.460,2.265.000
"December, 2016","3,37  0,01 (0,3%)",35.9,31.3,33.6,33.6,34.0,33.6,33.7,33.7,32.6,173.31,584.000
"January, 2017","3,3  0,02 (0,61%)",35.0,30.6,32.8,32.4,33.0,32.4,33.0,32.9,31.8,88.62,291.0
"February, 2017","4,08  0,23 (5,97%)",41.1,35.9,38.5,38.5,41.1,38.5,40.8,40.8,39.3,2.083.170,8.489.000
"March, 2017","3,77  -0,06 (-1,57%)",40.9,35.7,38.3,38.0,38.4,37.7,37.7,38.0,36.3,347.29,1.319.000
"April, 2017","3,57  -0,03 (-0,83%)",38.5,33.5,36.0,35.8,36.1,35.5,35.7,35.7,34.4,99.360,355.000
"May, 2017","3,87  0 (0%)",41.4,36.0,38.7,38.7,39.5,38.3,38.7,38.8,37.3,414.47,1.608.000
"June, 2017","4,07  0 (0%)",43.5,37.9,40.7,40.7,41.5,40.4,40.7,41.0,39.2,1.009.310,4.139.000
"July, 2017","15,1  0,95 (6,71%)",15.1,13.2,14.15,15.0,15.1,15.0,15.1,15.06,14.57,1.329.060,19.928.000
"August, 2017","10,4  -0,6 (-5,45%)",11.75,10.25,11.0,11.0,11.7,10.25,10.4,10.44,10.04,5.649.510,59.013.000
"September, 2017","8,18  -0,61 (-6,94%)",94.0,81.8,87.9,87.9,87.9,81.8,81.8,82.2,79.7,3.077.350,25.329.000
"October, 2017","9  -0,67 (-6,93%)",10.3,9.0,96.7,96.7,96.7,9.0,9.0,91.8,88.2,2.112.820,19.413.137
"November, 2017","7,82  -0,17 (-2,13%)",85.4,74.4,79.9,79.3,81.5,78.0,78.2,78.9,76.7,2.432.110,19.194.000
"December, 2017","7,36  -0,03 (-0,41%)",79.0,68.8,73.9,74.0,74.9,73.5,73.6,73.9,72.2,1.240.600,9.162.000
"January, 2018","6,03  -0,27 (-4,29%)",67.4,58.6,63.0,63.1,63.4,60.3,60.3,61.6,59.1,5.862.160,36.101.800
"February, 2018","4,6  -0,1 (-2,13%)",50.2,43.8,47.0,46.8,47.3,45.7,46.0,46.4,45.1,1.033.690,4.803.400
"March, 2018","4,53  -0,06 (-1,31%)",49.1,42.7,45.9,45.8,46.0,45.3,45.3,45.5,44.4,724.680,3.307.200
"April, 2018","3,52  0,07 (2,03%)",36.9,32.1,34.5,34.5,36.1,34.5,35.2,35.1,34.5,714.200,2.489.710
"May, 2018","3,35  0,05 (1,52%)",35.3,30.7,33.0,33.8,33.9,33.0,33.5,33.5,32.8,595.370,1.966.000
