Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","5,7  -0,1 (-1,72%)",62.0,54.0,58.0,59.0,59.0,57.0,57.0,57.9,39.2,470.0,3.0
"February, 2014","6  0,2 (3,45%)",62.0,54.0,58.0,59.0,6.0,58.0,6.0,6.0,41.3,20.68,123.983
"March, 2014","6,7  -0,3 (-4,29%)",74.0,66.0,7.0,68.0,7.0,67.0,67.0,69.2,46.1,26.99,186.887
"April, 2014","6,6  0,2 (3,12%)",68.0,6.0,64.0,6.0,66.0,6.0,66.0,61.7,45.4,2.13,13.143
"May, 2014","6,3  0,3 (5%)",64.0,56.0,6.0,61.0,64.0,61.0,63.0,62.2,43.3,18.95,118.0
"June, 2014",6  0 (0%),64.0,56.0,6.0,61.0,62.0,6.0,6.0,61.3,41.3,9.33,57.0
"July, 2014","6,3  0,2 (3,28%)",65.0,57.0,61.0,64.0,64.0,61.0,63.0,61.1,43.3,2.15,13.0
"August, 2014","6,2  0 (0%)",66.0,58.0,62.0,61.0,62.0,6.0,62.0,60.1,42.7,29.23,176.0
"September, 2014",6  0 (0%),64.0,56.0,6.0,6.0,6.0,59.0,6.0,59.9,41.3,2.35,14.0
"October, 2014","6  0,2 (3,45%)",62.0,54.0,58.0,58.0,6.0,58.0,6.0,58.0,41.3,3.01,17.0
"November, 2014","5,8  0 (0%)",62.0,54.0,58.0,0.0,0.0,0.0,58.0,0.0,39.9,1.8,10.0
"December, 2014","5,9  0,3 (5,36%)",59.0,53.0,56.0,59.0,59.0,58.0,59.0,58.2,40.6,1.28,7.0
"January, 2015","5,3  0,1 (1,92%)",55.0,49.0,52.0,52.0,55.0,52.0,53.0,52.0,36.5,2.98,16.0
"February, 2015","5,4  0,2 (3,85%)",55.0,49.0,52.0,55.0,55.0,54.0,54.0,55.0,37.2,250.0,1.0
"March, 2015","5,9  0 (0%)",63.0,55.0,59.0,59.0,59.0,59.0,59.0,59.0,40.6,710.0,4.0
"April, 2015","5,8  0,2 (3,57%)",59.0,53.0,56.0,55.0,58.0,54.0,58.0,54.8,39.9,880.0,5.0
"May, 2015","5,3  0,1 (1,92%)",55.0,49.0,52.0,5.0,53.0,49.0,53.0,5.0,36.5,530.0,3.0
"June, 2015","5,4  0,3 (5,88%)",54.0,48.0,51.0,53.0,54.0,53.0,54.0,53.5,37.2,20.0,57.0
"July, 2015","5,1  0 (0%)",54.0,48.0,51.0,5.0,51.0,5.0,51.0,5.0,35.1,2.34,12.0
"August, 2015","4,8  0,3 (6,67%)",48.0,42.0,45.0,48.0,48.0,48.0,48.0,48.0,33.2,20.0,6.0
"September, 2015","4,9  0 (0%)",52.0,46.0,49.0,0.0,0.0,0.0,49.0,0.0,31.8,40.0,2.0
"October, 2015","4,7  -0,3 (-6%)",53.0,47.0,5.0,47.0,47.0,47.0,47.0,47.0,29.3,1.5,7.0
"November, 2015","4,8  -0,1 (-2,04%)",52.0,46.0,49.0,46.0,48.0,46.0,48.0,46.7,29.9,90.0,18.0
"December, 2015","4,9  0,2 (4,26%)",53.0,47.0,47.0,49.0,49.0,49.0,49.0,49.0,27.4,500.0,2.0
"January, 2016",5  0 (0%),53.0,47.0,5.0,0.0,0.0,0.0,5.0,0.0,29.2,10.0,16.0
"February, 2016","5,1  0,2 (4,08%)",52.0,46.0,49.0,51.0,51.0,49.0,51.0,5.0,29.8,200.0,1.0
"March, 2016","5,6  -0,4 (-6,67%)",64.0,56.0,6.0,56.0,56.0,56.0,56.0,56.0,34.7,160.0,1.0
"April, 2016","7  0,1 (1,45%)",73.0,65.0,69.0,7.0,7.0,67.0,7.0,68.2,46.2,90.79,619.0
"May, 2016","8,7  -0,3 (-3,33%)",96.0,84.0,9.0,9.0,93.0,87.0,87.0,89.2,68.3,111.21,992.000
"June, 2016","12,3  -0,8 (-6,11%)",14.0,12.2,13.1,12.3,13.0,12.3,12.3,12.43,95.6,217.39,2.701.000
"July, 2016","9,4  0 (0%)",10.0,88.0,94.0,94.0,95.0,93.0,94.0,93.4,68.6,35.2,329.000
"August, 2016","10,6  -0,1 (-0,93%)",11.4,10.0,10.7,10.7,10.8,10.6,10.6,10.68,73.1,32.19,344.000
"September, 2016","9,09  0,19 (2,13%)",95.2,82.8,89.0,89.0,91.0,85.5,90.9,90.2,62.9,4.69,42.0
"October, 2016","8,65  -0,11 (-1,26%)",93.7,81.5,87.6,9.0,9.0,85.0,86.5,86.9,59.9,4.3,37.0
"November, 2016","9,17  0,17 (1,89%)",96.3,83.7,9.0,91.8,91.9,91.7,91.7,91.7,64.6,130.0,1.0
"December, 2016","8,5  0,08 (0,95%)",9.0,78.4,84.2,85.9,85.9,82.0,85.0,84.3,59.8,370.0,3.0
"January, 2017","7,8  0,33 (4,42%)",79.9,69.5,74.7,79.0,79.0,7.0,78.0,74.3,53.7,4.43,33.0
"February, 2017","8,1  -0,02 (-0,25%)",86.8,75.6,81.2,79.2,86.8,79.2,81.0,85.3,55.7,120.72,1.030.000
"March, 2017","7,9  -0,09 (-1,13%)",85.4,74.4,79.9,78.0,79.1,77.1,79.0,78.9,54.3,15.84,125.0
"April, 2017","7  0,29 (4,32%)",71.7,62.5,67.1,68.5,7.0,68.1,7.0,73.2,48.2,1.23,9.0
"May, 2017","8,7  -0,1 (-1,14%)",94.1,81.9,88.0,88.0,88.0,83.0,87.0,84.1,59.8,10.11,85.0
"June, 2017","9,3  0,07 (0,76%)",98.7,85.9,92.3,91.0,93.9,9.0,93.0,90.2,64.0,4.88,44.0
"July, 2017","9,1  0,01 (0,11%)",97.2,84.6,90.9,91.4,91.4,91.0,91.0,10.0,63.3,200.0,2.0
"August, 2017","8,8  0 (0%)",94.1,81.9,88.0,87.0,88.0,85.3,88.0,83.3,61.2,960.0,8.0
"September, 2017","8,68  0,5 (6,11%)",87.5,76.1,81.8,87.0,87.0,78.6,86.8,77.8,60.4,900.0,7.0
"October, 2017","9  0,2 (2,27%)",94.1,81.9,88.0,9.0,9.0,9.0,9.0,9.0,62.6,40.0,360.0
"November, 2017","9,6  0,49 (5,38%)",97.4,84.8,91.1,93.9,96.0,91.6,96.0,94.6,66.8,52.83,500.0
"December, 2017","8,31  0,29 (3,62%)",85.8,74.6,80.2,83.5,83.5,79.0,83.1,80.4,61.4,16.3,131.0
"January, 2018","9,79  0,29 (3,05%)",10.15,88.4,95.0,95.0,10.0,94.0,97.9,99.5,72.9,59.52,592.0
"February, 2018","9,31  -0,28 (-2,92%)",10.25,89.2,95.9,99.0,99.0,93.0,93.1,92.6,70.2,8.21,76.0
"March, 2018","9,44  0 (0%)",10.1,87.8,94.4,94.4,94.4,93.4,94.4,96.8,72.0,620.0,6.0
"April, 2018","9,01  -0,14 (-1,53%)",97.9,85.1,91.5,92.5,92.5,90.1,90.1,12.5,69.3,80.0,1.0
"May, 2018","8,01  0,52 (6,94%)",80.1,69.7,74.9,79.5,80.1,79.0,80.1,78.4,61.6,5.36,42.0
"June, 2018","6,73  -0,07 (-1,03%)",72.7,63.3,68.0,72.0,72.0,67.3,67.3,70.8,55.3,40.0,283.0
"July, 2018","8,3  0 (0%)",88.8,77.2,83.0,0.0,0.0,0.0,83.0,0.0,68.2,1.2,9.0
"August, 2018","8  0,3 (3,9%)",82.3,71.7,77.0,76.0,8.0,76.0,8.0,85.1,65.8,470.0,4.0
"September, 2018","9,13  0,59 (6,91%)",91.3,79.5,85.4,87.0,91.3,87.0,91.3,90.5,75.0,18.79,170.0
"October, 2018","8,05  -0,51 (-5,96%)",91.5,79.7,85.6,80.5,80.5,80.5,80.5,75.0,66.2,400.0,3.0
"November, 2018","8,77  0,57 (6,95%)",87.7,76.3,82.0,86.0,87.7,86.0,87.7,10.0,72.1,300.0,3.0
"December, 2018","10  0,1 (1,01%)",10.55,92.1,99.0,10.0,10.0,10.0,10.0,10.53,83.1,950.0,10.0
"January, 2019","9,43  -0,01 (-0,11%)",10.1,87.8,94.4,94.3,94.3,94.3,94.3,94.3,78.6,10.0,94.0
"February, 2019","9,13  -0,06 (-0,65%)",98.3,85.5,91.9,91.3,91.3,91.3,91.3,91.3,76.5,50.0,457.0
"March, 2019","9,9  0,4 (4,21%)",10.15,88.4,95.0,99.0,99.0,99.0,99.0,10.0,83.4,2.0,20.0
"April, 2019","9,23  0 (0%)",98.7,85.9,92.3,0.0,0.0,0.0,92.3,0.0,79.1,28.52,265.0
"May, 2019","8,88  -0,02 (-0,22%)",95.2,82.8,89.0,82.8,88.8,82.8,88.8,83.6,76.1,31.46,263.0
"June, 2019","8  0,05 (0,63%)",85.0,74.0,79.5,83.0,83.0,8.0,8.0,81.0,78.9,30.0,243.0
"July, 2019","8,2  -0,2 (-2,38%)",89.8,78.2,84.0,78.2,83.0,78.2,82.0,80.5,80.8,1.74,14.0
"August, 2019","7,89  0,12 (1,54%)",83.1,72.3,77.7,77.5,78.9,77.5,78.9,8.0,77.8,2.0,16.0
"September, 2019","7,9  0 (0%)",84.5,73.5,79.0,0.0,0.0,0.0,79.0,0.0,77.9,4.65,37.0
"October, 2019","7,64  0 (0%)",81.7,71.1,76.4,0.0,0.0,0.0,76.4,0.0,75.3,150.0,1.0
"November, 2019","7,3  -0,09 (-1,22%)",79.0,68.8,73.9,73.0,73.0,73.0,73.0,12.5,72.0,80.0,1.0
"December, 2019",7  0 (0%),74.9,65.1,7.0,7.0,7.0,67.0,7.0,73.4,69.0,1.09,8.0
"January, 2020","7,2  0,2 (2,86%)",74.9,65.1,7.0,7.0,72.0,7.0,72.0,67.8,72.0,1.77,12.0
"February, 2020","7,19  -0,01 (-0,14%)",77.0,67.0,72.0,67.0,72.0,67.0,71.9,64.5,71.9,310.0,2.0
"March, 2020","6,57  -0,48 (-6,81%)",75.4,65.6,70.5,65.6,65.7,65.6,65.7,68.0,65.7,1.03,7.0
"April, 2020","6,63  0,43 (6,94%)",66.3,57.7,62.0,66.3,66.3,66.3,66.3,66.3,66.3,20.0,133.0
"May, 2020","7,14  0 (0%)",76.3,66.5,71.4,0.0,0.0,0.0,71.4,0.0,71.4,2.47,18.0
"June, 2020","7,3  0,18 (2,53%)",76.1,66.3,71.2,73.0,73.0,73.0,73.0,66.7,0.0,300.0,2.0
"July, 2020","6,89  -0,06 (-0,86%)",74.3,64.7,69.5,69.5,69.5,68.9,68.9,68.5,0.0,7.01,48.0
"August, 2020","7,45  0 (0%)",79.7,69.3,74.5,0.0,0.0,0.0,74.5,0.0,0.0,30.0,220.0
"September, 2020","8,5  0 (0%)",90.9,79.1,85.0,0.0,0.0,0.0,85.0,0.0,0.0,230.0,2.0
"October, 2020","7,75  0 (0%)",82.9,72.1,77.5,0.0,0.0,0.0,77.5,0.0,0.0,450.0,3.0
"November, 2020","7,6  0,1 (1,33%)",80.2,69.8,75.0,76.0,76.0,76.0,76.0,78.0,0.0,2.05,16.0
"December, 2020","8,1  -0,3 (-3,57%)",89.8,78.2,84.0,79.9,84.0,79.9,81.0,79.9,0.0,3.13,25.0
"January, 2021","8,28  0,08 (0,98%)",87.7,76.3,82.0,81.0,82.8,81.0,82.8,75.0,0.0,800.0,6.0
"February, 2021","9,8  -0,1 (-1,01%)",10.55,92.1,99.0,10.1,10.1,98.0,98.0,10.0,0.0,1.6,16.0
"March, 2021","11,95  -0,85 (-6,64%)",13.65,11.95,12.8,11.95,12.8,11.95,11.95,11.91,0.0,6.8,81.000
"April, 2021","15,95  0 (0%)",17.05,14.85,15.95,15.95,15.95,15.95,15.95,20.0,0.0,100.0,2.0
"May, 2021","13,5  -0,1 (-0,74%)",14.55,12.65,13.6,13.5,13.5,13.5,13.5,13.5,0.0,2.0,27.0
"June, 2021","12,5  -0,75 (-5,66%)",14.15,12.35,13.25,12.7,12.7,12.5,12.5,12.5,0.0,4.0,50.0
"July, 2021","12,4  -0,05 (-0,4%)",13.3,11.6,12.45,12.4,12.4,12.4,12.4,10.0,0.0,100.0,1.0
"August, 2021",12  0 (0%),12.8,11.2,12.0,12.0,12.0,12.0,12.0,10.0,0.0,100.0,1.0
"September, 2021","11,5  0 (0%)",12.3,10.7,11.5,0.0,0.0,0.0,11.5,0.0,0.0,400.0,4.0
"October, 2021","12,9  0,7 (5,74%)",13.05,11.35,12.2,11.55,13.0,11.55,12.9,12.06,0.0,6.8,82.0
"November, 2021","12,4  0,35 (2,9%)",12.85,11.25,12.05,12.0,12.5,11.9,12.4,11.99,0.0,14.6,175.0
"December, 2021","11,9  -0,1 (-0,83%)",12.8,11.2,12.0,11.9,12.2,11.9,11.9,11.43,0.0,1.4,16.0
