Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2016","8,63  0,33 (3,98%)",88.8,77.2,83.0,82.5,86.4,82.0,86.3,84.9,69.5,248.32,2.108.000
"February, 2016","9,1  0,47 (5,45%)",92.3,80.3,86.3,88.8,91.0,87.0,91.0,89.1,73.3,360.73,3.215.000
"March, 2016","7,87  -0,06 (-0,76%)",84.8,73.8,79.3,79.0,79.0,78.7,78.7,79.0,63.9,79.33,627.000
"April, 2016","7,89  0,02 (0,25%)",84.2,73.2,78.7,78.8,79.0,78.6,78.9,78.8,64.1,177.64,1.400.000
"May, 2016","8,67  -0,43 (-4,73%)",97.3,84.7,91.0,90.6,90.6,86.7,86.7,88.3,69.8,200.87,1.775.000
"June, 2016","8,65  -0,02 (-0,23%)",92.7,80.7,86.7,86.5,86.9,86.0,86.5,86.5,69.7,142.9,1.235.000
"July, 2016","9,1  0,1 (1,11%)",96.0,84.0,9.0,88.0,91.0,87.0,91.0,89.8,80.1,234.12,2.103.000
"August, 2016","8,3  0 (0%)",88.0,78.0,83.0,83.0,84.0,82.0,83.0,82.8,67.4,279.300,2.313.000
"September, 2016","8,02  -0,03 (-0,37%)",86.1,74.9,80.5,80.5,80.5,8.0,80.2,80.2,65.1,307.17,2.464.000
"October, 2016","8,13  -0,05 (-0,61%)",87.5,76.1,81.8,81.0,81.8,80.5,81.3,81.4,66.0,161.25,1.312.000
"November, 2016","8,3  0,1 (1,22%)",87.7,76.3,82.0,81.7,83.0,81.5,83.0,82.4,66.8,138.84,1.143.000
"December, 2016","8,88  0,14 (1,6%)",93.5,81.3,87.4,87.2,88.8,87.2,88.8,87.9,71.7,241.95,2.127.000
"January, 2017","9,94  0,06 (0,61%)",10.55,91.9,98.8,98.8,99.6,98.8,99.4,99.3,80.5,202.22,2.007.000
"February, 2017","11,85  -0,85 (-6,69%)",13.55,11.85,12.7,12.65,12.95,11.85,11.85,12.21,96.9,1.925.610,23.521.000
"March, 2017","8,2  -0,17 (-2,03%)",89.5,77.9,83.7,86.8,87.0,81.0,82.0,85.1,72.6,764.330,6.512.750
"April, 2017","7,76  0,16 (2,11%)",81.3,70.7,76.0,74.9,77.6,74.8,77.6,76.1,68.7,440.750,3.354.000
"May, 2017","8,65  0,28 (3,35%)",89.5,77.9,83.7,83.5,86.7,83.5,86.5,85.2,76.6,565.720,4.822.000
"June, 2017","8,2  -0,07 (-0,85%)",88.4,77.0,82.7,82.5,83.0,82.0,82.0,82.6,72.6,177.22,1.463.000
"July, 2017","9,5  0,05 (0,53%)",10.1,87.9,94.5,95.0,95.0,93.0,95.0,94.0,84.2,356.160,3.349.000
"August, 2017","8,2  -0,06 (-0,73%)",88.3,76.9,82.6,82.1,83.9,81.9,82.0,82.1,73.0,200.230,1.643.000
"September, 2017","8,34  0,01 (0,12%)",89.1,77.5,83.3,83.0,83.5,82.6,83.4,83.2,74.3,179.21,1.491.000
"October, 2017","9,03  0,55 (6,49%)",90.7,78.9,84.8,85.0,90.7,84.9,90.3,87.7,80.4,1.356.160,11.898.000
"November, 2017","8,75  0 (0%)",93.6,81.4,87.5,87.7,87.7,86.0,87.5,86.8,77.9,241.49,2.097.000
"December, 2017","8,28  0 (0%)",88.5,77.1,82.8,83.5,84.0,82.6,82.8,82.8,73.7,152.4,1.262.000
"January, 2018","8,4  0,08 (0,96%)",89.0,77.4,83.2,83.5,84.0,83.0,84.0,83.6,74.8,249.77,2.087.000
"February, 2018","8,6  -0,03 (-0,35%)",92.3,80.3,86.3,86.3,86.5,85.0,86.0,85.7,76.6,138.310,1.186.000
"March, 2018","8,19  0,04 (0,49%)",87.2,75.8,81.5,81.5,81.9,80.1,81.9,80.8,72.9,170.61,1.379.000
"April, 2018","8,34  0,06 (0,72%)",88.5,77.1,82.8,82.8,83.4,81.4,83.4,82.6,74.3,217.53,1.797.000
"May, 2018","9,85  0,15 (1,55%)",10.35,90.3,97.0,96.0,10.0,96.0,98.5,97.9,88.1,417.090,4.084.000
"June, 2018","15,2  0,95 (6,67%)",15.2,13.3,14.25,14.45,15.2,13.3,15.2,14.26,13.7,1.196.810,17.070.000
"July, 2018","12,95  0,05 (0,39%)",13.8,12.0,12.9,12.95,13.0,12.85,12.95,12.91,12.23,469.810,6.062.000
"August, 2018","11,25  0,15 (1,35%)",11.85,10.35,11.1,11.2,11.55,11.1,11.25,11.33,10.71,666.870,7.553.000
"September, 2018","10,55  0,1 (0,96%)",11.15,97.2,10.45,10.5,10.55,10.45,10.55,10.45,10.75,535.590,5.598.000
"October, 2018","6,3  -0,19 (-2,93%)",69.4,60.4,64.9,61.0,68.0,61.0,63.0,64.0,65.0,1.761.600,11.269.000
"November, 2018",5  0 (0%),53.5,46.5,5.0,5.0,50.5,49.5,5.0,49.9,51.6,133.87,668.000
"December, 2018","4,93  -0,04 (-0,8%)",53.1,46.3,49.7,50.1,50.1,49.1,49.3,49.4,50.9,148.66,735.000
"January, 2019","5,47  0,27 (5,19%)",55.6,48.4,52.0,52.1,55.3,51.6,54.7,53.8,56.4,397.18,2.137.000
"February, 2019","5,03  -0,05 (-0,98%)",54.3,47.3,50.8,50.9,51.0,50.1,50.3,50.7,51.9,102.83,521.000
"March, 2019","4,59  0 (0%)",49.1,42.7,45.9,45.6,45.9,45.5,45.9,45.7,47.3,91.330,417.000
"April, 2019","4,7  -0,17 (-3,49%)",52.1,45.3,48.7,48.7,49.9,46.6,47.0,49.0,48.5,252.280,1.237.000
"May, 2019","3,9  -0,03 (-0,76%)",42.0,36.6,39.3,41.9,41.9,39.0,39.0,39.3,40.2,78.830,310.000
"June, 2019","3,56  -0,04 (-1,11%)",38.5,33.5,36.0,36.0,36.0,35.6,35.6,36.0,36.7,469.86,1.690.000
"July, 2019","3,84  0 (0%)",41.0,35.8,38.4,4.0,4.0,38.4,38.4,38.9,39.6,39.29,153.000
"August, 2019","3,6  -0,02 (-0,55%)",38.7,33.7,36.2,35.8,36.2,35.8,36.0,36.0,37.1,126.69,456.000
"September, 2019","3,41  -0,03 (-0,87%)",36.8,32.0,34.4,35.7,35.7,34.1,34.1,34.3,35.2,12.84,44.0
"October, 2019","3,37  0,01 (0,3%)",35.9,31.3,33.6,33.5,33.7,33.4,33.7,33.6,34.8,12.51,42.0
"November, 2019","3,55  0,03 (0,85%)",37.6,32.8,35.2,35.2,37.0,35.2,35.5,36.2,36.6,251.900,913.000
"December, 2019","2,84  -0,06 (-2,07%)",31.0,27.0,29.0,29.0,29.1,28.0,28.4,28.3,29.3,305.13,865.000
"January, 2020","2,24  -0,14 (-5,88%)",25.4,22.2,23.8,23.2,23.7,22.3,22.4,23.1,22.4,267.43,619.0
"February, 2020","2,3  -0,09 (-3,77%)",25.5,22.3,23.9,23.4,23.4,22.9,23.0,23.0,23.0,110.720,255.000
"March, 2020","2,09  -0,06 (-2,79%)",23.0,2.0,21.5,22.1,22.1,2.0,20.9,20.9,20.9,355.69,744.000
"April, 2020","3,58  -0,22 (-5,79%)",40.6,35.4,38.0,37.8,37.8,35.4,35.8,35.4,35.8,2.254.180,7.991.000
"May, 2020","2,88  -0,08 (-2,7%)",31.6,27.6,29.6,29.0,30.4,28.8,28.8,29.4,28.8,663.540,1.952.000
"June, 2020","3,22  0,05 (1,58%)",33.9,29.5,31.7,30.7,32.4,30.7,32.2,31.3,0.0,162.820,509.000
"July, 2020","3,43  0,22 (6,85%)",34.3,29.9,32.1,32.1,34.3,31.3,34.3,32.6,0.0,84.090,274.000
"August, 2020","3,09  -0,03 (-0,96%)",33.3,29.1,31.2,31.2,31.3,30.8,30.9,30.9,0.0,140.570,435.000
"September, 2020","2,88  -0,04 (-1,37%)",31.2,27.2,29.2,29.2,29.2,28.4,28.8,28.7,0.0,471.55,1.352.000
"October, 2020","2,37  0,03 (1,28%)",25.0,21.8,23.4,23.5,23.9,23.5,23.7,23.6,0.0,144.230,341.000
"November, 2020","2,48  0,04 (1,64%)",26.1,22.7,24.4,24.5,24.8,24.4,24.8,24.7,0.0,99.69,246.000
"December, 2020","2,64  0 (0%)",28.2,24.6,26.4,26.4,26.8,25.9,26.4,26.3,0.0,386.97,1.016.000
"January, 2021","2,49  0,07 (2,89%)",25.8,22.6,24.2,23.1,25.1,23.1,24.9,24.0,0.0,264.600,634.000
"February, 2021","2,62  -0,01 (-0,38%)",28.1,24.5,26.3,26.0,26.9,26.0,26.2,26.5,0.0,161.6,428.000
"March, 2021","4,17  0,02 (0,48%)",44.4,38.6,41.5,42.4,42.4,39.8,41.7,41.2,0.0,1.135.900,4.677.000
"April, 2021","4,85  0 (0%)",51.8,45.2,48.5,49.5,49.5,47.7,48.5,48.4,0.0,322.4,1.562.000
"May, 2021","4,53  -0,07 (-1,52%)",49.2,42.8,46.0,46.0,46.2,45.0,45.3,45.6,0.0,384.1,1.750.000
"June, 2021","5,76  0,37 (6,86%)",57.6,50.2,53.9,53.9,57.6,53.1,57.6,56.8,0.0,1.091.900,6.199.000
"July, 2021","7,15  0,07 (0,99%)",75.7,65.9,70.8,70.2,72.3,69.0,71.5,70.2,0.0,878.200,6.164.000
"August, 2021","7,87  0,51 (6,93%)",78.7,68.5,73.6,73.7,78.7,73.7,78.7,77.7,0.0,2.220.000,17.240.000
"September, 2021","9,72  0,43 (4,63%)",99.4,86.4,92.9,96.0,99.0,95.5,97.2,97.1,0.0,475.800,4.620.000
"October, 2021","13,55  0,45 (3,44%)",14.0,12.2,13.1,13.1,14.0,13.05,13.55,13.32,0.0,1.899.500,25.297.000
"November, 2021","12,7  0,2 (1,6%)",13.35,11.65,12.5,12.7,13.3,12.55,12.7,12.81,0.0,948.000,12.142.000
"December, 2021","13,75  0,15 (1,1%)",14.55,12.65,13.6,13.6,13.85,13.5,13.75,13.69,0.0,399.300,5.466.000
