Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","35,4  -0,2 (-0,56%)",38.0,33.2,35.6,35.7,35.9,35.4,35.4,35.57,13.7,182.27,6.483.000
"February, 2014","31,8  1,4 (4,61%)",32.5,28.3,30.4,30.5,32.0,30.3,31.8,30.81,11.83,1.477.790,45.534.234
"March, 2014","42,5  0,6 (1,43%)",44.8,39.0,41.9,42.0,43.0,41.7,42.5,42.4,15.81,1.123.140,47.623.675
"April, 2014","33,1  0 (0%)",35.4,30.8,33.1,32.7,33.1,32.7,33.1,32.92,12.31,393.620,12.971.848
"May, 2014","31,2  0,4 (1,3%)",32.9,28.7,30.8,31.0,31.8,30.4,31.2,31.09,12.08,1.801.300,55.998.000
"June, 2014","35,8  0,1 (0,28%)",38.1,33.3,35.7,35.7,36.2,35.5,35.8,35.82,13.86,686.730,25.169.000
"July, 2014","34,2  0,1 (0,29%)",36.4,31.8,34.1,34.2,34.5,34.0,34.2,34.230000000000004,13.24,609.370,20.858.000
"August, 2014","39  -0,1 (-0,26%)",41.8,36.4,39.1,39.3,39.5,38.6,39.0,38.95,15.09,826.780,32.202.000
"September, 2014","39,1  0,3 (0,77%)",41.5,36.1,38.8,38.8,39.4,38.6,39.1,38.94,15.13,520.870,20.281.000
"October, 2014","36,9  0,7 (1,93%)",38.7,33.7,36.2,36.2,37.0,36.2,36.9,36.79,14.28,406.1,14.940.000
"November, 2014","35,6  -0,1 (-0,28%)",38.1,33.3,35.7,35.4,35.8,35.4,35.6,35.57,13.78,142.88,5.082.000
"December, 2014","31,2  1,4 (4,7%)",31.8,27.8,29.8,30.2,31.3,30.0,31.2,30.85,12.08,400.26,12.349.000
"January, 2015","31,7  -0,7 (-2,16%)",34.6,30.2,32.4,32.5,32.5,31.7,31.7,31.9,12.47,244.41,7.798.000
"February, 2015","32  -0,3 (-0,93%)",34.5,30.1,32.3,32.5,32.5,32.0,32.0,32.28,12.59,167.93,5.420.000
"March, 2015","31,8  0,2 (0,63%)",33.8,29.4,31.6,31.6,32.3,31.6,31.8,31.85,12.51,136.62,4.351.000
"April, 2015","31,4  0,1 (0,32%)",33.4,29.2,31.3,31.3,31.6,31.3,31.4,31.410000000000004,12.35,168.13,5.280.000
"May, 2015","31,6  -0,2 (-0,63%)",34.0,29.6,31.8,31.7,32.0,31.2,31.6,31.67,13.12,496.960,15.738.000
"June, 2015","37  -0,8 (-2,12%)",40.4,35.2,37.8,37.6,37.9,36.8,37.0,37.33,15.36,1.375.810,51.429.000
"July, 2015","37  -0,2 (-0,54%)",39.8,34.6,37.2,37.2,37.8,37.0,37.0,37.33,15.36,552.220,20.613.000
"August, 2015","39,8  0,1 (0,25%)",42.4,37.0,39.7,39.9,40.4,39.6,39.8,39.92,16.86,1.415.350,56.500.000
"September, 2015","36,2  0 (0%)",38.7,33.7,36.2,36.4,36.5,36.2,36.2,36.34,15.25,327.000,11.886.165
"October, 2015","35,8  -0,4 (-1,1%)",38.7,33.7,36.2,36.5,36.5,35.8,35.8,35.94,14.72,902.370,33.333.000
"November, 2015","31,7  -1 (-3,06%)",34.9,30.5,32.7,32.5,32.5,31.7,31.7,32.0,13.03,552.2,17.669.000
"December, 2015","30,8  -0,1 (-0,32%)",32.8,28.6,30.9,30.9,31.0,30.5,30.8,30.82,12.61,164.23,5.062.000
