Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2018","46,6  -0,4 (-0,85%)",50.2,43.75,47.0,46.9,46.9,46.0,46.6,46.54,45.34,8.881.950,405.310.000
"February, 2018","44,4  -0,1 (-0,22%)",47.6,41.4,44.5,44.0,44.5,43.0,44.4,43.91,43.2,3.241.390,142.309.000
"March, 2018","45,9  -0,1 (-0,22%)",49.2,42.8,46.0,46.0,46.0,45.0,45.9,45.42,44.66,5.258.520,249.793.000
"April, 2018","42,8  0,6 (1,42%)",45.15,39.25,42.2,42.0,43.05,41.8,42.8,42.53,41.66,1.706.640,72.591.000
"May, 2018","39  2,3 (6,27%)",39.25,34.15,36.7,36.2,39.1,36.2,39.0,38.36,37.96,1.875.240,71.926.000
"June, 2018","36,15  1,55 (4,48%)",37.0,32.2,34.6,35.3,36.15,34.8,36.15,35.55,36.48,1.314.320,46.676.000
"July, 2018","35,6  0,4 (1,14%)",37.65,32.75,35.2,35.2,35.85,34.4,35.6,35.38,35.92,1.501.400,53.121.000
"August, 2018","38,15  -0,05 (-0,13%)",40.85,35.55,38.2,38.2,38.25,37.8,38.15,38.09,38.5,1.959.670,74.649.377
"September, 2018","38,85  0,3 (0,78%)",41.2,35.9,38.55,38.55,38.95,38.5,38.85,38.760000000000005,39.2,1.933.300,74.930.000
"October, 2018","32,8  -0,4 (-1,2%)",35.5,30.9,33.2,33.25,33.45,32.1,32.8,32.79,33.1,2.579.860,84.593.000
"November, 2018","30  -0,25 (-0,83%)",32.35,28.15,30.25,30.25,30.3,29.65,30.0,30.05,30.27,1.497.920,45.019.000
"December, 2018","30,3  0,8 (2,71%)",31.55,27.45,29.5,29.5,30.3,29.3,30.3,29.84,30.57,1.598.390,47.593.000
"January, 2019","30,5  0,5 (1,67%)",32.1,27.9,30.0,30.1,30.5,30.1,30.5,30.39,30.78,762.510,23.169.000
"February, 2019","30  -0,6 (-1,96%)",32.7,28.5,30.6,30.6,30.6,30.0,30.0,30.35,30.27,1.478.660,44.876.000
"March, 2019","30  -0,15 (-0,5%)",32.25,28.05,30.15,30.0,30.2,29.75,30.0,29.97,30.27,1.378.030,41.292.000
"April, 2019","28,1  0 (0%)",30.05,26.15,28.1,28.25,28.3,28.0,28.1,28.12,28.35,944.690,26.564.000
"May, 2019","27,3  -0,05 (-0,18%)",29.25,25.45,27.35,27.25,27.4,26.9,27.3,27.2,27.55,1.868.000,50.782.000
"June, 2019","27,5  0,95 (3,58%)",28.4,24.7,26.55,26.55,27.5,25.9,27.5,26.57,27.75,1.728.220,45.926.000
"July, 2019","25,95  -0,05 (-0,19%)",27.8,24.2,26.0,26.1,26.1,25.8,25.95,25.92,26.19,1.335.140,34.643.000
"August, 2019","26  -0,25 (-0,95%)",28.05,24.45,26.25,26.15,26.35,25.8,26.0,26.05,26.24,1.027.180,26.753.000
"September, 2019","27,7  1,05 (3,94%)",28.5,24.8,26.65,26.65,28.05,26.65,27.7,27.54,27.95,3.492.130,96.177.000
"October, 2019","29,45  0,55 (1,9%)",30.9,26.9,28.9,28.9,29.6,28.9,29.45,29.3,29.72,4.007.290,117.421.000
"November, 2019","26,5  0,35 (1,34%)",27.95,24.35,26.15,26.1,26.55,26.1,26.5,26.32,26.74,957.640,25.208.000
"December, 2019","27,55  0,65 (2,42%)",28.75,25.05,26.9,26.9,27.55,26.8,27.55,27.17,27.8,2.151.310,58.459.000
"January, 2020","27  -0,95 (-3,4%)",29.9,26.0,27.95,27.85,27.9,26.0,27.0,26.95,27.0,1.891.250,50.978.000
"February, 2020","27,8  -0,2 (-0,71%)",29.95,26.05,28.0,27.55,27.8,27.2,27.8,27.46,27.8,1.215.040,33.105.100
"March, 2020","17,8  0,55 (3,19%)",18.45,16.05,17.25,17.95,18.3,16.1,17.8,17.9,17.8,2.819.497,49.617.918
"April, 2020","20,65  0,1 (0,49%)",21.95,19.15,20.55,20.55,20.7,20.45,20.65,20.59,20.65,2.310.900,47.568.979
"May, 2020","24,2  0,5 (2,11%)",25.35,22.05,23.7,23.6,24.2,23.25,24.2,23.66,24.2,937.900,22.192.000
"June, 2020","24,8  0,1 (0,4%)",26.4,23.0,24.7,24.9,25.05,23.85,24.8,24.43,0.0,1.007.010,24.601.000
"July, 2020","23,95  -0,15 (-0,62%)",25.75,22.45,24.1,23.05,24.1,23.05,23.95,23.85,0.0,691.900,16.503.000
"August, 2020","28,35  0,15 (0,53%)",30.15,26.25,28.2,28.2,28.45,28.15,28.35,28.26,0.0,730.390,20.638.000
"September, 2020","31,3  0,05 (0,16%)",33.4,29.1,31.25,31.4,31.45,31.1,31.3,31.29,0.0,2.597.730,81.289.000
"October, 2020","24,2  0,6 (2,54%)",25.25,21.95,23.6,24.2,24.3,23.55,24.2,24.0,0.0,2.139.800,51.340.000
"November, 2020","22  0,55 (2,56%)",22.95,19.95,21.45,21.8,22.95,21.75,22.0,22.4,0.0,7.093.650,158.920.000
