Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","24,5  0,6 (2,51%)",25.5,22.3,23.9,24.9,24.9,24.1,24.5,24.45,90.4,27.8,680.0
"February, 2014","19,5  0 (0%)",20.8,18.2,19.5,19.5,20.8,19.5,19.5,19.62,76.3,9.94,195.040
"March, 2014","26  1,5 (6,12%)",26.2,22.8,24.5,26.0,26.2,24.5,26.0,26.03,10.18,83.82,2.182.231
"April, 2014","25,9  -0,1 (-0,38%)",27.8,24.2,26.0,25.8,25.9,25.8,25.9,25.85,10.14,1.08,27.922
"May, 2014","21,1  -0,4 (-1,86%)",23.0,20.0,21.5,21.2,21.2,21.0,21.1,21.09,77.8,6.71,142.0
"June, 2014","22,4  -0,1 (-0,44%)",24.0,21.0,22.5,22.4,22.4,21.1,22.4,21.77,82.6,620.0,13.000
"July, 2014","20,4  0,4 (2%)",21.4,18.6,20.0,20.4,20.4,20.4,20.4,20.4,75.2,10.0,12.0
"August, 2014",20  0 (0%),21.4,18.6,20.0,20.1,20.1,20.0,20.0,20.01,73.8,3.35,67.0
"September, 2014","22,5  -0,8 (-3,43%)",24.9,21.7,23.3,22.1,23.0,22.1,22.5,22.71,83.0,23.87,542.000
"October, 2014",21  0 (0%),22.4,19.6,21.0,22.0,22.0,21.0,21.0,21.2,77.5,2.56,54.0
"November, 2014","23,9  0 (0%)",25.5,22.3,23.9,25.0,25.0,23.9,23.9,24.16,88.2,18.61,450.0
"December, 2014","14,7  -1,1 (-6,96%)",16.9,14.7,15.8,15.7,15.8,14.7,14.7,14.72,81.4,3.21,47.0
"January, 2015","14  -1 (-6,67%)",16.0,14.0,15.0,14.1,14.1,14.0,14.0,14.01,77.5,1.72,24.0
"February, 2015","14  0,2 (1,45%)",14.7,12.9,13.8,13.8,14.0,13.8,14.0,13.81,77.5,310.0,4.0
"March, 2015","14,4  0,3 (2,13%)",15.0,13.2,14.1,14.8,14.8,14.1,14.4,14.34,79.8,3.12,45.000
"April, 2015",14  0 (0%),14.9,13.1,14.0,14.0,14.0,14.0,14.0,14.0,77.5,10.0,42.000
"May, 2015",14  0 (0%),14.9,13.1,14.0,0.0,0.0,0.0,14.0,0.0,77.5,255.524,3.347.000
"June, 2015","13,6  -0,3 (-2,16%)",14.8,13.0,13.9,13.5,13.6,13.3,13.6,13.46,75.3,15.52,209.0
"July, 2015","13,7  0,3 (2,24%)",14.3,12.5,13.4,13.4,13.7,13.4,13.7,13.4,75.9,5.01,67.0
"August, 2015","13,3  0 (0%)",14.2,12.4,13.3,12.5,13.3,12.4,13.3,12.43,81.4,2.28,28.000
"September, 2015",13  0 (0%),13.9,12.1,13.0,0.0,0.0,0.0,13.0,0.0,80.2,500.0,7.0
"October, 2015","13,3  -0,1 (-0,75%)",14.3,12.5,13.4,13.5,13.5,13.3,13.3,13.36,86.5,126.8,1.694.000
"November, 2015","14,5  -0,1 (-0,68%)",15.6,13.6,14.6,14.6,14.7,14.0,14.5,14.2,97.5,196.930,2.797.000
"December, 2015","13,9  0 (0%)",14.8,13.0,13.9,13.9,13.9,13.7,13.9,13.79,86.4,205.71,2.837.000
"January, 2016","13,7  0,5 (3,79%)",14.1,12.3,13.2,13.2,13.8,13.2,13.7,13.6,83.4,159.23,2.165.000
"February, 2016","13,4  -0,1 (-0,74%)",14.4,12.6,13.5,13.4,13.5,13.3,13.4,13.37,81.6,119.3,1.595.000
