Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2018","15,5  -0,7 (-4,32%)",17.8,14.6,16.2,16.2,16.7,15.5,15.5,16.04,35.47,318.7,5.112.350
"February, 2018","14,5  -1 (-6,45%)",17.0,14.0,15.5,15.2,15.4,14.2,14.5,14.66,34.34,89.4,1.310.560
"March, 2018","15,2  0,1 (0,66%)",16.6,13.6,15.1,15.1,15.3,15.1,15.2,15.2,35.84,37.8,574.600
"April, 2018","15,2  0 (0%)",16.7,13.7,15.2,15.0,15.3,15.0,15.2,15.2,35.84,46.2,702.330
"May, 2018","15,4  0,2 (1,32%)",16.7,13.7,15.2,15.2,15.4,15.1,15.4,15.21,36.32,48.4,736.070
"June, 2018","15,3  -0,1 (-0,65%)",16.9,13.9,15.4,15.3,15.4,15.1,15.3,15.3,35.63,25.1,384.020
"July, 2018","15,3  0 (0%)",16.8,13.8,15.3,15.2,15.3,15.1,15.3,15.12,35.63,69.3,1.048.090
"August, 2018","11,1  -0,1 (-0,89%)",12.3,10.1,11.2,11.1,11.4,11.0,11.1,11.18,36.18,54.5,609.570
"September, 2018","12,4  0,1 (0,81%)",13.5,11.1,12.3,12.5,12.7,12.2,12.4,12.23,36.73,62.9,769.930
"October, 2018","16,2  1 (6,58%)",16.7,13.7,15.2,15.2,16.4,14.8,16.2,15.74,38.17,511.3,8.048.090
"November, 2018","15,1  0 (0%)",16.6,13.6,15.1,15.0,15.2,15.0,15.1,15.04,35.739999999999995,61.8,929.640
"December, 2018","15,1  -0,1 (-0,66%)",16.7,13.7,15.2,15.2,15.2,15.1,15.1,15.2,34.93,31.5,478.790
"January, 2019","15,3  0 (0%)",16.8,13.8,15.3,15.3,15.4,15.2,15.3,15.31,35.58,80.7,1.235.810
"February, 2019","15,5  0,2 (1,31%)",16.8,13.8,15.3,15.4,15.6,15.3,15.5,15.47,36.42,146.3,2.262.840
"March, 2019","15,6  0,2 (1,3%)",16.9,13.9,15.4,15.4,15.6,15.3,15.6,15.49,33.7,164.7,2.551.130
"April, 2019","16,3  0,3 (1,88%)",17.6,14.4,16.0,16.0,16.3,15.9,16.3,16.080000000000002,31.89,224.0,3.602.170
"May, 2019","17,3  0,2 (1,17%)",18.8,15.4,17.1,17.1,17.3,16.9,17.3,17.05,29.09,146.9,2.504.010
"June, 2019","17,2  0 (0%)",18.9,15.5,17.2,17.4,17.5,17.0,17.2,17.259999999999998,26.89,50.8,876.750
"July, 2019","12,9  -0,4 (-3,01%)",14.6,12.0,13.3,13.3,13.3,12.6,12.9,12.82,17.97,175.1,2.245.580
"August, 2019","11,3  0,3 (2,73%)",12.1,99.0,11.0,11.0,11.3,10.9,11.3,11.16,17.43,110.3,1.231.780
"September, 2019","11,5  -0,1 (-0,86%)",12.7,10.5,11.6,11.5,11.8,11.4,11.5,11.61,17.009999999999998,86.575,1.004.747
"October, 2019","12,2  0,1 (0,83%)",13.3,10.9,12.1,12.1,12.3,12.0,12.2,12.13,17.85,78.9,956.830
"November, 2019","11,8  -0,2 (-1,67%)",13.2,10.8,12.0,11.9,12.0,11.8,11.8,11.81,17.47,89.8,1.060.820
"December, 2019","12,1  -0,1 (-0,82%)",13.4,11.0,12.2,12.1,12.3,12.1,12.1,12.16,16.21,58.6,712.550
"January, 2020","12,5  -0,2 (-1,57%)",13.9,11.5,12.7,12.8,12.9,12.5,12.5,12.63,15.46,62.4,787.950
"February, 2020","12,5  -0,2 (-1,57%)",13.9,11.5,12.7,12.6,12.8,12.3,12.5,12.5,14.419999999999998,140.7,1.758.950
"March, 2020","12,9  -0,3 (-2,27%)",14.5,11.9,13.2,13.1,13.5,12.9,12.9,13.2,12.49,161.65,2.130.425
"April, 2020","13,5  -0,1 (-0,74%)",14.9,12.3,13.6,13.6,13.6,13.4,13.5,13.52,13.59,73.0,986.670
"May, 2020","11,7  -0,1 (-0,85%)",12.9,10.7,11.8,11.8,11.9,11.6,11.7,11.74,11.7,144.7,1.699.150
"June, 2020","10,9  0 (0%)",11.9,99.0,10.9,10.9,11.0,10.8,10.9,10.9,0.0,177.61,1.936.356
"July, 2020","10,6  0,1 (0,95%)",11.5,95.0,10.5,10.5,10.6,10.5,10.6,10.57,0.0,222.955,2.357.018
"August, 2020","11  -0,1 (-0,9%)",12.2,10.0,11.1,11.2,11.2,10.9,11.0,10.94,0.0,46.1,504.120
"September, 2020","11,2  0 (0%)",12.3,10.1,11.2,11.2,11.2,11.2,11.2,11.2,0.0,7.8,87.360
"October, 2020","11,6  0,1 (0,87%)",12.6,10.4,11.5,11.5,11.7,11.4,11.6,11.52,0.0,142.5,1.641.390
"November, 2020","12,8  0 (0%)",14.0,11.6,12.8,12.8,12.8,12.7,12.8,12.74,0.0,305.9,3.896.220
"December, 2020","13,9  0,9 (6,92%)",14.3,11.7,13.0,13.0,14.3,12.7,13.9,13.580000000000002,0.0,419.55,5.698.574
"January, 2021","12,1  -0,1 (-0,82%)",13.4,11.0,12.2,12.1,12.1,12.0,12.1,12.08,0.0,50.3,607.660
"February, 2021","14,2  0 (0%)",15.6,12.8,14.2,14.2,14.2,13.8,14.2,14.0,0.0,984.9,13.786.550
"March, 2021","18,3  -0,35 (-1,88%)",19.95,17.35,18.65,18.8,19.35,17.6,18.3,18.84,0.0,664.1,12.509.000
"April, 2021","12  -0,3 (-2,44%)",13.15,11.45,12.3,12.3,12.3,11.85,12.0,12.03,0.0,151.5,1.823.000
"May, 2021","10,9  -0,15 (-1,36%)",11.8,10.3,11.05,11.05,11.6,10.9,10.9,11.37,0.0,617.4,7.018.000
"June, 2021","11,35  -0,2 (-1,73%)",12.35,10.75,11.55,11.5,11.5,11.2,11.35,11.37,0.0,312.3,3.552.000
"July, 2021","10,25  0,34 (3,43%)",10.6,92.2,99.1,10.4,10.4,99.5,10.25,10.14,0.0,401.7,4.073.000
"August, 2021","11,9  0,5 (4,39%)",12.15,10.65,11.4,11.4,12.15,11.3,11.9,11.86,0.0,1.507.800,17.884.000
"September, 2021","12,35  0,2 (1,65%)",13.0,11.3,12.15,12.2,12.6,12.15,12.35,12.41,0.0,197.900,2.456.000
"October, 2021","14,75  0,25 (1,72%)",15.5,13.5,14.5,14.6,14.9,14.4,14.75,14.61,0.0,488.400,7.137.000
"November, 2021","14,6  0,45 (3,18%)",15.1,13.2,14.15,14.5,15.1,14.4,14.6,14.78,0.0,492.3,7.278.000
"December, 2021","13,3  -0,1 (-0,75%)",14.3,12.5,13.4,13.4,13.5,13.1,13.3,13.3,0.0,315.1,4.190.000
