Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2012","31,4  0 (0%)",32.9,29.9,31.4,31.4,31.4,31.4,31.4,31.4,10.57,200.0,6.280
"February, 2012","33,8  -0,2 (-0,59%)",35.7,32.3,34.0,32.7,34.0,32.5,33.8,33.71,50.6,5.06,170.582
"March, 2012","34,2  -1 (-2,84%)",36.9,33.5,35.2,35.0,35.3,34.2,34.2,35.13,51.2,5.73,201.287
"April, 2012","31,6  -0,6 (-1,86%)",33.8,30.6,32.2,31.6,31.6,31.6,31.6,31.6,47.3,160.02,5.280.632
"May, 2012","34,1  1,3 (3,96%)",34.4,31.2,32.8,32.0,34.1,32.0,34.1,32.81,76.6,77.12,2.501.706
"June, 2012","33,4  0 (0%)",35.0,31.8,33.4,33.4,33.4,32.1,33.4,33.4,75.0,123.030,4.192.389
"July, 2012","34,9  1,2 (3,56%)",35.3,32.1,33.7,33.7,34.9,33.7,34.9,34.230000000000004,78.4,197.54,6.936.216
"August, 2012","33,8  0 (0%)",35.4,32.2,33.8,33.9,33.9,33.8,33.8,33.83,11.38,70.0,2.368
"September, 2012","30  -0,2 (-0,66%)",31.7,28.7,30.2,30.0,30.2,29.9,30.0,29.92,10.1,153.21,4.641.320
"October, 2012","31,4  0 (0%)",32.9,29.9,31.4,31.4,31.5,30.5,31.4,31.35,10.57,37.51,1.176.015
"November, 2012","33  1,5 (4,76%)",33.0,30.0,31.5,33.0,33.0,33.0,33.0,33.0,11.11,20.0,660
"December, 2012","33,9  0,8 (2,42%)",34.7,31.5,33.1,34.0,34.0,33.9,33.9,33.9,11.42,48.81,1.654.709
"January, 2013","31,2  -0,7 (-2,19%)",34.1,29.7,31.9,34.0,34.0,29.7,31.2,29.8,10.51,23.7,706.314
"February, 2013","32,6  2 (6,54%)",32.7,28.5,30.6,30.6,32.6,30.6,32.6,31.6,10.98,20.0,632.0
"March, 2013",28  0 (0%),29.9,26.1,28.0,28.0,28.0,28.0,28.0,28.0,94.3,111.13,3.159.140
"April, 2013","18,2  -1,3 (-6,67%)",20.8,18.2,19.5,18.2,19.9,18.2,18.2,18.25,97.6,370.0,6.751
"May, 2013","20  -0,5 (-2,44%)",21.9,19.1,20.5,20.5,20.5,19.1,20.0,19.61,10.72,220.0,4.315
"June, 2013","18  0,1 (0,56%)",19.1,16.7,17.9,18.6,18.6,16.7,18.0,18.0,96.5,64.99,1.238.012
"July, 2013","14,9  0,4 (2,76%)",15.5,13.5,14.5,14.6,15.1,14.5,14.9,14.55,79.9,104.75,1.584.933
"August, 2013","24,8  0,3 (1,22%)",26.2,22.8,24.5,24.5,24.8,23.3,24.8,24.19,13.3,197.48,5.030.608
"September, 2013","28,7  0,1 (0,35%)",30.6,26.6,28.6,26.7,29.1,26.7,28.7,28.860000000000003,15.39,80.58,2.325.419
"October, 2013","28,8  -0,4 (-1,37%)",31.2,27.2,29.2,29.1,29.3,28.2,28.8,28.910000000000004,15.44,88.07,2.546.291
"November, 2013","29,8  0 (0%)",31.8,27.8,29.8,29.7,29.8,29.5,29.8,29.64,15.98,105.57,3.129.607
"December, 2013","29,8  0,1 (0,34%)",31.7,27.7,29.7,29.7,29.8,29.7,29.8,29.71,15.98,55.09,1.636.642
"January, 2014","30,1  0 (0%)",32.2,28.0,30.1,30.1,30.1,30.0,30.1,30.07,16.14,38.15,1.147.147
"February, 2014","30,6  0 (0%)",32.7,28.5,30.6,30.6,30.6,30.5,30.6,30.51,16.41,63.05,1.923.620
"March, 2014","32,3  -0,1 (-0,31%)",34.6,30.2,32.4,32.4,32.4,30.2,32.3,31.9,17.32,159.36,5.083.950
"April, 2014","32,4  -0,1 (-0,31%)",34.7,30.3,32.5,30.7,32.4,30.7,32.4,32.22,17.369999999999997,165.468,5.247.971
"May, 2014","36  0,3 (0,84%)",38.1,33.3,35.7,35.0,36.2,34.7,36.0,35.260000000000005,19.3,32.29,1.139.000
