Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2016","16,5  -1,2 (-6,78%)",18.9,16.5,17.7,17.75,18.0,16.5,16.5,17.75,15.85,424.440,7.535.000
"February, 2016","17,65  1,15 (6,97%)",17.65,15.35,16.5,17.0,17.65,17.0,17.65,17.48,16.96,209.800,3.668.000
"March, 2016","17,05  0,05 (0,29%)",18.15,15.85,17.0,17.0,17.1,16.95,17.05,17.03,16.66,146.6,2.496.000
"April, 2016","17  -0,05 (-0,29%)",18.2,15.9,17.05,17.0,17.05,16.9,17.0,16.990000000000002,16.61,94.0,1.597.000
"May, 2016","17,65  0 (0%)",18.85,16.45,17.65,17.45,17.7,17.4,17.65,17.59,16.96,1.415.860,23.767.000
"June, 2016","18,85  1,2 (6,8%)",18.85,16.45,17.65,17.55,18.85,17.55,18.85,18.53,18.11,1.965.090,36.409.000
"July, 2016","15  -0,1 (-0,66%)",16.1,14.1,15.1,15.1,15.2,14.9,15.0,15.07,14.09,126.5,1.906.000
"August, 2016","14,3  0,1 (0,7%)",15.1,13.3,14.2,14.1,14.5,14.1,14.3,14.27,13.26,162.7,2.321.000
"September, 2016","15,8  1 (6,76%)",15.8,13.8,14.8,15.0,15.8,15.0,15.8,15.78,15.44,399.57,6.304.000
"October, 2016","17,7  -0,3 (-1,67%)",19.25,16.75,18.0,17.8,17.9,17.55,17.7,17.740000000000002,17.3,220.52,3.911.000
"November, 2016","17,7  0,1 (0,57%)",18.8,16.4,17.6,17.55,17.7,17.5,17.7,17.6,17.0,476.560,8.389.000
"December, 2016","31,2  0,3 (0,97%)",33.05,28.75,30.9,30.9,31.4,30.8,31.2,31.18,29.97,640.520,19.972.000
"January, 2017","14,6  0 (0%)",15.6,13.6,14.6,13.85,14.7,13.85,14.6,14.56,13.05,378.510,5.510.000
"February, 2017","9,27  -0,69 (-6,93%)",10.65,92.7,99.6,94.0,97.0,92.7,92.7,93.0,83.0,2.468.430,22.961.000
"March, 2017","4,82  -0,36 (-6,95%)",55.4,48.2,51.8,51.3,51.7,48.2,48.2,48.4,43.2,1.379.210,6.671.000
"April, 2017","3,13  -0,18 (-5,44%)",35.4,30.8,33.1,34.0,34.0,30.8,31.3,32.3,28.0,449.620,1.452.000
"May, 2017","4,21  -0,12 (-2,77%)",46.3,40.3,43.3,43.3,43.3,42.0,42.1,42.5,37.7,1.148.280,4.879.000
"June, 2017","4,06  0,01 (0,25%)",43.3,37.7,40.5,40.5,41.5,40.2,40.6,40.9,36.4,630.140,2.577.000
"July, 2017","4,45  -0,12 (-2,63%)",48.8,42.6,45.7,45.7,45.8,44.3,44.5,45.0,39.9,696.720,3.137.000
"August, 2017","4,93  0,03 (0,61%)",52.4,45.6,49.0,49.9,49.9,49.0,49.3,49.4,44.2,206.15,1.018.000
"September, 2017","4,8  -0,03 (-0,62%)",51.6,45.0,48.3,48.0,48.5,48.0,48.0,48.1,43.0,224.25,1.079.000
"October, 2017","3,99  -0,3 (-6,99%)",45.9,39.9,42.9,43.9,43.9,39.9,39.9,40.8,35.7,500.65,2.043.000
