Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2017","31,3  0 (0%)",33.45,29.15,31.3,31.4,31.4,30.7,31.3,30.96,22.79,78.68,2.436.000
"February, 2017","29,9  -1,4 (-4,47%)",33.45,29.15,31.3,32.0,32.0,29.8,29.9,30.35,21.77,190.4,5.779.000
"March, 2017","29,6  -0,3 (-1%)",31.95,27.85,29.9,29.6,30.0,27.85,29.6,28.28,21.55,588.03,16.631.000
"April, 2017","31,3  0 (0%)",33.45,29.15,31.3,31.3,31.7,30.7,31.3,31.05,22.79,90.65,2.815.000
"May, 2017","30,5  -0,8 (-2,56%)",33.45,29.15,31.3,31.3,31.3,30.5,30.5,30.8,22.2,93.77,2.888.000
"June, 2017","21,15  1,35 (6,82%)",21.15,18.45,19.8,21.15,21.15,21.15,21.15,21.15,14.62,120.000,2.538.000
"July, 2017","30,2  0,45 (1,51%)",31.8,27.7,29.75,29.75,30.4,29.75,30.2,30.160000000000004,20.880000000000003,286.91,8.654.000
"August, 2017","30  -0,5 (-1,64%)",32.6,28.4,30.5,30.6,30.7,29.8,30.0,30.2,21.84,145.57,4.396.000
"September, 2017","38,3  0,45 (1,19%)",40.45,35.25,37.85,37.85,38.3,37.7,38.3,37.99,27.880000000000003,707.48,25.563.000
"October, 2017","31,8  -1,4 (-4,22%)",35.5,30.9,33.2,33.8,33.9,30.9,31.8,31.49,23.15,266.88,8.403.000
"November, 2017","31,3  -1 (-3,1%)",34.55,30.05,32.3,32.7,32.7,31.0,31.3,31.5,22.79,118.16,3.722.000
"December, 2017","29  -0,6 (-2,03%)",31.65,27.55,29.6,29.9,29.9,28.9,29.0,29.15,21.11,87.81,2.560.000
"January, 2018","26,2  0,8 (3,15%)",27.15,23.65,25.4,26.5,26.5,25.7,26.2,26.07,19.07,56.11,1.463.000
"February, 2018","26  -1 (-3,7%)",28.85,25.15,27.0,26.9,27.0,26.0,26.0,26.37,18.93,18.62,491.000
"March, 2018","25,7  1,65 (6,86%)",25.7,22.4,24.05,24.05,25.7,24.05,25.7,25.68,19.48,329.93,8.471.000
"April, 2018","25,7  0,9 (3,63%)",26.5,23.1,24.8,24.9,25.7,24.8,25.7,24.96,19.48,11.66,291.000
"May, 2018","15,75  -0,05 (-0,32%)",16.9,14.7,15.8,16.2,16.2,15.55,15.75,15.79,15.07,135.41,2.138.000
"June, 2018","16,8  -0,1 (-0,59%)",18.05,15.75,16.9,17.0,17.0,16.5,16.8,16.830000000000002,16.07,230.54,3.879.000
"July, 2018","17,75  0,75 (4,41%)",18.15,15.85,17.0,17.4,17.75,16.5,17.75,17.52,16.98,274.78,4.815.000
"August, 2018","17,2  -0,05 (-0,29%)",18.45,16.05,17.25,17.35,17.45,17.0,17.2,17.32,16.45,324.500,5.619.000
"September, 2018","17  0,2 (1,19%)",17.95,15.65,16.8,17.1,17.1,16.9,17.0,16.990000000000002,16.259999999999998,156.47,2.659.000
"October, 2018","15,1  0,95 (6,71%)",15.1,13.2,14.15,14.75,15.1,13.6,15.1,14.6,14.44,184.75,2.697.000
"November, 2018","14,95  -0,1 (-0,66%)",16.1,14.0,15.05,15.0,15.0,14.6,14.95,14.86,14.3,136.270,2.025.000
"December, 2018","14,4  -0,1 (-0,69%)",15.5,13.5,14.5,14.4,14.6,14.3,14.4,14.43,13.77,132.67,1.914.000
"January, 2019","13,8  0,15 (1,1%)",14.6,12.7,13.65,13.65,13.8,13.4,13.8,13.68,13.2,127.31,1.741.000
"February, 2019","13,9  -0,05 (-0,36%)",14.9,13.0,13.95,13.95,13.95,13.7,13.9,13.87,13.3,116.11,1.611.000
"March, 2019","14,9  0,15 (1,02%)",15.75,13.75,14.75,14.75,14.9,14.75,14.9,14.830000000000002,14.25,264.48,3.921.000
"April, 2019","14,2  -0,15 (-1,05%)",15.35,13.35,14.35,14.3,14.35,14.1,14.2,14.24,13.580000000000002,91.740,1.306.000
"May, 2019","12,9  -0,5 (-3,73%)",14.3,12.5,13.4,13.4,13.4,12.9,12.9,13.19,12.34,110.78,1.461.000
"June, 2019","12,15  -0,15 (-1,22%)",13.15,11.45,12.3,12.25,12.25,12.0,12.15,12.12,11.62,103.33,1.252.000
"July, 2019","11,8  0,7 (6,31%)",11.85,10.35,11.1,11.0,11.85,11.0,11.8,11.53,11.29,274.0,3.159.000
"August, 2019","11,7  0,25 (2,18%)",12.25,10.65,11.45,11.45,11.7,11.45,11.7,11.58,11.19,301.12,3.488.000
"September, 2019","11,8  0,15 (1,29%)",12.45,10.85,11.65,11.7,11.9,11.7,11.8,11.77,11.29,145.32,1.711.000
"October, 2019","11,3  -0,15 (-1,31%)",12.25,10.65,11.45,11.45,11.5,11.25,11.3,11.36,10.81,151.74,1.724.000
"November, 2019","10,2  0 (0%)",10.9,94.9,10.2,10.2,10.2,10.1,10.2,10.14,98.3,111.18,1.127.000
"December, 2019","9,6  -0,08 (-0,83%)",10.35,90.1,96.8,96.8,96.8,96.0,96.0,96.6,94.2,122.2,1.180.000
"January, 2020","9,64  -0,11 (-1,13%)",10.4,90.7,97.5,97.4,97.5,95.8,96.4,97.2,96.0,147.16,1.431.000
"February, 2020","13,8  -0,3 (-2,13%)",15.05,13.15,14.1,13.95,14.1,13.6,13.8,13.919999999999998,13.8,542.16,7.572.000
"March, 2020","12,85  0,1 (0,78%)",13.6,11.9,12.75,12.75,13.55,12.3,12.85,13.330000000000002,12.85,541.580,7.217.000
"April, 2020","12,35  0 (0%)",13.2,11.5,12.35,12.35,12.4,12.0,12.35,12.25,12.35,37.71,462.000
"May, 2020","13,7  0,25 (1,86%)",14.35,12.55,13.45,13.15,14.0,13.0,13.7,13.56,13.7,176.3,2.390.000
"June, 2020","12,9  0,2 (1,57%)",13.55,11.85,12.7,12.7,13.3,12.5,12.9,12.919999999999998,0.0,174.74,2.257.000
"July, 2020","10,9  0 (0%)",11.65,10.15,10.9,10.9,11.0,10.7,10.9,10.89,0.0,79.54,866.000
"August, 2020","17,8  1,15 (6,91%)",17.8,15.5,16.65,16.5,17.8,16.0,17.8,17.54,0.0,358.99,6.296.000
"September, 2020","16,85  -0,25 (-1,46%)",18.25,15.95,17.1,17.1,17.2,16.75,16.85,17.04,0.0,190.59,3.248.000
"October, 2020","14,1  0,1 (0,71%)",14.95,13.05,14.0,14.1,14.3,13.9,14.1,14.12,0.0,113.38,1.601.000
"November, 2020","15,3  0,1 (0,66%)",16.25,14.15,15.2,15.2,15.5,15.2,15.3,15.29,0.0,243.09,3.718.000
"December, 2020","17,4  0,2 (1,16%)",18.4,16.0,17.2,17.4,18.0,17.2,17.4,17.46,0.0,568.030,9.920.000
"January, 2021","20,5  1,05 (5,4%)",20.8,18.1,19.45,18.5,20.8,18.5,20.5,20.15,0.0,406.3,8.188.000
"February, 2021","21,55  0,55 (2,62%)",22.45,19.55,21.0,21.0,21.6,20.8,21.55,21.23,0.0,440.4,9.348.000
"March, 2021","21,55  -0,35 (-1,6%)",23.4,20.4,21.9,21.9,21.9,21.45,21.55,21.57,0.0,371.2,8.008.000
"April, 2021","23  -1 (-4,17%)",25.65,22.35,24.0,24.05,24.5,23.0,23.0,23.880000000000003,0.0,724.0,17.291.000
"May, 2021","20,1  -0,3 (-1,47%)",21.8,19.0,20.4,20.4,20.4,19.9,20.1,20.130000000000003,0.0,314.2,6.324.000
"June, 2021","21,7  -0,5 (-2,25%)",23.75,20.65,22.2,22.3,23.0,21.7,21.7,22.35,0.0,523.6,11.701.000
"July, 2021","15,3  0 (0%)",16.35,14.25,15.3,15.3,15.6,15.1,15.3,15.32,0.0,537.500,8.232.000
"August, 2021","17,2  0,8 (4,88%)",17.5,15.3,16.4,16.5,17.4,16.45,17.2,17.03,0.0,1.473.000,25.086.000
"September, 2021","17,85  0,15 (0,85%)",18.9,16.5,17.7,17.7,18.1,17.7,17.85,17.9,0.0,571.700,10.236.000
"October, 2021","21,5  1,4 (6,97%)",21.5,18.7,20.1,21.5,21.5,20.9,21.5,21.43,0.0,1.883.800,40.371.000
"November, 2021","20,1  0,25 (1,26%)",21.2,18.5,19.85,20.0,20.9,19.75,20.1,20.11,0.0,899.500,18.093.000
"December, 2021","21,35  0,1 (0,47%)",22.7,19.8,21.25,21.2,21.9,20.9,21.35,21.44,0.0,1.842.900,39.503.000
