Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","9,4  0 (0%)",10.0,88.0,94.0,94.0,94.0,94.0,94.0,94.0,46.8,3.13,29.0
"February, 2014",10  0 (0%),10.7,93.0,10.0,10.3,10.3,98.0,10.0,98.7,45.6,4.72,46.568
"March, 2014","10,5  0 (0%)",11.2,98.0,10.5,10.5,10.5,10.2,10.5,10.5,47.9,12.11,127.152
"April, 2014","10,2  0 (0%)",10.9,95.0,10.2,96.0,10.2,96.0,10.2,10.1,46.5,2.03,20.5
"May, 2014",10  0 (0%),10.7,93.0,10.0,95.0,10.0,95.0,10.0,95.4,45.6,760.0,7.0
"June, 2014","9,3  -0,3 (-3,12%)",10.2,9.0,96.0,93.0,93.0,92.0,93.0,92.8,46.3,6.5,60.0
"July, 2014","9,2  0,2 (2,22%)",96.0,84.0,9.0,9.0,92.0,9.0,92.0,9.0,45.8,4.52,41.0
"August, 2014","9,2  -0,1 (-1,08%)",99.0,87.0,93.0,92.0,93.0,92.0,92.0,93.0,45.8,20.7,192.0
"September, 2014","9,3  0 (0%)",99.0,87.0,93.0,91.0,93.0,91.0,93.0,91.6,46.3,3.23,30.0
"October, 2014","9,4  0 (0%)",10.0,88.0,94.0,0.0,0.0,0.0,94.0,0.0,46.8,7.76,71.0
"November, 2014","9,4  0,1 (1,08%)",99.0,87.0,93.0,94.0,94.0,94.0,94.0,94.0,46.8,1.02,10.0
"December, 2014","9,4  0,2 (2,17%)",98.0,86.0,92.0,93.0,94.0,91.0,94.0,92.9,46.8,120.0,1.0
"January, 2015","9,7  -0,1 (-1,02%)",10.4,92.0,98.0,95.0,99.0,95.0,97.0,98.2,48.3,19.12,188.0
"February, 2015","9,7  0 (0%)",10.3,91.0,97.0,98.0,98.0,91.0,97.0,96.9,48.3,6.11,59.0
"March, 2015","9,7  0,1 (1,04%)",10.2,9.0,96.0,97.0,97.0,96.0,97.0,97.0,48.3,11.3,110.0
"April, 2015","9,7  0,5 (5,43%)",98.0,86.0,92.0,97.0,97.0,97.0,97.0,97.0,48.3,40.0,158.0
"May, 2015","9,9  0,1 (1,02%)",10.4,92.0,98.0,99.0,99.0,98.0,99.0,98.5,49.3,41.52,409.0
"June, 2015","9,1  0,5 (5,81%)",92.0,8.0,86.0,91.0,91.0,91.0,91.0,91.0,50.4,3.02,27.0
"July, 2015","9,2  0,2 (2,22%)",96.0,84.0,9.0,9.0,92.0,9.0,92.0,9.0,50.9,11.22,101.0
"August, 2015","8,3  -0,1 (-1,19%)",89.0,79.0,84.0,84.0,85.0,83.0,83.0,83.8,42.7,6.0,50.0
"September, 2015","7,9  -0,1 (-1,25%)",85.0,75.0,8.0,81.0,81.0,79.0,79.0,8.0,41.6,46.06,368.0
"October, 2015","7,6  -0,2 (-2,56%)",83.0,73.0,78.0,74.0,77.0,74.0,76.0,76.6,40.1,4.75,36.0
"November, 2015","7,3  0 (0%)",78.0,68.0,73.0,73.0,73.0,73.0,73.0,73.0,38.5,510.0,4.0
"December, 2015","7  0,1 (1,45%)",73.0,65.0,69.0,68.0,7.0,68.0,7.0,68.1,36.9,3.66,25.0
"January, 2016","6,7  0 (0%)",71.0,63.0,67.0,66.0,67.0,66.0,67.0,66.2,38.0,60.0,28.0
"February, 2016","6,9  -0,1 (-1,43%)",74.0,66.0,7.0,69.0,69.0,69.0,69.0,69.0,39.2,510.0,4.0
"March, 2016","7,5  0 (0%)",8.0,7.0,75.0,74.0,75.0,73.0,75.0,73.6,42.6,2.65,20.0
"April, 2016","7,4  0,1 (1,37%)",78.0,68.0,73.0,72.0,74.0,71.0,74.0,72.0,41.4,290.0,2.0
"May, 2016","7,1  -0,1 (-1,39%)",77.0,67.0,72.0,71.0,71.0,71.0,71.0,71.0,39.8,33.03,235.0
"June, 2016","7,7  -0,5 (-6,1%)",87.0,77.0,82.0,77.0,8.0,77.0,77.0,78.2,43.7,49.61,388.0
"July, 2016","8,4  -0,1 (-1,18%)",9.0,8.0,85.0,86.0,86.0,83.0,84.0,83.2,44.8,7.45,62.0
"August, 2016","8,2  -0,1 (-1,2%)",88.0,78.0,83.0,86.0,86.0,82.0,82.0,84.0,43.7,20.0,1.0
"September, 2016","8,3  0 (0%)",88.8,77.2,83.0,82.5,83.0,82.5,83.0,82.9,44.3,100.0,1.0
"October, 2016","8,3  -0,3 (-3,49%)",92.0,8.0,86.0,86.0,86.0,83.0,83.0,83.8,44.5,18.16,152.0
"November, 2016","8,7  0 (0%)",93.0,81.0,87.0,87.0,87.0,87.0,87.0,87.0,47.0,100.0,1.0
"December, 2016","8,5  -0,05 (-0,58%)",91.4,79.6,85.5,85.0,85.7,85.0,85.0,85.2,45.9,3.18,27.0
"January, 2017","9,6  0,1 (1,05%)",10.15,88.4,95.0,96.0,96.0,94.6,96.0,95.3,51.9,7.71,73.0
"February, 2017","10,6  -0,05 (-0,47%)",11.35,99.1,10.65,10.4,10.7,10.4,10.6,10.61,58.2,9.46,100.0
"March, 2017","10,5  0,1 (0,96%)",11.1,96.8,10.4,10.3,10.5,10.25,10.5,10.37,59.2,410.0,4.0
