Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2015","31  -0,1 (-0,32%)",33.2,29.0,31.1,30.8,31.4,30.8,31.0,31.12,33.89,1.975.530,61.297.000
"February, 2015","30,7  -0,3 (-0,97%)",33.1,28.9,31.0,30.7,31.1,30.4,30.7,30.77,33.56,816.340,25.234.000
"March, 2015","30,5  -0,2 (-0,65%)",33.1,28.9,30.7,30.5,30.9,30.3,30.5,30.54,33.02,454.100,13.869.000
"April, 2015","29,9  -0,6 (-1,97%)",32.8,28.6,30.5,29.9,30.6,29.9,29.9,30.110000000000003,32.160000000000004,267.890,8.067.000
"May, 2015","31,3  0 (0%)",33.4,29.2,31.3,31.1,31.5,31.1,31.3,31.3,34.22,207.850,6.506.000
"June, 2015","31  -0,3 (-0,96%)",33.4,29.2,31.3,31.3,31.7,30.9,31.0,31.25,33.89,313.400,9.795.000
"July, 2015","31,2  0 (0%)",33.3,29.1,31.2,31.2,31.7,30.7,31.2,31.35,34.11,502.040,15.741.000
"August, 2015","27,7  -0,1 (-0,36%)",29.7,25.9,27.8,27.5,28.3,27.3,27.7,27.7,31.34,172.980,4.791.000
"September, 2015","28,4  0 (0%)",30.3,26.5,28.4,27.6,28.5,27.6,28.4,28.34,31.160000000000004,213.85,6.061.000
"October, 2015","30,1  1,9 (6,74%)",30.1,26.3,28.2,28.2,30.1,28.1,30.1,28.97,32.9,218.73,6.336.000
"November, 2015","31,1  -0,2 (-0,64%)",33.4,29.2,31.3,31.1,31.3,30.9,31.1,31.08,34.0,1.387.670,43.131.000
"December, 2015","28,8  0 (0%)",30.8,26.8,28.8,28.8,29.2,28.8,28.8,28.89,30.79,404.84,11.695.000
"January, 2016","15,4  -1,1 (-6,67%)",17.6,15.4,16.5,15.4,15.4,15.4,15.4,15.4,14.86,64.500,993.000
"February, 2016","8  -0,6 (-6,98%)",92.0,8.0,86.0,8.0,85.0,8.0,8.0,81.5,77.2,7.066.940,57.601.000
"March, 2016","8  -0,4 (-4,76%)",89.0,79.0,84.0,84.0,84.0,79.0,8.0,80.7,67.3,4.183.150,33.813.300
"April, 2016","8,5  0,3 (3,66%)",87.0,77.0,82.0,81.0,86.0,81.0,85.0,84.5,67.5,3.071.920,25.958.000
"May, 2016","8,1  -0,3 (-3,57%)",87.0,77.0,84.0,84.0,84.0,81.0,81.0,81.8,64.2,2.298.300,18.798.000
"June, 2016","8,1  0,1 (1,25%)",85.0,75.0,8.0,81.0,83.0,8.0,81.0,81.8,61.4,1.945.660,15.925.000
"July, 2016","6,9  0,2 (2,99%)",71.0,63.0,67.0,68.0,69.0,67.0,69.0,68.3,52.9,457.420,3.123.000
"August, 2016","7,3  0,1 (1,39%)",77.0,67.0,72.0,72.0,75.0,72.0,73.0,73.4,57.3,523.700,3.846.000
"September, 2016","5,6  -0,25 (-4,27%)",62.5,54.5,58.5,55.1,58.0,55.1,56.0,56.3,43.9,565.110,3.183.000
"October, 2016","6,01  -0,24 (-3,84%)",66.8,58.2,62.5,61.0,61.9,60.1,60.1,60.7,47.2,754.970,4.582.000
"November, 2016","6,8  -0,34 (-4,76%)",76.3,66.5,71.4,70.2,70.5,66.6,68.0,68.4,58.9,850.99,5.824.000
"December, 2016","6,2  0,04 (0,65%)",65.9,57.3,61.6,62.4,63.6,62.0,62.0,62.8,53.7,458.320,2.880.000
"January, 2017","7,3  -0,01 (-0,14%)",78.2,68.0,73.1,73.2,74.8,72.5,73.0,73.1,63.9,2.445.990,17.871.000
"February, 2017","8,91  -0,19 (-2,09%)",97.3,84.7,91.0,92.0,92.7,89.0,89.1,90.7,78.4,1.192.190,10.814.000
"March, 2017","11,6  0,3 (2,65%)",12.05,10.55,11.3,11.3,11.65,11.2,11.6,11.37,10.24,1.138.240,12.946.000
"April, 2017","11,7  -0,2 (-1,68%)",12.7,11.1,11.9,11.75,11.95,11.55,11.7,11.82,10.44,1.824.660,21.560.000
"May, 2017","10,9  -0,3 (-2,68%)",11.95,10.45,11.2,11.2,11.3,10.9,10.9,11.12,97.3,1.155.030,12.847.000
"June, 2017","10,75  -0,15 (-1,38%)",11.65,10.15,10.9,11.0,11.2,10.75,10.75,10.97,97.1,3.893.760,42.716.000
"July, 2017","10,35  0,1 (0,98%)",10.95,95.4,10.25,10.3,10.5,10.2,10.35,10.37,94.9,2.206.700,22.889.000
"August, 2017","9,29  -0,16 (-1,69%)",10.1,87.9,94.5,94.0,94.6,92.9,92.9,93.6,86.5,1.410.070,13.200.000
"September, 2017","9,7  -0,11 (-1,12%)",10.45,91.3,98.1,98.1,99.5,97.0,97.0,97.6,90.7,2.010.620,20.075.000
"October, 2017","9,35  0,1 (1,08%)",98.9,86.1,92.5,92.5,94.9,92.5,93.5,93.4,88.5,1.705.210,15.925.000
"November, 2017","9,31  -0,02 (-0,21%)",99.8,86.8,93.3,93.7,93.9,93.0,93.1,93.3,88.3,2.696.090,25.155.800
"December, 2017","9,56  0 (0%)",10.2,89.0,95.6,95.6,95.6,94.0,95.6,94.8,92.4,1.327.380,12.589.000
"January, 2018","8,69  0,09 (1,05%)",92.0,8.0,86.0,86.0,9.0,85.9,86.9,86.9,84.7,3.960.400,34.399.000
"February, 2018","6,2  -0,11 (-1,74%)",67.5,58.7,63.1,62.9,62.9,61.7,62.0,62.2,60.4,2.406.840,14.968.000
"March, 2018","8,85  -0,01 (-0,11%)",94.8,82.4,88.6,88.6,89.8,88.4,88.5,88.9,86.3,1.083.510,9.628.000
"April, 2018","8,7  0,03 (0,35%)",92.7,80.7,86.7,88.0,88.0,86.7,87.0,87.0,84.8,1.027.490,8.939.000
"May, 2018","7,5  0,16 (2,18%)",78.5,68.3,73.4,74.8,75.0,73.0,75.0,74.2,73.1,1.242.070,9.164.744
"June, 2018","10,2  0,3 (3,03%)",10.55,92.1,99.0,99.0,10.3,99.0,10.2,10.04,10.01,2.897.410,29.104.000
"July, 2018","17,25  0 (0%)",18.45,16.05,17.25,17.25,17.55,16.4,17.25,17.03,17.009999999999998,4.167.730,70.977.000
"August, 2018","17,9  0,75 (4,37%)",18.35,15.95,17.15,17.2,17.95,17.2,17.9,17.61,17.65,2.495.010,43.832.000
"September, 2018","17,15  0,55 (3,31%)",17.75,15.45,16.6,16.6,17.2,16.6,17.15,16.869999999999997,16.91,2.506.200,42.213.000
"October, 2018","14,2  0,4 (2,9%)",14.75,12.85,13.8,14.0,14.3,13.8,14.2,14.07,14.0,1.440.100,20.261.000
"November, 2018","16,7  0,1 (0,6%)",17.75,15.45,16.6,16.55,16.7,16.25,16.7,16.52,16.46,2.885.030,47.660.000
"December, 2018","16  0,75 (4,92%)",16.3,14.2,15.25,15.25,16.2,15.1,16.0,15.86,15.77,868.460,13.777.000
"January, 2019","14,3  0,1 (0,7%)",15.15,13.25,14.2,13.6,14.3,13.6,14.3,14.11,14.1,405.580,5.722.000
"February, 2019","15,6  -0,1 (-0,64%)",16.75,14.65,15.7,15.7,15.7,15.45,15.6,15.63,15.38,677.530,10.649.000
"March, 2019","15,55  0,05 (0,32%)",16.55,14.45,15.5,15.1,15.55,15.1,15.55,15.35,15.330000000000002,772.910,11.861.000
"April, 2019","15,7  0,25 (1,62%)",16.5,14.4,15.45,15.5,15.85,15.5,15.7,15.68,15.48,1.146.540,17.975.000
"May, 2019","15,2  -0,15 (-0,98%)",16.4,14.3,15.35,15.3,15.35,15.15,15.2,15.23,14.99,216.670,3.306.300
