Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","23,1  -1,1 (-4,55%)",25.8,22.6,24.2,22.6,25.8,22.6,23.1,25.02,11.37,970.0,24.000
"February, 2014","29,7  0 (0%)",31.7,27.7,29.7,0.0,0.0,0.0,29.7,0.0,78.9,50.0,1.337
"March, 2014",28  0 (0%),29.9,26.1,28.0,0.0,0.0,0.0,28.0,0.0,74.4,40.0,1.12
"April, 2014",28  0 (0%),29.0,25.3,28.0,0.0,0.0,0.0,28.0,0.0,81.6,300.0,8.0
"May, 2014",25  0 (0%),26.7,23.3,25.0,25.0,25.0,25.0,25.0,25.0,12.3,100.0,3.0
"June, 2014",26  0 (0%),27.8,24.2,26.0,0.0,0.0,0.0,26.0,0.0,12.79,,
"July, 2014","27,4  1,4 (5,38%)",27.8,24.2,26.0,27.4,27.4,27.4,27.4,27.4,13.48,40.0,1.0
"August, 2014","27,4  0 (0%)",29.3,25.5,27.4,0.0,0.0,0.0,27.4,0.0,13.48,10.0,1.0
"September, 2014","27,4  0 (0%)",29.3,25.5,27.4,0.0,0.0,0.0,27.4,0.0,13.48,60.0,2.000
"October, 2014","22,8  0 (0%)",24.3,21.3,22.8,0.0,0.0,0.0,22.8,0.0,11.22,10.0,74.000
"November, 2014","24,2  0 (0%)",25.8,22.6,24.2,0.0,0.0,0.0,24.2,0.0,11.91,100.0,2.0
"December, 2014","26,5  0 (0%)",28.3,24.7,26.5,0.0,0.0,0.0,26.5,0.0,13.580000000000002,964.481,27.005.000
"January, 2015","26,3  0 (0%)",28.1,24.5,26.3,0.0,0.0,0.0,26.3,0.0,13.48,50.0,1.0
"February, 2015","24,9  0 (0%)",26.6,23.2,24.9,0.0,0.0,0.0,24.9,0.0,12.76,1.13,28.0
"March, 2015","31,2  0 (0%)",33.3,29.1,31.2,0.0,0.0,0.0,31.2,0.0,15.99,10.0,2.0
"April, 2015","31,3  0 (0%)",33.4,29.2,31.3,0.0,0.0,0.0,31.3,0.0,18.130000000000003,30.0,1.0
"May, 2015",27  0 (0%),28.8,25.2,27.0,0.0,0.0,0.0,27.0,0.0,15.64,36.131,911.0
"June, 2015","27,8  1,8 (6,92%)",27.8,24.2,26.0,24.2,27.8,24.2,27.8,27.47,16.11,110.0,3.0
"July, 2015",25  0 (0%),26.7,23.3,25.0,0.0,0.0,0.0,25.0,0.0,14.48,40.0,1.0
"August, 2015","25,4  -1,6 (-5,93%)",28.8,25.2,27.0,25.4,25.4,25.4,25.4,25.4,14.72,1.65,42.0
"September, 2015","27,8  1,8 (6,92%)",27.8,24.2,26.0,27.8,27.8,27.8,27.8,27.8,16.75,10.0,8.0
"October, 2015","29,5  1,2 (4,24%)",30.2,26.4,28.3,26.4,29.5,26.4,29.5,28.71,17.580000000000002,780.0,22.0
"November, 2015","35,8  0 (0%)",38.3,33.3,35.8,0.0,0.0,0.0,35.8,0.0,21.34,10.0,1.0
"December, 2015",26  0 (0%),28.7,25.1,26.0,0.0,0.0,0.0,26.0,0.0,13.99,140.0,4.0
"January, 2016","27,8  0 (0%)",29.7,25.9,27.8,0.0,0.0,0.0,27.8,0.0,15.99,80.0,2.0
"February, 2016",26  0 (0%),27.8,24.2,26.0,0.0,0.0,0.0,26.0,0.0,14.96,30.0,1.0
"March, 2016","25  1 (4,17%)",25.6,22.4,24.0,25.0,25.0,25.0,25.0,25.0,14.38,690.0,17.0
"April, 2016","19,2  1,2 (6,67%)",19.2,16.8,18.0,19.2,19.2,19.2,19.2,19.2,12.16,10.0,31.0
"May, 2016",28  0 (0%),29.9,26.1,28.0,0.0,0.0,0.0,28.0,0.0,21.3,120.0,3.0
"June, 2016","24,5  1,6 (6,99%)",24.5,21.3,22.9,24.5,24.5,24.5,24.5,24.5,19.91,20.0,1.0
"July, 2016","23,9  1,5 (6,7%)",23.9,20.9,22.4,20.9,23.9,20.9,23.9,23.8,19.35,310.0,7.0
"August, 2016","28,8  0 (0%)",30.8,26.8,28.8,28.8,28.8,28.8,28.8,28.8,22.62,300.0,9.0
"September, 2016","27,9  1,8 (6,9%)",27.9,24.3,26.1,24.3,27.9,24.3,27.9,24.4,21.91,670.0,16.0
"October, 2016","22,05  -1,45 (-6,17%)",25.1,21.9,23.5,25.0,25.0,22.05,22.05,24.51,17.32,60.0,1.0
"November, 2016","25,15  -1,85 (-6,85%)",28.85,25.15,27.0,25.15,25.15,25.15,25.15,25.15,19.18,10.0,2.0
"December, 2016","30  0,5 (1,69%)",31.55,27.45,29.5,30.0,30.0,30.0,30.0,30.0,22.880000000000003,10.0,1.0
"January, 2017","27,5  0 (0%)",29.4,25.6,27.5,0.0,0.0,0.0,27.5,0.0,20.98,20.0,1.0
"February, 2017","27,5  0 (0%)",29.4,25.6,27.5,0.0,0.0,0.0,27.5,0.0,20.98,20.0,1.0
"March, 2017","27,65  1,8 (6,96%)",27.65,24.05,25.85,27.65,27.65,27.65,27.65,27.65,21.09,190.0,5.0
"April, 2017","26,85  0 (0%)",28.7,25.0,26.85,0.0,0.0,0.0,26.85,0.0,23.380000000000003,220.0,6.0
"May, 2017","28  0,2 (0,72%)",29.7,25.9,27.8,28.0,28.0,28.0,28.0,27.78,24.380000000000003,180.0,5.0
"June, 2017","31,8  2 (6,71%)",31.85,27.75,29.8,31.8,31.8,31.8,31.8,31.8,27.69,10.0,318.0
"July, 2017","30,5  0 (0%)",32.6,28.4,30.5,0.0,0.0,0.0,30.5,0.0,26.56,1.01,31.0
"August, 2017","30,5  0 (0%)",32.6,28.4,30.5,0.0,0.0,0.0,30.5,0.0,26.56,148.12,4.828.712
"September, 2017",32  0 (0%),34.2,29.8,32.0,0.0,0.0,0.0,32.0,0.0,27.860000000000003,60.0,2.0
"October, 2017","30,25  0 (0%)",32.35,28.15,30.25,0.0,0.0,0.0,30.25,0.0,26.34,1.06,29.000
