Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","54  0,5 (0,93%)",57.0,49.8,53.5,54.0,55.0,54.0,54.0,54.59,89.6,1.053.620,55.407.000
"February, 2014","48,4  -1,1 (-2,22%)",52.5,46.1,49.5,49.5,49.5,48.4,48.4,48.95,61.1,1.182.560,57.887.136
"March, 2014",53  0 (0%),56.5,49.3,53.0,53.5,53.5,52.0,53.0,52.71,69.3,935.960,49.338.610
"April, 2014","49,7  0,4 (0,81%)",52.5,45.9,49.3,49.0,49.7,48.7,49.7,49.19,77.9,245.180,12.060.118
"May, 2014",51  0 (0%),54.5,47.5,51.0,50.5,52.0,50.5,51.0,51.11,81.5,592.11,30.261.000
"June, 2014","54  0,5 (0,93%)",57.0,49.8,53.5,53.0,54.0,53.0,54.0,53.67,88.4,658.700,35.354.000
"July, 2014","57,5  2,5 (4,55%)",58.5,51.5,55.0,55.5,57.5,55.5,57.5,56.83,94.3,1.168.010,66.373.000
"August, 2014","58  -0,5 (-0,85%)",62.5,54.5,58.5,59.0,59.5,58.0,58.0,58.6,95.1,989.270,57.968.000
"September, 2014","57,5  -0,5 (-0,86%)",62.0,54.0,58.0,57.5,58.5,57.5,57.5,58.010000000000005,94.3,1.140.320,65.044.000
"October, 2014","55  0,5 (0,92%)",58.0,51.0,54.5,54.5,55.0,54.0,55.0,54.38,90.9,706.290,38.408.000
"November, 2014","53,5  -1 (-1,83%)",58.0,51.0,54.5,54.5,54.5,53.0,53.5,53.54,88.6,890.620,49.912.000
"December, 2014","53  0,5 (0,95%)",56.0,48.9,52.5,52.5,53.0,52.5,53.0,52.78,89.4,835.64,44.064.000
"January, 2015","47,8  -1,6 (-3,24%)",52.5,46.0,49.4,49.4,49.4,47.8,47.8,48.34,82.6,790.190,38.197.000
"February, 2015","47,1  -0,8 (-1,67%)",51.0,44.6,47.9,47.7,47.7,46.7,47.1,47.02,82.6,1.111.170,52.247.000
