Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","8  -0,1 (-1,23%)",86.0,76.0,81.0,82.0,83.0,8.0,8.0,81.4,75.6,2.358.640,19.207.000
"February, 2014","8,4  0,1 (1,2%)",88.0,78.0,83.0,84.0,85.0,82.0,84.0,83.7,76.5,2.842.130,23.776.156
"March, 2014","9,6  -0,2 (-2,04%)",10.4,92.0,98.0,99.0,99.0,95.0,96.0,97.3,87.4,3.224.670,31.388.581
"April, 2014",7  0 (0%),74.0,66.0,7.0,7.0,71.0,69.0,7.0,69.8,63.7,1.794.810,12.532.837
"May, 2014","6,6  -0,3 (-4,35%)",73.0,65.0,69.0,68.0,7.0,66.0,66.0,67.5,60.1,4.029.540,27.208.000
"June, 2014","8,1  0,3 (3,85%)",83.0,73.0,78.0,8.0,83.0,8.0,81.0,81.1,73.8,5.367.250,43.509.000
"July, 2014","7,9  0,5 (6,76%)",79.0,69.0,74.0,75.0,79.0,75.0,79.0,77.7,71.9,3.870.180,30.090.000
"August, 2014","8,3  0,1 (1,22%)",87.0,77.0,82.0,83.0,84.0,82.0,83.0,82.6,75.6,4.649.920,38.397.000
"September, 2014","7,9  0 (0%)",84.0,74.0,79.0,78.0,8.0,78.0,79.0,78.6,71.9,2.570.160,20.189.000
"October, 2014","7,5  0,4 (5,63%)",75.0,67.0,71.0,72.0,75.0,72.0,75.0,74.2,68.3,4.126.900,30.617.000
"November, 2014","8,1  0,2 (2,53%)",84.0,74.0,79.0,8.0,83.0,8.0,81.0,81.4,76.6,9.842.860,80.143.000
"December, 2014","7,3  0,4 (5,8%)",73.0,65.0,69.0,7.0,73.0,7.0,73.0,72.2,69.0,2.840.370,20.496.000
"January, 2015","7,1  -0,2 (-2,74%)",78.0,68.0,73.0,74.0,74.0,71.0,71.0,72.0,67.1,2.199.810,15.833.000
"February, 2015","6,9  -0,1 (-1,43%)",74.0,66.0,7.0,7.0,7.0,68.0,69.0,69.0,65.2,1.778.560,12.279.000
"March, 2015","6,6  0 (0%)",7.0,62.0,66.0,67.0,67.0,66.0,66.0,66.3,62.4,694.130,4.603.000
"April, 2015","6,4  -0,1 (-1,54%)",69.0,61.0,65.0,64.0,64.0,63.0,64.0,63.8,60.5,1.815.100,11.578.000
"May, 2015","5,6  -0,2 (-3,45%)",62.0,54.0,58.0,58.0,59.0,56.0,56.0,56.8,52.9,3.357.640,19.063.000
"June, 2015","5,7  -0,1 (-1,72%)",62.0,54.0,58.0,58.0,59.0,57.0,57.0,57.8,53.9,2.689.720,15.823.000
"July, 2015","5,6  -0,1 (-1,75%)",6.0,54.0,57.0,57.0,58.0,56.0,56.0,56.7,54.3,840.240,4.763.000
"August, 2015","5,1  -0,1 (-1,92%)",55.0,49.0,52.0,52.0,53.0,5.0,51.0,51.2,50.3,1.148.830,5.886.000
"September, 2015","5,1  0 (0%)",54.0,48.0,51.0,5.0,51.0,5.0,51.0,51.0,50.3,1.227.700,6.255.000
"October, 2015","6,6  -0,1 (-1,49%)",71.0,63.0,67.0,66.0,67.0,65.0,66.0,66.0,67.2,2.306.770,15.231.000
"November, 2015","6,3  -0,1 (-1,56%)",68.0,6.0,64.0,63.0,64.0,62.0,63.0,63.0,64.2,2.859.520,17.956.000
"December, 2015","5,3  0,1 (1,92%)",56.0,5.0,52.0,51.0,53.0,51.0,53.0,51.9,51.6,8.733.350,45.741.220
"January, 2016",5  0 (0%),53.0,47.0,5.0,5.0,5.0,49.0,5.0,49.5,47.8,4.278.040,21.268.000
"February, 2016","5,7  0,1 (1,79%)",59.0,53.0,56.0,57.0,59.0,55.0,57.0,56.9,54.5,14.607.870,82.358.000
"March, 2016","5,7  -0,1 (-1,72%)",62.0,54.0,58.0,58.0,58.0,56.0,57.0,56.9,55.4,3.228.160,18.373.000
"April, 2016","5,6  0 (0%)",59.0,53.0,56.0,55.0,56.0,55.0,56.0,55.5,53.5,3.863.020,21.448.000
"May, 2016","5,4  0,1 (1,89%)",57.0,51.0,53.0,53.0,54.0,52.0,54.0,52.9,56.9,2.878.140,15.226.000
"June, 2016","5  -0,1 (-1,96%)",54.0,48.0,51.0,5.0,51.0,5.0,5.0,50.2,52.7,1.214.210,6.093.000
"July, 2016","5,2  -0,1 (-1,89%)",56.0,5.0,53.0,52.0,53.0,52.0,52.0,52.2,54.8,4.151.800,21.691.000
"August, 2016","5,3  0,1 (1,92%)",55.0,49.0,52.0,51.0,53.0,51.0,53.0,51.7,55.8,4.341.290,22.455.000
"September, 2016","5,18  -0,02 (-0,38%)",55.6,48.4,52.0,51.9,52.0,51.7,51.8,51.8,54.5,3.487.270,18.271.000
"October, 2016","5,16  -0,15 (-2,82%)",56.8,49.4,53.1,53.5,53.5,49.6,51.6,52.3,54.3,4.679.770,23.621.000
"November, 2016","4,39  -0,32 (-6,79%)",50.3,43.9,47.1,47.1,47.5,43.9,43.9,44.8,46.1,2.996.550,13.420.000
"December, 2016","2,28  0,01 (0,44%)",24.2,21.2,22.7,22.7,23.2,22.7,22.8,22.9,24.0,23.279.490,53.269.400
"January, 2017","2,19  0,04 (1,86%)",23.0,2.0,21.5,21.9,22.1,21.6,21.9,21.9,22.5,4.988.525,10.927.585
"February, 2017","2,76  0,18 (6,98%)",27.6,24.0,25.8,25.8,27.6,25.8,27.6,27.4,28.3,17.638.760,48.312.000
"March, 2017","2,66  -0,04 (-1,48%)",28.8,25.2,27.0,27.0,27.2,26.6,26.6,26.8,27.3,7.564.820,20.248.000
"April, 2017","2,47  -0,03 (-1,2%)",26.7,23.3,25.0,24.9,25.0,24.5,24.7,24.7,25.4,6.073.150,15.016.000
"May, 2017","3,3  0,21 (6,8%)",33.0,28.8,30.9,30.9,33.0,30.5,33.0,32.2,33.9,14.998.760,48.337.600
"June, 2017","3,21  0 (0%)",34.3,29.9,32.1,32.0,32.4,31.9,32.1,32.1,33.0,7.464.200,23.963.600
