Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","40,9  0 (0%)",43.7,38.1,40.9,40.9,40.9,40.9,40.9,40.9,16.41,150.0,6.000
"February, 2014","45,9  -0,1 (-0,22%)",49.2,42.8,46.0,45.9,45.9,45.9,45.9,45.9,17.8,10.0,459
"March, 2014","45,4  0 (0%)",48.5,42.3,45.4,46.9,46.9,45.4,45.4,45.45,17.6,310.0,14.089
"April, 2014","43,9  -1,1 (-2,44%)",48.1,41.9,45.0,45.9,45.9,42.0,43.9,44.97,17.02,34.71,1.560.999
"May, 2014","45  -0,4 (-0,88%)",48.5,42.3,45.4,43.0,45.0,43.0,45.0,43.18,17.45,330.0,14.000
"June, 2014","41,3  -0,1 (-0,24%)",44.2,38.6,41.4,40.5,41.4,39.0,41.3,40.9,16.57,4.11,168.000
"July, 2014","39,4  0 (0%)",42.1,36.7,39.4,0.0,0.0,0.0,39.4,0.0,15.8,122.77,4.788.000
"August, 2014","40,3  0 (0%)",43.1,37.5,40.3,40.3,40.3,40.3,40.3,40.3,16.169999999999998,210.0,8.000
"September, 2014",39  0 (0%),41.7,36.3,39.0,38.0,39.0,38.0,39.0,38.29,15.64,1.28,49.000
"October, 2014","38,9  -0,5 (-1,27%)",42.1,36.7,39.4,38.2,38.9,38.2,38.9,38.34,15.6,1.85,71.000
"November, 2014","40,9  0 (0%)",43.7,38.1,40.9,38.5,40.9,38.5,40.9,40.29,16.41,1.07,43.000
"December, 2014","43,6  -0,1 (-0,23%)",46.7,40.7,43.7,43.6,43.6,43.6,43.6,43.6,17.490000000000002,70.0,3.0
"January, 2015","45,8  0 (0%)",49.0,42.6,45.8,0.0,0.0,0.0,45.8,0.0,18.37,90.14,4.115.000
"February, 2015","45,8  0 (0%)",49.0,42.6,45.8,0.0,0.0,0.0,45.8,0.0,18.37,510.0,22.0
"March, 2015","46,9  0 (0%)",50.0,43.7,46.9,0.0,0.0,0.0,46.9,0.0,18.89,150.0,7.000
"April, 2015","46,5  0 (0%)",49.7,43.3,46.5,0.0,0.0,0.0,46.5,0.0,18.85,580.0,27.0
"May, 2015","46,1  -0,3 (-0,65%)",49.6,43.2,46.4,46.1,46.1,46.1,46.1,46.1,18.69,360.0,17.000
"June, 2015",47  0 (0%),50.0,43.8,47.0,47.0,47.0,47.0,47.0,47.0,19.61,100.0,5.0
"July, 2015","46  0,6 (1,32%)",48.5,42.3,45.4,46.0,46.0,46.0,46.0,46.0,19.62,160.0,7.000
"August, 2015",45  0 (0%),48.1,41.9,45.0,0.0,0.0,0.0,45.0,0.0,32.61,355.11,16.967.000
"September, 2015","44  -0,8 (-1,79%)",47.9,41.7,44.8,42.0,44.0,42.0,44.0,43.14,33.37,1.09,47.000
"October, 2015","39,5  0 (0%)",42.2,36.8,39.5,39.5,39.5,39.5,39.5,39.5,29.58,200.03,7.701.000
"November, 2015","42,1  1,1 (2,68%)",43.8,38.2,41.0,42.1,42.1,42.1,42.1,42.1,31.53,95.19,3.808.000
"December, 2015","37,2  -2,8 (-7%)",42.8,37.2,40.0,38.5,38.5,37.2,37.2,37.49,29.72,180.49,7.308.000
"January, 2016","40,4  0 (0%)",43.2,37.6,40.4,0.0,0.0,0.0,40.4,0.0,30.21,40.0,1.504.000
"February, 2016","37,4  2,4 (6,86%)",37.4,32.6,35.0,37.4,37.4,35.0,37.4,35.84,27.96,141.54,5.141.000
"March, 2016","37,5  0,5 (1,35%)",39.5,34.5,37.0,36.2,37.5,36.2,37.5,36.93,30.610000000000003,1.15,42.0
"April, 2016","36,9  0,2 (0,54%)",39.2,34.2,36.7,37.0,37.0,36.9,36.9,36.92,29.73,60.0,2.0
"May, 2016","38  0,8 (2,15%)",39.8,34.6,37.2,36.7,38.0,36.7,38.0,36.83,30.53,5.06,186.0
"June, 2016","37,8  -0,1 (-0,26%)",40.5,35.3,37.9,37.5,38.0,37.5,37.8,37.99,28.87,19.24,731.0
"July, 2016","30  0,4 (1,35%)",31.6,27.6,29.6,30.8,30.8,30.0,30.0,30.01,28.55,760.0,23.0
"August, 2016",32  0 (0%),34.2,29.8,32.0,0.0,0.0,0.0,32.0,0.0,30.75,100.0,3.0
"September, 2016","36  2,1 (6,19%)",36.25,31.55,33.9,31.55,36.0,31.55,36.0,35.9,34.6,670.0,24.000
"October, 2016","38,7  0 (0%)",41.4,36.0,38.7,0.0,0.0,0.0,38.7,0.0,37.19,100.0,4.0
"November, 2016","37,8  1,8 (5%)",38.5,33.5,36.0,37.8,37.8,37.8,37.8,37.8,36.32,1.95,74.0
"December, 2016","38,7  0 (0%)",41.4,36.0,38.7,38.7,38.7,38.7,38.7,38.7,37.19,250.0,10.0
"January, 2017","35  -0,5 (-1,41%)",37.95,33.05,35.5,33.2,35.0,33.05,35.0,33.07,33.55,1.89,63.000
"February, 2017","35,9  0 (0%)",38.4,33.4,35.9,35.9,35.9,35.9,35.9,35.9,34.410000000000004,50.0,2.0
"March, 2017","37,5  0 (0%)",40.1,34.9,37.5,37.5,37.5,37.5,37.5,37.5,35.95,30.0,1.0
"April, 2017","37,45  0 (0%)",40.05,34.85,37.45,0.0,0.0,0.0,37.45,0.0,35.9,120.0,4.494.000
"May, 2017","37,2  0 (0%)",39.8,34.6,37.2,37.2,37.2,37.2,37.2,38.1,35.660000000000004,210.0,8.0
"June, 2017","34,5  2 (6,15%)",34.75,30.25,32.5,34.6,34.6,34.4,34.5,34.19,33.07,1.17,40.0
"July, 2017","33,6  0,7 (2,13%)",35.2,30.6,32.9,31.15,33.6,31.1,33.6,32.84,32.21,670.0,22.0
