Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","49,5  0,2 (0,41%)",52.5,45.9,49.3,49.8,50.0,49.4,49.5,49.65,10.1,83.73,4.158.000
"February, 2014","56,5  2 (3,67%)",58.0,51.0,54.5,55.0,56.5,54.0,56.5,55.32000000000001,10.41,282.590,15.633.065
"March, 2014",54  0 (0%),57.5,50.5,54.0,54.0,54.5,53.0,54.0,53.86,99.7,145.250,7.823.315
"April, 2014","49,6  -0,4 (-0,8%)",53.5,46.5,50.0,50.5,50.5,49.6,49.6,49.84,93.5,20.96,1.044.635
"May, 2014","44,9  0,2 (0,45%)",47.8,41.6,44.7,44.7,44.9,44.3,44.9,44.67,86.5,61.4,2.743.000
"June, 2014","44  -0,2 (-0,45%)",47.2,41.2,44.2,44.6,44.6,44.0,44.0,44.2,84.7,36.53,1.615.000
"July, 2014","43,4  -0,3 (-0,69%)",46.7,40.7,43.7,43.6,44.0,43.4,43.4,43.55,83.8,151.130,6.582.000
"August, 2014","45,2  -0,8 (-1,74%)",49.2,42.8,46.0,46.0,46.3,45.0,45.2,45.52,87.2,171.09,7.788.000
"September, 2014","43,9  0,2 (0,46%)",46.7,40.7,43.7,43.5,44.3,43.5,43.9,44.02,84.7,200.42,8.822.000
"October, 2014","49,9  0,3 (0,6%)",53.0,46.2,49.6,49.6,49.9,49.5,49.9,49.74,99.6,119.9,5.964.000
"November, 2014","49,3  -0,7 (-1,4%)",53.5,46.5,50.0,49.5,49.6,48.8,49.3,49.06,10.04,164.02,8.047.000
"December, 2014","47,5  0,5 (1,06%)",50.0,43.8,47.0,47.0,47.6,47.0,47.5,47.48,10.16,21.24,1.008.000
"January, 2015","43,1  -1,4 (-3,15%)",47.6,41.4,44.5,44.3,44.3,43.1,43.1,43.63,94.6,196.72,8.582.000
"February, 2015","39  -0,4 (-1,02%)",42.1,36.7,39.4,39.4,39.4,38.8,39.0,38.99,85.6,257.03,10.021.000
"March, 2015","33,8  0,3 (0,9%)",35.8,31.2,33.5,33.5,33.8,33.3,33.8,33.59,75.1,314.400,10.560.000
"April, 2015","37,8  0,1 (0,27%)",40.3,35.1,37.7,38.3,38.3,37.7,37.8,37.88,84.0,46.62,1.766.000
"May, 2015","36,6  0,6 (1,67%)",38.5,33.5,36.0,35.9,36.9,35.8,36.6,36.5,81.4,283.02,10.330.000
"June, 2015","42,5  0,5 (1,19%)",44.9,39.1,42.0,41.6,43.0,41.6,42.5,42.46,96.8,223.46,9.485.000
"July, 2015","42,4  0,3 (0,71%)",45.0,39.2,42.1,42.1,43.0,42.1,42.4,42.63,97.0,154.16,6.575.000
"August, 2015","41,5  -1,1 (-2,58%)",45.5,39.7,42.6,42.6,42.6,41.5,41.5,41.79,10.16,63.64,2.659.000
"September, 2015","40,8  0,1 (0,25%)",43.5,37.9,40.7,40.5,40.9,40.4,40.8,40.62,99.9,65.540,2.663.000
"October, 2015","46,5  0,3 (0,65%)",49.4,43.0,46.2,46.5,46.7,46.0,46.5,46.28,11.4,352.320,16.305.000
"November, 2015","31,7  -0,1 (-0,31%)",34.0,29.6,31.8,31.8,32.5,31.6,31.7,31.81,10.11,130.29,4.144.000
"December, 2015","31,5  -0,5 (-1,56%)",33.7,29.3,32.0,31.9,32.2,31.5,31.5,31.74,98.4,213.708,6.947.600
"January, 2016","28,6  0,2 (0,7%)",30.3,26.5,28.4,28.7,28.7,28.1,28.6,28.39,89.7,286.81,8.144.000
"February, 2016","31,1  0,9 (2,98%)",32.3,28.1,30.2,31.1,31.9,30.2,31.1,31.09,97.6,867.77,26.982.000
"March, 2016","34,5  -1 (-2,82%)",37.9,33.1,35.5,35.5,35.5,34.5,34.5,34.93,11.29,899.240,31.412.000
"April, 2016","47  2,4 (5,38%)",47.7,41.5,44.6,45.1,47.2,45.1,47.0,46.48,17.14,1.978.580,91.958.000
"May, 2016","35,3  -14,2 (-28,69%)",53.0,46.2,49.5,35.3,35.3,35.0,35.3,35.29,14.09,2.565.840,90.547.000
"June, 2016","41,3  -0,7 (-1,67%)",44.9,39.1,42.0,41.3,43.0,41.2,41.3,41.97,16.53,1.971.230,82.724.000
"July, 2016","39,4  -0,6 (-1,5%)",42.8,37.2,40.0,39.5,40.0,39.3,39.4,39.54,15.76,1.590.610,62.890.000
"August, 2016","43,4  0,1 (0,23%)",46.3,40.3,43.3,43.7,44.0,42.9,43.4,43.39,17.2,2.529.320,109.756.000
"September, 2016",42  0 (0%),44.9,39.1,42.0,41.85,42.45,41.6,42.0,42.010000000000005,16.64,1.255.010,52.719.000
"October, 2016","40,05  0,25 (0,63%)",42.55,37.05,39.8,40.6,40.85,40.0,40.05,40.31,15.87,1.671.780,67.389.000
"November, 2016","48,6  1,7 (3,62%)",50.1,43.65,46.9,47.0,48.6,46.5,48.6,47.41,19.6,2.041.530,96.797.000
"December, 2016","50,9  -0,8 (-1,55%)",55.3,48.1,51.7,50.5,51.6,50.5,50.9,51.11,20.58,1.470.310,75.151.000
"January, 2017","49,7  0,4 (0,81%)",52.7,45.85,49.3,49.5,49.7,49.1,49.7,49.52,19.84,444.410,22.000.100
"February, 2017","47,25  -0,3 (-0,63%)",50.8,44.25,47.55,47.55,48.2,47.25,47.25,47.59,19.39,724.980,34.503.000
"March, 2017","49,5  0,05 (0,1%)",52.9,46.0,49.45,49.8,50.4,49.2,49.5,49.73,20.43,1.954.140,97.313.000
"April, 2017","48,35  -0,2 (-0,41%)",51.9,45.2,48.55,48.55,48.6,47.9,48.35,48.33,20.03,564.710,27.290.000
