Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2018","20,65  -1,55 (-6,98%)",23.75,20.65,22.2,20.65,20.65,20.65,20.65,20.47,18.85,2.54,52.000
"February, 2018","19,25  -1,4 (-6,78%)",22.05,19.25,20.65,19.25,19.25,19.25,19.25,18.89,17.580000000000002,900.0,17.000
"March, 2018","16,75  0,2 (1,21%)",17.7,15.4,16.55,16.55,16.75,16.5,16.75,16.630000000000003,15.29,257.13,4.276.000
"April, 2018","16,2  -0,55 (-3,28%)",17.9,15.6,16.75,16.75,16.9,15.6,16.2,16.27,14.79,364.72,5.935.000
"May, 2018","24,35  0 (0%)",26.05,22.65,24.35,24.35,24.35,24.0,24.35,24.11,17.79,17.63,425.0
"June, 2018","20,6  -0,85 (-3,96%)",22.95,19.95,21.45,21.5,21.8,19.95,20.6,21.15,15.05,193.73,4.098.000
"July, 2018","20,7  0,05 (0,24%)",22.05,19.25,20.65,20.7,20.8,20.55,20.7,20.67,15.12,58.25,1.204.000
"August, 2018","21,3  0 (0%)",22.75,19.85,21.3,21.3,21.4,21.2,21.3,21.31,15.56,65.51,1.396.000
"September, 2018","17,1  -0,4 (-2,29%)",18.7,16.3,17.5,17.5,17.5,17.1,17.1,17.2,15.61,134.25,2.309.000
"October, 2018","22,2  -1,65 (-6,92%)",25.5,22.2,23.85,24.5,25.1,22.2,22.2,24.12,20.27,496.69,11.979.000
"November, 2018","16,55  0,35 (2,16%)",17.3,15.1,16.2,16.2,16.55,16.0,16.55,16.369999999999997,15.11,274.69,4.496.000
"December, 2018","12,1  -0,1 (-0,82%)",13.05,11.35,12.2,12.2,12.25,12.0,12.1,12.06,11.51,84.84,1.023.000
"January, 2019","10  0,04 (0,4%)",10.65,92.7,99.6,99.6,10.1,99.3,10.0,99.6,95.4,98.89,985.000
"February, 2019","10,1  0,1 (1%)",10.7,93.0,10.0,10.0,10.2,99.8,10.1,10.11,96.9,156.45,1.581.000
"March, 2019","9,89  -0,51 (-4,9%)",11.1,96.8,10.4,10.1,10.55,96.8,98.9,98.9,95.8,709.900,7.018.000
"April, 2019",10  0 (0%),10.7,93.0,10.0,10.05,10.25,99.0,10.0,10.06,97.3,211.69,2.129.000
"May, 2019","10  -0,1 (-0,99%)",10.8,94.0,10.1,10.1,10.25,99.5,10.0,10.09,99.0,256.14,2.585.000
"June, 2019","7,97  -0,03 (-0,38%)",85.6,74.4,8.0,80.5,80.5,79.2,79.7,79.6,79.6,121.35,966.000
"July, 2019","7,75  -0,05 (-0,64%)",83.4,72.6,78.0,78.0,78.5,76.5,77.5,77.1,77.4,113.05,872.000
"August, 2019","9,16  0,26 (2,92%)",95.2,82.8,89.0,89.2,92.0,89.0,91.6,90.7,91.4,291.67,2.646.000
"September, 2019","8  -0,05 (-0,62%)",86.1,74.9,80.5,80.9,80.9,78.5,8.0,79.1,80.1,139.23,1.101.000
"October, 2019","7,9  0 (0%)",84.5,73.5,79.0,79.0,79.8,78.5,79.0,79.0,79.1,80.1,633.000
"November, 2019","7,59  -0,04 (-0,52%)",81.6,71.0,76.3,76.0,76.0,75.0,75.9,75.2,76.0,103.06,775.000
