Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","16  -0,1 (-0,62%)",17.2,15.0,16.1,16.2,16.3,16.0,16.0,16.15,79.4,368.89,5.953.000
"February, 2014","10  0,4 (4,17%)",10.2,9.0,96.0,95.0,10.0,94.0,10.0,97.7,49.6,283.67,2.772.643
"March, 2014","11,9  0,1 (0,85%)",12.6,11.0,11.8,11.8,12.3,11.7,11.9,11.89,59.0,552.050,6.563.594
"April, 2014","10  0,4 (4,17%)",10.2,9.0,96.0,95.0,10.0,95.0,10.0,97.7,49.6,527.100,5.152.395
"May, 2014","11,3  0 (0%)",12.0,10.6,11.3,11.0,11.4,10.7,11.3,11.12,56.1,1.159.740,12.893.000
"June, 2014","13,8  0,9 (6,98%)",13.8,12.0,12.9,12.9,13.8,12.9,13.8,13.65,68.5,1.354.170,18.486.000
"July, 2014","14  0,4 (2,94%)",14.5,12.7,13.6,13.6,14.1,13.5,14.0,13.88,69.5,503.400,6.985.000
"August, 2014","16,4  0,6 (3,8%)",16.9,14.7,15.8,16.0,16.5,15.9,16.4,16.240000000000002,81.4,1.353.720,21.991.000
"September, 2014","14,9  0 (0%)",15.9,13.9,14.9,14.8,15.2,14.7,14.9,15.04,73.9,382.790,5.756.000
"October, 2014","17,4  0,6 (3,57%)",17.9,15.7,16.8,17.0,17.5,16.8,17.4,17.32,86.3,811.57,14.053.000
"November, 2014","16,1  -0,3 (-1,83%)",17.5,15.3,16.4,16.2,16.3,16.1,16.1,16.18,79.9,386.79,6.257.000
"December, 2014","17,4  0,2 (1,16%)",18.4,16.0,17.2,17.0,17.4,17.0,17.4,17.28,86.3,61.360,1.060.000
"January, 2015","18,6  -1,4 (-7%)",21.4,18.6,20.0,19.7,19.7,18.6,18.6,18.83,92.3,1.438.770,27.095.000
"February, 2015","19,5  -0,5 (-2,5%)",21.4,18.6,20.0,20.1,20.1,19.3,19.5,19.5,96.7,83.38,1.626.000
"March, 2015","20,7  0,1 (0,49%)",22.0,19.2,20.6,20.6,20.9,20.6,20.7,20.79,10.27,183.7,3.818.000
"April, 2015","21,3  0 (0%)",22.7,19.9,21.3,21.1,21.4,21.1,21.3,21.24,10.57,229.12,4.866.000
"May, 2015","21,1  0,3 (1,44%)",22.2,19.4,20.8,20.8,21.4,20.8,21.1,21.16,10.47,484.2,10.245.000
"June, 2015","22,8  -0,2 (-0,87%)",24.6,21.4,23.0,22.9,23.0,22.5,22.8,22.76,11.31,136.01,3.096.000
"July, 2015","21,9  -0,9 (-3,95%)",24.3,21.3,22.8,22.7,22.8,21.9,21.9,22.11,10.87,341.09,7.543.000
"August, 2015","22,3  0,3 (1,36%)",23.5,20.5,22.0,22.2,22.3,22.0,22.3,22.17,11.23,139.81,3.100.000
"September, 2015","22  -0,3 (-1,35%)",23.8,20.8,22.3,22.3,22.3,22.0,22.0,22.24,11.13,8.02,178.000
"October, 2015","25,8  0 (0%)",27.6,24.0,25.8,25.5,25.8,25.0,25.8,25.41,13.169999999999998,248.18,6.317.000
"November, 2015","25,9  -0,1 (-0,38%)",27.8,24.2,26.0,25.1,25.9,25.1,25.9,25.72,13.22,85.16,2.191.000
"December, 2015","26,8  -0,2 (-0,74%)",28.1,24.5,27.0,26.8,27.0,26.8,26.8,26.910000000000004,15.1,2.7,73.000
"January, 2016","25,7  0,6 (2,39%)",26.8,23.4,25.1,25.8,25.8,24.5,25.7,24.97,14.97,1.0,25.000
"February, 2016","26,8  0,3 (1,13%)",28.3,24.7,26.5,26.8,27.6,26.7,26.8,27.12,15.61,44.09,1.196.000
"March, 2016","25,8  -0,2 (-0,77%)",27.8,24.2,26.0,26.2,26.2,25.7,25.8,25.96,15.43,99.08,2.572.000
"April, 2016","27,5  0,1 (0,36%)",29.3,25.5,27.4,27.2,27.8,27.0,27.5,27.54,17.78,61.44,1.692.000
"May, 2016","29,5  0,1 (0,34%)",31.4,27.4,29.4,29.3,29.5,29.1,29.5,29.31,19.48,35.98,1.055.000
"June, 2016","29,2  -0,5 (-1,68%)",31.7,27.7,29.7,29.2,29.7,29.2,29.2,29.42,19.48,42.83,1.260.000
"July, 2016","30,4  -0,4 (-1,3%)",32.9,28.7,30.8,30.7,30.8,30.4,30.4,30.7,19.94,257.3,7.923.920
"August, 2016","27,3  0,2 (0,74%)",28.9,25.3,27.1,27.1,27.7,27.1,27.3,27.19,18.37,29.29,796.000
"September, 2016","28  -0,4 (-1,41%)",30.35,26.45,28.4,28.1,28.3,27.8,28.0,27.96,18.84,183.25,5.125.000
"October, 2016","21,9  1,1 (5,29%)",22.25,19.35,20.8,20.8,21.9,20.8,21.9,21.35,17.68,854.395,16.981.597
"November, 2016","21,8  0,2 (0,93%)",23.1,20.1,21.6,21.5,22.0,21.5,21.8,21.83,17.369999999999997,67.78,1.480.000
"December, 2016","20,5  -0,3 (-1,44%)",22.25,19.35,20.8,20.6,20.8,20.5,20.5,20.69,16.34,544.12,11.054.172
"January, 2017","20  -0,2 (-0,99%)",21.6,18.8,20.2,20.15,20.15,19.9,20.0,20.05,15.82,530.28,10.607.000
"February, 2017","18,8  -0,3 (-1,57%)",20.4,17.8,19.1,19.2,19.5,18.8,18.8,19.03,14.87,142.59,2.713.000
"March, 2017","22,4  -0,1 (-0,44%)",24.05,20.95,22.5,22.85,22.9,22.1,22.4,22.67,17.72,255.16,5.785.000
"April, 2017","22,1  -0,2 (-0,9%)",23.85,20.75,22.3,22.1,22.5,22.05,22.1,22.17,17.48,119.61,2.652.000
"May, 2017","20  -0,6 (-2,91%)",22.0,19.2,20.6,20.55,20.7,20.0,20.0,20.18,15.82,455.060,9.181.000
"June, 2017","22,6  0,3 (1,35%)",23.85,20.75,22.3,22.3,22.7,22.3,22.6,22.52,17.880000000000003,566.160,12.749.000
