Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","11,7  0,1 (0,86%)",12.4,10.8,11.6,11.6,11.7,11.6,11.7,11.6,67.4,18.85,219.000
"February, 2014","10,4  -0,2 (-1,89%)",11.3,99.0,10.6,10.4,10.4,10.3,10.4,10.32,59.9,7.36,75.949
"March, 2014","10,3  -0,1 (-0,96%)",11.1,97.0,10.4,10.6,10.7,10.3,10.3,10.47,59.3,27.45,287.286
"April, 2014","9,7  0,1 (1,04%)",10.2,9.0,96.0,96.0,97.0,96.0,97.0,96.1,55.9,3.03,29.118
"May, 2014","8,9  0 (0%)",95.0,83.0,89.0,89.0,89.0,89.0,89.0,89.0,51.2,800.0,7.0
"June, 2014","9,2  0,2 (2,22%)",96.0,84.0,9.0,92.0,92.0,9.0,92.0,91.2,53.0,6.02,55.0
"July, 2014","9,8  0,1 (1,03%)",10.3,91.0,97.0,97.0,99.0,97.0,98.0,97.8,56.4,10.04,98.0
"August, 2014","10,4  0,3 (2,97%)",10.8,94.0,10.1,10.1,10.4,10.1,10.4,10.2,59.9,24.12,246.0
"September, 2014","11,6  0,2 (1,75%)",12.1,10.7,11.4,11.4,11.6,11.4,11.6,11.52,66.8,30.71,354.000
"October, 2014","11,6  0 (0%)",12.4,10.8,11.6,11.6,11.7,11.6,11.6,11.63,66.8,14.3,166.0
"November, 2014","11,6  -0,1 (-0,85%)",12.5,10.9,11.7,11.6,11.7,11.6,11.6,11.64,66.8,6.75,79.000
"December, 2014","11,6  -0,3 (-2,52%)",12.7,11.1,11.9,11.9,11.9,11.4,11.6,11.59,66.8,61.200,710.000
"January, 2015","15,1  0,6 (4,14%)",15.5,13.5,14.5,14.6,15.5,14.6,15.1,15.15,86.9,299.68,4.541.000
"February, 2015","16,2  -0,2 (-1,22%)",17.5,15.3,16.4,16.4,16.7,16.0,16.2,16.21,93.3,198.41,3.215.000
"March, 2015","16,5  -0,1 (-0,6%)",17.7,15.5,16.6,16.6,16.8,16.4,16.5,16.6,95.0,115.39,1.915.000
"April, 2015","16,5  0,4 (2,48%)",17.2,15.0,16.1,16.6,16.6,16.2,16.5,16.32,95.0,66.44,1.084.000
"May, 2015","13,7  -0,3 (-2,14%)",14.9,13.1,14.0,13.8,13.8,13.4,13.7,13.65,88.1,74.09,1.011.000
"June, 2015","13,8  -0,1 (-0,72%)",14.8,13.0,13.9,13.9,13.9,13.8,13.8,13.88,88.7,45.16,627.0
"July, 2015","14,3  0,2 (1,42%)",15.0,13.2,14.1,14.3,14.4,14.2,14.3,14.36,92.0,12.62,181.0
"August, 2015","13,7  -0,1 (-0,72%)",14.7,12.9,13.8,13.8,13.8,13.7,13.7,13.73,90.1,7.82,107.000
"September, 2015",14  0 (0%),14.9,13.1,14.0,14.0,14.0,13.9,14.0,13.97,92.7,26.02,363.0
"October, 2015","15,3  0,1 (0,66%)",16.2,14.2,15.2,15.2,15.4,15.2,15.3,15.29,99.4,116.6,1.783.000
"November, 2015","14  -0,1 (-0,71%)",15.0,13.2,14.1,14.1,14.2,14.0,14.0,14.05,90.9,30.48,428.000
"December, 2015","14,1  -0,1 (-0,7%)",15.8,13.8,14.2,14.4,14.4,14.1,14.1,14.19,88.5,22.31,317.000
"January, 2016","14,6  0,3 (2,1%)",15.3,13.3,14.3,14.4,14.6,14.3,14.6,14.37,94.9,43.92,631.000
"February, 2016","15,5  0 (0%)",16.5,14.5,15.5,15.5,15.5,15.2,15.5,15.37,10.08,54.2,833.000
"March, 2016","16,7  0,7 (4,37%)",17.1,14.9,16.0,16.0,17.1,16.0,16.7,16.91,10.44,697.0,11.787.000
"April, 2016","16,5  -0,1 (-0,6%)",17.7,15.5,16.6,16.5,16.6,16.1,16.5,16.32,10.61,202.67,3.307.000
"May, 2016","15,4  0 (0%)",16.3,14.3,15.4,15.3,15.5,15.3,15.4,15.39,98.4,58.23,896.000
"June, 2016","17,6  0 (0%)",18.8,16.4,17.6,17.6,18.1,17.5,17.6,17.75,10.98,217.67,3.864.000
"July, 2016","17,3  0,3 (1,76%)",18.1,15.9,17.0,17.0,17.7,17.0,17.3,17.27,11.49,158.13,2.731.000
"August, 2016","18,3  0 (0%)",19.5,17.1,18.3,18.2,18.5,18.1,18.3,18.25,12.15,63.02,1.150.000
"September, 2016","19  -0,3 (-1,55%)",20.65,17.95,19.3,19.3,19.4,19.0,19.0,19.09,12.62,78.79,1.504.000
"October, 2016","18,6  0,1 (0,54%)",19.75,17.25,18.5,18.1,18.65,18.1,18.6,18.32,12.35,97.8,1.792.000
"November, 2016","17,8  -0,2 (-1,11%)",19.25,16.75,18.0,17.8,17.95,17.6,17.8,17.8,11.76,27.74,494.0
