Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"March, 2018","25,3  0,2 (0,8%)",26.85,23.35,25.1,25.1,25.65,25.1,25.3,25.34,20.64,193.12,4.893.000
"April, 2018","24,3  -1 (-3,95%)",27.05,23.55,25.3,24.5,24.75,24.0,24.3,24.4,19.82,177.06,4.320.000
"May, 2018","23,8  -0,5 (-2,06%)",26.0,22.6,24.3,24.0,24.2,23.5,23.8,23.91,19.41,230.92,5.521.000
"June, 2018","24,5  0,7 (2,94%)",25.45,22.15,23.8,23.5,24.5,23.5,24.5,24.22,19.98,238.73,5.783.000
"July, 2018","24,2  -0,3 (-1,22%)",26.2,22.8,24.5,23.8,24.6,23.5,24.2,24.08,19.74,137.61,3.314.000
"August, 2018",,,,,,,,,,,,
"September, 2018",,,,,,,,,,,,
"October, 2018","23,7  -0,5 (-2,07%)",25.85,22.55,24.2,23.75,24.25,23.4,23.7,23.82,19.33,96.29,2.294.000
"November, 2018","25,1  -5,1 (-16,89%)",26.7,23.25,30.2,26.5,26.5,25.1,25.1,25.45,20.47,116.87,2.974.000
"December, 2018","23  -0,35 (-1,5%)",24.95,21.75,23.35,23.5,24.0,23.0,23.0,23.16,18.76,22.11,512.000
"January, 2019","22,6  0 (0%)",24.15,21.05,22.6,22.6,23.0,22.15,22.6,22.44,18.43,18.09,406.000
"February, 2019","21  -0,5 (-2,33%)",23.0,20.0,21.5,21.5,21.5,21.0,21.0,21.16,17.130000000000003,11.25,238.000
"March, 2019","21,55  0,15 (0,7%)",22.85,19.95,21.4,21.4,21.6,21.4,21.55,21.49,17.580000000000002,25.45,547.000
"April, 2019","23,6  0 (0%)",25.25,21.95,23.6,23.5,23.7,23.5,23.6,23.6,19.25,30.340,716.000
"May, 2019","22,7  -0,25 (-1,09%)",24.55,21.35,22.95,22.95,23.0,22.7,22.7,22.85,18.51,79.11,1.808.000
"June, 2019","20,85  0,05 (0,24%)",22.25,19.35,20.8,20.8,20.9,20.7,20.85,20.81,18.18,122.1,2.546.000
"July, 2019","20  0,05 (0,25%)",21.3,18.6,19.95,19.5,20.1,19.5,20.0,19.92,17.43,78.27,1.559.000
"August, 2019","19,6  0 (0%)",20.95,18.25,19.6,19.55,19.7,19.45,19.6,19.56,17.09,94.17,1.842.000
