Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","18,6  0 (0%)",19.9,17.3,18.6,0.0,0.0,0.0,18.6,0.0,90.5,210.0,4.0
"February, 2014","19,2  0,7 (3,78%)",19.7,17.3,18.5,18.2,19.4,18.2,19.2,18.5,93.4,14.43,266.958
"March, 2014","18,8  0,3 (1,62%)",19.7,17.3,18.5,18.1,18.8,17.6,18.8,18.32,91.4,1.6,29.312
"April, 2014",19  0 (0%),20.3,17.7,19.0,19.0,19.0,18.5,19.0,18.91,92.4,1.4,26.475
"May, 2014","18,5  0 (0%)",19.7,17.3,18.5,0.0,0.0,0.0,18.5,0.0,9.0,730.0,13.0
"June, 2014","18,6  0,3 (1,64%)",19.5,17.1,18.3,18.3,19.0,18.3,18.6,18.61,90.5,1.18,22.0
"July, 2014","18,2  0 (0%)",19.4,17.0,18.2,18.0,18.4,18.0,18.2,18.04,88.5,6.54,118.0
"August, 2014","18,1  0,1 (0,56%)",19.2,16.8,18.0,18.0,18.3,18.0,18.1,18.04,88.0,8.18,148.0
"September, 2014","18,8  -0,1 (-0,53%)",20.2,17.6,18.9,18.6,18.8,18.6,18.8,18.61,91.4,330.0,6.0
"October, 2014","17,9  1,1 (6,55%)",17.9,15.7,16.8,17.9,17.9,17.9,17.9,17.9,87.1,360.0,6.0
"November, 2014","18,6  0 (0%)",19.9,17.3,18.6,0.0,0.0,0.0,18.6,0.0,90.5,1.2,22.0
"December, 2014","17,1  1,1 (6,88%)",17.1,14.9,16.0,17.1,17.1,17.1,17.1,17.1,83.2,40.01,652.0
"January, 2015","17  -1,1 (-6,08%)",19.3,16.9,18.1,17.0,17.0,17.0,17.0,17.0,82.7,200.0,3.0
"February, 2015","18  0,5 (2,86%)",18.7,16.3,17.5,18.0,18.0,18.0,18.0,18.0,87.5,1.37,25.0
"March, 2015","17,2  0 (0%)",18.4,16.0,17.2,17.2,17.2,17.2,17.2,17.2,83.7,3.1,53.0
"April, 2015","17,9  0 (0%)",19.1,16.7,17.9,0.0,0.0,0.0,17.9,0.0,87.1,1.0,18.0
"May, 2015","18,2  -0,1 (-0,55%)",19.5,17.1,18.3,17.1,18.2,17.1,18.2,17.2,88.5,110.0,2.000
"June, 2015","18,5  0 (0%)",19.7,17.3,18.5,0.0,0.0,0.0,18.5,0.0,9.0,10.0,64.0
"July, 2015","18,9  0 (0%)",20.2,17.6,18.9,0.0,0.0,0.0,18.9,0.0,91.9,680.0,13.0
"August, 2015","17,3  0 (0%)",18.5,16.1,17.3,0.0,0.0,0.0,17.3,0.0,79.4,10.0,2.0
"September, 2015","15,2  0,7 (4,83%)",15.5,13.5,14.5,13.9,15.2,13.9,15.2,15.15,99.9,1.4,21.0
"October, 2015","14,5  0,3 (2,11%)",15.1,13.3,14.2,14.1,14.6,14.0,14.5,14.2,98.0,2.78,39.0
"November, 2015",14  0 (0%),14.9,13.1,14.0,0.0,0.0,0.0,14.0,0.0,94.6,2.02,28.0
"December, 2015","14,6  0,1 (0,69%)",15.4,13.4,14.5,14.4,14.6,14.4,14.6,14.43,91.4,600.0,9.0
"January, 2016",16  0 (0%),17.1,14.9,16.0,0.0,0.0,0.0,16.0,0.0,90.4,10.0,5.0
"February, 2016","15,1  -1 (-6,21%)",17.2,15.0,16.1,15.1,15.5,15.1,15.1,15.22,85.3,3.45,52.0
"March, 2016","15,8  0,2 (1,28%)",16.6,14.6,15.6,15.5,15.8,15.5,15.8,15.72,86.5,1.301.230,18.999.000
"April, 2016","16,1  0,6 (3,87%)",16.5,14.5,15.5,16.2,16.2,16.1,16.1,16.1,98.4,1.09,18.0
"May, 2016","15,9  0 (0%)",17.0,14.8,15.9,15.9,15.9,15.9,15.9,15.9,98.4,4.24,67.0
"June, 2016","17  0,2 (1,19%)",17.9,15.7,16.8,16.9,17.0,16.9,17.0,16.93,11.06,130.0,2.0
"July, 2016","20  0,9 (4,71%)",20.4,17.8,19.1,20.2,20.2,20.0,20.0,20.02,13.16,130.0,3.0
