Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2014","9,8  0,1 (1,03%)",10.3,91.0,97.0,92.0,98.0,92.0,98.0,92.1,40.6,910.0,8.0
"February, 2014","10,8  0,5 (4,85%)",11.0,96.0,10.3,11.0,11.0,10.2,10.8,10.8,40.8,27.21,293.877
"March, 2014","10,7  0 (0%)",11.4,10.0,10.7,11.0,11.0,10.6,10.7,10.9,40.4,22.72,247.636
"April, 2014","9,7  0,2 (2,11%)",10.1,89.0,95.0,97.0,98.0,95.0,97.0,95.3,36.6,1.72,16.385
"May, 2014","9,2  0,1 (1,1%)",97.0,85.0,91.0,91.0,92.0,91.0,92.0,91.1,34.7,230.0,2.0
"June, 2014","9,7  0 (0%)",10.3,91.0,97.0,96.0,98.0,96.0,97.0,97.4,36.6,5.3,52.0
"July, 2014","9,7  0,1 (1,04%)",10.2,9.0,96.0,95.0,97.0,95.0,97.0,95.9,40.2,5.51,53.0
"August, 2014","9,9  0 (0%)",10.5,93.0,99.0,10.3,10.3,99.0,99.0,99.0,41.0,1.37,14.0
"September, 2014","10  -0,6 (-5,66%)",11.3,99.0,10.6,10.0,10.6,10.0,10.0,10.0,41.4,1.32,13.0
"October, 2014","10  -0,1 (-0,99%)",10.8,94.0,10.1,10.0,10.0,10.0,10.0,10.0,41.4,10.0,1.0
"November, 2014","9,7  0 (0%)",10.3,91.0,97.0,0.0,0.0,0.0,97.0,0.0,40.2,2.6,25.0
"December, 2014","9,4  -0,3 (-3,09%)",10.3,91.0,97.0,91.0,95.0,91.0,94.0,92.6,38.9,3.55,33.0
"January, 2015","8,4  0 (0%)",89.0,79.0,84.0,0.0,0.0,0.0,84.0,0.0,34.8,40.0,13.0
"February, 2015","8,5  -0,4 (-4,49%)",95.0,83.0,89.0,85.0,85.0,85.0,85.0,85.0,35.2,100.0,1.0
"March, 2015","8,3  -0,2 (-2,35%)",9.0,8.0,85.0,81.0,83.0,81.0,83.0,83.0,34.4,510.0,4.0
"April, 2015","8,3  0 (0%)",88.0,78.0,83.0,83.0,83.0,83.0,83.0,83.0,34.4,3.26,27.0
"May, 2015","8,2  -0,2 (-2,38%)",89.0,79.0,84.0,82.0,82.0,82.0,82.0,82.0,34.0,3.37,28.0
