Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2019","20,8  0 (0%)",22.25,19.35,20.8,0.0,0.0,0.0,20.8,0.0,21.26,4.94,102.0
"February, 2019","17,3  -1,3 (-6,99%)",19.9,17.3,18.6,17.3,17.3,17.3,17.3,17.27,16.19,1.39,24.000
"March, 2019","18,8  0,8 (4,44%)",19.25,16.75,18.0,18.8,18.8,18.8,18.8,18.8,17.59,10.0,188.0
"April, 2019","17,6  0,1 (0,57%)",18.7,16.3,17.5,17.6,17.6,17.6,17.6,17.46,16.47,3.55,62.0
"May, 2019","16  0,75 (4,92%)",16.3,14.2,15.25,16.0,16.0,16.0,16.0,16.0,16.35,10.0,160.0
"June, 2019","17,8  0,65 (3,79%)",18.35,15.95,17.15,17.15,18.2,17.15,17.8,17.95,18.19,9.75,175.0
"July, 2019","17,9  -0,6 (-3,24%)",19.75,17.25,18.5,18.5,18.6,17.8,17.9,18.05,18.29,59.51,1.074.000
"August, 2019","24,8  -0,5 (-1,98%)",27.05,23.55,25.3,25.3,25.3,24.4,24.8,24.7,25.34,70.6,1.744.000
"September, 2019","20,5  -0,2 (-0,97%)",22.1,19.3,20.7,20.5,20.7,20.5,20.5,20.59,20.95,15.98,329.0
"October, 2019","20,8  0,6 (2,97%)",21.6,18.8,20.2,19.8,20.8,19.8,20.8,25.0,21.26,40.0,1.000
"November, 2019","19,15  0,15 (0,79%)",20.3,17.7,19.0,18.8,19.2,18.8,19.15,19.05,19.57,11.6,221.0
"December, 2019","20,5  0 (0%)",21.9,19.1,20.5,0.0,0.0,0.0,20.5,0.0,20.95,4.8,98.0
"January, 2020","18,7  -1,15 (-5,79%)",21.2,18.5,19.85,18.8,18.8,18.65,18.7,18.86,18.7,3.5,66.0
"February, 2020","18  -0,8 (-4,26%)",20.1,17.5,18.8,18.0,18.95,18.0,18.0,17.97,18.0,2.95,53.0
"March, 2020","16,6  0,2 (1,22%)",17.5,15.3,16.4,17.0,17.0,16.6,16.6,16.8,16.6,20.0,336.0
"April, 2020","16,2  0,25 (1,57%)",17.05,14.85,15.95,15.6,16.2,15.6,16.2,15.7,16.2,6.18,97.0
"May, 2020",17  0 (0%),18.15,15.85,17.0,17.1,17.1,17.0,17.0,16.919999999999998,17.0,2.6,44.0
"June, 2020","18,3  0,3 (1,67%)",19.25,16.75,18.0,18.9,18.9,18.1,18.3,17.91,0.0,1.34,24.0
"July, 2020","18,35  0,15 (0,82%)",19.45,16.95,18.2,18.2,18.5,18.2,18.35,18.29,0.0,22.14,405.0
"August, 2020","21,6  0,6 (2,86%)",22.45,19.55,21.0,21.0,22.2,21.0,21.6,21.68,0.0,28.55,619.0
"September, 2020","22,2  -0,3 (-1,33%)",24.05,20.95,22.5,22.25,22.25,22.2,22.2,22.22,0.0,1.53,34.0
"October, 2020","24,1  0,3 (1,26%)",25.45,22.15,23.8,23.8,24.5,23.8,24.1,24.03,0.0,24.76,595.000
"November, 2020","18,35  0,25 (1,38%)",19.35,16.85,18.1,18.1,18.35,18.0,18.35,18.25,0.0,23.56,430.000
"December, 2020","21,5  0,65 (3,12%)",22.3,19.4,20.85,20.5,21.5,20.5,21.5,21.27,0.0,22.24,473.000
"January, 2021","26,45  0,95 (3,73%)",27.25,23.75,25.5,25.0,26.8,23.75,26.45,25.11,0.0,13.1,329.000
"February, 2021","27  -0,2 (-0,74%)",29.1,25.3,27.2,25.5,27.0,25.5,27.0,25.93,0.0,2.7,70.000
"March, 2021","26,8  -0,4 (-1,47%)",29.1,25.3,27.2,25.5,26.8,25.5,26.8,26.2,0.0,7.9,207.0
"April, 2021","25,8  0,7 (2,79%)",26.85,23.35,25.1,24.2,26.8,24.2,25.8,24.87,0.0,15.0,373.0
"May, 2021","24  -0,45 (-1,84%)",26.15,22.75,24.45,23.2,24.45,23.2,24.0,23.6,0.0,21.1,498.0
"June, 2021","24,2  0 (0%)",25.85,22.55,24.2,24.2,24.3,22.8,24.2,24.02,0.0,12.7,305.000
"July, 2021","24,6  -0,1 (-0,4%)",26.4,23.0,24.7,24.05,24.7,24.0,24.6,24.08,0.0,4.9,118.0
"August, 2021","25,55  1,55 (6,46%)",25.65,22.35,24.0,24.0,25.6,24.0,25.55,24.09,0.0,13.2,318.0
"September, 2021","27,9  0,5 (1,82%)",29.3,25.5,27.4,29.1,29.1,27.4,27.9,28.12,0.0,92.6,2.604.000
"October, 2021","29,3  -0,4 (-1,35%)",31.75,27.65,29.7,29.9,29.9,29.0,29.3,29.39,0.0,72.4,2.128.000
"November, 2021","34,9  0,95 (2,8%)",36.3,31.6,33.95,33.7,36.3,32.3,34.9,34.03,0.0,159.8,5.438.000
"December, 2021","34,3  -0,1 (-0,29%)",36.8,32.0,34.4,34.3,34.5,32.15,34.3,33.239999999999995,0.0,57.7,1.918.000
