Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"March, 2018","20  1,3 (6,95%)",20.0,17.4,18.7,20.0,20.0,20.0,20.0,20.0,17.21,557.0,9.704.800
"April, 2018","21,4  1,4 (7%)",21.4,18.6,20.0,21.4,21.4,21.4,21.4,21.36,18.42,5.01,107.000
"May, 2018","22,85  1,45 (6,78%)",22.85,19.95,21.4,22.85,22.85,22.85,22.85,22.8,19.67,6.01,137.000
"June, 2018","24,4  1,55 (6,78%)",24.4,21.3,22.85,24.4,24.4,24.35,24.4,24.4,21.0,873.94,21.323.000
"July, 2018","25,55  1,15 (4,71%)",26.1,22.7,24.4,25.9,26.1,25.55,25.55,25.98,21.99,538.49,13.988.000
"August, 2018",,,,,,,,,,,,
"September, 2018",,,,,,,,,,,,
"October, 2018","25  -0,55 (-2,15%)",27.3,23.8,25.55,25.55,25.85,25.0,25.0,25.54,21.52,887.48,22.942.000
"November, 2018","18,7  0 (0%)",0.0,0.0,0.0,18.7,18.7,18.7,18.7,18.7,16.09,40.0,748.000
"December, 2018","21,65  1,25 (6,13%)",21.8,19.0,20.4,20.4,21.7,20.25,21.65,20.91,18.630000000000003,1.168.250,24.485.000
"January, 2019","20,2  0,2 (1%)",21.4,18.6,20.0,20.0,20.2,20.0,20.2,20.06,17.39,88.83,1.782.000
"February, 2019","21,15  0,15 (0,71%)",22.45,19.55,21.0,21.0,21.2,21.0,21.15,21.09,18.2,180.79,3.813.000
"March, 2019","24,2  0,05 (0,21%)",25.8,22.5,24.15,24.15,24.25,24.1,24.2,24.19,21.73,147.18,3.561.000
"April, 2019","25,2  -0,8 (-3,08%)",27.8,24.2,26.0,26.0,26.25,25.0,25.2,25.75,22.630000000000003,291.37,7.504.000
"May, 2019","26,85  -0,4 (-1,47%)",29.15,25.35,27.25,27.2,27.3,26.35,26.85,26.92,24.11,169.19,4.554.000
"June, 2019","26,35  0,1 (0,38%)",28.05,24.45,26.25,26.25,26.35,26.2,26.35,26.3,23.66,135.41,3.561.000
"July, 2019","25,85  0,45 (1,77%)",27.15,23.65,25.4,25.4,25.95,25.35,25.85,25.62,23.21,439.81,11.268.000
"August, 2019","20,1  -1,5 (-6,94%)",23.1,20.1,21.6,21.35,21.45,20.1,20.1,20.14,18.05,874.810,17.619.000
"September, 2019","17,75  0 (0%)",18.95,16.55,17.75,17.75,17.8,17.55,17.75,17.69,15.94,114.82,2.031.000
"October, 2019","18,45  -0,15 (-0,81%)",19.9,17.3,18.6,18.6,18.7,18.35,18.45,18.53,16.57,95.66,1.773.000
"November, 2019","18,05  -0,15 (-0,82%)",19.45,16.95,18.2,18.2,18.35,18.05,18.05,18.18,16.21,407.9,7.356.000
"December, 2019","14,85  -1,1 (-6,9%)",17.05,14.85,15.95,14.85,15.0,14.85,14.85,14.85,13.34,412.080,6.121.000
"January, 2020","12,45  -0,9 (-6,74%)",14.25,12.45,13.35,13.0,13.1,12.45,12.45,12.55,12.36,225.65,2.828.500
