Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2017","38,5  -0,01 (-0,03%)",43.8,32.4,38.1,38.1,38.7,38.0,38.5,38.09,37.86,144.254,5.493.466
"February, 2017","35  -0,54 (-1,48%)",42.3,31.3,36.8,40.0,40.0,31.3,35.0,36.260000000000005,34.42,4.393.904,159.287.614
"March, 2017","28,2  -0,44 (-1,54%)",32.5,24.1,28.3,28.3,30.5,24.1,28.2,27.860000000000003,27.73,790.460,22.110.533
"April, 2017","25,8  -0,21 (-0,81%)",29.9,22.1,26.0,26.0,26.1,22.1,25.8,25.79,25.37,289.202,7.450.228
"May, 2017","26,3  -0,16 (-0,59%)",30.4,22.6,26.5,26.5,26.5,26.3,26.3,26.34,25.860000000000003,263.491,6.941.157
"June, 2017","26,6  -0,08 (-0,3%)",30.5,22.7,26.6,26.6,26.6,22.7,26.6,26.52,26.160000000000004,356.173,9.441.756
"July, 2017","26,1  -0,06 (-0,22%)",30.2,22.4,26.3,26.4,26.4,26.1,26.1,26.24,25.67,90.73,2.380.797
"August, 2017","24,8  0,48 (1,96%)",28.0,20.8,24.4,24.8,25.3,24.5,24.8,24.880000000000003,24.39,142.98,3.557.172
"September, 2017","25,3  -0,06 (-0,22%)",29.2,21.6,25.4,25.5,25.6,25.1,25.3,25.34,24.880000000000003,138.144,3.500.986
"October, 2017","26,7  -0,73 (-2,66%)",31.5,23.3,27.4,27.0,27.1,26.2,26.7,26.67,26.26,309.685,8.260.097
"November, 2017","36,2  1,35 (3,91%)",39.5,29.3,34.4,34.6,36.9,29.3,36.2,35.75,35.6,1.505.996,53.824.115
"December, 2017","43,2  -0,2 (-0,47%)",49.7,36.9,43.3,43.4,43.6,42.4,43.2,43.1,42.48,1.403.126,60.471.712
"January, 2018","53,8  -3,44 (-5,78%)",68.4,50.6,59.5,59.0,59.5,53.5,53.8,56.06,52.91,3.097.150,173.636.726
"February, 2018","57,8  1,93 (3,47%)",64.0,47.4,55.7,58.0,58.8,56.5,57.8,57.64,56.84,1.581.591,91.156.338
"March, 2018","49,7  1,2 (2,48%)",55.4,41.0,48.2,48.4,50.0,48.3,49.7,49.4,48.88,860.361,42.499.479
"April, 2018","37,6  1,4 (3,99%)",40.3,29.9,35.1,35.1,37.9,30.0,37.6,36.5,36.98,907.900,32.163.045
"May, 2018","30,5  0,72 (2,44%)",33.8,25.0,29.4,30.1,30.7,29.4,30.5,30.12,29.99,420.426,12.662.406
"June, 2018","33,3  -0,28 (-0,84%)",38.5,28.5,33.5,33.5,33.8,28.5,33.3,33.22,32.75,271.836,9.024.074
"July, 2018","36,2  -0,29 (-0,8%)",41.9,31.1,36.5,36.5,36.7,35.5,36.2,36.21,35.6,774.431,28.040.167
"August, 2018","39,8  0,68 (1,73%)",45.3,33.5,39.4,39.6,40.4,39.6,39.8,40.08,39.14,1.285.058,51.504.755
"September, 2018","41,3  0,78 (1,93%)",46.6,34.6,40.6,41.0,41.7,40.6,41.3,41.38,40.62,1.004.967,41.588.799
"October, 2018","33,5  1,05 (3,28%)",36.8,27.2,32.0,32.4,33.5,32.4,33.5,33.05,32.95,404.715,13.375.634
"November, 2018","33,8  -0,09 (-0,28%)",38.8,28.8,33.8,33.6,34.6,33.2,33.8,33.7,33.239999999999995,277.172,9.342.071
"December, 2018","33  -0,06 (-0,17%)",38.1,28.3,33.2,33.2,33.4,32.9,33.0,33.14,32.45,180.698,5.988.899
"January, 2019","39,1  0,49 (1,27%)",44.1,32.7,38.4,38.8,39.4,38.5,39.1,38.89,38.45,854.692,33.238.171
"February, 2019","39,2  -0,06 (-0,14%)",45.8,34.0,39.9,40.0,40.5,39.2,39.2,39.84,38.55,1.055.368,42.048.435
"March, 2019","41  0,34 (0,84%)",47.0,34.8,40.9,41.0,41.6,40.9,41.0,41.24,40.32,468.418,19.319.866
"April, 2019","40,3  0,07 (0,16%)",46.4,34.4,40.4,40.6,40.9,40.2,40.3,40.47,39.63,654.120,26.469.869
"May, 2019","43,45  -1,4 (-3,12%)",46.9,40.8,44.85,44.0,44.35,43.45,43.45,43.82,43.7,1.401.520,61.412.000
"June, 2019","42  0,8 (1,94%)",44.05,38.35,41.2,41.2,42.0,41.2,42.0,41.47,42.25,682.860,28.361.000
"July, 2019","41,65  -0,25 (-0,6%)",44.8,39.0,41.9,41.65,41.9,41.4,41.65,41.56,41.89,552.290,22.953.000
"August, 2019","36,25  0,25 (0,69%)",38.5,33.5,36.0,36.25,36.55,36.0,36.25,36.33,36.46,376.220,13.554.000
"September, 2019","33,6  0,8 (2,44%)",35.05,30.55,32.8,32.85,33.7,32.85,33.6,33.39,33.8,556.99,18.550.200
"October, 2019","35  -0,15 (-0,43%)",37.6,32.7,35.15,35.0,35.2,34.9,35.0,35.07,35.21,802.190,28.835.000
"November, 2019","34,95  0,5 (1,45%)",36.85,32.05,34.45,34.3,35.0,34.3,34.95,34.86,35.15,522.37,18.190.200
"December, 2019","33,75  -0,15 (-0,44%)",36.25,31.55,33.9,33.9,33.9,33.2,33.75,33.45,33.95,685.54,23.010.750
"January, 2020","28,45  -2,1 (-6,87%)",32.65,28.45,30.55,29.1,29.3,28.45,28.45,28.68,28.45,1.555.740,44.770.000
"February, 2020","23  -0,5 (-2,13%)",25.1,21.9,23.5,23.4,23.4,22.9,23.0,23.04,23.0,783.100,18.042.000
"March, 2020","17,8  -0,3 (-1,66%)",19.35,16.85,18.1,18.8,18.8,17.8,17.8,18.14,17.8,1.126.200,20.430.000
"April, 2020","26,9  0,8 (3,07%)",27.9,24.3,26.1,26.2,27.1,26.2,26.9,26.9,26.9,887.800,23.881.000
"May, 2020","27,5  -0,3 (-1,08%)",29.7,25.9,27.8,27.7,27.7,27.3,27.5,27.43,27.5,849.850,23.312.000
"June, 2020","25,1  0,2 (0,8%)",26.6,23.2,24.9,25.1,26.0,24.95,25.1,25.45,0.0,576.000,14.659.000
"July, 2020","21,7  -0,3 (-1,36%)",23.5,20.5,22.0,21.7,21.8,21.25,21.7,21.57,0.0,1.056.410,22.968.750
"August, 2020","25,7  1,05 (4,26%)",26.35,22.95,24.65,25.1,25.9,25.0,25.7,25.630000000000003,0.0,1.847.150,47.258.700
"September, 2020","26,7  -0,05 (-0,19%)",28.6,24.9,26.75,26.7,26.8,26.55,26.7,26.660000000000004,0.0,753.720,20.109.000
"October, 2020","24,85  0,25 (1,02%)",26.3,22.9,24.6,24.65,24.9,24.65,24.85,24.82,0.0,436.420,10.943.400
"November, 2020","26,7  -0,05 (-0,19%)",28.6,24.9,26.75,26.75,27.2,26.7,26.7,26.92,0.0,806.660,21.719.000
"December, 2020","28,3  -0,05 (-0,18%)",30.3,26.4,28.35,28.35,28.55,28.25,28.3,28.35,0.0,742.640,21.051.000
"January, 2021","25,85  0,5 (1,97%)",27.1,23.6,25.35,23.7,27.1,23.7,25.85,25.21,0.0,1.063.900,26.818.000
"February, 2021","29,95  0,95 (3,28%)",31.0,27.0,29.0,28.7,30.25,28.4,29.95,29.51,0.0,2.176.900,64.248.000
"March, 2021","32,65  0,05 (0,15%)",34.85,30.35,32.6,32.45,33.1,32.3,32.65,32.730000000000004,0.0,1.768.300,57.583.700
"April, 2021","29  0,2 (0,69%)",30.8,26.8,28.8,28.8,29.2,28.8,29.0,29.09,0.0,700.300,20.295.300
"May, 2021","25,85  -0,35 (-1,34%)",28.0,24.4,26.2,26.0,26.15,25.8,25.85,25.87,0.0,707.200,18.293.000
"June, 2021","27,6  -0,05 (-0,18%)",29.55,25.75,27.65,27.65,27.65,27.4,27.6,27.57,0.0,685.500,18.836.000
"July, 2021","21,5  1,4 (6,97%)",21.5,18.7,20.1,21.5,21.5,21.5,21.5,21.5,0.0,582.300,12.519.000
"August, 2021","21,1  -0,4 (-1,86%)",23.0,20.0,21.5,21.45,21.45,21.0,21.1,21.12,0.0,641.800,13.593.750
"September, 2021","25  0,5 (2,04%)",26.2,22.8,24.5,24.5,25.2,24.5,25.0,24.76,0.0,871.200,21.888.500
"October, 2021","24,8  -0,2 (-0,8%)",26.75,23.25,25.0,24.9,24.9,24.05,24.8,24.37,0.0,2.089.300,50.907.000
"November, 2021","23  -0,15 (-0,65%)",24.75,21.55,23.15,23.1,23.5,23.0,23.0,23.14,0.0,3.813.100,89.407.000
"December, 2021","23,15  -0,05 (-0,22%)",24.8,21.6,23.2,23.2,23.25,23.0,23.15,23.1,0.0,2.403.300,55.698.000
