Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2010","6,8  0 (0%)",71.0,65.0,68.0,68.0,7.0,68.0,68.0,68.4,45.5,21.02,143.726
"February, 2010","6,8  0 (0%)",71.0,65.0,68.0,68.0,7.0,67.0,68.0,68.0,45.5,21.14,143.777
"March, 2010","7,1  0,3 (4,41%)",71.0,65.0,68.0,69.0,71.0,69.0,71.0,7.0,47.5,45.13,316.01
"April, 2010","6,4  0,2 (3,23%)",65.0,59.0,62.0,62.0,64.0,62.0,64.0,62.0,42.9,4.1,25.44
"May, 2010","6,6  0,2 (3,12%)",67.0,61.0,64.0,64.0,67.0,64.0,66.0,66.7,44.2,14.81,98.723
"June, 2010","7,1  0 (0%)",74.0,68.0,71.0,71.0,72.0,68.0,71.0,70.5,47.5,30.76,216.755
"July, 2010","7,1  0 (0%)",74.0,68.0,71.0,73.0,73.0,7.0,71.0,71.0,47.5,10.73,76.203
"August, 2010","6,8  -0,3 (-4,23%)",74.0,68.0,71.0,68.0,69.0,68.0,68.0,68.3,45.5,16.98,115.965
"September, 2010","9,5  -0,4 (-4,04%)",10.3,95.0,99.0,95.0,95.0,95.0,95.0,95.0,63.6,27.37,260.015
"October, 2010","6,8  -0,3 (-4,23%)",74.0,68.0,71.0,7.0,7.0,68.0,68.0,68.4,45.5,26.01,177.795
"November, 2010","6,8  0,2 (3,03%)",69.0,63.0,66.0,69.0,69.0,67.0,68.0,68.7,45.5,34.3,235.723
"December, 2010","6,9  0,3 (4,55%)",69.0,63.0,66.0,67.0,69.0,65.0,69.0,68.0,46.2,1.72,11.691
"January, 2011","6,3  -0,1 (-1,56%)",67.0,61.0,64.0,63.0,65.0,62.0,63.0,62.3,42.2,1.87,11.657
"February, 2011","5,9  -0,1 (-1,67%)",63.0,57.0,6.0,58.0,59.0,57.0,59.0,57.0,39.5,6.48,36.968
"March, 2011","5,9  0 (0%)",61.0,57.0,59.0,59.0,59.0,58.0,59.0,58.8,39.5,1.01,5.939
"April, 2011","5,6  0 (0%)",58.0,54.0,56.0,0.0,0.0,0.0,56.0,0.0,37.5,4.19,23.055
"May, 2011","4,6  -0,2 (-4,17%)",5.0,46.0,48.0,46.0,46.0,46.0,46.0,46.0,32.5,20.09,92.414
"June, 2011","4,6  -0,1 (-2,13%)",49.0,45.0,47.0,46.0,48.0,46.0,46.0,47.0,32.5,2.08,9.769
"July, 2011","4,3  -0,2 (-4,44%)",47.0,43.0,45.0,46.0,46.0,43.0,43.0,43.1,30.4,450.0,1.938
"August, 2011","4,5  0,1 (2,27%)",46.0,42.0,44.0,44.0,45.0,44.0,45.0,44.9,31.8,900.0,4.038
"September, 2011","4  -0,1 (-2,44%)",43.0,39.0,41.0,41.0,41.0,39.0,4.0,39.0,28.3,5.07,19.785
"October, 2011","3,7  0,1 (2,78%)",37.0,35.0,36.0,36.0,37.0,36.0,37.0,36.8,26.2,50.0,184.0
"November, 2011","3,1  -0,1 (-3,13%)",33.0,31.0,32.0,31.0,31.0,31.0,31.0,31.0,21.9,230.0,713.0
"December, 2011","2,6  0,1 (4%)",26.0,24.0,25.0,26.0,26.0,26.0,26.0,26.0,18.4,1.35,3.51
"January, 2012","3,1  0,1 (3,33%)",31.0,29.0,3.0,31.0,31.0,3.0,31.0,30.2,21.9,21.29,64.34
"February, 2012","3,5  0,1 (2,94%)",35.0,33.0,34.0,33.0,35.0,33.0,35.0,33.2,24.8,1.11,3.685
"March, 2012","4,2  -0,1 (-2,33%)",45.0,41.0,43.0,43.0,43.0,42.0,42.0,43.0,29.7,2.61,11.218
"April, 2012","4,9  0,2 (4,26%)",49.0,45.0,47.0,48.0,49.0,48.0,49.0,48.8,34.7,24.88,121.402
"May, 2012","5,5  -0,2 (-3,51%)",59.0,55.0,57.0,55.0,55.0,55.0,55.0,55.0,41.6,4.02,22.11
"June, 2012","4,9  0,2 (4,26%)",49.0,45.0,47.0,47.0,49.0,45.0,49.0,45.5,37.1,1.01,4.593
"July, 2012","4,8  0,1 (2,13%)",49.0,45.0,47.0,47.0,49.0,47.0,48.0,47.0,36.3,970.0,4.562
"August, 2012","4,9  0 (0%)",51.0,47.0,49.0,47.0,49.0,47.0,49.0,48.0,37.1,20.0,96.0
"September, 2012","4,5  0,2 (4,65%)",45.0,41.0,43.0,41.0,45.0,41.0,45.0,41.0,34.1,1.02,4.186
"October, 2012","4  0,1 (2,56%)",4.0,38.0,39.0,39.0,4.0,39.0,4.0,39.0,30.3,510.0,1.99
"November, 2012","3,8  -0,1 (-2,56%)",4.0,38.0,39.0,38.0,38.0,38.0,38.0,38.0,28.8,10.0,38.0
