Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2020","13,85  -1 (-6,73%)",15.85,13.85,14.85,14.2,14.5,13.85,13.85,14.03,13.85,12.9,181.0
"February, 2020","14  -0,5 (-3,45%)",15.5,13.5,14.5,14.0,14.0,14.0,14.0,13.91,14.0,3.02,42.0
"March, 2020","12  -0,2 (-1,64%)",13.05,11.35,12.2,12.4,12.5,12.0,12.0,12.22,12.0,8.1,99.0
"April, 2020","14,95  0,95 (6,79%)",14.95,13.05,14.0,14.95,14.95,14.95,14.95,14.94,14.95,33.06,494.000
"May, 2020","15,5  0 (0%)",16.55,14.45,15.5,15.2,15.7,15.2,15.5,15.34,15.5,17.08,262.000
"June, 2020",19  -1 (-5%),21.4,18.6,20.0,19.6,20.1,19.0,19.0,19.76,0.0,98.19,1.940.000
"July, 2020","17,9  -0,8 (-4,28%)",20.0,17.4,18.7,17.8,18.2,17.8,17.9,17.91,0.0,11.5,206.000
"August, 2020","21,5  -0,25 (-1,15%)",23.25,20.25,21.75,21.75,22.2,21.4,21.5,21.62,0.0,90.81,1.963.000
"September, 2020","21,2  0 (0%)",22.65,19.75,21.2,21.05,21.3,21.0,21.2,21.02,0.0,40.39,849.000
"October, 2020","19,1  0,45 (2,41%)",19.95,17.35,18.65,19.7,19.7,19.0,19.1,19.0,0.0,14.63,278.000
"November, 2020","21,2  -0,1 (-0,47%)",22.75,19.85,21.3,20.85,22.0,20.85,21.2,21.56,0.0,116.95,2.522.000
"December, 2020","26,9  0,2 (0,75%)",28.55,24.85,26.7,26.5,27.2,26.2,26.9,26.74,0.0,34.63,926.000
"January, 2021","24,3  1,05 (4,52%)",24.85,21.65,23.25,21.8,24.5,21.8,24.3,23.41,0.0,23.2,543.000
"February, 2021","20,5  -0,35 (-1,68%)",22.3,19.4,20.85,20.6,20.7,20.2,20.5,20.52,0.0,59.2,1.215.000
"March, 2021","23  -0,3 (-1,29%)",24.9,21.7,23.3,23.3,23.3,22.7,23.0,22.93,0.0,45.7,1.048.000
"April, 2021","18,9  -0,7 (-3,57%)",20.95,18.25,19.6,19.6,19.65,18.9,18.9,19.15,0.0,166.7,3.193.000
"May, 2021","18,45  -0,6 (-3,15%)",20.35,17.75,19.05,19.0,19.0,18.2,18.45,18.4,0.0,55.5,1.021.000
"June, 2021","18,7  -0,1 (-0,53%)",20.1,17.5,18.8,18.95,19.0,18.65,18.7,18.74,0.0,35.0,656.000
"July, 2021","17,05  0,05 (0,29%)",18.15,15.85,17.0,16.85,17.05,16.5,17.05,16.73,0.0,155.0,2.593.000
"August, 2021","18,2  0 (0%)",19.45,16.95,18.2,18.35,18.4,18.05,18.2,18.24,0.0,110.8,2.021.000
"September, 2021","22,6  0 (0%)",24.15,21.05,22.6,23.6,23.6,22.35,22.6,22.65,0.0,74.1,1.678.000
"October, 2021","22,4  -0,1 (-0,44%)",24.05,20.95,22.5,22.5,22.8,22.2,22.4,22.380000000000003,0.0,182.4,4.082.000
"November, 2021","20,3  -0,1 (-0,49%)",21.8,19.0,20.4,20.5,20.65,20.0,20.3,20.43,0.0,253.5,5.179.000
"December, 2021","20  -0,2 (-0,99%)",21.6,18.8,20.2,20.2,20.2,19.9,20.0,20.01,0.0,69.4,1.389.000
