Date,Changes,Max,Min,Reference Price,Open,High,Low,Close,Average,Adjusted Close,KLGD,GTGD
"January, 2011","7,4  0 (0%)",77.0,71.0,74.0,76.0,76.0,73.0,74.0,73.9,23.0,36.06,266.354
"February, 2011","7,5  0,1 (1,35%)",77.0,71.0,74.0,75.0,76.0,75.0,75.0,75.0,23.3,5.63,42.227
"March, 2011",9  0 (0%),94.0,86.0,9.0,89.0,92.0,89.0,9.0,89.5,28.0,29.67,265.606
"April, 2011",9  0 (0%),94.0,86.0,9.0,93.0,93.0,88.0,9.0,88.5,28.0,23.84,210.886
"May, 2011","7,8  0,3 (4%)",78.0,72.0,75.0,75.0,78.0,75.0,78.0,77.4,24.3,43.1,333.74
"June, 2011","14,4  0 (0%)",21.6,14.4,0.0,14.4,14.4,14.4,14.4,14.4,44.8,170,2.448
"July, 2011","9,1  -0,3 (-3,19%)",98.0,9.0,94.0,93.0,93.0,91.0,91.0,91.2,28.3,46.9,425.431
"August, 2011",10  0 (0%),10.5,95.0,10.0,96.0,10.0,95.0,10.0,98.9,31.1,53.1,525.260
"September, 2011","11,5  0,1 (0,88%)",11.9,10.9,11.4,11.6,11.6,11.1,11.5,11.48,35.8,257.39,2.955.925
"October, 2011","9,3  -0,3 (-3,12%)",10.0,92.0,96.0,98.0,98.0,93.0,93.0,95.3,28.9,70.0,667.414
"November, 2011","7,4  0 (0%)",77.0,71.0,74.0,76.0,76.0,74.0,74.0,74.8,23.0,39.15,292.914
"December, 2011","6,1  0,1 (1,67%)",63.0,57.0,6.0,63.0,63.0,6.0,61.0,60.7,19.0,6.58,39.971
"January, 2012","6,2  -0,2 (-3,13%)",67.0,61.0,64.0,61.0,63.0,61.0,62.0,61.7,19.3,83.21,513.427
"February, 2012","9,3  0,1 (1,09%)",96.0,88.0,92.0,93.0,96.0,9.0,93.0,92.3,28.9,345.23,3.185.372
"March, 2012","8,2  -0,4 (-4,65%)",9.0,82.0,86.0,83.0,85.0,82.0,82.0,82.5,25.5,452.800,3.736.644
"April, 2012","11,7  0,5 (4,46%)",11.7,10.7,11.2,11.5,11.7,11.5,11.7,11.62,36.4,571.750,6.642.665
"May, 2012","10,2  -0,5 (-4,67%)",11.2,10.2,10.7,10.8,10.8,10.2,10.2,10.4,31.8,551.510,5.738.246
"June, 2012","8,1  -0,1 (-1,22%)",86.0,78.0,82.0,82.0,82.0,79.0,81.0,81.0,28.0,203.5,1.647.959
"July, 2012","7,8  0,2 (2,63%)",79.0,73.0,76.0,78.0,79.0,77.0,78.0,78.4,27.0,167.32,1.296.033
"August, 2012","7,9  0,1 (1,28%)",81.0,75.0,78.0,78.0,8.0,76.0,79.0,77.5,27.3,104.14,807.091
"September, 2012","7,2  0,1 (1,41%)",74.0,68.0,71.0,72.0,72.0,7.0,72.0,70.9,24.9,78.69,558.019
"October, 2012",7  0 (0%),73.0,67.0,7.0,69.0,7.0,69.0,7.0,69.4,24.2,69.11,479.559
"November, 2012","6,7  0 (0%)",7.0,64.0,67.0,68.0,69.0,67.0,67.0,67.9,23.2,87.580,595.031
"December, 2012","7  0,1 (1,45%)",72.0,66.0,69.0,7.0,72.0,69.0,7.0,70.1,24.2,277.71,1.946.426
"January, 2013","7,2  0,1 (1,41%)",75.0,67.0,71.0,71.0,72.0,7.0,72.0,70.6,24.9,115.82,817.755
"February, 2013","7,1  0,1 (1,43%)",74.0,66.0,7.0,71.0,73.0,71.0,71.0,71.7,24.6,364.020,2.609.009
"March, 2013","6,5  0 (0%)",69.0,61.0,65.0,65.0,65.0,64.0,65.0,64.1,22.5,106.09,679.773
"April, 2013","6,4  -0,1 (-1,54%)",69.0,61.0,65.0,64.0,64.0,63.0,64.0,64.0,22.1,44.39,283.893
"May, 2013","7,7  0,3 (4,05%)",79.0,69.0,74.0,76.0,79.0,76.0,77.0,77.2,26.6,622.91,4.808.716
"June, 2013","6,5  -0,1 (-1,52%)",7.0,62.0,66.0,65.0,66.0,64.0,65.0,65.2,22.5,95.83,625.134
"July, 2013","7  0,1 (1,45%)",73.0,65.0,69.0,69.0,7.0,68.0,7.0,69.7,24.2,43.85,305.585
"August, 2013","6,8  0 (0%)",72.0,64.0,68.0,68.0,69.0,67.0,68.0,67.5,23.5,64.87,437.632
"September, 2013","6,5  0,1 (1,56%)",68.0,6.0,64.0,65.0,65.0,63.0,65.0,63.8,22.5,102.79,655.432
"October, 2013","6,7  0,1 (1,52%)",7.0,62.0,66.0,67.0,67.0,65.0,67.0,66.2,23.2,157.08,1.040.356
"November, 2013","7,5  -0,1 (-1,32%)",81.0,71.0,76.0,76.0,76.0,73.0,75.0,74.2,25.9,167.79,1.244.540
"December, 2013","7,2  0,1 (1,41%)",75.0,67.0,71.0,72.0,73.0,7.0,72.0,71.0,24.9,89.16,632.695
"January, 2014","7,2  -0,1 (-1,37%)",78.0,68.0,73.0,73.0,73.0,71.0,72.0,71.4,24.9,206.88,1.477.473
"February, 2014","10,8  0,3 (2,86%)",11.2,98.0,10.5,10.2,10.9,10.2,10.8,10.45,37.4,650.620,6.795.986
"March, 2014","15,2  -0,2 (-1,3%)",16.4,14.4,15.4,15.5,15.6,15.1,15.2,15.26,52.6,259.910,3.966.859
"April, 2014","12,9  0,1 (0,78%)",13.6,12.0,12.8,12.5,12.9,12.4,12.9,12.62,44.6,246.27,3.108.770
"May, 2014","11,7  0 (0%)",12.5,10.9,11.7,11.8,11.9,11.5,11.7,11.72,37.6,227.75,2.668.000
"June, 2014","13,5  0 (0%)",14.4,12.6,13.5,13.6,13.8,13.5,13.5,13.580000000000002,43.4,595.130,8.082.000
"July, 2014","10,9  0,1 (0,93%)",11.5,10.1,10.8,10.9,11.0,10.8,10.9,10.88,45.4,167.15,1.818.000
"August, 2014","12,7  0,8 (6,72%)",12.7,11.1,11.9,12.3,12.7,12.3,12.7,12.61,52.9,2.749.010,34.678.000
"September, 2014","12,9  0,2 (1,57%)",13.5,11.9,12.7,12.8,12.9,12.6,12.9,12.74,53.8,485.310,6.184.000
